Date,Endocyte
2011-01-21,81
2011-01-22,83
2011-01-23,84
2011-01-24,86
2011-01-25,88
2011-01-26,89
2011-01-27,91
2011-01-28,93
2011-01-29,94
2011-01-30,96
2011-01-31,98
2011-02-01,100
2011-02-02,98
2011-02-03,96
2011-02-04,94
2011-02-05,92
2011-02-06,90
2011-02-07,88
2011-02-08,86
2011-02-09,84
2011-02-10,82
2011-02-11,80
2011-02-12,78
2011-02-13,76
2011-02-14,74
2011-02-15,72
2011-02-16,70
2011-02-17,68
2011-02-18,66
2011-02-19,64
2011-02-20,62
2011-02-21,60
2011-02-22,58
2011-02-23,56
2011-02-24,54
2011-02-25,52
2011-02-26,50
2011-02-27,48
2011-02-28,46
2011-03-01,45
2011-03-02,44
2011-03-03,44
2011-03-04,44
2011-03-05,44
2011-03-06,44
2011-03-07,44
2011-03-08,44
2011-03-09,44
2011-03-10,44
2011-03-11,44
2011-03-12,44
2011-03-13,44
2011-03-14,44
2011-03-15,44
2011-03-16,44
2011-03-17,43
2011-03-18,43
2011-03-19,43
2011-03-20,43
2011-03-21,43
2011-03-22,43
2011-03-23,43
2011-03-24,43
2011-03-25,43
2011-03-26,43
2011-03-27,43
2011-03-28,43
2011-03-29,43
2011-03-30,43
2011-03-31,43
2011-04-01,43
2011-04-02,43
2011-04-03,43
2011-04-04,43
2011-04-05,43
2011-04-06,44
2011-04-07,44
2011-04-08,44
2011-04-09,44
2011-04-10,44
2011-04-11,45
2011-04-12,45
2011-04-13,45
2011-04-14,45
2011-04-15,45
2011-04-16,46
2011-04-17,46
2011-04-18,46
2011-04-19,46
2011-04-20,46
2011-04-21,47
2011-04-22,47
2011-04-23,47
2011-04-24,47
2011-04-25,47
2011-04-26,48
2011-04-27,48
2011-04-28,48
2011-04-29,48
2011-04-30,48
2011-05-01,49
2011-05-02,48
2011-05-03,48
2011-05-04,48
2011-05-05,48
2011-05-06,48
2011-05-07,48
2011-05-08,47
2011-05-09,47
2011-05-10,47
2011-05-11,47
2011-05-12,47
2011-05-13,47
2011-05-14,46
2011-05-15,46
2011-05-16,46
2011-05-17,46
2011-05-18,46
2011-05-19,46
2011-05-20,45
2011-05-21,45
2011-05-22,45
2011-05-23,45
2011-05-24,45
2011-05-25,45
2011-05-26,44
2011-05-27,44
2011-05-28,44
2011-05-29,44
2011-05-30,44
2011-05-31,44
2011-06-01,44
2011-06-02,44
2011-06-03,44
2011-06-04,44
2011-06-05,44
2011-06-06,44
2011-06-07,44
2011-06-08,44
2011-06-09,44
2011-06-10,44
2011-06-11,44
2011-06-12,44
2011-06-13,44
2011-06-14,44
2011-06-15,44
2011-06-16,44
2011-06-17,44
2011-06-18,44
2011-06-19,44
2011-06-20,44
2011-06-21,44
2011-06-22,44
2011-06-23,44
2011-06-24,44
2011-06-25,44
2011-06-26,44
2011-06-27,44
2011-06-28,44
2011-06-29,44
2011-06-30,44
2011-07-01,44
2011-07-02,43
2011-07-03,43
2011-07-04,42
2011-07-05,42
2011-07-06,42
2011-07-07,41
2011-07-08,41
2011-07-09,41
2011-07-10,40
2011-07-11,40
2011-07-12,40
2011-07-13,39
2011-07-14,39
2011-07-15,39
2011-07-16,38
2011-07-17,38
2011-07-18,37
2011-07-19,37
2011-07-20,37
2011-07-21,36
2011-07-22,36
2011-07-23,36
2011-07-24,35
2011-07-25,35
2011-07-26,35
2011-07-27,34
2011-07-28,34
2011-07-29,34
2011-07-30,33
2011-07-31,33
2011-08-01,33
2011-08-02,32
2011-08-03,32
2011-08-04,32
2011-08-05,32
2011-08-06,32
2011-08-07,31
2011-08-08,31
2011-08-09,31
2011-08-10,31
2011-08-11,31
2011-08-12,30
2011-08-13,30
2011-08-14,30
2011-08-15,30
2011-08-16,30
2011-08-17,29
2011-08-18,29
2011-08-19,29
2011-08-20,29
2011-08-21,29
2011-08-22,28
2011-08-23,28
2011-08-24,28
2011-08-25,28
2011-08-26,28
2011-08-27,27
2011-08-28,27
2011-08-29,27
2011-08-30,27
2011-08-31,27
2011-09-01,27
2011-09-02,27
2011-09-03,27
2011-09-04,27
2011-09-05,27
2011-09-06,27
2011-09-07,27
2011-09-08,27
2011-09-09,27
2011-09-10,27
2011-09-11,27
2011-09-12,27
2011-09-13,27
2011-09-14,27
2011-09-15,27
2011-09-16,27
2011-09-17,27
2011-09-18,27
2011-09-19,27
2011-09-20,27
2011-09-21,27
2011-09-22,27
2011-09-23,27
2011-09-24,27
2011-09-25,27
2011-09-26,27
2011-09-27,27
2011-09-28,27
2011-09-29,27
2011-09-30,27
2011-10-01,28
2011-10-02,28
2011-10-03,28
2011-10-04,29
2011-10-05,29
2011-10-06,30
2011-10-07,30
2011-10-08,31
2011-10-09,31
2011-10-10,32
2011-10-11,32
2011-10-12,32
2011-10-13,33
2011-10-14,33
2011-10-15,34
2011-10-16,34
2011-10-17,35
2011-10-18,35
2011-10-19,36
2011-10-20,36
2011-10-21,37
2011-10-22,37
2011-10-23,37
2011-10-24,38
2011-10-25,38
2011-10-26,39
2011-10-27,39
2011-10-28,40
2011-10-29,40
2011-10-30,41
2011-10-31,41
2011-11-01,42
2011-11-02,43
2011-11-03,44
2011-11-04,45
2011-11-05,46
2011-11-06,47
2011-11-07,48
2011-11-08,49
2011-11-09,51
2011-11-10,52
2011-11-11,53
2011-11-12,54
2011-11-13,55
2011-11-14,56
2011-11-15,57
2011-11-16,59
2011-11-17,60
2011-11-18,61
2011-11-19,62
2011-11-20,63
2011-11-21,64
2011-11-22,65
2011-11-23,66
2011-11-24,68
2011-11-25,69
2011-11-26,70
2011-11-27,71
2011-11-28,72
2011-11-29,73
2011-11-30,74
2011-12-01,76
2011-12-02,75
2011-12-03,74
2011-12-04,73
2011-12-05,72
2011-12-06,71
2011-12-07,70
2011-12-08,69
2011-12-09,69
2011-12-10,68
2011-12-11,67
2011-12-12,66
2011-12-13,65
2011-12-14,64
2011-12-15,63
2011-12-16,62
2011-12-17,62
2011-12-18,61
2011-12-19,60
2011-12-20,59
2011-12-21,58
2011-12-22,57
2011-12-23,56
2011-12-24,55
2011-12-25,55
2011-12-26,54
2011-12-27,53
2011-12-28,52
2011-12-29,51
2011-12-30,50
2011-12-31,49
2012-01-01,49
2012-01-02,48
2012-01-03,48
2012-01-04,47
2012-01-05,47
2012-01-06,47
2012-01-07,46
2012-01-08,46
2012-01-09,46
2012-01-10,45
2012-01-11,45
2012-01-12,45
2012-01-13,44
2012-01-14,44
2012-01-15,44
2012-01-16,43
2012-01-17,43
2012-01-18,42
2012-01-19,42
2012-01-20,42
2012-01-21,41
2012-01-22,41
2012-01-23,41
2012-01-24,40
2012-01-25,40
2012-01-26,40
2012-01-27,39
2012-01-28,39
2012-01-29,39
2012-01-30,38
2012-01-31,38
