Date,Emdeon
2008-03-01,22
2008-03-02,22
2008-03-03,22
2008-03-04,22
2008-03-05,22
2008-03-06,22
2008-03-07,22
2008-03-08,22
2008-03-09,21
2008-03-10,21
2008-03-11,21
2008-03-12,20
2008-03-13,20
2008-03-14,20
2008-03-15,20
2008-03-16,20
2008-03-17,20
2008-03-18,21
2008-03-19,21
2008-03-20,21
2008-03-21,21
2008-03-22,22
2008-03-23,22
2008-03-24,22
2008-03-25,22
2008-03-26,22
2008-03-27,22
2008-03-28,22
2008-03-29,22
2008-03-30,22
2008-03-31,22
2008-04-01,22
2008-04-02,23
2008-04-03,23
2008-04-04,24
2008-04-05,24
2008-04-06,23
2008-04-07,23
2008-04-08,23
2008-04-09,23
2008-04-10,23
2008-04-11,23
2008-04-12,23
2008-04-13,23
2008-04-14,23
2008-04-15,23
2008-04-16,24
2008-04-17,24
2008-04-18,24
2008-04-19,25
2008-04-20,25
2008-04-21,25
2008-04-22,25
2008-04-23,25
2008-04-24,25
2008-04-25,25
2008-04-26,25
2008-04-27,24
2008-04-28,23
2008-04-29,22
2008-04-30,21
2008-05-01,20
2008-05-02,19
2008-05-03,18
2008-05-04,17
2008-05-05,17
2008-05-06,17
2008-05-07,16
2008-05-08,15
2008-05-09,15
2008-05-10,15
2008-05-11,16
2008-05-12,17
2008-05-13,19
2008-05-14,21
2008-05-15,22
2008-05-16,24
2008-05-17,25
2008-05-18,24
2008-05-19,23
2008-05-20,22
2008-05-21,21
2008-05-22,20
2008-05-23,19
2008-05-24,18
2008-05-25,18
2008-05-26,19
2008-05-27,19
2008-05-28,20
2008-05-29,21
2008-05-30,21
2008-05-31,22
2008-06-01,22
2008-06-02,23
2008-06-03,23
2008-06-04,24
2008-06-05,24
2008-06-06,25
2008-06-07,26
2008-06-08,25
2008-06-09,24
2008-06-10,24
2008-06-11,24
2008-06-12,23
2008-06-13,22
2008-06-14,22
2008-06-15,22
2008-06-16,23
2008-06-17,24
2008-06-18,24
2008-06-19,25
2008-06-20,25
2008-06-21,26
2008-06-22,26
2008-06-23,26
2008-06-24,26
