Date,Ellie Mae
2009-10-10,54
2009-10-11,54
2009-10-12,54
2009-10-13,54
2009-10-14,54
2009-10-15,54
2009-10-16,54
2009-10-17,54
2009-10-18,54
2009-10-19,54
2009-10-20,54
2009-10-21,55
2009-10-22,55
2009-10-23,55
2009-10-24,56
2009-10-25,62
2009-10-26,69
2009-10-27,75
2009-10-28,82
2009-10-29,88
2009-10-30,95
2009-10-31,101
2009-11-01,97
2009-11-02,92
2009-11-03,88
2009-11-04,84
2009-11-05,81
2009-11-06,77
2009-11-07,73
2009-11-08,72
2009-11-09,71
2009-11-10,70
2009-11-11,68
2009-11-12,67
2009-11-13,66
2009-11-14,65
2009-11-15,66
2009-11-16,66
2009-11-17,67
2009-11-18,68
2009-11-19,69
2009-11-20,70
2009-11-21,71
2009-11-22,68
2009-11-23,64
2009-11-24,61
2009-11-25,58
2009-11-26,55
2009-11-27,52
2009-11-28,49
2009-11-29,48
2009-11-30,47
2009-12-01,46
2009-12-02,46
2009-12-03,45
2009-12-04,44
2009-12-05,44
2009-12-06,46
2009-12-07,48
2009-12-08,50
2009-12-09,52
2009-12-10,54
2009-12-11,56
2009-12-12,58
2009-12-13,56
2009-12-14,54
2009-12-15,53
2009-12-16,51
2009-12-17,49
2009-12-18,47
2009-12-19,45
2009-12-20,46
2009-12-21,46
2009-12-22,47
2009-12-23,48
2009-12-24,49
2009-12-25,50
2009-12-26,51
2009-12-27,51
2010-01-03,55
2010-01-04,54
2010-01-05,53
2010-01-06,52
2010-01-07,51
2010-01-08,50
2010-01-09,50
2010-01-10,48
2010-01-11,46
2010-01-12,45
2010-01-13,43
2010-01-14,42
2010-01-15,40
2010-01-16,39
2010-01-17,39
2010-01-18,39
2010-01-19,40
2010-01-20,40
2010-01-21,41
2010-01-22,41
2010-01-23,42
2010-01-24,44
2010-01-25,47
2010-01-26,50
2010-01-27,52
2010-01-28,55
2010-01-29,57
2010-01-30,60
2010-01-31,56
2010-02-01,52
2010-02-02,48
2010-02-03,44
2010-02-04,40
2010-02-05,36
2010-02-06,32
2010-02-07,34
2010-02-08,37
2010-02-09,40
2010-02-10,42
2010-02-11,45
2010-02-12,47
2010-02-13,50
2010-02-14,48
2010-02-15,46
2010-02-16,45
2010-02-17,43
2010-02-18,42
2010-02-19,40
2010-02-20,39
2010-02-21,38
2010-02-22,38
2010-02-23,38
2010-02-24,37
2010-02-25,37
2010-02-26,37
2010-02-27,37
2010-02-28,37
2010-03-01,37
2010-03-02,37
2010-03-03,37
2010-03-04,37
2010-03-05,37
2010-03-06,37
2010-03-07,38
2010-03-08,41
2010-03-09,42
2010-03-10,44
2010-03-11,46
2010-03-12,48
2010-03-13,50
2010-03-14,48
2010-03-15,46
2010-03-16,44
2010-03-17,42
2010-03-18,40
2010-03-19,38
2010-03-20,37
2010-03-21,40
2010-03-22,45
2010-03-23,49
2010-03-24,53
2010-03-25,57
2010-03-26,62
2010-03-27,68
2010-03-28,58
2010-04-04,39
2010-04-05,39
2010-04-06,39
2010-04-07,39
2010-04-08,39
2010-04-09,39
2010-04-10,39
2010-04-11,40
2010-04-12,41
2010-04-13,42
2010-04-14,43
2010-04-15,44
2010-04-16,45
2010-04-17,47
2010-04-18,46
2010-04-19,45
2010-04-20,44
2010-04-21,43
2010-04-22,42
2010-04-23,41
2010-04-24,40
2010-04-25,40
2010-04-26,39
2010-04-27,39
2010-04-28,38
2010-04-29,38
2010-04-30,38
2010-05-01,38
2010-05-02,42
2010-05-03,48
2010-05-04,52
2010-05-05,57
2010-05-06,62
2010-05-07,67
2010-05-08,72
2010-05-09,71
2010-05-10,69
2010-05-11,68
2010-05-12,67
2010-05-13,66
2010-05-14,65
2010-05-15,64
2010-05-16,61
2010-05-17,59
2010-05-18,57
2010-05-19,54
2010-05-20,52
