Date,J.G. Wentworth
2013-04-01,67
2013-04-02,68
2013-04-03,70
2013-04-04,71
2013-04-05,79
2013-04-06,75
2013-04-07,71
2013-04-08,67
2013-04-09,63
2013-04-10,63
2013-04-11,55
2013-04-12,51
2013-04-13,48
2013-04-14,50
2013-04-15,53
2013-04-16,57
2013-04-17,58
2013-04-18,64
2013-04-19,64
2013-04-20,73
2013-04-21,68
2013-04-22,69
2013-04-23,73
2013-04-24,72
2013-04-25,75
2013-04-26,75
2013-04-27,82
2013-04-28,74
2013-04-29,72
2013-04-30,70
2013-05-01,77
2013-05-02,68
2013-05-03,64
2013-05-04,64
2013-05-05,60
2013-05-06,58
2013-05-07,56
2013-05-08,54
2013-05-09,52
2013-05-10,50
2013-05-11,49
2013-05-12,50
2013-05-13,51
2013-05-14,54
2013-05-15,54
2013-05-16,56
2013-05-17,56
2013-05-18,58
2013-05-19,57
2013-05-20,56
2013-05-21,57
2013-05-22,55
2013-05-23,53
2013-05-24,55
2013-05-25,53
2013-05-26,53
2013-05-27,55
2013-05-28,57
2013-05-29,63
2013-05-30,61
2013-05-31,63
2013-06-01,65
2013-06-02,64
2013-06-03,64
2013-06-04,69
2013-06-05,66
2013-06-06,64
2013-06-07,64
2013-06-08,64
2013-06-09,64
2013-06-10,65
2013-06-11,66
2013-06-12,69
2013-06-13,67
2013-06-14,72
2013-06-15,69
2013-06-16,69
2013-06-17,69
2013-06-18,71
2013-06-19,73
2013-06-20,71
2013-06-21,71
2013-06-22,76
2013-06-23,74
2013-06-24,77
2013-06-25,79
2013-06-26,87
2013-06-27,84
2013-06-28,87
2013-06-29,90
2013-06-30,86
2013-07-01,83
2013-07-02,80
2013-07-03,81
2013-07-04,74
2013-07-05,71
2013-07-06,70
2013-07-07,69
2013-07-08,71
2013-07-09,73
2013-07-10,74
2013-07-11,76
2013-07-12,78
2013-07-13,88
2013-07-14,81
2013-07-15,78
2013-07-16,77
2013-07-17,76
2013-07-18,76
2013-07-19,76
2013-07-20,79
2013-07-21,72
2013-07-22,71
2013-07-23,70
2013-07-24,71
2013-07-25,68
2013-07-26,68
2013-07-27,66
2013-07-28,67
2013-07-29,68
2013-07-30,71
2013-07-31,73
2013-08-01,71
2013-08-02,72
2013-08-03,74
2013-08-04,74
2013-08-05,74
2013-08-06,75
2013-08-07,78
2013-08-08,74
2013-08-09,78
2013-08-10,75
2013-08-11,72
2013-08-12,70
2013-08-13,68
2013-08-14,69
2013-08-15,62
2013-08-16,62
2013-08-17,58
2013-08-18,58
2013-08-19,59
2013-08-20,62
2013-08-21,60
2013-08-22,60
2013-08-23,66
2013-08-24,62
2013-08-25,62
2013-08-26,62
2013-08-27,64
2013-08-28,63
2013-08-29,71
2013-08-30,63
2013-08-31,64
2013-09-01,61
2013-09-02,58
2013-09-03,56
2013-09-04,55
2013-09-05,51
2013-09-06,48
2013-09-07,46
2013-09-08,52
2013-09-09,59
2013-09-10,66
2013-09-11,72
2013-09-12,82
2013-09-13,86
2013-09-14,107
2013-09-15,89
2013-09-16,86
2013-09-17,83
2013-09-18,80
2013-09-19,78
2013-09-20,78
2013-09-21,73
2013-09-22,69
2013-09-23,68
2013-09-24,67
2013-09-25,66
2013-09-26,69
2013-09-27,64
2013-09-28,64
2013-09-29,63
2013-09-30,63
2013-10-01,63
2013-10-02,64
2013-10-03,64
2013-10-04,69
2013-10-05,65
2013-10-06,66
2013-10-07,68
2013-10-08,70
2013-10-09,72
2013-10-10,81
2013-10-11,76
2013-10-12,78
2013-10-13,77
2013-10-14,76
2013-10-15,75
2013-10-16,74
2013-10-17,76
2013-10-18,72
2013-10-19,77
2013-10-20,68
2013-10-21,65
2013-10-22,62
2013-10-23,62
2013-10-24,59
2013-10-25,53
2013-10-26,52
2013-10-27,53
2013-10-28,56
2013-10-29,59
2013-10-30,62
2013-10-31,69
2013-11-01,68
2013-11-02,75
2013-11-03,69
2013-11-04,68
2013-11-05,66
2013-11-06,65
2013-11-07,65
2013-11-08,63
2013-11-09,61
2013-11-10,63
2013-11-11,65
2013-11-12,68
2013-11-13,70
2013-11-14,74
2013-11-15,79
2013-11-16,82
2013-11-17,78
2013-11-18,78
2013-11-19,79
2013-11-20,78
2013-11-21,83
2013-11-22,78
2013-11-23,81
2013-11-24,79
2013-11-25,71
2013-11-26,67
2013-11-27,64
2013-11-28,63
2013-11-29,56
2013-11-30,53
2013-12-01,56
2013-12-02,60
2013-12-03,69
2013-12-04,67
2013-12-05,76
2013-12-06,75
2013-12-07,79
2013-12-08,80
2013-12-09,81
2013-12-10,82
2013-12-11,84
2013-12-12,85
2013-12-13,85
2013-12-14,93
2013-12-15,84
2013-12-16,81
2013-12-17,79
2013-12-18,76
2013-12-19,77
2013-12-20,71
2013-12-21,70
2013-12-22,65
2013-12-23,62
2013-12-24,59
2013-12-25,60
2013-12-26,53
2013-12-27,51
2013-12-28,47
2013-12-29,47
2013-12-30,47
2013-12-31,53
2014-01-01,48
2014-01-02,51
2014-01-03,48
2014-01-04,49
2014-01-05,51
2014-01-06,54
2014-01-07,56
2014-01-08,64
2014-01-09,61
2014-01-10,64
2014-01-11,76
2014-01-12,71
2014-01-13,76
2014-01-14,81
2014-01-15,89
2014-01-16,96
2014-01-17,95
2014-01-18,111
2014-01-19,97
2014-01-20,94
2014-01-21,91
2014-01-22,89
2014-01-23,85
2014-01-24,82
2014-01-25,92
2014-01-26,80
2014-01-27,81
2014-01-28,82
2014-01-29,84
2014-01-30,85
2014-01-31,100
2014-02-01,88
