Date,Cardiovascular Systems
2008-05-04,85
2008-05-05,84
2008-05-06,82
2008-05-07,81
2008-05-08,79
2008-05-09,78
2008-05-10,76
2008-05-11,72
2008-05-12,68
2008-05-13,64
2008-05-14,60
2008-05-15,56
2008-05-16,52
2008-05-17,49
2008-05-18,51
2008-05-19,54
2008-05-20,56
2008-05-21,59
2008-05-22,61
2008-05-23,64
2008-05-24,67
2008-05-25,63
2008-05-26,59
2008-05-27,55
2008-05-28,52
2008-05-29,48
2008-05-30,44
2008-05-31,41
2008-06-01,43
2008-06-02,47
2008-06-03,50
2008-06-04,53
2008-06-05,56
2008-06-06,60
2008-06-07,65
2008-06-08,50
2008-06-09,42
2008-06-10,33
2008-06-11,25
2008-06-12,16
2008-06-13,8
2008-06-14,0
2008-06-15,0
2008-06-16,0
2008-06-17,0
2008-06-18,0
2008-06-19,0
2008-06-20,0
2008-06-21,0
2008-06-22,0
2008-06-23,0
2008-06-24,0
2008-06-25,0
2008-06-26,0
2008-06-27,0
2008-06-28,0
2008-06-29,0
2008-06-30,0
2008-07-01,0
2008-07-02,0
2008-07-03,0
2008-07-04,0
2008-07-05,0
2008-07-06,0
2008-07-07,0
2008-07-08,0
2008-07-09,0
2008-07-10,0
2008-07-11,0
2008-07-12,0
2008-07-13,0
2008-07-14,0
2008-07-15,0
2008-07-16,0
2008-07-17,0
2008-07-18,0
2008-07-19,0
2008-07-20,0
2008-07-21,0
2008-07-22,0
2008-07-23,0
2008-07-24,0
2008-07-25,0
2008-07-26,0
2008-07-27,0
2008-08-03,0
2008-08-04,0
2008-08-05,0
2008-08-06,0
2008-08-07,0
2008-08-08,0
2008-08-09,0
2008-08-10,0
2008-08-11,0
2008-08-12,0
2008-08-13,0
2008-08-14,0
2008-08-15,0
2008-08-16,0
2008-08-17,5
2008-08-18,11
2008-08-19,17
2008-08-20,23
2008-08-21,29
2008-08-22,35
2008-08-23,41
2008-08-24,42
2008-08-25,43
2008-08-26,45
2008-08-27,46
2008-08-28,48
2008-08-29,49
2008-08-30,51
2008-08-31,52
2008-09-01,53
2008-09-02,55
2008-09-03,56
2008-09-04,57
2008-09-05,58
2008-09-06,60
2008-09-07,59
2008-09-08,59
2008-09-09,59
2008-09-10,59
2008-09-11,58
2008-09-12,58
2008-09-13,58
2008-09-14,57
2008-09-15,56
2008-09-16,55
2008-09-17,54
2008-09-18,53
2008-09-19,52
2008-09-20,52
2008-09-21,50
2008-09-22,48
2008-09-23,47
2008-09-24,45
2008-09-25,44
2008-09-26,42
2008-09-27,41
2008-09-28,42
2008-09-29,43
2008-09-30,44
2008-10-01,45
2008-10-02,46
2008-10-03,47
2008-10-04,48
2008-10-05,48
2008-10-06,48
2008-10-07,48
2008-10-08,48
2008-10-09,48
2008-10-10,48
2008-10-11,48
2008-10-12,48
2008-10-13,48
2008-10-14,48
2008-10-15,48
2008-10-16,48
2008-10-17,48
2008-10-18,49
2008-10-19,47
2008-10-20,45
2008-10-21,43
2008-10-22,41
2008-10-23,39
2008-10-24,37
2008-10-25,35
2008-10-26,35
2008-11-02,44
2008-11-03,53
2008-11-04,63
2008-11-05,72
2008-11-06,82
2008-11-07,91
2008-11-08,100
2008-11-09,95
2008-11-10,89
2008-11-11,83
2008-11-12,77
2008-11-13,72
2008-11-14,66
2008-11-15,60
2008-11-16,57
2008-11-17,53
2008-11-18,50
2008-11-19,47
2008-11-20,44
2008-11-21,41
2008-11-22,38
2008-11-23,38
2008-11-24,38
2008-11-25,39
2008-11-26,39
2008-11-27,40
2008-11-28,40
2008-11-29,41
2008-11-30,41
2008-12-01,41
2008-12-02,42
2008-12-03,42
2008-12-04,43
2008-12-05,43
2008-12-06,44
2008-12-07,49
2008-12-08,55
2008-12-09,60
2008-12-10,65
2008-12-11,71
2008-12-12,76
2008-12-13,82
2008-12-14,76
2008-12-15,69
2008-12-16,63
2008-12-17,57
2008-12-18,51
2008-12-19,45
2008-12-20,40
2008-12-21,40
2008-12-22,40
2008-12-23,40
2008-12-24,40
2008-12-25,40
2008-12-26,40
2008-12-27,40
2008-12-28,40
2008-12-29,40
2008-12-30,40
2008-12-31,40
2009-01-01,40
2009-01-02,40
2009-01-03,40
2009-01-04,40
2009-01-05,40
2009-01-06,40
2009-01-07,40
2009-01-08,40
2009-01-09,40
2009-01-10,40
2009-01-11,41
2009-01-12,43
2009-01-13,44
2009-01-14,46
2009-01-15,47
2009-01-16,49
2009-01-17,51
2009-01-18,49
2009-01-19,47
2009-01-20,45
2009-01-21,44
2009-01-22,42
2009-01-23,40
2009-01-24,39
2009-01-25,38
2009-02-01,37
2009-02-02,42
2009-02-03,46
2009-02-04,51
2009-02-05,55
2009-02-06,60
2009-02-07,64
2009-02-08,59
2009-02-09,54
2009-02-10,49
2009-02-11,44
2009-02-12,39
2009-02-13,34
2009-02-14,29
2009-02-15,29
2009-02-16,29
2009-02-17,30
2009-02-18,30
2009-02-19,31
2009-02-20,31
2009-02-21,32
2009-02-22,38
2009-02-23,44
2009-02-24,51
2009-02-25,57
2009-02-26,64
2009-02-27,70
2009-02-28,76
2009-03-01,74
2009-03-02,71
2009-03-03,69
2009-03-04,66
2009-03-05,64
2009-03-06,62
