Date,Fidelity & Guaranty Life
2013-11-11,73
2013-11-12,74
2013-11-13,74
2013-11-14,75
2013-11-15,75
2013-11-16,76
2013-11-17,77
2013-11-18,77
2013-11-19,78
2013-11-20,78
2013-11-21,79
2013-11-22,79
2013-11-23,80
2013-11-24,81
2013-11-25,81
2013-11-26,82
2013-11-27,82
2013-11-28,83
2013-11-29,83
2013-11-30,84
2013-12-01,85
2013-12-02,83
2013-12-03,82
2013-12-04,81
2013-12-05,80
2013-12-06,79
2013-12-07,77
2013-12-08,76
2013-12-09,75
2013-12-10,74
2013-12-11,73
2013-12-12,71
2013-12-13,70
2013-12-14,69
2013-12-15,68
2013-12-16,67
2013-12-17,65
2013-12-18,64
2013-12-19,63
2013-12-20,62
2013-12-21,61
2013-12-22,59
2013-12-23,58
2013-12-24,57
2013-12-25,56
2013-12-26,55
2013-12-27,53
2013-12-28,52
2013-12-29,51
2013-12-30,50
2013-12-31,49
2014-01-01,48
2014-01-02,49
2014-01-03,50
2014-01-04,51
2014-01-05,52
2014-01-06,53
2014-01-07,54
2014-01-08,56
2014-01-09,57
2014-01-10,58
2014-01-11,59
2014-01-12,60
2014-01-13,61
2014-01-14,63
2014-01-15,64
2014-01-16,65
2014-01-17,66
2014-01-18,67
2014-01-19,68
2014-01-20,70
2014-01-21,71
2014-01-22,72
2014-01-23,73
2014-01-24,74
2014-01-25,75
2014-01-26,77
2014-01-27,78
2014-01-28,79
2014-01-29,80
2014-01-30,81
2014-01-31,82
2014-02-01,84
