Date,RetailMeNot
2013-09-01,31
2013-09-02,31
2013-09-03,31
2013-09-04,31
2013-09-05,31
2013-09-06,31
2013-09-07,31
2013-09-08,30
2013-09-09,31
2013-09-10,30
2013-09-11,30
2013-09-12,29
2013-09-13,29
2013-09-14,29
2013-09-15,29
2013-09-16,29
2013-09-17,29
2013-09-18,29
2013-09-19,29
2013-09-20,29
2013-09-21,29
2013-09-22,29
2013-09-23,30
2013-09-24,30
2013-09-25,30
2013-09-26,31
2013-09-27,31
2013-09-28,32
2013-09-29,31
2013-09-30,32
2013-10-01,31
2013-10-02,31
2013-10-03,30
2013-10-04,30
2013-10-05,30
2013-10-06,30
2013-10-07,31
2013-10-08,30
2013-10-09,31
2013-10-10,32
2013-10-11,31
2013-10-12,32
2013-10-13,32
2013-10-14,32
2013-10-15,32
2013-10-16,33
2013-10-17,32
2013-10-18,32
2013-10-19,33
2013-10-20,32
2013-10-21,32
2013-10-22,33
2013-10-23,32
2013-10-24,32
2013-10-25,32
2013-10-26,32
2013-10-27,32
2013-10-28,32
2013-10-29,31
2013-10-30,31
2013-10-31,31
2013-11-01,31
2013-11-02,31
2013-11-03,31
2013-11-04,32
2013-11-05,33
2013-11-06,34
2013-11-07,34
2013-11-08,35
2013-11-09,36
2013-11-10,38
2013-11-11,38
2013-11-12,39
2013-11-13,40
2013-11-14,42
2013-11-15,42
2013-11-16,44
2013-11-17,45
2013-11-18,46
2013-11-19,45
2013-11-20,45
2013-11-21,46
2013-11-22,46
2013-11-23,47
2013-11-24,51
2013-11-25,55
2013-11-26,59
2013-11-27,63
2013-11-28,67
2013-11-29,71
2013-11-30,76
2013-12-01,78
2013-12-02,82
2013-12-03,90
2013-12-04,89
2013-12-05,98
2013-12-06,97
2013-12-07,100
2013-12-08,97
2013-12-09,97
2013-12-10,92
2013-12-11,90
2013-12-12,86
2013-12-13,83
2013-12-14,81
2013-12-15,81
2013-12-16,83
2013-12-17,79
2013-12-18,78
2013-12-19,79
2013-12-20,77
2013-12-21,77
2013-12-22,78
2013-12-23,74
2013-12-24,71
2013-12-25,71
2013-12-26,64
2013-12-27,63
2013-12-28,60
2013-12-29,59
2013-12-30,60
2013-12-31,58
2014-01-01,59
2014-01-02,57
2014-01-03,56
2014-01-04,56
2014-01-05,54
2014-01-06,54
2014-01-07,49
2014-01-08,47
2014-01-09,44
2014-01-10,42
2014-01-11,40
2014-01-12,39
2014-01-13,40
2014-01-14,38
2014-01-15,38
2014-01-16,38
2014-01-17,37
2014-01-18,37
2014-01-19,37
2014-01-20,37
2014-01-21,37
2014-01-22,37
2014-01-23,37
2014-01-24,37
2014-01-25,37
2014-01-26,36
2014-01-27,38
2014-01-28,35
2014-01-29,35
2014-01-30,34
2014-01-31,34
2014-02-01,34
2014-02-02,34
2014-02-03,36
2014-02-04,34
2014-02-05,34
2014-02-06,34
2014-02-07,34
2014-02-08,34
2014-02-09,34
2014-02-10,36
2014-02-11,36
2014-02-12,37
2014-02-13,38
2014-02-14,39
2014-02-15,40
2014-02-16,40
2014-02-17,40
2014-02-18,41
2014-02-19,40
2014-02-20,40
2014-02-21,40
2014-02-22,40
2014-02-23,39
2014-02-24,41
2014-02-25,40
2014-02-26,40
2014-02-27,39
2014-02-28,39
2014-03-01,39
