Date,Covisint
2012-11-01,79
2012-11-02,79
2012-11-03,80
2012-11-04,80
2012-11-05,81
2012-11-06,81
2012-11-07,87
2012-11-08,83
2012-11-09,83
2012-11-10,89
2012-11-11,80
2012-11-12,77
2012-11-13,73
2012-11-14,70
2012-11-15,69
2012-11-16,63
2012-11-17,60
2012-11-18,61
2012-11-19,62
2012-11-20,63
2012-11-21,69
2012-11-22,65
2012-11-23,66
2012-11-24,67
2012-11-25,67
2012-11-26,68
2012-11-27,75
2012-11-28,70
2012-11-29,73
2012-11-30,72
2012-12-01,73
2012-12-02,73
2012-12-03,74
2012-12-04,76
2012-12-05,81
2012-12-06,79
2012-12-07,77
2012-12-08,78
2012-12-09,78
2012-12-10,79
2012-12-11,82
2012-12-12,80
2012-12-13,81
2012-12-14,84
2012-12-15,85
2012-12-16,83
2012-12-17,83
2012-12-18,83
2012-12-19,92
2012-12-20,84
2012-12-21,90
2012-12-22,85
2012-12-23,77
2012-12-24,69
2012-12-25,62
2012-12-26,54
2012-12-27,47
2012-12-28,39
2012-12-29,32
2012-12-30,33
2012-12-31,35
2013-01-01,37
2013-01-02,39
2013-01-03,41
2013-01-04,44
2013-01-05,45
2013-01-06,50
2013-01-07,56
2013-01-08,65
2013-01-09,71
2013-01-10,74
2013-01-11,83
2013-01-12,89
2013-01-13,87
2013-01-14,89
2013-01-15,90
2013-01-16,92
2013-01-17,98
2013-01-18,95
2013-01-19,97
2013-01-20,96
2013-01-21,95
2013-01-22,95
2013-01-23,99
2013-01-24,93
2013-01-25,96
2013-01-26,91
2013-01-27,89
2013-01-28,87
2013-01-29,85
2013-01-30,89
2013-01-31,82
2013-02-01,79
2013-02-02,78
2013-02-03,78
2013-02-04,78
2013-02-05,79
2013-02-06,81
2013-02-07,80
2013-02-08,86
2013-02-09,81
2013-02-10,81
2013-02-11,82
2013-02-12,83
2013-02-13,83
2013-02-14,86
2013-02-15,87
2013-02-16,85
2013-02-17,84
2013-02-18,84
2013-02-19,84
2013-02-20,86
2013-02-21,90
2013-02-22,85
2013-02-23,84
2013-02-24,84
2013-02-25,84
2013-02-26,87
2013-02-27,84
2013-02-28,85
2013-03-01,84
2013-03-02,85
2013-03-03,85
2013-03-04,85
2013-03-05,92
2013-03-06,94
2013-03-07,87
2013-03-08,87
2013-03-09,88
2013-03-10,87
2013-03-11,86
2013-03-12,86
2013-03-13,89
2013-03-14,85
2013-03-15,84
2013-03-16,91
2013-03-17,83
2013-03-18,83
2013-03-19,82
2013-03-20,84
2013-03-21,81
2013-03-22,86
2013-03-23,81
2013-03-24,78
2013-03-25,76
2013-03-26,76
2013-03-27,71
2013-03-28,70
2013-03-29,66
2013-03-30,64
2013-03-31,65
2013-05-01,74
2013-05-02,71
2013-05-03,75
2013-05-04,67
2013-05-05,67
2013-05-06,67
2013-05-07,68
2013-05-08,75
2013-05-09,73
2013-05-10,69
2013-05-11,70
2013-05-12,69
2013-05-13,69
2013-05-14,73
2013-05-15,68
2013-05-16,72
2013-05-17,68
2013-05-18,67
2013-05-19,68
2013-05-20,70
2013-05-21,72
2013-05-22,77
2013-05-23,75
2013-05-24,77
2013-05-25,81
2013-05-26,78
2013-05-27,77
2013-05-28,78
2013-05-29,75
2013-05-30,77
2013-05-31,75
2013-06-01,76
2013-06-02,75
2013-06-03,78
2013-06-04,81
2013-06-05,84
2013-06-06,87
2013-06-07,96
2013-06-08,93
2013-06-09,93
2013-06-10,93
2013-06-11,94
2013-06-12,96
2013-06-13,93
2013-06-14,93
2013-06-15,93
2013-06-16,90
2013-06-17,88
2013-06-18,86
2013-06-19,87
2013-06-20,80
2013-06-21,82
2013-06-22,76
2013-06-23,75
