Date,SuccessFactors
2007-01-13,61
2007-01-14,59
2007-01-15,55
2007-01-16,53
2007-01-17,50
2007-01-18,48
2007-01-19,45
2007-01-20,43
2007-01-21,44
2007-01-22,45
2007-01-23,47
2007-01-24,48
2007-01-25,50
2007-01-26,51
2007-01-27,53
2007-01-28,54
2007-01-29,55
2007-01-30,56
2007-01-31,57
2007-02-01,58
2007-02-02,59
2007-02-03,60
2007-02-04,61
2007-02-05,62
2007-02-06,63
2007-02-07,64
2007-02-08,65
2007-02-09,66
2007-02-10,67
2007-02-11,66
2007-02-12,65
2007-02-13,64
2007-02-14,63
2007-02-15,62
2007-02-16,61
2007-02-17,61
2007-02-18,60
2007-02-19,60
2007-02-20,59
2007-02-21,59
2007-02-22,58
2007-02-23,58
2007-02-24,58
2007-02-25,57
2007-02-26,57
2007-02-27,57
2007-02-28,56
2007-03-01,56
2007-03-02,56
2007-03-03,56
2007-03-04,55
2007-03-05,54
2007-03-06,53
2007-03-07,53
2007-03-08,52
2007-03-09,51
2007-03-10,51
2007-03-11,51
2007-03-12,52
2007-03-13,53
2007-03-14,54
2007-03-15,55
2007-03-16,56
2007-03-17,57
2007-03-18,59
2007-03-19,62
2007-03-20,65
2007-03-21,67
2007-03-22,70
2007-03-23,73
2007-03-24,75
2007-03-25,71
2007-04-01,50
2007-04-02,52
2007-04-03,54
2007-04-04,56
2007-04-05,58
2007-04-06,60
2007-04-07,63
2007-04-08,62
2007-04-09,61
2007-04-10,60
2007-04-11,59
2007-04-12,58
2007-04-13,57
2007-04-14,57
2007-04-15,60
2007-04-16,63
2007-04-17,66
2007-04-18,69
2007-04-19,72
2007-04-20,76
2007-04-21,79
2007-04-22,77
2007-04-23,76
2007-04-24,74
2007-04-25,72
2007-04-26,71
2007-04-27,69
2007-04-28,68
2007-04-29,69
2007-04-30,70
2007-05-01,72
2007-05-02,73
2007-05-03,75
2007-05-04,76
2007-05-05,78
2007-05-06,75
2007-05-07,73
2007-05-08,71
2007-05-09,69
2007-05-10,66
2007-05-11,64
2007-05-12,61
2007-05-13,58
2007-05-14,53
2007-05-15,50
2007-05-16,46
2007-05-17,43
2007-05-18,39
2007-05-19,36
2007-05-20,37
2007-05-21,39
2007-05-22,41
2007-05-23,42
2007-05-24,44
2007-05-25,46
2007-05-26,48
2007-05-27,49
2007-05-28,51
2007-05-29,53
2007-05-30,55
2007-05-31,57
2007-06-01,59
2007-06-02,61
2007-06-03,61
2007-06-04,61
2007-06-05,61
2007-06-06,61
2007-06-07,61
2007-06-08,61
2007-06-09,61
2007-06-10,57
2007-06-11,53
2007-06-12,49
2007-06-13,45
2007-06-14,41
2007-06-15,37
2007-06-16,34
2007-06-17,38
2007-06-18,42
2007-06-19,46
2007-06-20,51
2007-06-21,55
2007-06-22,59
2007-06-23,64
2007-06-24,66
2007-07-01,77
2007-07-02,74
2007-07-03,72
2007-07-04,69
2007-07-05,67
2007-07-06,64
2007-07-07,62
2007-07-08,64
2007-07-09,66
2007-07-10,69
2007-07-11,71
2007-07-12,74
2007-07-13,76
2007-07-14,79
2007-07-15,79
2007-07-16,79
2007-07-17,79
2007-07-18,82
2007-07-19,80
2007-07-20,82
2007-07-21,81
2007-07-22,80
2007-07-23,80
2007-07-24,80
2007-07-25,83
2007-07-26,79
2007-07-27,79
2007-07-28,79
2007-07-29,77
2007-07-30,76
2007-07-31,74
2007-08-01,73
2007-08-02,71
2007-08-03,70
2007-08-04,69
2007-08-05,67
2007-08-06,66
2007-08-07,65
2007-08-08,62
2007-08-09,60
2007-08-10,58
2007-08-11,57
2007-08-12,57
2007-08-13,57
2007-08-14,58
2007-08-15,58
2007-08-16,59
2007-08-17,59
2007-08-18,60
2007-08-19,61
2007-08-20,62
2007-08-21,63
2007-08-22,64
2007-08-23,65
2007-08-24,66
2007-08-25,68
2007-08-26,68
2007-08-27,69
2007-08-28,70
2007-08-29,71
2007-08-30,72
2007-08-31,73
2007-09-01,74
2007-09-02,73
2007-09-03,72
2007-09-04,74
2007-09-05,70
2007-09-06,69
2007-09-07,72
2007-09-08,67
2007-09-09,69
2007-09-10,71
2007-09-11,73
2007-09-12,75
2007-09-13,77
2007-09-14,87
2007-09-15,82
2007-09-16,82
2007-09-17,83
2007-09-18,83
2007-09-19,84
2007-09-20,84
2007-09-21,90
2007-09-22,86
2007-09-23,82
2007-09-24,78
2007-09-25,75
2007-09-26,71
2007-09-27,68
2007-09-28,64
2007-09-29,61
2007-09-30,62
2007-10-01,64
2007-10-02,66
2007-10-03,68
2007-10-04,70
2007-10-05,72
2007-10-06,74
2007-10-07,75
2007-10-08,76
2007-10-09,77
2007-10-10,78
2007-10-11,84
2007-10-12,80
2007-10-13,81
2007-10-14,79
2007-10-15,77
2007-10-16,75
2007-10-17,73
2007-10-18,71
2007-10-19,69
2007-10-20,68
2007-10-21,65
2007-10-22,62
2007-10-23,59
2007-10-24,57
2007-10-25,54
2007-10-26,52
2007-10-27,49
2007-10-28,50
2007-10-29,52
2007-10-30,54
2007-10-31,55
2007-11-01,57
2007-11-02,59
2007-11-03,63
2007-11-04,64
2007-11-05,67
2007-11-06,72
2007-11-07,73
2007-11-08,76
2007-11-09,80
2007-11-10,83
2007-11-11,83
2007-11-12,83
2007-11-13,87
2007-11-14,83
2007-11-15,83
2007-11-16,86
2007-11-17,84
2007-11-18,86
2007-11-19,88
2007-11-20,90
2007-11-21,107
2007-11-22,95
2007-11-23,97
2007-11-24,100
2007-11-25,97
2007-11-26,94
2007-11-27,92
2007-11-28,91
2007-11-29,88
2007-11-30,89
2007-12-01,82
2007-12-02,78
2007-12-03,75
2007-12-04,72
2007-12-05,68
2007-12-06,65
2007-12-07,65
2007-12-08,59
2007-12-09,60
2007-12-10,61
2007-12-11,62
2007-12-12,64
2007-12-13,65
2007-12-14,66
2007-12-15,68
2007-12-16,65
2007-12-17,62
2007-12-18,59
2007-12-19,57
2007-12-20,54
2007-12-21,51
2007-12-22,49
2007-12-23,45
2007-12-24,42
2007-12-25,38
2007-12-26,35
2007-12-27,31
2007-12-28,28
2007-12-29,25
2007-12-30,26
2007-12-31,28
2008-01-01,30
2008-01-02,31
2008-01-03,33
2008-01-04,35
2008-01-05,37
2008-01-06,40
2008-01-07,43
2008-01-08,46
2008-01-09,49
2008-01-10,52
2008-01-11,57
2008-01-12,58
2008-01-13,60
2008-01-14,62
2008-01-15,64
2008-01-16,67
2008-01-17,68
2008-01-18,70
2008-01-19,72
2008-01-20,68
2008-01-21,65
2008-01-22,62
2008-01-23,60
2008-01-24,56
2008-01-25,53
2008-01-26,50
2008-01-27,52
2008-01-28,55
2008-01-29,58
2008-01-30,64
2008-01-31,63
2008-02-01,67
2008-02-02,69
2008-02-03,67
2008-02-04,65
2008-02-05,63
2008-02-06,62
2008-02-07,60
2008-02-08,58
2008-02-09,57
2008-02-10,60
2008-02-11,64
2008-02-12,69
2008-02-13,72
2008-02-14,76
2008-02-15,81
2008-02-16,84
2008-02-17,82
2008-02-18,80
2008-02-19,79
2008-02-20,77
2008-02-21,77
2008-02-22,74
2008-02-23,77
2008-02-24,69
2008-02-25,65
2008-02-26,61
2008-02-27,57
2008-02-28,53
2008-02-29,49
2008-03-01,46
2008-03-02,49
2008-03-03,52
2008-03-04,55
2008-03-05,59
2008-03-06,68
2008-03-07,67
2008-03-08,69
2008-03-09,69
2008-03-10,69
2008-03-11,70
2008-03-12,70
2008-03-13,71
2008-03-14,71
2008-03-15,72
2008-03-16,70
2008-03-17,69
2008-03-18,69
2008-03-19,66
2008-03-20,65
2008-03-21,64
2008-03-22,63
2008-03-23,65
2008-03-24,68
2008-03-25,72
2008-03-26,74
2008-03-27,78
2008-03-28,83
2008-03-29,83
2008-03-30,77
2008-03-31,72
2008-04-01,66
2008-04-02,61
2008-04-03,57
2008-04-04,50
2008-04-05,45
2008-04-06,48
2008-04-07,51
2008-04-08,55
2008-04-09,57
2008-04-10,60
2008-04-11,63
2008-04-12,69
2008-04-13,64
2008-04-14,61
2008-04-15,58
2008-04-16,56
2008-04-17,53
2008-04-18,50
2008-04-19,48
2008-04-20,49
2008-04-21,51
2008-04-22,55
2008-04-23,56
2008-04-24,56
2008-04-25,58
2008-04-26,60
2008-04-27,58
2008-04-28,57
2008-04-29,56
2008-04-30,55
2008-05-01,54
2008-05-02,53
2008-05-03,52
2008-05-04,53
2008-05-05,55
2008-05-06,56
2008-05-07,58
2008-05-08,62
2008-05-09,61
2008-05-10,63
2008-05-11,63
2008-05-12,64
2008-05-13,65
2008-05-14,70
2008-05-15,66
2008-05-16,67
2008-05-17,69
2008-05-18,66
2008-05-19,64
2008-05-20,63
2008-05-21,61
2008-05-22,60
2008-05-23,58
2008-05-24,57
2008-05-25,57
2008-05-26,57
2008-05-27,57
2008-05-28,57
2008-05-29,57
2008-05-30,57
2008-05-31,57
2008-06-01,57
2008-06-02,57
2008-06-03,57
