Date,Mead Johnson Nutrition
2008-06-07,35
2008-06-08,36
2008-06-09,36
2008-06-10,37
2008-06-11,38
2008-06-12,39
2008-06-13,40
2008-06-14,41
2008-06-15,40
2008-06-16,39
2008-06-17,38
2008-06-18,37
2008-06-19,36
2008-06-20,35
2008-06-21,35
2008-06-22,35
2008-06-23,36
2008-06-24,37
2008-06-25,37
2008-06-26,38
2008-06-27,38
2008-06-28,39
2008-06-29,38
2008-06-30,37
2008-07-01,36
2008-07-02,36
2008-07-03,35
2008-07-04,34
2008-07-05,34
2008-07-06,33
2008-07-07,32
2008-07-08,31
2008-07-09,30
2008-07-10,29
2008-07-11,28
2008-07-12,27
2008-07-13,29
2008-07-14,32
2008-07-15,34
2008-07-16,36
2008-07-17,39
2008-07-18,41
2008-07-19,44
2008-07-20,43
2008-07-21,42
2008-07-22,42
2008-07-23,41
2008-07-24,41
2008-07-25,40
2008-07-26,40
2008-07-27,39
2008-07-28,38
2008-07-29,38
2008-07-30,37
2008-07-31,37
2008-08-01,36
2008-08-02,36
2008-08-03,35
2008-08-04,35
2008-08-05,35
2008-08-06,35
2008-08-07,34
2008-08-08,34
2008-08-09,34
2008-08-10,33
2008-08-11,32
2008-08-12,31
2008-08-13,30
2008-08-14,29
2008-08-15,28
2008-08-16,28
2008-08-17,30
2008-08-18,32
2008-08-19,35
2008-08-20,37
2008-08-21,39
2008-08-22,41
2008-08-23,44
2008-08-24,42
2008-08-25,40
2008-08-26,39
2008-08-27,37
2008-08-28,36
2008-08-29,34
2008-08-30,33
2008-08-31,34
2008-09-01,35
2008-09-02,37
2008-09-03,38
2008-09-04,40
2008-09-05,41
2008-09-06,44
2008-09-07,44
2008-09-08,45
2008-09-09,46
2008-09-10,47
2008-09-11,50
2008-09-12,50
2008-09-13,51
2008-09-14,51
2008-09-15,51
2008-09-16,51
2008-09-17,51
2008-09-18,53
2008-09-19,53
2008-09-20,52
2008-09-21,54
2008-09-22,56
2008-09-23,58
2008-09-24,63
2008-09-25,63
2008-09-26,70
2008-09-27,68
2008-09-28,65
2008-09-29,62
2008-09-30,59
2008-10-01,57
2008-10-02,53
2008-10-03,55
2008-10-04,48
2008-10-05,48
2008-10-06,48
2008-10-07,52
2008-10-08,49
2008-10-09,50
2008-10-10,53
2008-10-11,52
2008-10-12,50
2008-10-13,49
2008-10-14,49
2008-10-15,48
2008-10-16,48
2008-10-17,48
2008-10-18,47
2008-10-19,45
2008-10-20,44
2008-10-21,45
2008-10-22,41
2008-10-23,40
2008-10-24,42
2008-10-25,38
2008-10-26,37
2008-10-27,37
2008-10-28,36
2008-10-29,36
2008-10-30,35
2008-10-31,35
2008-11-01,35
2008-11-02,34
2008-11-03,33
2008-11-04,36
2008-11-05,32
2008-11-06,32
2008-11-07,31
2008-11-08,31
2008-11-09,32
2008-11-10,34
2008-11-11,37
2008-11-12,38
2008-11-13,39
2008-11-14,41
2008-11-15,43
2008-11-16,41
2008-11-17,39
2008-11-18,38
2008-11-19,36
2008-11-20,35
2008-11-21,33
2008-11-22,32
2008-11-23,35
2008-11-24,40
2008-11-25,41
2008-11-26,45
2008-11-27,55
2008-11-28,51
2008-11-29,55
2008-11-30,54
2008-12-01,54
2008-12-02,53
2008-12-03,53
2008-12-04,52
2008-12-05,57
2008-12-06,52
2008-12-07,48
2008-12-08,45
2008-12-09,42
2008-12-10,38
2008-12-11,35
2008-12-12,32
2008-12-13,29
2008-12-14,30
2008-12-15,31
2008-12-16,34
2008-12-17,34
2008-12-18,36
2008-12-19,37
2008-12-20,39
2008-12-21,37
2008-12-22,35
2008-12-23,33
2008-12-24,31
2008-12-25,29
2008-12-26,27
2008-12-27,25
2008-12-28,26
2008-12-29,28
2008-12-30,30
2008-12-31,31
2009-01-01,33
2009-01-02,35
2009-01-03,37
2009-01-04,38
2009-01-05,39
2009-01-06,40
2009-01-07,43
2009-01-08,44
2009-01-09,43
2009-01-10,44
2009-01-11,44
2009-01-12,44
2009-01-13,45
2009-01-14,48
2009-01-15,46
2009-01-16,46
2009-01-17,47
2009-01-18,44
2009-01-19,41
2009-01-20,41
2009-01-21,36
2009-01-22,34
2009-01-23,32
2009-01-24,29
2009-01-25,30
2009-01-26,32
2009-01-27,34
2009-01-28,35
2009-01-29,40
2009-01-30,39
2009-01-31,41
2009-02-01,43
2009-02-02,45
2009-02-03,48
2009-02-04,51
2009-02-05,53
2009-02-06,59
2009-02-07,58
2009-02-08,64
2009-02-09,70
2009-02-10,76
2009-02-11,82
2009-02-12,95
2009-02-13,106
2009-02-14,103
2009-02-15,94
2009-02-16,88
2009-02-17,82
2009-02-18,76
2009-02-19,74
2009-02-20,64
2009-02-21,58
2009-02-22,57
2009-02-23,56
2009-02-24,62
2009-02-25,55
2009-02-26,60
2009-02-27,53
2009-02-28,53
2009-03-01,52
2009-03-02,52
2009-03-03,53
2009-03-04,51
2009-03-05,50
2009-03-06,51
2009-03-07,50
2009-03-08,50
2009-03-09,50
2009-03-10,54
2009-03-11,51
2009-03-12,51
2009-03-13,54
2009-03-14,52
2009-03-15,51
2009-03-16,51
2009-03-17,55
2009-03-18,51
2009-03-19,52
2009-03-20,51
2009-03-21,52
2009-03-22,50
2009-03-23,49
2009-03-24,48
2009-03-25,47
2009-03-26,53
2009-03-27,46
2009-03-28,45
2009-03-29,46
2009-03-30,48
2009-03-31,51
2009-04-01,54
2009-04-02,53
2009-04-03,55
2009-04-04,61
2009-04-05,54
2009-04-06,52
2009-04-07,49
2009-04-08,51
2009-04-09,45
2009-04-10,42
2009-04-11,40
2009-04-12,40
2009-04-13,41
2009-04-14,42
2009-04-15,45
2009-04-16,44
2009-04-17,47
2009-04-18,46
2009-04-19,45
2009-04-20,45
2009-04-21,45
2009-04-22,45
2009-04-23,44
2009-04-24,46
2009-04-25,44
2009-04-26,43
2009-04-27,43
2009-04-28,43
2009-04-29,43
2009-04-30,44
2009-05-01,42
2009-05-02,42
2009-05-03,42
2009-05-04,42
2009-05-05,45
2009-05-06,43
2009-05-07,44
2009-05-08,45
2009-05-09,45
2009-05-10,46
2009-05-11,47
2009-05-12,49
2009-05-13,53
2009-05-14,52
2009-05-15,55
2009-05-16,55
2009-05-17,54
2009-05-18,53
2009-05-19,57
2009-05-20,51
2009-05-21,50
2009-05-22,50
2009-05-23,50
2009-05-24,46
2009-05-25,45
2009-05-26,44
2009-05-27,44
2009-05-28,43
2009-05-29,40
2009-05-30,39
2009-05-31,39
2009-06-01,40
2009-06-02,42
2009-06-03,45
2009-06-04,42
2009-06-05,43
2009-06-06,44
2009-06-07,45
2009-06-08,48
2009-06-09,47
2009-06-10,50
2009-06-11,49
2009-06-12,54
2009-06-13,52
2009-06-14,50
2009-06-15,49
2009-06-16,49
2009-06-17,46
2009-06-18,45
2009-06-19,44
2009-06-20,43
2009-06-21,43
2009-06-22,44
2009-06-23,44
2009-06-24,48
2009-06-25,45
2009-06-26,49
2009-06-27,47
2009-06-28,46
2009-06-29,45
2009-06-30,47
2009-07-01,45
2009-07-02,44
2009-07-03,43
2009-07-04,43
2009-07-05,42
2009-07-06,42
2009-07-07,43
2009-07-08,42
2009-07-09,42
2009-07-10,44
2009-07-11,42
2009-07-12,43
2009-07-13,44
2009-07-14,45
2009-07-15,48
2009-07-16,47
2009-07-17,48
2009-07-18,50
2009-07-19,49
2009-07-20,48
2009-07-21,48
2009-07-22,51
2009-07-23,46
2009-07-24,45
2009-07-25,45
2009-07-26,46
2009-07-27,48
2009-07-28,51
2009-07-29,51
2009-07-30,52
2009-07-31,54
2009-08-01,56
2009-08-02,54
2009-08-03,52
2009-08-04,54
2009-08-05,49
2009-08-06,47
2009-08-07,47
2009-08-08,46
2009-08-09,44
2009-08-10,44
2009-08-11,44
2009-08-12,48
2009-08-13,45
2009-08-14,45
2009-08-15,51
2009-08-16,46
2009-08-17,46
2009-08-18,46
2009-08-19,47
2009-08-20,47
2009-08-21,48
2009-08-22,50
2009-08-23,46
2009-08-24,45
2009-08-25,44
2009-08-26,43
2009-08-27,42
2009-08-28,43
2009-08-29,41
2009-08-30,41
2009-08-31,42
2009-09-01,43
2009-09-02,45
2009-09-03,45
2009-09-04,47
2009-09-05,47
2009-09-06,46
2009-09-07,46
2009-09-08,46
2009-09-09,49
2009-09-10,46
2009-09-11,46
2009-09-12,49
2009-09-13,45
2009-09-14,44
2009-09-15,43
2009-09-16,44
2009-09-17,42
2009-09-18,43
2009-09-19,41
2009-09-20,41
2009-09-21,43
2009-09-22,42
2009-09-23,42
2009-09-24,43
2009-09-25,43
2009-09-26,44
2009-09-27,45
2009-09-28,46
2009-09-29,47
2009-09-30,54
2009-10-01,49
2009-10-02,50
2009-10-03,51
2009-10-04,50
2009-10-05,49
2009-10-06,48
2009-10-07,47
2009-10-08,46
2009-10-09,45
2009-10-10,47
2009-10-11,43
2009-10-12,43
2009-10-13,42
2009-10-14,42
2009-10-15,44
2009-10-16,41
2009-10-17,41
2009-10-18,40
2009-10-19,40
2009-10-20,40
2009-10-21,42
2009-10-22,40
2009-10-23,42
2009-10-24,40
2009-10-25,39
2009-10-26,39
2009-10-27,40
2009-10-28,38
2009-10-29,41
2009-10-30,37
2009-10-31,37
2009-11-01,38
2009-11-02,39
2009-11-03,42
2009-11-04,42
2009-11-05,45
2009-11-06,44
2009-11-07,46
2009-11-08,45
2009-11-09,44
2009-11-10,46
2009-11-11,43
2009-11-12,43
2009-11-13,46
2009-11-14,42
2009-11-15,45
2009-11-16,49
2009-11-17,55
2009-11-18,56
2009-11-19,59
2009-11-20,63
2009-11-21,72
2009-11-22,64
2009-11-23,61
2009-11-24,58
2009-11-25,56
2009-11-26,58
2009-11-27,50
2009-11-28,49
2009-11-29,50
2009-11-30,53
2009-12-01,56
2009-12-02,62
2009-12-03,62
2009-12-04,64
2009-12-05,71
2009-12-06,68
2009-12-07,65
2009-12-08,64
2009-12-09,67
2009-12-10,62
2009-12-11,64
2009-12-12,62
2009-12-13,58
2009-12-14,57
2009-12-15,56
2009-12-16,59
2009-12-17,57
2009-12-18,53
2009-12-19,52
2009-12-20,48
2009-12-21,44
2009-12-22,43
2009-12-23,37
2009-12-24,35
2009-12-25,30
2009-12-26,27
2009-12-27,27
2009-12-28,27
2009-12-29,28
2009-12-30,28
2009-12-31,28
2010-01-01,28
2010-01-02,29
2010-01-03,31
2010-01-04,33
2010-01-05,35
2010-01-06,37
2010-01-07,39
2010-01-08,42
2010-01-09,43
2010-01-10,41
2010-01-11,39
2010-01-12,38
2010-01-13,36
2010-01-14,35
2010-01-15,35
2010-01-16,32
2010-01-17,33
2010-01-18,34
2010-01-19,36
2010-01-20,39
2010-01-21,39
2010-01-22,44
2010-01-23,43
2010-01-24,41
2010-01-25,40
2010-01-26,40
2010-01-27,40
2010-01-28,39
2010-01-29,38
2010-01-30,38
2010-01-31,38
2010-02-01,39
2010-02-02,40
2010-02-03,44
2010-02-04,43
2010-02-05,43
2010-02-06,44
2010-02-07,42
2010-02-08,41
2010-02-09,43
2010-02-10,38
2010-02-11,36
2010-02-12,37
2010-02-13,34
2010-02-14,34
2010-02-15,34
2010-02-16,34
2010-02-17,37
2010-02-18,35
2010-02-19,35
2010-02-20,39
2010-02-21,37
2010-02-22,39
2010-02-23,38
2010-02-24,39
2010-02-25,41
2010-02-26,42
2010-02-27,42
2010-02-28,42
2010-03-01,42
2010-03-02,43
2010-03-03,46
2010-03-04,47
2010-03-05,46
2010-03-06,45
2010-03-07,45
2010-03-08,45
2010-03-09,47
2010-03-10,45
2010-03-11,45
2010-03-12,46
2010-03-13,45
2010-03-14,45
2010-03-15,45
2010-03-16,46
2010-03-17,45
2010-03-18,45
2010-03-19,47
2010-03-20,45
2010-03-21,45
2010-03-22,45
2010-03-23,45
2010-03-24,50
2010-03-25,45
2010-03-26,46
2010-03-27,50
2010-03-28,45
2010-03-29,45
2010-03-30,46
2010-03-31,47
2010-04-01,50
2010-04-02,47
2010-04-03,49
2010-04-04,47
2010-04-05,46
2010-04-06,46
2010-04-07,44
2010-04-08,48
2010-04-09,42
2010-04-10,42
2010-04-11,41
2010-04-12,41
2010-04-13,44
2010-04-14,43
2010-04-15,41
2010-04-16,42
2010-04-17,41
2010-04-18,40
2010-04-19,40
2010-04-20,42
2010-04-21,42
2010-04-22,39
2010-04-23,39
2010-04-24,39
2010-04-25,41
2010-04-26,43
2010-04-27,45
2010-04-28,49
2010-04-29,52
2010-04-30,51
2010-05-01,56
2010-05-02,52
2010-05-03,50
2010-05-04,49
2010-05-05,49
2010-05-06,48
2010-05-07,44
2010-05-08,43
2010-05-09,44
2010-05-10,45
2010-05-11,46
2010-05-12,48
2010-05-13,49
2010-05-14,50
2010-05-15,56
2010-05-16,50
2010-05-17,49
2010-05-18,47
2010-05-19,46
2010-05-20,47
2010-05-21,43
2010-05-22,45
2010-05-23,41
2010-05-24,40
2010-05-25,39
2010-05-26,39
2010-05-27,39
2010-05-28,38
2010-05-29,36
2010-05-30,37
2010-05-31,38
