Date,Pacific Biosciences
2010-02-13,23
2010-02-14,24
2010-02-15,25
2010-02-16,26
2010-02-17,28
2010-02-18,29
2010-02-19,30
2010-02-20,32
2010-02-21,32
2010-02-22,32
2010-02-23,33
2010-02-24,33
2010-02-25,34
2010-02-26,34
2010-02-27,35
2010-02-28,35
2010-03-01,35
2010-03-02,35
2010-03-03,36
2010-03-04,36
2010-03-05,36
2010-03-06,37
2010-03-07,40
2010-03-08,44
2010-03-09,47
2010-03-10,50
2010-03-11,54
2010-03-12,57
2010-03-13,61
2010-03-14,56
2010-03-15,49
2010-03-16,44
2010-03-17,39
2010-03-18,34
2010-03-19,29
2010-03-20,25
2010-03-21,23
2010-03-22,22
2010-03-23,21
2010-03-24,20
2010-03-25,19
2010-03-26,18
2010-03-27,17
2010-03-28,17
2010-05-02,26
2010-05-03,25
2010-05-04,24
2010-05-05,23
2010-05-06,22
2010-05-07,21
2010-05-08,20
2010-05-09,21
2010-05-10,23
2010-05-11,25
2010-05-12,26
2010-05-13,28
2010-05-14,30
2010-05-15,32
2010-05-16,30
2010-05-17,29
2010-05-18,27
2010-05-19,26
2010-05-20,25
2010-05-21,23
2010-05-22,22
2010-05-23,21
2010-05-24,20
2010-05-25,19
2010-05-26,18
2010-05-27,17
2010-05-28,16
2010-05-29,15
2010-05-30,16
2010-05-31,17
2010-06-01,18
2010-06-02,20
2010-06-03,21
2010-06-04,22
2010-06-05,24
2010-06-06,23
2010-06-07,22
2010-06-08,21
2010-06-09,20
2010-06-10,19
2010-06-11,18
2010-06-12,17
2010-06-13,18
2010-06-14,19
2010-06-15,20
2010-06-16,22
2010-06-17,23
2010-06-18,24
2010-06-19,26
2010-06-20,26
2010-06-21,26
2010-06-22,26
2010-06-23,27
2010-06-24,27
2010-06-25,27
2010-06-26,28
2010-06-27,27
2010-06-28,27
2010-06-29,27
2010-06-30,27
2010-07-01,27
2010-07-02,27
2010-07-03,27
2010-07-04,25
2010-07-05,23
2010-07-06,21
2010-07-07,20
2010-07-08,18
2010-07-09,16
2010-07-10,15
2010-07-11,17
2010-07-12,20
2010-07-13,22
2010-07-14,24
2010-07-15,27
2010-07-16,29
2010-07-17,32
2010-07-18,32
2010-07-19,31
2010-07-20,31
2010-07-21,31
2010-07-22,30
2010-07-23,30
2010-07-24,30
2010-07-25,29
2010-08-01,25
2010-08-02,25
2010-08-03,26
2010-08-04,26
2010-08-05,27
2010-08-06,27
2010-08-07,28
2010-08-08,27
2010-08-09,26
2010-08-10,25
2010-08-11,24
2010-08-12,23
2010-08-13,22
2010-08-14,22
2010-08-15,23
2010-08-16,25
2010-08-17,27
2010-08-18,29
2010-08-19,31
2010-08-20,33
2010-08-21,35
2010-08-22,34
2010-08-23,33
2010-08-24,33
2010-08-25,32
2010-08-26,32
2010-08-27,31
2010-08-28,31
2010-08-29,31
2010-08-30,31
2010-08-31,31
2010-09-01,31
2010-09-02,31
2010-09-03,31
2010-09-04,31
2010-09-05,30
2010-09-06,30
2010-09-07,30
2010-09-08,29
2010-09-09,29
2010-09-10,29
2010-09-11,29
2010-09-12,27
2010-09-13,25
2010-09-14,23
2010-09-15,22
2010-09-16,20
2010-09-17,18
2010-09-18,17
2010-09-19,18
2010-09-20,19
2010-09-21,20
2010-09-22,21
2010-09-23,22
2010-09-24,23
2010-09-25,25
2010-09-26,25
2010-09-27,25
2010-09-28,25
2010-09-29,25
2010-09-30,25
2010-10-01,25
2010-10-02,26
2010-10-03,27
2010-10-04,28
2010-10-05,29
2010-10-06,30
2010-10-07,31
2010-10-08,32
2010-10-09,33
2010-10-10,34
2010-10-11,35
2010-10-12,36
2010-10-13,37
2010-10-14,38
2010-10-15,39
2010-10-16,40
2010-10-17,38
2010-10-18,36
2010-10-19,35
2010-10-20,33
2010-10-21,32
2010-10-22,30
2010-10-23,29
2010-10-24,39
2010-10-25,49
2010-10-26,60
2010-10-27,70
2010-10-28,81
2010-10-29,91
2010-10-30,102
2010-10-31,95
2010-11-07,49
2010-11-08,45
2010-11-09,41
2010-11-10,36
2010-11-11,32
2010-11-12,28
2010-11-13,24
2010-11-14,24
2010-11-15,26
2010-11-16,26
2010-11-17,27
2010-11-18,28
2010-11-19,29
2010-11-20,30
2010-11-21,29
2010-11-22,27
2010-11-23,25
2010-11-24,24
2010-11-25,22
2010-11-26,21
2010-11-27,20
2010-11-28,21
2010-11-29,23
2010-11-30,25
2010-12-01,26
2010-12-02,28
2010-12-03,30
2010-12-04,32
2010-12-05,32
2010-12-06,32
2010-12-07,32
2010-12-08,32
2010-12-09,32
2010-12-10,33
