Date,Expedite 4
2011-02-01,100
2011-02-02,99
2011-02-03,98
2011-02-04,98
2011-02-05,97
2011-02-06,96
2011-02-07,96
2011-02-08,95
2011-02-09,95
2011-02-10,94
2011-02-11,93
2011-02-12,93
2011-02-13,92
2011-02-14,92
2011-02-15,91
2011-02-16,90
2011-02-17,90
2011-02-18,89
2011-02-19,89
2011-02-20,88
2011-02-21,87
2011-02-22,87
2011-02-23,86
2011-02-24,86
2011-02-25,85
2011-02-26,84
2011-02-27,84
2011-02-28,83
2011-03-01,83
2011-03-02,83
2011-03-03,83
2011-03-04,83
2011-03-05,83
2011-03-06,84
2011-03-07,84
2011-03-08,84
2011-03-09,84
2011-03-10,85
2011-03-11,85
2011-03-12,85
2011-03-13,85
2011-03-14,85
2011-03-15,86
2011-03-16,86
2011-03-17,86
2011-03-18,86
2011-03-19,87
2011-03-20,87
2011-03-21,87
2011-03-22,87
2011-03-23,87
2011-03-24,88
2011-03-25,88
2011-03-26,88
2011-03-27,88
2011-03-28,89
2011-03-29,89
2011-03-30,89
2011-03-31,89
2011-04-01,90
2011-04-02,90
2011-04-03,90
2011-04-04,90
2011-04-05,90
2011-04-06,91
2011-04-07,91
2011-04-08,91
2011-04-09,91
2011-04-10,92
2011-04-11,92
2011-04-12,92
2011-04-13,92
2011-04-14,93
2011-04-15,93
2011-04-16,93
2011-04-17,93
2011-04-18,93
2011-04-19,94
2011-04-20,94
2011-04-21,94
2011-04-22,94
2011-04-23,95
2011-04-24,95
2011-04-25,95
2011-04-26,95
2011-04-27,96
2011-04-28,96
2011-04-29,96
2011-04-30,96
2011-05-01,97
2011-05-02,96
2011-05-03,95
2011-05-04,94
2011-05-05,93
2011-05-06,92
2011-05-07,91
2011-05-08,90
2011-05-09,89
2011-05-10,88
2011-05-11,87
2011-05-12,86
2011-05-13,85
2011-05-14,84
2011-05-15,83
2011-05-16,82
2011-05-17,82
2011-05-18,81
2011-05-19,80
2011-05-20,79
2011-05-21,78
2011-05-22,77
2011-05-23,76
2011-05-24,75
2011-05-25,74
2011-05-26,73
2011-05-27,72
2011-05-28,71
2011-05-29,70
2011-05-30,69
2011-05-31,68
2011-06-01,68
2011-06-02,68
2011-06-03,68
2011-06-04,68
2011-06-05,68
2011-06-06,68
2011-06-07,68
2011-06-08,68
2011-06-09,68
2011-06-10,68
2011-06-11,68
2011-06-12,68
2011-06-13,68
2011-06-14,68
2011-06-15,68
2011-06-16,68
2011-06-17,68
2011-06-18,68
2011-06-19,68
2011-06-20,68
2011-06-21,68
2011-06-22,68
2011-06-23,68
2011-06-24,68
2011-06-25,68
2011-06-26,68
2011-06-27,68
2011-06-28,68
2011-06-29,68
2011-06-30,68
2011-07-01,68
2011-07-02,68
2011-07-03,68
2011-07-04,68
2011-07-05,68
2011-07-06,68
2011-07-07,68
2011-07-08,68
2011-07-09,68
2011-07-10,68
2011-07-11,68
2011-07-12,68
2011-07-13,68
2011-07-14,68
2011-07-15,68
2011-07-16,68
2011-07-17,68
2011-07-18,68
2011-07-19,68
2011-07-20,68
2011-07-21,68
2011-07-22,68
2011-07-23,68
2011-07-24,68
2011-07-25,68
2011-07-26,68
2011-07-27,68
2011-07-28,68
2011-07-29,68
2011-07-30,68
2011-07-31,68
2011-08-01,68
2011-08-02,68
2011-08-03,68
2011-08-04,68
2011-08-05,68
2011-08-06,68
2011-08-07,68
2011-08-08,68
2011-08-09,68
2011-08-10,68
2011-08-11,68
2011-08-12,68
2011-08-13,68
2011-08-14,68
2011-08-15,68
2011-08-16,68
2011-08-17,68
2011-08-18,68
2011-08-19,68
2011-08-20,68
2011-08-21,68
2011-08-22,68
2011-08-23,68
2011-08-24,68
2011-08-25,68
2011-08-26,68
2011-08-27,68
2011-08-28,68
2011-08-29,68
2011-08-30,68
2011-08-31,68
2011-09-01,68
2011-09-02,68
2011-09-03,68
2011-09-04,68
2011-09-05,68
2011-09-06,68
2011-09-07,68
2011-09-08,68
2011-09-09,68
2011-09-10,68
2011-09-11,68
2011-09-12,68
2011-09-13,68
2011-09-14,68
2011-09-15,68
2011-09-16,68
2011-09-17,68
2011-09-18,68
2011-09-19,68
2011-09-20,68
2011-09-21,68
2011-09-22,68
2011-09-23,68
2011-09-24,68
2011-09-25,68
2011-09-26,68
2011-09-27,68
2011-09-28,68
2011-09-29,68
2011-09-30,68
2011-10-01,68
2011-10-02,67
2011-10-03,67
2011-10-04,67
2011-10-05,67
2011-10-06,67
2011-10-07,67
2011-10-08,67
2011-10-09,67
2011-10-10,67
2011-10-11,67
2011-10-12,67
2011-10-13,67
2011-10-14,67
2011-10-15,67
2011-10-16,67
2011-10-17,67
2011-10-18,67
2011-10-19,67
2011-10-20,67
2011-10-21,67
2011-10-22,67
2011-10-23,67
2011-10-24,67
2011-10-25,67
2011-10-26,67
2011-10-27,67
2011-10-28,67
2011-10-29,67
2011-10-30,67
2011-10-31,67
2011-11-01,67
2011-11-02,67
2011-11-03,67
2011-11-04,67
2011-11-05,67
2011-11-06,67
2011-11-07,67
2011-11-08,67
2011-11-09,67
2011-11-10,67
2011-11-11,67
2011-11-12,67
2011-11-13,67
2011-11-14,67
2011-11-15,67
2011-11-16,67
2011-11-17,67
2011-11-18,67
2011-11-19,67
2011-11-20,67
2011-11-21,67
2011-11-22,67
2011-11-23,67
2011-11-24,67
2011-11-25,67
2011-11-26,67
2011-11-27,67
2011-11-28,67
2011-11-29,67
2011-11-30,67
2011-12-01,67
2011-12-02,67
2011-12-03,67
2011-12-04,67
2011-12-05,67
2011-12-06,67
2011-12-07,67
2011-12-08,67
2011-12-09,67
2011-12-10,67
2011-12-11,67
2011-12-12,67
2011-12-13,67
2011-12-14,67
2011-12-15,67
2011-12-16,67
2011-12-17,67
2011-12-18,67
2011-12-19,67
2011-12-20,67
2011-12-21,67
2011-12-22,67
2011-12-23,67
