Date,Nielsen Holdings
2010-11-20,59
2010-11-21,54
2010-11-22,54
2010-11-23,54
2010-11-24,55
2010-11-25,55
2010-11-26,53
2010-11-27,56
2010-11-28,59
2010-11-29,66
2010-11-30,82
2010-12-01,79
2010-12-02,88
2010-12-03,93
2010-12-04,107
2010-12-05,93
2010-12-06,87
2010-12-07,82
2010-12-08,74
2010-12-09,70
2010-12-10,63
2010-12-11,57
2010-12-12,56
2010-12-13,54
2010-12-14,53
2010-12-15,53
2010-12-16,51
2010-12-17,52
2010-12-18,50
2010-12-19,47
2010-12-20,46
2010-12-21,44
2010-12-22,43
2010-12-23,43
2010-12-24,44
2010-12-25,39
2010-12-26,39
2010-12-27,39
2010-12-28,40
2010-12-29,41
2010-12-30,41
2010-12-31,45
2011-01-01,42
2011-01-02,43
2011-01-03,45
2011-01-04,47
2011-01-05,50
2011-01-06,51
2011-01-07,52
2011-01-08,59
2011-01-09,54
2011-01-10,55
2011-01-11,56
2011-01-12,56
2011-01-13,60
2011-01-14,57
2011-01-15,60
2011-01-16,58
2011-01-17,58
2011-01-18,58
2011-01-19,60
2011-01-20,59
2011-01-21,60
2011-01-22,62
2011-01-23,61
2011-01-24,60
2011-01-25,61
2011-01-26,61
2011-01-27,64
2011-01-28,63
2011-01-29,69
2011-01-30,63
2011-01-31,61
2011-02-01,60
2011-02-02,59
2011-02-03,58
2011-02-04,57
2011-02-05,56
2011-02-06,58
2011-02-07,56
2011-02-08,57
2011-02-09,56
2011-02-10,56
2011-02-11,57
2011-02-12,57
2011-02-13,56
2011-02-14,55
2011-02-15,54
2011-02-16,54
2011-02-17,55
2011-02-18,53
2011-02-19,55
2011-02-20,53
2011-02-21,51
2011-02-22,51
2011-02-23,50
2011-02-24,50
2011-02-25,51
2011-02-26,51
2011-02-27,49
2011-02-28,50
2011-03-01,50
2011-03-02,52
2011-03-03,51
2011-03-04,52
2011-03-05,56
2011-03-06,54
2011-03-07,52
2011-03-08,52
2011-03-09,51
2011-03-10,52
2011-03-11,52
2011-03-12,52
2011-03-13,50
2011-03-14,49
2011-03-15,49
2011-03-16,49
2011-03-17,49
2011-03-18,50
2011-03-19,50
2011-03-20,49
2011-03-21,49
2011-03-22,49
2011-03-23,49
2011-03-24,49
2011-03-25,50
2011-03-26,51
2011-03-27,49
2011-03-28,49
2011-03-29,49
2011-03-30,50
2011-03-31,50
2011-04-01,53
2011-04-02,53
2011-04-03,51
2011-04-04,51
2011-04-05,51
2011-04-06,52
2011-04-07,51
2011-04-08,53
2011-04-09,55
2011-04-10,50
2011-04-11,50
2011-04-12,50
2011-04-13,50
2011-04-14,50
2011-04-15,52
2011-04-16,50
2011-04-17,50
2011-04-18,48
2011-04-19,49
2011-04-20,48
2011-04-21,46
2011-04-22,48
2011-04-23,45
2011-04-24,46
2011-04-25,46
2011-04-26,46
2011-04-27,47
2011-04-28,48
2011-04-29,50
2011-04-30,52
2011-05-01,50
2011-05-02,51
2011-05-03,53
2011-05-04,54
2011-05-05,57
2011-05-06,60
2011-05-07,59
2011-05-08,64
2011-05-09,57
2011-05-10,57
2011-05-11,55
2011-05-12,54
2011-05-13,57
2011-05-14,53
2011-05-15,53
2011-05-16,50
2011-05-17,50
2011-05-18,49
2011-05-19,50
2011-05-20,49
2011-05-21,50
2011-05-22,48
2011-05-23,48
2011-05-24,48
2011-05-25,50
2011-05-26,48
2011-05-27,50
2011-05-28,53
2011-05-29,48
2011-05-30,48
2011-05-31,48
2011-06-01,47
2011-06-02,47
2011-06-03,49
2011-06-04,51
2011-06-05,46
2011-06-06,45
2011-06-07,45
2011-06-08,44
2011-06-09,46
2011-06-10,43
2011-06-11,46
2011-06-12,42
2011-06-13,42
2011-06-14,44
2011-06-15,42
2011-06-16,42
2011-06-17,42
2011-06-18,46
2011-06-19,42
2011-06-20,42
2011-06-21,42
2011-06-22,44
2011-06-23,42
2011-06-24,42
2011-06-25,45
2011-06-26,42
2011-06-27,42
2011-06-28,42
2011-06-29,43
2011-06-30,44
2011-07-01,43
2011-07-02,47
2011-07-03,44
2011-07-04,43
2011-07-05,42
2011-07-06,42
2011-07-07,41
2011-07-08,42
2011-07-09,42
2011-07-10,43
2011-07-11,41
2011-07-12,42
2011-07-13,42
2011-07-14,43
2011-07-15,45
2011-07-16,45
2011-07-17,44
2011-07-18,44
2011-07-19,44
2011-07-20,45
2011-07-21,45
2011-07-22,47
2011-07-23,49
2011-07-24,45
2011-07-25,45
2011-07-26,44
2011-07-27,44
2011-07-28,45
2011-07-29,44
2011-07-30,45
2011-07-31,43
2011-08-01,42
2011-08-02,41
2011-08-03,41
2011-08-04,40
2011-08-05,40
2011-08-06,44
2011-08-07,40
2011-08-08,40
2011-08-09,41
2011-08-10,41
2011-08-11,41
2011-08-12,42
2011-08-13,43
2011-08-14,42
2011-08-15,42
2011-08-16,42
2011-08-17,43
2011-08-18,42
2011-08-19,44
2011-08-20,45
2011-08-21,42
2011-08-22,42
2011-08-23,41
2011-08-24,43
2011-08-25,40
2011-08-26,42
2011-08-27,41
2011-08-28,39
2011-08-29,39
2011-08-30,40
2011-08-31,39
2011-09-01,39
2011-09-02,41
2011-09-03,41
2011-09-04,39
2011-09-05,39
2011-09-06,40
2011-09-07,40
2011-09-08,41
2011-09-09,43
2011-09-10,42
2011-09-11,43
2011-09-12,43
2011-09-13,44
2011-09-14,46
2011-09-15,46
2011-09-16,49
2011-09-17,50
2011-09-18,49
2011-09-19,50
2011-09-20,51
2011-09-21,52
2011-09-22,53
2011-09-23,57
2011-09-24,57
2011-09-25,56
2011-09-26,55
2011-09-27,55
2011-09-28,55
2011-09-29,56
2011-09-30,55
2011-10-01,58
2011-10-02,56
2011-10-03,55
2011-10-04,56
2011-10-05,56
2011-10-06,57
2011-10-07,60
2011-10-08,61
2011-10-09,57
2011-10-10,55
2011-10-11,53
2011-10-12,52
2011-10-13,50
2011-10-14,51
2011-10-15,52
2011-10-16,49
2011-10-17,50
2011-10-18,51
2011-10-19,52
2011-10-20,53
2011-10-21,55
2011-10-22,58
2011-10-23,55
2011-10-24,53
2011-10-25,52
2011-10-26,51
2011-10-27,52
2011-10-28,49
2011-10-29,50
2011-10-30,48
2011-10-31,48
2011-11-01,48
2011-11-02,49
2011-11-03,50
