Date,ARAMARK
2013-03-01,87
2013-03-02,94
2013-03-03,91
2013-03-04,87
2013-03-05,87
2013-03-06,88
2013-03-07,90
2013-03-08,89
2013-03-09,101
2013-03-10,88
2013-03-11,88
2013-03-12,88
2013-03-13,87
2013-03-14,87
2013-03-15,92
2013-03-16,96
2013-03-17,92
2013-03-18,87
2013-03-19,87
2013-03-20,87
2013-03-21,90
2013-03-22,88
2013-03-23,97
2013-03-24,86
2013-03-25,85
2013-03-26,84
2013-03-27,83
2013-03-28,83
2013-03-29,86
2013-03-30,83
2013-03-31,88
2013-04-01,80
2013-04-02,80
2013-04-03,80
2013-04-04,82
2013-04-05,80
2013-04-06,91
2013-04-07,83
2013-04-08,82
2013-04-09,83
2013-04-10,83
2013-04-11,86
2013-04-12,85
2013-04-13,98
2013-04-14,89
2013-04-15,85
2013-04-16,84
2013-04-17,85
2013-04-18,83
2013-04-19,88
2013-04-20,89
2013-04-21,85
2013-04-22,83
2013-04-23,84
2013-04-24,83
2013-04-25,83
2013-04-26,85
2013-04-27,95
2013-04-28,83
2013-04-29,82
2013-04-30,83
2013-05-01,80
2013-05-02,79
2013-05-03,80
2013-05-04,89
2013-05-05,79
2013-05-06,80
2013-05-07,81
2013-05-08,82
2013-05-09,83
2013-05-10,86
2013-05-11,99
2013-05-12,86
2013-05-13,86
2013-05-14,86
2013-05-15,86
2013-05-16,86
2013-05-17,86
2013-05-18,98
2013-05-19,85
2013-05-20,85
2013-05-21,84
2013-05-22,87
2013-05-23,83
2013-05-24,83
2013-05-25,90
2013-05-26,86
2013-05-27,81
2013-05-28,80
2013-05-29,82
2013-05-30,79
2013-05-31,79
2013-06-01,78
2013-06-02,81
2013-06-03,78
2013-06-04,78
2013-06-05,78
2013-06-06,79
2013-06-07,79
2013-06-08,88
2013-06-09,78
2013-06-10,78
2013-06-11,78
2013-06-12,78
2013-06-13,77
2013-06-14,80
2013-06-15,88
2013-06-16,77
2013-06-17,78
2013-06-18,80
2013-06-19,80
2013-06-20,81
2013-06-21,84
2013-06-22,89
2013-06-23,85
2013-06-24,85
2013-06-25,86
2013-06-26,91
2013-06-27,88
2013-06-28,89
2013-06-29,100
