Date,Freedom Group Inc
2009-04-11,0
2009-04-12,0
2009-04-13,0
2009-04-14,0
2009-04-15,0
2009-04-16,0
2009-04-17,0
2009-04-18,0
2009-04-19,0
2009-04-20,0
2009-04-21,0
2009-04-22,0
2009-04-23,0
2009-04-24,0
2009-04-25,0
2009-04-26,0
2009-04-27,0
2009-04-28,0
2009-04-29,0
2009-04-30,0
2009-05-01,0
2009-05-02,0
2009-05-03,0
2009-05-04,0
2009-05-05,0
2009-05-06,0
2009-05-07,0
2009-05-08,0
2009-05-09,0
2009-05-10,0
2009-05-11,0
2009-05-12,0
2009-05-13,0
2009-05-14,0
2009-05-15,0
2009-05-16,0
2009-05-17,2
2009-05-18,5
2009-05-19,8
2009-05-20,10
2009-05-21,13
2009-05-22,16
2009-05-23,19
2009-05-24,19
2009-05-25,19
2009-05-26,19
2009-05-27,19
2009-05-28,19
2009-05-29,19
2009-05-30,19
2009-05-31,19
2009-06-01,19
2009-06-02,19
2009-06-03,19
2009-06-04,19
2009-06-05,19
2009-06-06,19
2009-06-07,19
2009-06-08,19
2009-06-09,19
2009-06-10,19
2009-06-11,19
2009-06-12,19
2009-06-13,19
2009-06-14,19
2009-06-15,19
2009-06-16,19
2009-06-17,19
2009-06-18,19
2009-06-19,19
2009-06-20,19
2009-06-21,19
2009-06-22,19
2009-06-23,19
2009-06-24,19
2009-06-25,19
2009-06-26,19
2009-06-27,19
2009-06-28,19
2009-07-05,22
2009-07-06,22
2009-07-07,21
2009-07-08,21
2009-07-09,20
2009-07-10,20
2009-07-11,20
2009-07-12,20
2009-07-13,20
2009-07-14,20
2009-07-15,20
2009-07-16,20
2009-07-17,20
2009-07-18,20
2009-07-19,20
2009-07-20,23
2009-07-21,20
2009-07-22,20
2009-07-23,20
2009-07-24,20
2009-07-25,20
2009-07-26,20
2009-07-27,20
2009-07-28,20
2009-07-29,20
2009-07-30,20
2009-07-31,20
2009-08-01,20
2009-08-02,19
2009-08-03,19
2009-08-04,19
2009-08-05,18
2009-08-06,18
2009-08-07,18
2009-08-08,18
2009-08-09,18
2009-08-10,18
2009-08-11,19
2009-08-12,19
2009-08-13,20
2009-08-14,20
2009-08-15,21
2009-08-16,21
2009-08-17,22
2009-08-18,22
2009-08-19,23
2009-08-20,23
2009-08-21,24
2009-08-22,25
2009-08-23,23
2009-08-24,23
2009-08-25,23
2009-08-26,23
2009-08-27,23
2009-08-28,23
2009-08-29,23
2009-08-30,23
2009-08-31,23
2009-09-01,23
2009-09-02,23
2009-09-03,23
2009-09-04,23
2009-09-05,23
2009-09-06,22
2009-09-07,22
2009-09-08,22
2009-09-09,22
2009-09-10,22
2009-09-11,22
2009-09-12,22
2009-09-13,21
2009-09-14,20
2009-09-15,19
2009-09-16,18
2009-09-17,17
2009-09-18,16
2009-09-19,16
2009-09-20,16
2009-09-21,17
2009-09-22,16
2009-09-23,16
2009-09-24,16
2009-09-25,16
2009-09-26,16
2009-09-27,16
2009-10-04,20
2009-10-05,30
2009-10-06,28
2009-10-07,32
2009-10-08,36
2009-10-09,40
2009-10-10,44
2009-10-11,48
2009-10-12,52
2009-10-13,56
2009-10-14,60
2009-10-15,64
2009-10-16,68
2009-10-17,72
2009-10-18,76
2009-10-19,81
2009-10-20,85
2009-10-21,89
2009-10-22,93
2009-10-23,98
2009-10-24,102
2009-10-25,93
2009-10-26,80
2009-10-27,71
