Date,Virgin Mobile USA
2006-11-01,48
2006-11-02,51
2006-11-03,48
2006-11-04,48
2006-11-05,48
2006-11-06,48
2006-11-07,49
2006-11-08,49
2006-11-09,51
2006-11-10,51
2006-11-11,51
2006-11-12,56
2006-11-13,50
2006-11-14,50
2006-11-15,50
2006-11-16,50
2006-11-17,50
2006-11-18,50
2006-11-19,51
2006-11-20,53
2006-11-21,54
2006-11-22,54
2006-11-23,57
2006-11-24,56
2006-11-25,58
2006-11-26,57
2006-11-27,62
2006-11-28,55
2006-11-29,59
2006-11-30,54
2006-12-01,53
2006-12-02,53
2006-12-03,54
2006-12-04,59
2006-12-05,57
2006-12-06,58
2006-12-07,59
2006-12-08,60
2006-12-09,62
2006-12-10,66
2006-12-11,61
2006-12-12,58
2006-12-13,57
2006-12-14,57
2006-12-15,55
2006-12-16,54
2006-12-17,55
2006-12-18,62
2006-12-19,59
2006-12-20,60
2006-12-21,62
2006-12-22,64
2006-12-23,66
2006-12-24,71
2006-12-25,75
2006-12-26,88
2006-12-27,86
2006-12-28,91
2006-12-29,100
2006-12-30,102
2006-12-31,95
2007-01-01,92
2007-01-02,87
2007-01-03,82
2007-01-04,79
2007-01-05,73
2007-01-06,69
2007-01-07,68
2007-01-08,68
2007-01-09,63
2007-01-10,64
2007-01-11,59
2007-01-12,60
2007-01-13,56
2007-01-14,55
2007-01-15,56
2007-01-16,53
2007-01-17,53
2007-01-18,52
2007-01-19,52
2007-01-20,51
2007-01-21,54
2007-01-22,50
2007-01-23,48
2007-01-24,48
2007-01-25,47
2007-01-26,46
2007-01-27,46
2007-01-28,48
2007-01-29,46
2007-01-30,48
2007-01-31,47
2007-02-01,47
2007-02-02,49
2007-02-03,48
2007-02-04,48
2007-02-05,50
2007-02-06,50
2007-02-07,51
2007-02-08,51
2007-02-09,52
2007-02-10,53
2007-02-11,55
2007-02-12,53
2007-02-13,53
2007-02-14,54
2007-02-15,53
2007-02-16,53
2007-02-17,53
2007-02-18,54
2007-02-19,55
2007-02-20,55
2007-02-21,54
2007-02-22,57
2007-02-23,55
2007-02-24,56
2007-02-25,55
2007-02-26,57
2007-02-27,53
2007-02-28,52
2007-03-01,51
2007-03-02,51
2007-03-03,50
2007-03-04,52
2007-03-05,53
2007-03-06,51
2007-03-07,55
2007-03-08,52
2007-03-09,53
2007-03-10,54
2007-03-11,54
2007-03-12,55
2007-03-13,52
2007-03-14,52
2007-03-15,54
2007-03-16,51
2007-03-17,51
2007-03-18,50
2007-03-19,53
2007-03-20,52
2007-03-21,50
2007-03-22,50
2007-03-23,51
2007-03-24,50
2007-03-25,51
2007-03-26,51
2007-03-27,49
2007-03-28,50
2007-03-29,50
2007-03-30,49
2007-03-31,49
2007-05-01,52
2007-05-02,52
2007-05-03,53
2007-05-04,52
2007-05-05,52
2007-05-06,54
2007-05-07,52
2007-05-08,54
2007-05-09,53
2007-05-10,53
2007-05-11,52
2007-05-12,53
2007-05-13,53
2007-05-14,54
2007-05-15,54
2007-05-16,55
2007-05-17,54
2007-05-18,54
2007-05-19,55
2007-05-20,55
2007-05-21,54
2007-05-22,54
2007-05-23,52
2007-05-24,51
2007-05-25,50
2007-05-26,50
2007-05-27,52
2007-05-28,51
2007-05-29,49
2007-05-30,48
2007-05-31,49
2007-06-01,48
2007-06-02,48
2007-06-03,50
2007-06-04,53
2007-06-05,52
2007-06-06,54
2007-06-07,56
2007-06-08,57
2007-06-09,60
2007-06-10,57
2007-06-11,56
2007-06-12,58
2007-06-13,54
2007-06-14,55
2007-06-15,52
2007-06-16,51
2007-06-17,52
2007-06-18,53
2007-06-19,55
2007-06-20,55
2007-06-21,57
2007-06-22,57
2007-06-23,58
2007-06-24,58
2007-06-25,58
2007-06-26,58
2007-06-27,58
2007-06-28,58
2007-06-29,58
2007-06-30,58
2007-07-01,57
2007-07-02,61
2007-07-03,56
2007-07-04,58
2007-07-05,55
2007-07-06,55
2007-07-07,55
2007-07-08,55
2007-07-09,58
2007-07-10,55
2007-07-11,56
2007-07-12,56
2007-07-13,56
2007-07-14,57
2007-07-15,57
2007-07-16,60
2007-07-17,57
2007-07-18,57
2007-07-19,57
2007-07-20,57
2007-07-21,59
2007-07-22,56
2007-07-23,58
2007-07-24,56
2007-07-25,55
2007-07-26,54
2007-07-27,54
2007-07-28,54
2007-07-29,54
2007-07-30,56
2007-07-31,56
2007-08-01,57
2007-08-02,58
2007-08-03,59
2007-08-04,60
2007-08-05,61
2007-08-06,59
2007-08-07,60
2007-08-08,58
2007-08-09,59
2007-08-10,59
2007-08-11,58
2007-08-12,59
2007-08-13,59
2007-08-14,59
2007-08-15,58
2007-08-16,59
2007-08-17,58
2007-08-18,58
2007-08-19,61
2007-08-20,58
2007-08-21,58
2007-08-22,59
2007-08-23,59
2007-08-24,61
2007-08-25,60
2007-08-26,60
2007-08-27,61
2007-08-28,56
2007-08-29,56
2007-08-30,57
2007-08-31,53
2007-09-01,52
2007-09-02,52
2007-09-03,55
2007-09-04,55
2007-09-05,54
2007-09-06,56
2007-09-07,55
2007-09-08,56
2007-09-09,57
2007-09-10,61
2007-09-11,58
2007-09-12,58
2007-09-13,62
2007-09-14,60
2007-09-15,61
2007-09-16,60
2007-09-17,63
2007-09-18,62
2007-09-19,59
2007-09-20,59
2007-09-21,58
2007-09-22,58
2007-09-23,60
2007-09-24,57
2007-09-25,57
2007-09-26,57
2007-09-27,56
2007-09-28,56
2007-09-29,56
2007-09-30,56
2007-10-01,62
2007-10-02,58
2007-10-03,60
2007-10-04,59
2007-10-05,60
2007-10-06,61
2007-10-07,65
2007-10-08,61
2007-10-09,62
2007-10-10,62
2007-10-11,63
2007-10-12,63
2007-10-13,64
2007-10-14,64
2007-10-15,61
2007-10-16,61
2007-10-17,57
2007-10-18,56
2007-10-19,56
2007-10-20,53
2007-10-21,55
2007-10-22,54
2007-10-23,53
2007-10-24,56
2007-10-25,54
2007-10-26,54
2007-10-27,55
2007-10-28,56
2007-10-29,57
2007-10-30,55
2007-10-31,56
2007-11-01,56
2007-11-02,56
2007-11-03,57
2007-11-04,57
2007-11-05,58
2007-11-06,60
2007-11-07,58
2007-11-08,59
2007-11-09,59
2007-11-10,60
2007-11-11,62
2007-11-12,59
2007-11-13,61
2007-11-14,59
2007-11-15,60
2007-11-16,59
2007-11-17,59
2007-11-18,62
2007-11-19,62
2007-11-20,60
2007-11-21,65
2007-11-22,62
2007-11-23,62
2007-11-24,63
2007-11-25,64
2007-11-26,62
2007-11-27,65
2007-11-28,62
2007-11-29,65
2007-11-30,62
2007-12-01,62
2007-12-02,64
2007-12-03,63
2007-12-04,65
2007-12-05,64
2007-12-06,66
2007-12-07,66
2007-12-08,67
2007-12-09,67
2007-12-10,65
2007-12-11,66
2007-12-12,65
2007-12-13,62
2007-12-14,61
2007-12-15,61
2007-12-16,61
2007-12-17,66
2007-12-18,62
2007-12-19,63
2007-12-20,63
2007-12-21,65
2007-12-22,64
2007-12-23,70
2007-12-24,73
2007-12-25,75
2007-12-26,82
2007-12-27,85
2007-12-28,88
2007-12-29,91
2007-12-30,93
2007-12-31,84
2008-01-01,82
2008-01-02,78
2008-01-03,75
2008-01-04,72
2008-01-05,69
2008-01-06,67
2008-01-07,67
2008-01-08,65
2008-01-09,62
2008-01-10,60
2008-01-11,60
2008-01-12,57
2008-01-13,57
2008-01-14,56
2008-01-15,57
2008-01-16,55
2008-01-17,54
2008-01-18,55
2008-01-19,54
2008-01-20,56
2008-01-21,53
2008-01-22,52
2008-01-23,54
2008-01-24,51
2008-01-25,51
2008-01-26,51
2008-01-27,51
2008-01-28,51
2008-01-29,52
2008-01-30,52
2008-01-31,51
2008-02-01,51
2008-02-02,51
2008-02-03,52
2008-02-04,53
2008-02-05,55
2008-02-06,55
2008-02-07,56
2008-02-08,57
2008-02-09,58
2008-02-10,59
2008-02-11,58
2008-02-12,57
2008-02-13,56
2008-02-14,58
2008-02-15,56
2008-02-16,58
2008-02-17,56
2008-02-18,56
2008-02-19,56
2008-02-20,57
2008-02-21,56
2008-02-22,56
2008-02-23,57
2008-02-24,59
2008-02-25,55
2008-02-26,54
2008-02-27,55
2008-02-28,54
2008-02-29,52
2008-03-01,52
2008-03-02,52
2008-03-03,55
2008-03-04,52
2008-03-05,53
2008-03-06,53
2008-03-07,54
2008-03-08,54
2008-03-09,55
2008-03-10,55
2008-03-11,55
2008-03-12,56
2008-03-13,57
2008-03-14,57
2008-03-15,59
2008-03-16,58
2008-03-17,58
2008-03-18,58
2008-03-19,59
2008-03-20,60
2008-03-21,58
2008-03-22,59
2008-03-23,61
2008-03-24,60
2008-03-25,62
2008-03-26,61
2008-03-27,61
2008-03-28,62
2008-03-29,63
2008-03-30,63
2008-03-31,67
2008-04-01,65
2008-04-02,65
2008-04-03,70
2008-04-04,67
2008-04-05,69
2008-04-06,66
2008-04-07,69
2008-04-08,64
2008-04-09,62
2008-04-10,63
2008-04-11,60
2008-04-12,59
2008-04-13,58
2008-04-14,60
2008-04-15,58
2008-04-16,60
2008-04-17,58
2008-04-18,58
2008-04-19,58
2008-04-20,61
2008-04-21,56
2008-04-22,56
2008-04-23,54
2008-04-24,54
2008-04-25,52
2008-04-26,52
2008-04-27,53
2008-04-28,54
2008-04-29,58
2008-04-30,56
2008-05-01,57
2008-05-02,59
2008-05-03,59
2008-05-04,61
2008-05-05,57
2008-05-06,59
2008-05-07,56
2008-05-08,56
2008-05-09,55
2008-05-10,56
2008-05-11,54
2008-05-12,56
2008-05-13,56
2008-05-14,53
2008-05-15,52
2008-05-16,52
2008-05-17,52
2008-05-18,53
2008-05-19,52
2008-05-20,53
2008-05-21,53
2008-05-22,53
2008-05-23,54
2008-05-24,54
2008-05-25,54
2008-05-26,56
2008-05-27,54
2008-05-28,55
2008-05-29,54
2008-05-30,54
2008-05-31,54
2008-06-01,55
2008-06-02,54
2008-06-03,54
2008-06-04,55
2008-06-05,54
2008-06-06,54
2008-06-07,54
2008-06-08,55
2008-06-09,55
2008-06-10,55
2008-06-11,55
2008-06-12,56
2008-06-13,56
2008-06-14,57
2008-06-15,57
2008-06-16,59
2008-06-17,57
2008-06-18,58
2008-06-19,58
2008-06-20,58
2008-06-21,59
2008-06-22,63
2008-06-23,60
2008-06-24,61
2008-06-25,63
2008-06-26,63
2008-06-27,64
2008-06-28,65
2008-06-29,66
2008-06-30,66
2008-07-01,63
2008-07-02,64
2008-07-03,62
2008-07-04,62
2008-07-05,62
2008-07-06,62
2008-07-07,66
2008-07-08,63
2008-07-09,63
2008-07-10,64
2008-07-11,64
2008-07-12,65
2008-07-13,66
2008-07-14,65
2008-07-15,63
2008-07-16,61
2008-07-17,60
2008-07-18,59
2008-07-19,59
2008-07-20,62
2008-07-21,58
2008-07-22,58
2008-07-23,59
2008-07-24,57
2008-07-25,57
2008-07-26,57
2008-07-27,58
2008-07-28,61
2008-07-29,60
2008-07-30,64
2008-07-31,63
2008-08-01,64
2008-08-02,66
2008-08-03,68
2008-08-04,65
2008-08-05,67
2008-08-06,66
2008-08-07,65
2008-08-08,65
2008-08-09,65
2008-08-10,66
2008-08-11,65
2008-08-12,64
2008-08-13,65
2008-08-14,64
2008-08-15,65
2008-08-16,64
2008-08-17,63
2008-08-18,65
2008-08-19,62
2008-08-20,63
2008-08-21,63
2008-08-22,61
