Date,Talecris Biotherapeutics
2008-12-08,43
2008-12-09,41
2008-12-10,39
2008-12-11,37
2008-12-12,36
2008-12-13,34
2008-12-14,32
2008-12-15,30
2008-12-16,28
2008-12-17,27
2008-12-18,25
2008-12-19,23
2008-12-20,21
2008-12-21,19
2008-12-22,18
2008-12-23,16
2008-12-24,14
2008-12-25,12
2008-12-26,10
2008-12-27,9
2008-12-28,7
2008-12-29,5
2008-12-30,3
2008-12-31,1
