Date,Applied Optoelectronics
2013-02-01,0
2013-02-02,1
2013-02-03,3
2013-02-04,5
2013-02-05,6
2013-02-06,8
2013-02-07,10
2013-02-08,11
2013-02-09,13
2013-02-10,15
2013-02-11,16
2013-02-12,18
2013-02-13,20
2013-02-14,21
2013-02-15,23
2013-02-16,25
2013-02-17,26
2013-02-18,28
2013-02-19,30
2013-02-20,31
2013-02-21,33
2013-02-22,35
2013-02-23,36
2013-02-24,38
2013-02-25,40
2013-02-26,41
2013-02-27,43
2013-02-28,45
2013-03-01,47
2013-03-02,47
2013-03-03,47
2013-03-04,48
2013-03-05,48
2013-03-06,49
2013-03-07,49
2013-03-08,50
2013-03-09,50
2013-03-10,51
2013-03-11,51
2013-03-12,51
2013-03-13,52
2013-03-14,52
2013-03-15,53
2013-03-16,53
2013-03-17,54
2013-03-18,54
2013-03-19,55
2013-03-20,55
2013-03-21,56
2013-03-22,56
2013-03-23,56
2013-03-24,57
2013-03-25,57
2013-03-26,58
2013-03-27,58
2013-03-28,59
2013-03-29,59
2013-03-30,60
2013-03-31,60
2013-04-01,61
2013-04-02,60
2013-04-03,60
2013-04-04,60
2013-04-05,59
2013-04-06,59
2013-04-07,59
2013-04-08,58
2013-04-09,58
2013-04-10,58
2013-04-11,57
2013-04-12,57
2013-04-13,57
2013-04-14,56
2013-04-15,56
2013-04-16,56
2013-04-17,55
2013-04-18,55
2013-04-19,55
2013-04-20,54
2013-04-21,54
2013-04-22,54
2013-04-23,53
2013-04-24,53
2013-04-25,53
2013-04-26,52
2013-04-27,52
2013-04-28,52
2013-04-29,51
2013-04-30,51
2013-05-01,51
2013-05-02,51
2013-05-03,51
2013-05-04,51
2013-05-05,51
2013-05-06,51
2013-05-07,51
2013-05-08,51
2013-05-09,51
2013-05-10,51
2013-05-11,51
2013-05-12,51
2013-05-13,51
2013-05-14,51
2013-05-15,51
2013-05-16,51
2013-05-17,51
2013-05-18,51
2013-05-19,51
2013-05-20,51
2013-05-21,51
2013-05-22,51
2013-05-23,51
2013-05-24,51
2013-05-25,51
2013-05-26,51
2013-05-27,51
2013-05-28,51
2013-05-29,51
2013-05-30,51
2013-05-31,51
2013-06-01,52
2013-06-02,52
2013-06-03,52
2013-06-04,52
2013-06-05,52
2013-06-06,52
2013-06-07,52
2013-06-08,52
2013-06-09,52
2013-06-10,52
2013-06-11,52
2013-06-12,52
2013-06-13,52
2013-06-14,52
2013-06-15,52
2013-06-16,53
2013-06-17,53
2013-06-18,53
2013-06-19,53
2013-06-20,53
2013-06-21,53
2013-06-22,53
2013-06-23,53
2013-06-24,53
2013-06-25,53
2013-06-26,53
2013-06-27,53
2013-06-28,53
2013-06-29,53
2013-06-30,53
2013-07-01,54
2013-07-02,54
2013-07-03,54
2013-07-04,54
2013-07-05,54
2013-07-06,54
2013-07-07,54
2013-07-08,54
