Date,Aeroflex
2009-10-01,74
2009-10-02,77
2009-10-03,71
2009-10-04,71
2009-10-05,72
2009-10-06,73
2009-10-07,75
2009-10-08,77
2009-10-09,76
2009-10-10,77
2009-10-11,77
2009-10-12,77
2009-10-13,77
2009-10-14,81
2009-10-15,78
2009-10-16,78
2009-10-17,79
2009-10-18,78
2009-10-19,77
2009-10-20,77
2009-10-21,76
2009-10-22,80
2009-10-23,75
2009-10-24,77
2009-10-25,76
2009-10-26,77
2009-10-27,78
2009-10-28,84
2009-10-29,80
2009-10-30,81
2009-10-31,82
2009-11-01,81
2009-11-02,81
2009-11-03,81
2009-11-04,81
2009-11-05,81
2009-11-06,81
2009-11-07,83
2009-11-08,78
2009-11-09,76
2009-11-10,74
2009-11-11,72
2009-11-12,70
2009-11-13,68
2009-11-14,66
2009-11-15,66
2009-11-16,66
2009-11-17,72
2009-11-18,67
2009-11-19,67
2009-11-20,67
2009-11-21,68
2009-11-22,66
2009-11-23,65
2009-11-24,64
2009-11-25,62
2009-11-26,61
2009-11-27,60
2009-11-28,59
2009-11-29,60
2009-11-30,63
2009-12-01,64
2009-12-02,66
2009-12-03,71
2009-12-04,70
2009-12-05,72
2009-12-06,72
2009-12-07,72
2009-12-08,72
2009-12-09,74
2009-12-10,73
2009-12-11,73
2009-12-12,74
2009-12-13,75
2009-12-14,77
2009-12-15,78
2009-12-16,80
2009-12-17,84
2009-12-18,83
2009-12-19,85
2009-12-20,79
2009-12-21,73
2009-12-22,67
2009-12-23,61
2009-12-24,55
2009-12-25,49
2009-12-26,44
2009-12-27,42
2009-12-28,41
2009-12-29,40
2009-12-30,39
2009-12-31,38
2010-01-01,37
2010-01-02,36
2010-01-03,41
2010-01-04,47
2010-01-05,52
2010-01-06,57
2010-01-07,64
2010-01-08,73
2010-01-09,74
2010-01-10,74
2010-01-11,75
2010-01-12,76
2010-01-13,76
2010-01-14,79
2010-01-15,82
2010-01-16,79
2010-01-17,78
2010-01-18,77
2010-01-19,76
2010-01-20,75
2010-01-21,74
2010-01-22,78
2010-01-23,74
2010-01-24,74
2010-01-25,75
2010-01-26,76
2010-01-27,78
2010-01-28,78
2010-01-29,79
2010-01-30,80
2010-01-31,80
2010-02-01,80
2010-02-02,81
2010-02-03,81
2010-02-04,85
2010-02-05,87
2010-02-06,83
2010-02-07,81
2010-02-08,80
2010-02-09,79
2010-02-10,77
2010-02-11,79
2010-02-12,75
2010-02-13,74
2010-02-14,70
2010-02-15,67
2010-02-16,63
2010-02-17,66
2010-02-18,56
2010-02-19,53
2010-02-20,50
2010-02-21,54
2010-02-22,59
2010-02-23,66
2010-02-24,69
2010-02-25,74
2010-02-26,79
2010-02-27,86
2010-02-28,80
2010-03-01,77
2010-03-02,74
2010-03-03,70
2010-03-04,67
2010-03-05,64
2010-03-06,61
2010-03-07,62
2010-03-08,64
2010-03-09,70
2010-03-10,67
2010-03-11,71
2010-03-12,74
2010-03-13,73
2010-03-14,71
2010-03-15,69
2010-03-16,68
2010-03-17,65
2010-03-18,63
2010-03-19,61
2010-03-20,61
2010-03-21,64
2010-03-22,68
2010-03-23,74
2010-03-24,77
2010-03-25,82
2010-03-26,93
2010-03-27,94
2010-03-28,88
2010-03-29,85
2010-03-30,82
2010-03-31,79
2010-04-01,76
2010-04-02,73
2010-04-03,71
2010-04-04,72
2010-04-05,73
2010-04-06,74
2010-04-07,78
2010-04-08,80
2010-04-09,77
2010-04-10,81
2010-04-11,81
2010-04-12,83
2010-04-13,85
2010-04-14,87
2010-04-15,89
2010-04-16,93
2010-04-17,94
2010-04-18,93
2010-04-19,93
2010-04-20,93
2010-04-21,100
2010-04-22,93
2010-04-23,93
2010-04-24,93
2010-04-25,90
2010-04-26,87
2010-04-27,87
2010-04-28,81
2010-04-29,81
2010-04-30,75
2010-05-01,72
2010-05-02,74
2010-05-03,77
2010-05-04,80
2010-05-05,85
2010-05-06,89
2010-05-07,89
2010-05-08,92
2010-05-09,92
2010-05-10,92
2010-05-11,97
2010-05-12,98
