Date,Kior
2010-10-03,15
2010-10-04,15
2010-10-05,15
2010-10-06,15
2010-10-07,15
2010-10-08,15
2010-10-09,15
2010-10-10,15
2010-10-11,15
2010-10-12,15
2010-10-13,15
2010-10-14,15
2010-10-15,15
2010-10-16,15
2010-10-17,14
2010-10-18,14
2010-10-19,13
2010-10-20,13
2010-10-21,12
2010-10-22,12
2010-10-23,12
2010-10-24,12
2010-10-25,12
2010-10-26,12
2010-10-27,12
2010-10-28,12
2010-10-29,12
2010-10-30,13
2010-10-31,13
2010-11-01,13
2010-11-02,13
2010-11-03,13
2010-11-04,13
2010-11-05,13
2010-11-06,14
2010-11-07,14
2010-11-08,14
2010-11-09,14
2010-11-10,14
2010-11-11,14
2010-11-12,14
2010-11-13,15
2010-11-14,15
2010-11-15,15
2010-11-16,15
2010-11-17,15
2010-11-18,15
2010-11-19,15
2010-11-20,16
2010-11-21,15
2010-11-22,15
2010-11-23,14
2010-11-24,14
2010-11-25,13
2010-11-26,13
2010-11-27,13
2010-11-28,13
2010-11-29,13
2010-11-30,13
2010-12-01,13
2010-12-02,13
2010-12-03,13
2010-12-04,14
2010-12-05,13
2010-12-06,13
2010-12-07,13
2010-12-08,13
2010-12-09,13
2010-12-10,13
2010-12-11,13
2010-12-12,13
2010-12-13,13
2010-12-14,13
2010-12-15,13
2010-12-16,13
2010-12-17,13
2010-12-18,14
2010-12-19,14
2010-12-20,14
2010-12-21,14
2010-12-22,14
2010-12-23,14
2010-12-24,14
2010-12-25,15
2010-12-26,15
2011-01-02,15
2011-01-03,15
2011-01-04,15
2011-01-05,15
2011-01-06,15
2011-01-07,15
2011-01-08,16
2011-01-09,15
2011-01-10,15
2011-01-11,15
2011-01-12,15
2011-01-13,15
2011-01-14,15
2011-01-15,15
2011-01-16,15
2011-01-17,15
2011-01-18,15
2011-01-19,16
2011-01-20,16
2011-01-21,16
2011-01-22,17
2011-01-23,17
2011-01-24,17
2011-01-25,18
2011-01-26,18
2011-01-27,19
2011-01-28,19
2011-01-29,20
2011-01-30,20
2011-01-31,20
2011-02-01,20
2011-02-02,21
2011-02-03,21
2011-02-04,21
2011-02-05,22
2011-02-06,21
2011-02-07,20
2011-02-08,19
2011-02-09,18
2011-02-10,17
2011-02-11,16
2011-02-12,15
2011-02-13,15
2011-02-14,15
2011-02-15,15
2011-02-16,16
2011-02-17,16
2011-02-18,16
2011-02-19,17
2011-02-20,17
2011-02-21,17
2011-02-22,17
2011-02-23,18
2011-02-24,18
2011-02-25,18
2011-02-26,19
2011-02-27,18
2011-02-28,17
2011-03-01,16
2011-03-02,15
2011-03-03,14
2011-03-04,13
2011-03-05,13
2011-03-06,14
2011-03-07,15
2011-03-08,16
2011-03-09,17
2011-03-10,18
2011-03-11,19
2011-03-12,21
2011-03-13,20
2011-03-14,20
2011-03-15,20
2011-03-16,19
2011-03-17,19
2011-03-18,19
2011-03-19,19
2011-03-20,18
2011-03-21,17
2011-03-22,16
2011-03-23,15
2011-03-24,14
2011-03-25,13
2011-03-26,12
2011-03-27,12
2011-04-03,14
2011-04-04,15
2011-04-05,17
2011-04-06,18
2011-04-07,20
2011-04-08,21
2011-04-09,23
2011-04-10,24
2011-04-11,25
2011-04-12,27
2011-04-13,28
2011-04-14,30
2011-04-15,31
2011-04-16,33
2011-04-17,30
2011-04-18,28
2011-04-19,26
2011-04-20,24
2011-04-21,21
2011-04-22,19
2011-04-23,17
2011-04-24,17
2011-04-25,17
2011-04-26,18
2011-04-27,18
2011-04-28,19
2011-04-29,19
2011-04-30,20
2011-05-01,20
2011-05-02,21
2011-05-03,22
2011-05-04,23
2011-05-05,23
2011-05-06,24
2011-05-07,25
2011-05-08,24
2011-05-09,23
2011-05-10,22
2011-05-11,22
2011-05-12,21
2011-05-13,20
2011-05-14,20
2011-05-15,20
2011-05-16,20
2011-05-17,21
2011-05-18,21
2011-05-19,22
2011-05-20,22
2011-05-21,23
2011-05-22,22
2011-05-23,22
2011-05-24,21
2011-05-25,21
2011-05-26,20
2011-05-27,20
2011-05-28,20
2011-05-29,19
2011-05-30,19
2011-05-31,19
2011-06-01,19
2011-06-02,19
2011-06-03,19
2011-06-04,19
2011-06-05,19
2011-06-06,19
2011-06-07,20
2011-06-08,20
2011-06-09,21
2011-06-10,21
2011-06-11,22
2011-06-12,24
2011-06-13,26
2011-06-14,28
2011-06-15,30
2011-06-16,32
2011-06-17,34
2011-06-18,36
2011-06-19,45
2011-06-20,55
2011-06-21,64
2011-06-22,73
2011-06-23,83
2011-06-24,93
2011-06-25,102
2011-06-26,95
2011-07-03,45
2011-07-04,41
2011-07-05,37
2011-07-06,33
2011-07-07,29
2011-07-08,25
2011-07-09,22
2011-07-10,24
2011-07-11,26
2011-07-12,28
2011-07-13,31
2011-07-14,33
2011-07-15,35
2011-07-16,37
2011-07-17,34
2011-07-18,31
2011-07-19,28
2011-07-20,25
2011-07-21,22
2011-07-22,19
2011-07-23,16
2011-07-24,16
2011-07-25,17
2011-07-26,17
2011-07-27,18
2011-07-28,19
2011-07-29,19
2011-07-30,20
2011-07-31,19
2011-08-01,18
2011-08-02,17
2011-08-03,16
2011-08-04,15
2011-08-05,14
2011-08-06,14
2011-08-07,15
2011-08-08,17
2011-08-09,18
2011-08-10,20
2011-08-11,21
2011-08-12,23
2011-08-13,25
2011-08-14,24
2011-08-15,24
2011-08-16,24
2011-08-17,24
2011-08-18,23
2011-08-19,23
2011-08-20,23
2011-08-21,21
2011-08-22,19
2011-08-23,17
2011-08-24,15
2011-08-25,13
2011-08-26,11
2011-08-27,10
2011-08-28,10
2011-08-29,11
2011-08-30,12
2011-08-31,13
2011-09-01,13
2011-09-02,14
2011-09-03,15
2011-09-04,14
2011-09-05,13
2011-09-06,12
2011-09-07,12
2011-09-08,11
2011-09-09,10
2011-09-10,10
2011-09-11,11
2011-09-12,12
2011-09-13,14
2011-09-14,15
2011-09-15,17
2011-09-16,18
2011-09-17,20
2011-09-18,20
2011-09-19,20
2011-09-20,20
2011-09-21,20
2011-09-22,20
2011-09-23,20
2011-09-24,20
2011-09-25,20
2011-10-02,22
2011-10-03,23
2011-10-04,23
2011-10-05,24
2011-10-06,24
2011-10-07,25
2011-10-08,26
2011-10-09,25
2011-10-10,25
2011-10-11,24
2011-10-12,24
2011-10-13,24
2011-10-14,23
2011-10-15,23
2011-10-16,22
2011-10-17,21
2011-10-18,21
2011-10-19,20
2011-10-20,20
2011-10-21,19
2011-10-22,19
2011-10-23,19
2011-10-24,20
2011-10-25,20
2011-10-26,21
2011-10-27,21
2011-10-28,22
2011-10-29,23
2011-10-30,22
2011-10-31,22
2011-11-01,22
2011-11-02,22
2011-11-03,22
2011-11-04,22
2011-11-05,22
2011-11-06,21
2011-11-07,21
2011-11-08,21
2011-11-09,21
2011-11-10,20
2011-11-11,20
2011-11-12,20
2011-11-13,20
2011-11-14,19
2011-11-15,19
2011-11-16,19
2011-11-17,18
2011-11-18,18
2011-11-19,18
2011-11-20,16
2011-11-21,15
2011-11-22,14
2011-11-23,12
2011-11-24,11
2011-11-25,10
2011-11-26,9
2011-11-27,10
2011-11-28,12
2011-11-29,13
2011-11-30,15
2011-12-01,16
2011-12-02,18
2011-12-03,20
2011-12-04,19
2011-12-05,19
2011-12-06,18
2011-12-07,18
2011-12-08,17
2011-12-09,17
2011-12-10,17
2011-12-11,17
2011-12-12,18
2011-12-13,19
2011-12-14,20
2011-12-15,21
2011-12-16,22
2011-12-17,23
2011-12-18,21
2011-12-19,20
2011-12-20,18
2011-12-21,17
2011-12-22,15
2011-12-23,14
2011-12-24,13
2011-12-25,13
2012-01-01,15
2012-01-02,15
2012-01-03,16
2012-01-04,16
2012-01-05,17
2012-01-06,17
2012-01-07,18
2012-01-08,18
2012-01-09,18
2012-01-10,18
2012-01-11,18
2012-01-12,18
2012-01-13,18
2012-01-14,19
2012-01-15,19
2012-01-16,19
2012-01-17,20
2012-01-18,20
2012-01-19,21
2012-01-20,21
2012-01-21,22
2012-01-22,22
2012-01-23,23
2012-01-24,23
2012-01-25,24
2012-01-26,24
2012-01-27,25
2012-01-28,26
2012-01-29,25
2012-01-30,24
2012-01-31,24
2012-02-01,23
2012-02-02,23
2012-02-03,22
2012-02-04,22
2012-02-05,22
2012-02-06,22
2012-02-07,22
2012-02-08,22
2012-02-09,22
2012-02-10,22
2012-02-11,23
2012-02-12,23
2012-02-13,23
2012-02-14,23
2012-02-15,23
2012-02-16,23
2012-02-17,23
2012-02-18,23
2012-02-19,22
2012-02-20,22
2012-02-21,22
2012-02-22,21
2012-02-23,21
2012-02-24,21
2012-02-25,21
2012-02-26,21
2012-02-27,21
2012-02-28,21
2012-02-29,21
2012-03-01,21
2012-03-02,21
2012-03-03,21
2012-03-04,21
2012-03-05,21
2012-03-06,21
2012-03-07,21
2012-03-08,21
2012-03-09,21
2012-03-10,21
2012-03-11,20
2012-03-12,20
2012-03-13,20
2012-03-14,20
2012-03-15,20
2012-03-16,20
2012-03-17,20
2012-03-18,20
2012-03-19,20
2012-03-20,20
2012-03-21,21
2012-03-22,21
2012-03-23,21
2012-03-24,22
2012-03-25,23
2012-04-01,27
2012-04-02,25
2012-04-03,23
2012-04-04,21
2012-04-05,19
2012-04-06,17
2012-04-07,16
2012-04-08,15
2012-04-09,14
2012-04-10,14
2012-04-11,13
2012-04-12,13
2012-04-13,12
2012-04-14,12
2012-04-15,13
2012-04-16,14
2012-04-17,16
2012-04-18,17
2012-04-19,18
2012-04-20,19
2012-04-21,21
2012-04-22,21
2012-04-23,20
2012-04-24,20
2012-04-25,19
2012-04-26,19
2012-04-27,19
2012-04-28,19
2012-04-29,18
2012-04-30,17
2012-05-01,17
2012-05-02,16
2012-05-03,16
2012-05-04,15
2012-05-05,15
2012-05-06,16
2012-05-07,17
2012-05-08,18
2012-05-09,19
2012-05-10,20
2012-05-11,21
2012-05-12,22
2012-05-13,22
2012-05-14,22
2012-05-15,22
2012-05-16,22
2012-05-17,22
2012-05-18,22
2012-05-19,23
2012-05-20,23
2012-05-21,23
2012-05-22,23
2012-05-23,23
2012-05-24,23
2012-05-25,23
2012-05-26,23
2012-05-27,22
2012-05-28,21
2012-05-29,21
2012-05-30,20
2012-05-31,20
2012-06-01,19
2012-06-02,19
2012-06-03,18
2012-06-04,18
2012-06-05,17
2012-06-06,17
2012-06-07,16
2012-06-08,16
2012-06-09,16
2012-06-10,16
2012-06-11,17
2012-06-12,17
2012-06-13,18
2012-06-14,18
2012-06-15,19
2012-06-16,20
2012-06-17,20
2012-06-18,20
2012-06-19,20
2012-06-20,20
2012-06-21,20
2012-06-22,20
2012-06-23,20
2012-06-24,21
2012-07-01,27
2012-07-02,27
2012-07-03,27
2012-07-04,27
2012-07-05,27
2012-07-06,27
2012-07-07,27
2012-07-08,25
2012-07-09,23
2012-07-10,21
2012-07-11,19
2012-07-12,17
2012-07-13,15
2012-07-14,14
2012-07-15,15
2012-07-16,16
2012-07-17,17
2012-07-18,18
2012-07-19,19
2012-07-20,20
2012-07-21,21
2012-07-22,21
2012-07-23,21
2012-07-24,21
2012-07-25,21
2012-07-26,21
2012-07-27,21
2012-07-28,21
2012-07-29,20
2012-07-30,20
2012-07-31,20
2012-08-01,19
2012-08-02,19
2012-08-03,19
2012-08-04,19
