Date,Convio
2009-07-11,44
2009-07-12,46
2009-07-13,48
2009-07-14,51
2009-07-15,53
2009-07-16,55
2009-07-17,57
2009-07-18,60
2009-07-19,59
2009-07-20,57
2009-07-21,56
2009-07-22,55
2009-07-23,54
2009-07-24,53
2009-07-25,52
2009-07-26,58
2009-07-27,66
2009-07-28,73
2009-07-29,80
2009-07-30,87
2009-07-31,94
2009-08-01,101
2009-08-02,97
2009-08-03,90
2009-08-04,85
2009-08-05,80
2009-08-06,75
2009-08-07,70
2009-08-08,66
2009-08-09,65
2009-08-10,64
2009-08-11,63
2009-08-12,62
2009-08-13,61
2009-08-14,60
2009-08-15,60
2009-08-16,59
2009-08-17,59
2009-08-18,59
2009-08-19,59
2009-08-20,58
2009-08-21,58
2009-08-22,57
2009-08-23,56
2009-08-24,54
2009-08-25,52
2009-08-26,51
2009-08-27,49
2009-08-28,48
2009-08-29,47
2009-08-30,49
2009-08-31,51
2009-09-01,53
2009-09-02,55
2009-09-03,57
2009-09-04,60
2009-09-05,62
2009-09-06,63
2009-09-07,64
2009-09-08,65
2009-09-09,66
2009-09-10,67
2009-09-11,68
2009-09-12,69
2009-09-13,68
2009-09-14,67
2009-09-15,67
2009-09-16,66
2009-09-17,65
2009-09-18,64
2009-09-19,63
2009-09-20,62
2009-09-21,59
2009-09-22,57
2009-09-23,56
2009-09-24,54
2009-09-25,52
2009-09-26,51
2009-09-27,53
2009-10-04,65
2009-10-05,63
2009-10-06,61
2009-10-07,60
2009-10-08,58
2009-10-09,56
2009-10-10,55
2009-10-11,55
2009-10-12,55
2009-10-13,55
2009-10-14,55
2009-10-15,55
2009-10-16,55
2009-10-17,55
2009-10-18,55
2009-10-19,55
2009-10-20,55
2009-10-21,55
2009-10-22,55
2009-10-23,55
2009-10-24,56
2009-10-25,55
2009-10-26,54
2009-10-27,53
2009-10-28,53
2009-10-29,52
2009-10-30,51
2009-10-31,51
2009-11-01,51
2009-11-02,52
2009-11-03,52
2009-11-04,53
2009-11-05,53
2009-11-06,54
2009-11-07,55
2009-11-08,56
2009-11-09,57
2009-11-10,59
2009-11-11,60
2009-11-12,62
2009-11-13,63
2009-11-14,65
2009-11-15,68
2009-11-16,72
2009-11-17,75
2009-11-18,78
2009-11-19,81
2009-11-20,85
2009-11-21,88
2009-11-22,84
2009-11-23,77
2009-11-24,73
2009-11-25,68
2009-11-26,63
2009-11-27,59
2009-11-28,54
2009-11-29,52
2009-11-30,50
2009-12-01,49
2009-12-02,47
2009-12-03,46
2009-12-04,44
2009-12-05,43
2009-12-06,45
2009-12-07,48
2009-12-08,51
2009-12-09,53
2009-12-10,56
2009-12-11,59
2009-12-12,61
2009-12-13,61
2009-12-14,61
2009-12-15,61
2009-12-16,61
2009-12-17,61
2009-12-18,61
2009-12-19,61
2009-12-20,57
2009-12-21,53
2009-12-22,49
2009-12-23,45
2009-12-24,41
2009-12-25,37
2009-12-26,33
2009-12-27,33
2010-01-03,36
2010-01-04,38
2010-01-05,41
2010-01-06,43
2010-01-07,46
2010-01-08,48
2010-01-09,51
2010-01-10,51
2010-01-11,51
2010-01-12,51
2010-01-13,52
2010-01-14,52
2010-01-15,52
2010-01-16,53
2010-01-17,56
2010-01-18,60
2010-01-19,64
2010-01-20,68
2010-01-21,72
2010-01-22,76
2010-01-23,80
2010-01-24,78
2010-01-25,77
2010-01-26,75
2010-01-27,74
2010-01-28,72
2010-01-29,71
2010-01-30,70
2010-01-31,69
2010-02-01,69
2010-02-02,68
2010-02-03,67
2010-02-04,67
2010-02-05,66
2010-02-06,66
2010-02-07,62
2010-02-08,58
2010-02-09,55
2010-02-10,51
2010-02-11,48
2010-02-12,45
2010-02-13,42
2010-02-14,42
2010-02-15,42
2010-02-16,42
2010-02-17,42
2010-02-18,42
2010-02-19,42
2010-02-20,43
2010-02-21,43
2010-02-22,44
2010-02-23,44
2010-02-24,45
2010-02-25,46
2010-02-26,46
2010-02-27,47
2010-02-28,47
2010-03-01,47
2010-03-02,48
2010-03-03,48
2010-03-04,49
2010-03-05,49
2010-03-06,50
2010-03-07,51
2010-03-08,52
2010-03-09,53
2010-03-10,54
2010-03-11,55
2010-03-12,56
2010-03-13,57
2010-03-14,57
2010-03-15,57
2010-03-16,57
2010-03-17,57
2010-03-18,57
2010-03-19,57
2010-03-20,57
2010-03-21,58
2010-03-22,59
2010-03-23,60
2010-03-24,61
2010-03-25,62
2010-03-26,64
2010-03-27,65
2010-03-28,64
2010-04-04,62
2010-04-05,65
2010-04-06,68
2010-04-07,71
2010-04-08,73
2010-04-09,76
2010-04-10,79
2010-04-11,78
2010-04-12,77
