Date,Research Pharmaceutical
2009-12-12,83
2009-12-13,80
2009-12-14,79
2009-12-15,78
2009-12-16,82
2009-12-17,76
2009-12-18,79
2009-12-19,74
2009-12-20,70
2009-12-21,66
2009-12-22,63
2009-12-23,59
2009-12-24,56
2009-12-25,52
2009-12-26,49
2009-12-27,50
2009-12-28,51
2009-12-29,52
2009-12-30,53
2009-12-31,54
2010-01-01,55
2010-01-02,56
2010-01-03,59
2010-01-04,63
2010-01-05,67
2010-01-06,72
2010-01-07,76
2010-01-08,81
2010-01-09,86
2010-01-10,81
2010-01-11,79
2010-01-12,77
2010-01-13,75
2010-01-14,77
2010-01-15,71
2010-01-16,69
2010-01-17,70
2010-01-18,71
2010-01-19,74
2010-01-20,73
2010-01-21,82
2010-01-22,75
2010-01-23,81
2010-01-24,77
2010-01-25,80
2010-01-26,77
2010-01-27,78
2010-01-28,78
2010-01-29,81
2010-01-30,79
2010-01-31,77
2010-02-01,75
2010-02-02,75
2010-02-03,73
2010-02-04,75
2010-02-05,69
2010-02-06,68
2010-02-07,69
2010-02-08,71
2010-02-09,73
2010-02-10,75
2010-02-11,77
2010-02-12,82
2010-02-13,81
2010-02-14,81
2010-02-15,81
2010-02-16,83
2010-02-17,81
2010-02-18,86
2010-02-19,81
2010-02-20,87
2010-02-21,80
2010-02-22,78
2010-02-23,77
2010-02-24,81
2010-02-25,74
2010-02-26,72
2010-02-27,71
2010-02-28,74
2010-03-01,77
2010-03-02,81
2010-03-03,84
2010-03-04,90
2010-03-05,95
2010-03-06,95
2010-03-07,95
2010-03-08,95
2010-03-09,95
2010-03-10,104
2010-03-11,96
2010-03-12,106
2010-03-13,97
2010-03-14,93
2010-03-15,89
2010-03-16,85
2010-03-17,88
2010-03-18,77
2010-03-19,75
2010-03-20,70
2010-03-21,74
2010-03-22,78
2010-03-23,82
2010-03-24,89
2010-03-25,102
2010-03-26,95
2010-03-27,100
2010-03-28,102
2010-03-29,92
2010-03-30,89
2010-03-31,85
2010-04-01,88
2010-04-02,78
2010-04-03,75
2010-04-04,80
2010-04-05,79
2010-04-06,81
2010-04-07,85
2010-04-08,85
2010-04-09,92
2010-04-10,90
2010-04-11,91
2010-04-12,87
2010-04-13,86
2010-04-14,85
2010-04-15,84
2010-04-16,84
2010-04-17,85
2010-04-18,84
2010-04-19,86
2010-04-20,88
2010-04-21,91
2010-04-22,94
2010-04-23,98
2010-04-24,98
2010-04-25,95
2010-04-26,97
2010-04-27,91
2010-04-28,96
2010-04-29,86
2010-04-30,86
2010-05-01,82
2010-05-02,80
2010-05-03,79
2010-05-04,77
2010-05-05,78
2010-05-06,74
2010-05-07,73
2010-05-08,72
2010-05-09,74
2010-05-10,77
2010-05-11,82
2010-05-12,87
2010-05-13,86
2010-05-14,89
2010-05-15,100
2010-05-16,90
2010-05-17,89
2010-05-18,87
2010-05-19,86
2010-05-20,90
2010-05-21,87
2010-05-22,82
2010-05-23,83
2010-05-24,85
2010-05-25,93
2010-05-26,88
2010-05-27,90
2010-05-28,98
2010-05-29,94
2010-05-30,92
2010-05-31,90
2010-06-01,88
2010-06-02,91
2010-06-03,85
2010-06-04,83
2010-06-05,82
