Date,Dollar General
2009-02-07,50
2009-02-08,48
2009-02-09,47
2009-02-10,45
2009-02-11,44
2009-02-12,44
2009-02-13,41
2009-02-14,41
2009-02-15,39
2009-02-16,40
2009-02-17,38
2009-02-18,38
2009-02-19,37
2009-02-20,36
2009-02-21,37
2009-02-22,36
2009-02-23,36
2009-02-24,37
2009-02-25,40
2009-02-26,38
2009-02-27,38
2009-02-28,39
2009-03-01,39
2009-03-02,39
2009-03-03,39
2009-03-04,39
2009-03-05,39
2009-03-06,41
2009-03-07,40
2009-03-08,39
2009-03-09,39
2009-03-10,39
2009-03-11,38
2009-03-12,39
2009-03-13,38
2009-03-14,38
2009-03-15,38
2009-03-16,37
2009-03-17,39
2009-03-18,36
2009-03-19,36
2009-03-20,37
2009-03-21,36
2009-03-22,36
2009-03-23,37
2009-03-24,38
2009-03-25,39
2009-03-26,40
2009-03-27,40
2009-03-28,42
2009-03-29,42
2009-03-30,40
2009-03-31,39
2009-05-01,40
2009-05-02,40
2009-05-03,40
2009-05-04,40
2009-05-05,42
2009-05-06,41
2009-05-07,41
2009-05-08,44
2009-05-09,42
2009-05-10,41
2009-05-11,43
2009-05-12,41
2009-05-13,41
2009-05-14,41
2009-05-15,42
2009-05-16,45
2009-05-17,41
2009-05-18,41
2009-05-19,41
2009-05-20,42
2009-05-21,41
2009-05-22,43
2009-05-23,42
2009-05-24,41
2009-05-25,43
2009-05-26,41
2009-05-27,41
2009-05-28,40
2009-05-29,41
2009-05-30,40
2009-05-31,41
2009-06-01,41
2009-06-02,42
2009-06-03,45
2009-06-04,44
2009-06-05,45
2009-06-06,46
2009-06-07,46
2009-06-08,46
2009-06-09,47
2009-06-10,47
2009-06-11,48
2009-06-12,48
2009-06-13,49
2009-06-14,49
2009-06-15,48
2009-06-16,50
2009-06-17,48
2009-06-18,51
2009-06-19,48
2009-06-20,48
2009-06-21,49
2009-06-22,47
2009-06-23,47
2009-06-24,46
2009-06-25,47
2009-06-26,46
2009-06-27,46
2009-06-28,46
2009-06-29,46
2009-06-30,47
2009-07-01,47
2009-07-02,48
2009-07-03,48
2009-07-04,48
2009-07-05,48
2009-07-06,48
2009-07-07,49
2009-07-08,48
2009-07-09,50
2009-07-10,48
2009-07-11,52
2009-07-12,49
2009-07-13,49
2009-07-14,51
2009-07-15,50
2009-07-16,51
2009-07-17,54
2009-07-18,52
2009-07-19,52
2009-07-20,52
2009-07-21,53
2009-07-22,53
2009-07-23,55
2009-07-24,53
2009-07-25,55
2009-07-26,54
2009-07-27,55
2009-07-28,58
2009-07-29,56
2009-07-30,56
2009-07-31,59
2009-08-01,58
2009-08-02,57
2009-08-03,59
2009-08-04,56
2009-08-05,55
2009-08-06,56
2009-08-07,54
2009-08-08,56
2009-08-09,54
2009-08-10,54
2009-08-11,54
2009-08-12,55
2009-08-13,54
2009-08-14,54
2009-08-15,57
2009-08-16,56
2009-08-17,58
2009-08-18,60
2009-08-19,62
2009-08-20,63
2009-08-21,65
2009-08-22,71
2009-08-23,65
2009-08-24,65
2009-08-25,62
2009-08-26,60
2009-08-27,60
2009-08-28,57
2009-08-29,57
2009-08-30,55
2009-08-31,55
2009-09-01,55
2009-09-02,57
2009-09-03,56
2009-09-04,55
2009-09-05,58
2009-09-06,53
2009-09-07,55
2009-09-08,50
2009-09-09,49
2009-09-10,47
2009-09-11,47
2009-09-12,45
2009-09-13,45
2009-09-14,46
2009-09-15,47
2009-09-16,48
2009-09-17,51
2009-09-18,50
2009-09-19,52
2009-09-20,50
2009-09-21,50
2009-09-22,50
2009-09-23,50
2009-09-24,51
2009-09-25,50
2009-09-26,53
2009-09-27,50
2009-09-28,51
2009-09-29,51
2009-09-30,51
2009-10-01,52
2009-10-02,52
2009-10-03,53
2009-10-04,54
2009-10-05,53
2009-10-06,55
2009-10-07,53
2009-10-08,54
2009-10-09,53
2009-10-10,54
2009-10-11,56
2009-10-12,53
2009-10-13,53
2009-10-14,54
2009-10-15,55
2009-10-16,53
2009-10-17,55
2009-10-18,52
2009-10-19,51
2009-10-20,51
2009-10-21,50
2009-10-22,53
2009-10-23,49
2009-10-24,52
2009-10-25,48
2009-10-26,48
2009-10-27,49
2009-10-28,48
2009-10-29,48
2009-10-30,48
2009-10-31,48
2009-11-01,50
2009-11-02,52
2009-11-03,54
2009-11-04,59
2009-11-05,58
2009-11-06,60
2009-11-07,65
2009-11-08,65
2009-11-09,62
2009-11-10,63
2009-11-11,64
2009-11-12,64
2009-11-13,64
2009-11-14,69
2009-11-15,66
2009-11-16,63
2009-11-17,62
2009-11-18,63
2009-11-19,62
2009-11-20,62
2009-11-21,60
2009-11-22,62
2009-11-23,64
2009-11-24,66
2009-11-25,68
2009-11-26,70
2009-11-27,72
2009-11-28,78
2009-11-29,73
2009-11-30,73
2009-12-01,73
2009-12-02,75
2009-12-03,73
2009-12-04,76
2009-12-05,73
2009-12-06,73
2009-12-07,73
2009-12-08,73
2009-12-09,76
2009-12-10,74
2009-12-11,75
2009-12-12,75
2009-12-13,75
2009-12-14,74
2009-12-15,76
2009-12-16,73
2009-12-17,73
2009-12-18,74
2009-12-19,74
2009-12-20,72
2009-12-21,71
2009-12-22,72
2009-12-23,69
2009-12-24,68
2009-12-25,74
2009-12-26,67
2009-12-27,66
2009-12-28,61
2009-12-29,58
2009-12-30,57
2009-12-31,52
2010-01-01,50
2010-01-02,49
2010-01-03,47
2010-01-04,48
2010-01-05,49
2010-01-06,50
2010-01-07,53
2010-01-08,52
2010-01-09,54
2010-01-10,52
2010-01-11,52
2010-01-12,52
