Date,Tripwire
2009-11-07,64
2009-11-08,61
2009-11-09,59
2009-11-10,56
2009-11-11,54
2009-11-12,51
2009-11-13,49
2009-11-14,47
2009-11-15,49
2009-11-16,51
2009-11-17,53
2009-11-18,56
2009-11-19,58
2009-11-20,61
2009-11-21,63
2009-11-22,61
2009-11-23,60
2009-11-24,59
2009-11-25,57
2009-11-26,56
2009-11-27,55
2009-11-28,54
2009-11-29,56
2009-11-30,59
2009-12-01,62
2009-12-02,64
2009-12-03,68
2009-12-04,70
2009-12-05,73
2009-12-06,73
2009-12-07,74
2009-12-08,75
2009-12-09,76
2009-12-10,77
2009-12-11,78
2009-12-12,81
2009-12-13,75
2009-12-14,72
2009-12-15,69
2009-12-16,65
2009-12-17,62
2009-12-18,59
2009-12-19,56
2009-12-20,54
2009-12-21,53
2009-12-22,52
2009-12-23,50
2009-12-24,49
2009-12-25,48
2009-12-26,47
2009-12-27,48
2009-12-28,49
2009-12-29,50
2009-12-30,51
2009-12-31,52
2010-01-01,53
2010-01-02,55
2010-01-03,55
2010-01-04,55
2010-01-05,55
2010-01-06,55
2010-01-07,60
2010-01-08,55
2010-01-09,56
2010-01-10,56
2010-01-11,57
2010-01-12,58
2010-01-13,59
2010-01-14,60
2010-01-15,61
2010-01-16,62
2010-01-17,64
2010-01-18,66
2010-01-19,68
2010-01-20,70
2010-01-21,72
2010-01-22,74
2010-01-23,76
2010-01-24,74
2010-01-25,72
2010-01-26,70
2010-01-27,73
2010-01-28,67
2010-01-29,65
2010-01-30,64
2010-01-31,64
2010-02-01,65
2010-02-02,65
2010-02-03,66
2010-02-04,66
2010-02-05,67
2010-02-06,68
2010-02-07,66
2010-02-08,64
2010-02-09,62
2010-02-10,61
2010-02-11,59
2010-02-12,57
2010-02-13,57
2010-02-14,55
2010-02-15,55
2010-02-16,56
2010-02-17,54
2010-02-18,54
2010-02-19,54
2010-02-20,55
2010-02-21,55
2010-02-22,57
2010-02-23,59
2010-02-24,61
2010-02-25,66
2010-02-26,65
2010-02-27,67
2010-02-28,66
2010-03-01,66
2010-03-02,65
2010-03-03,66
2010-03-04,64
2010-03-05,64
2010-03-06,64
2010-03-07,65
2010-03-08,67
2010-03-09,69
2010-03-10,77
2010-03-11,72
2010-03-12,74
2010-03-13,76
2010-03-14,73
2010-03-15,71
2010-03-16,69
2010-03-17,66
2010-03-18,64
2010-03-19,62
2010-03-20,60
2010-03-21,60
2010-03-22,60
2010-03-23,60
2010-03-24,62
2010-03-25,60
2010-03-26,60
2010-03-27,61
2010-03-28,59
2010-03-29,58
2010-03-30,57
2010-03-31,56
2010-05-01,59
2010-05-02,59
2010-05-03,60
2010-05-04,61
2010-05-05,63
2010-05-06,62
2010-05-07,63
2010-05-08,64
2010-05-09,64
2010-05-10,65
2010-05-11,65
2010-05-12,66
2010-05-13,66
2010-05-14,69
2010-05-15,68
2010-05-16,68
2010-05-17,68
2010-05-18,70
2010-05-19,69
2010-05-20,70
2010-05-21,69
2010-05-22,70
2010-05-23,70
2010-05-24,71
2010-05-25,72
2010-05-26,76
2010-05-27,73
2010-05-28,74
2010-05-29,75
2010-05-30,73
2010-05-31,72
2010-06-01,71
2010-06-02,70
2010-06-03,69
2010-06-04,68
2010-06-05,68
2010-06-06,66
2010-06-07,65
2010-06-08,64
2010-06-09,64
2010-06-10,63
2010-06-11,62
2010-06-12,62
2010-06-13,62
2010-06-14,62
2010-06-15,63
2010-06-16,63
2010-06-17,64
2010-06-18,64
2010-06-19,65
2010-06-20,65
2010-06-21,65
2010-06-22,65
2010-06-23,65
2010-06-24,66
2010-06-25,65
2010-06-26,65
2010-06-27,65
2010-06-28,65
2010-06-29,65
2010-06-30,66
2010-07-01,66
2010-07-02,66
2010-07-03,67
2010-07-04,67
2010-07-05,67
2010-07-06,68
2010-07-07,71
2010-07-08,69
2010-07-09,69
2010-07-10,70
2010-07-11,70
2010-07-12,70
2010-07-13,71
2010-07-14,71
2010-07-15,72
2010-07-16,72
2010-07-17,73
2010-07-18,69
2010-07-19,66
2010-07-20,63
2010-07-21,63
2010-07-22,57
2010-07-23,54
2010-07-24,51
2010-07-25,52
2010-07-26,53
2010-07-27,54
2010-07-28,56
2010-07-29,56
2010-07-30,57
2010-07-31,58
2010-08-01,60
2010-08-02,62
2010-08-03,65
2010-08-04,67
2010-08-05,69
2010-08-06,71
2010-08-07,74
2010-08-08,72
2010-08-09,70
2010-08-10,68
2010-08-11,68
2010-08-12,66
2010-08-13,62
2010-08-14,61
2010-08-15,59
2010-08-16,57
2010-08-17,55
2010-08-18,53
2010-08-19,51
2010-08-20,49
2010-08-21,47
2010-08-22,47
2010-08-23,47
2010-08-24,47
2010-08-25,51
2010-08-26,48
2010-08-27,48
2010-08-28,49
2010-08-29,52
2010-08-30,56
2010-08-31,60
2010-09-01,64
2010-09-02,72
2010-09-03,72
2010-09-04,76
2010-09-05,71
2010-09-06,66
2010-09-07,61
2010-09-08,59
2010-09-09,52
2010-09-10,46
2010-09-11,42
2010-09-12,45
2010-09-13,48
2010-09-14,52
2010-09-15,59
2010-09-16,59
2010-09-17,62
2010-09-18,66
2010-09-19,65
2010-09-20,65
2010-09-21,66
2010-09-22,65
2010-09-23,65
2010-09-24,66
2010-09-25,66
2010-09-26,62
2010-09-27,59
2010-09-28,56
2010-09-29,54
2010-09-30,51
2010-10-01,48
2010-10-02,46
2010-10-03,46
2010-10-04,48
2010-10-05,48
2010-10-06,48
2010-10-07,49
2010-10-08,50
2010-10-09,51
2010-10-10,50
2010-10-11,50
2010-10-12,50
2010-10-13,50
2010-10-14,50
2010-10-15,50
2010-10-16,50
2010-10-17,48
2010-10-18,46
2010-10-19,44
2010-10-20,42
2010-10-21,40
2010-10-22,38
2010-10-23,36
2010-10-24,38
2010-10-25,40
2010-10-26,43
2010-10-27,44
2010-10-28,46
2010-10-29,48
2010-10-30,51
2010-10-31,49
2010-11-01,47
2010-11-02,46
2010-11-03,44
2010-11-04,45
2010-11-05,41
2010-11-06,40
2010-11-07,40
2010-11-08,41
2010-11-09,42
2010-11-10,42
2010-11-11,43
2010-11-12,44
2010-11-13,45
2010-11-14,46
2010-11-15,48
2010-11-16,50
2010-11-17,55
2010-11-18,54
2010-11-19,58
2010-11-20,58
2010-11-21,55
2010-11-22,52
2010-11-23,49
2010-11-24,46
2010-11-25,43
2010-11-26,40
2010-11-27,37
2010-11-28,40
2010-11-29,43
2010-11-30,46
2010-12-01,50
2010-12-02,53
2010-12-03,56
2010-12-04,60
2010-12-05,59
2010-12-06,58
2010-12-07,58
2010-12-08,56
2010-12-09,57
2010-12-10,54
2010-12-11,54
2010-12-12,52
2010-12-13,51
2010-12-14,50
2010-12-15,49
2010-12-16,48
2010-12-17,47
2010-12-18,46
2010-12-19,43
2010-12-20,41
2010-12-21,39
2010-12-22,37
2010-12-23,35
2010-12-24,33
2010-12-25,31
2010-12-26,31
2010-12-27,31
2010-12-28,31
2010-12-29,32
2010-12-30,32
2010-12-31,32
2011-01-01,33
2011-01-02,35
2011-01-03,38
2011-01-04,41
2011-01-05,43
2011-01-06,46
2011-01-07,49
2011-01-08,52
2011-01-09,51
2011-01-10,50
2011-01-11,49
2011-01-12,48
2011-01-13,48
2011-01-14,46
2011-01-15,46
2011-01-16,46
2011-01-17,47
2011-01-18,47
2011-01-19,49
2011-01-20,51
2011-01-21,49
2011-01-22,50
2011-01-23,50
2011-01-24,51
2011-01-25,53
2011-01-26,52
2011-01-27,52
2011-01-28,53
2011-01-29,54
2011-01-30,53
2011-01-31,52
2011-02-01,51
2011-02-02,51
2011-02-03,50
2011-02-04,50
2011-02-05,49
2011-02-06,50
2011-02-07,51
2011-02-08,52
2011-02-09,54
2011-02-10,58
2011-02-11,56
2011-02-12,58
2011-02-13,57
2011-02-14,57
2011-02-15,59
2011-02-16,56
2011-02-17,55
2011-02-18,55
2011-02-19,55
2011-02-20,53
2011-02-21,52
2011-02-22,50
2011-02-23,49
2011-02-24,47
2011-02-25,46
2011-02-26,45
2011-02-27,45
2011-02-28,46
2011-03-01,49
2011-03-02,47
2011-03-03,47
2011-03-04,48
2011-03-05,50
2011-03-06,48
2011-03-07,48
2011-03-08,48
2011-03-09,47
2011-03-10,47
