Date,Omthera
2012-09-01,0
2012-09-02,0
2012-09-03,0
2012-09-04,0
2012-09-05,0
2012-09-06,0
2012-09-07,0
2012-09-08,0
2012-09-09,0
2012-09-10,0
2012-09-11,0
2012-09-12,0
2012-09-13,0
2012-09-14,0
2012-09-15,0
2012-09-16,0
2012-09-17,0
2012-09-18,0
2012-09-19,0
2012-09-20,0
2012-09-21,0
2012-09-22,0
2012-09-23,0
2012-09-24,0
2012-09-25,0
2012-09-26,0
2012-09-27,0
2012-09-28,0
2012-09-29,0
2012-09-30,0
2012-10-01,0
2012-10-02,0
2012-10-03,1
2012-10-04,2
2012-10-05,3
2012-10-06,4
2012-10-07,5
2012-10-08,6
2012-10-09,7
2012-10-10,8
2012-10-11,9
2012-10-12,9
2012-10-13,10
2012-10-14,11
2012-10-15,12
2012-10-16,13
2012-10-17,14
2012-10-18,15
2012-10-19,16
2012-10-20,17
2012-10-21,18
2012-10-22,18
2012-10-23,19
2012-10-24,20
2012-10-25,21
2012-10-26,22
2012-10-27,23
2012-10-28,24
2012-10-29,25
2012-10-30,26
2012-10-31,27
2012-11-01,28
2012-11-02,27
2012-11-03,27
2012-11-04,26
2012-11-05,26
2012-11-06,26
2012-11-07,25
2012-11-08,25
2012-11-09,24
2012-11-10,24
2012-11-11,24
2012-11-12,23
2012-11-13,23
2012-11-14,22
2012-11-15,22
2012-11-16,22
2012-11-17,21
2012-11-18,21
2012-11-19,20
2012-11-20,20
2012-11-21,20
2012-11-22,19
2012-11-23,19
2012-11-24,18
2012-11-25,18
2012-11-26,18
2012-11-27,17
2012-11-28,17
2012-11-29,16
2012-11-30,16
2012-12-01,16
2012-12-02,15
2012-12-03,15
2012-12-04,15
2012-12-05,15
2012-12-06,15
2012-12-07,14
2012-12-08,14
2012-12-09,14
2012-12-10,14
2012-12-11,14
2012-12-12,13
2012-12-13,13
2012-12-14,13
2012-12-15,13
2012-12-16,13
2012-12-17,12
2012-12-18,12
2012-12-19,12
2012-12-20,12
2012-12-21,12
2012-12-22,11
2012-12-23,11
2012-12-24,11
2012-12-25,11
2012-12-26,11
2012-12-27,10
2012-12-28,10
2012-12-29,10
2012-12-30,10
2012-12-31,10
2013-01-01,10
2013-01-02,10
2013-01-03,10
2013-01-04,10
2013-01-05,11
2013-01-06,11
2013-01-07,11
2013-01-08,11
2013-01-09,12
2013-01-10,12
2013-01-11,12
2013-01-12,12
2013-01-13,13
2013-01-14,13
2013-01-15,13
2013-01-16,13
2013-01-17,14
2013-01-18,14
2013-01-19,14
2013-01-20,14
2013-01-21,15
2013-01-22,15
2013-01-23,15
2013-01-24,15
2013-01-25,16
2013-01-26,16
2013-01-27,16
2013-01-28,16
2013-01-29,17
2013-01-30,17
2013-01-31,17
2013-02-01,18
2013-02-02,18
2013-02-03,18
2013-02-04,18
2013-02-05,19
2013-02-06,19
2013-02-07,19
2013-02-08,19
2013-02-09,20
2013-02-10,20
2013-02-11,20
2013-02-12,20
2013-02-13,21
2013-02-14,21
2013-02-15,21
2013-02-16,21
2013-02-17,22
2013-02-18,22
2013-02-19,22
2013-02-20,22
2013-02-21,23
2013-02-22,23
2013-02-23,23
2013-02-24,23
2013-02-25,24
2013-02-26,24
2013-02-27,24
2013-02-28,24
2013-03-03,25
2013-03-04,31
2013-03-05,26
2013-03-06,27
2013-03-07,27
2013-03-08,28
2013-03-09,28
2013-03-10,29
2013-03-11,29
2013-03-12,29
2013-03-13,30
2013-03-14,30
2013-03-15,31
2013-03-16,31
2013-03-17,32
2013-03-18,32
2013-03-19,33
2013-03-20,33
2013-03-21,34
2013-03-22,34
2013-03-23,34
2013-03-24,35
2013-03-25,35
2013-03-26,36
2013-03-27,36
2013-03-28,37
2013-03-29,37
2013-03-30,38
2013-03-31,38
2013-04-01,39
2013-04-02,41
2013-04-03,43
2013-04-04,45
2013-04-05,47
2013-04-06,49
2013-04-07,51
2013-04-08,54
2013-04-09,57
2013-04-10,59
2013-04-11,62
2013-04-12,65
2013-04-13,69
2013-04-14,65
2013-04-15,67
