Date,Biotrove
2008-06-01,55
2008-06-02,55
2008-06-03,56
2008-06-04,57
2008-06-05,58
2008-06-06,59
2008-06-07,60
2008-06-08,61
2008-06-09,62
2008-06-10,63
2008-06-11,64
2008-06-12,64
2008-06-13,65
2008-06-14,66
2008-06-15,67
2008-06-16,68
2008-06-17,69
2008-06-18,70
2008-06-19,71
2008-06-20,72
2008-06-21,73
2008-06-22,73
2008-06-23,74
2008-06-24,75
2008-06-25,76
2008-06-26,77
2008-06-27,78
2008-06-28,79
2008-06-29,80
2008-06-30,81
2008-07-01,82
2008-07-02,81
2008-07-03,80
2008-07-04,79
2008-07-05,78
2008-07-06,77
2008-07-07,76
2008-07-08,75
2008-07-09,74
2008-07-10,73
2008-07-11,72
2008-07-12,72
2008-07-13,71
2008-07-14,70
2008-07-15,69
2008-07-16,68
2008-07-17,67
2008-07-18,66
2008-07-19,65
2008-07-20,64
2008-07-21,63
2008-07-22,63
2008-07-23,62
2008-07-24,61
2008-07-25,60
2008-07-26,59
2008-07-27,58
2008-07-28,57
2008-07-29,56
2008-07-30,55
2008-07-31,54
2008-08-01,54
2008-08-02,54
2008-08-03,54
2008-08-04,54
2008-08-05,54
2008-08-06,54
2008-08-07,54
2008-08-08,55
2008-08-09,55
2008-08-10,55
2008-08-11,55
2008-08-12,55
2008-08-13,55
2008-08-14,56
2008-08-15,56
2008-08-16,56
2008-08-17,56
2008-08-18,56
2008-08-19,56
2008-08-20,57
2008-08-21,57
2008-08-22,57
2008-08-23,57
2008-08-24,57
2008-08-25,57
2008-08-26,58
2008-08-27,58
2008-08-28,58
2008-08-29,58
2008-08-30,58
2008-08-31,58
2008-09-01,59
2008-09-02,59
2008-09-03,60
2008-09-04,61
2008-09-05,61
2008-09-06,62
2008-09-07,63
2008-09-08,63
2008-09-09,64
2008-09-10,65
2008-09-11,66
2008-09-12,66
2008-09-13,67
2008-09-14,68
2008-09-15,68
2008-09-16,69
2008-09-17,70
2008-09-18,70
2008-09-19,71
2008-09-20,72
2008-09-21,73
2008-09-22,73
2008-09-23,74
2008-09-24,75
2008-09-25,75
2008-09-26,76
2008-09-27,77
2008-09-28,77
2008-09-29,78
2008-09-30,79
2008-10-01,80
2008-10-02,79
2008-10-03,78
2008-10-04,77
2008-10-05,76
2008-10-06,75
2008-10-07,74
2008-10-08,73
2008-10-09,72
2008-10-10,71
2008-10-11,70
2008-10-12,69
2008-10-13,68
2008-10-14,67
2008-10-15,66
2008-10-16,65
2008-10-17,64
2008-10-18,63
2008-10-19,62
2008-10-20,61
2008-10-21,60
2008-10-22,59
2008-10-23,58
2008-10-24,57
2008-10-25,56
2008-10-26,55
2008-10-27,54
2008-10-28,53
2008-10-29,52
2008-10-30,51
2008-10-31,50
2008-11-01,50
2008-11-02,49
2008-11-03,49
2008-11-04,49
2008-11-05,48
2008-11-06,48
2008-11-07,48
2008-11-08,47
2008-11-09,47
2008-11-10,47
2008-11-11,46
2008-11-12,46
2008-11-13,46
2008-11-14,45
2008-11-15,45
2008-11-16,45
2008-11-17,44
2008-11-18,44
2008-11-19,44
2008-11-20,43
2008-11-21,43
2008-11-22,43
