Date,Cyan Worlds
2013-09-26,90
2013-09-27,92
2013-09-28,94
2013-09-29,96
2013-09-30,98
2013-10-01,100
2013-10-02,99
2013-10-03,98
2013-10-04,98
2013-10-05,97
2013-10-06,96
2013-10-07,96
2013-10-08,95
2013-10-09,95
2013-10-10,94
2013-10-11,93
2013-10-12,93
2013-10-13,92
2013-10-14,92
2013-10-15,91
2013-10-16,90
2013-10-17,90
2013-10-18,89
2013-10-19,88
2013-10-20,88
2013-10-21,87
2013-10-22,87
2013-10-23,86
2013-10-24,85
2013-10-25,85
2013-10-26,84
2013-10-27,84
2013-10-28,83
2013-10-29,82
2013-10-30,82
2013-10-31,81
2013-11-01,81
2013-11-02,79
2013-11-03,77
2013-11-04,75
2013-11-05,74
2013-11-06,72
2013-11-07,70
2013-11-08,68
2013-11-09,67
2013-11-10,65
2013-11-11,63
2013-11-12,61
2013-11-13,60
2013-11-14,58
2013-11-15,56
2013-11-16,55
2013-11-17,53
2013-11-18,51
2013-11-19,49
2013-11-20,48
2013-11-21,46
2013-11-22,44
2013-11-23,42
2013-11-24,41
2013-11-25,39
2013-11-26,37
2013-11-27,35
2013-11-28,34
2013-11-29,32
2013-11-30,30
2013-12-01,29
2013-12-02,28
2013-12-03,28
2013-12-04,28
2013-12-05,27
2013-12-06,27
2013-12-07,27
2013-12-08,26
2013-12-09,26
2013-12-10,26
2013-12-11,26
2013-12-12,25
2013-12-13,25
2013-12-14,25
2013-12-15,24
2013-12-16,24
2013-12-17,24
2013-12-18,24
2013-12-19,23
2013-12-20,23
2013-12-21,23
2013-12-22,22
2013-12-23,22
2013-12-24,22
2013-12-25,22
2013-12-26,21
2013-12-27,21
2013-12-28,21
2013-12-29,20
2013-12-30,20
2013-12-31,20
2014-01-01,20
2014-01-02,20
2014-01-03,21
2014-01-04,21
2014-01-05,22
2014-01-06,22
2014-01-07,23
2014-01-08,23
2014-01-09,24
2014-01-10,24
2014-01-11,25
2014-01-12,25
2014-01-13,26
2014-01-14,26
2014-01-15,27
2014-01-16,27
2014-01-17,28
2014-01-18,28
2014-01-19,29
2014-01-20,29
2014-01-21,30
2014-01-22,30
2014-01-23,31
2014-01-24,31
2014-01-25,32
2014-01-26,32
2014-01-27,33
2014-01-28,33
2014-01-29,34
2014-01-30,34
2014-01-31,35
2014-02-01,36
