Date,Mistras
2007-12-01,36
2007-12-02,35
2007-12-03,35
2007-12-04,34
2007-12-05,34
2007-12-06,34
2007-12-07,33
2007-12-08,33
2007-12-09,32
2007-12-10,32
2007-12-11,32
2007-12-12,31
2007-12-13,31
2007-12-14,30
2007-12-15,30
2007-12-16,30
2007-12-17,29
2007-12-18,29
2007-12-19,29
2007-12-20,28
2007-12-21,28
2007-12-22,27
2007-12-23,27
2007-12-24,27
2007-12-25,26
2007-12-26,26
2007-12-27,25
2007-12-28,25
2007-12-29,25
2007-12-30,24
2007-12-31,24
2008-01-01,24
2008-01-02,24
2008-01-03,24
2008-01-04,24
2008-01-05,24
2008-01-06,24
2008-01-07,24
2008-01-08,24
2008-01-09,24
2008-01-10,24
2008-01-11,24
2008-01-12,24
2008-01-13,24
2008-01-14,24
2008-01-15,24
2008-01-16,24
2008-01-17,24
2008-01-18,24
2008-01-19,24
2008-01-20,24
2008-01-21,24
2008-01-22,24
2008-01-23,24
2008-01-24,24
2008-01-25,24
2008-01-26,24
2008-01-27,24
2008-01-28,24
2008-01-29,24
2008-01-30,24
2008-01-31,24
2008-02-01,25
2008-02-02,25
2008-02-03,26
2008-02-04,27
2008-02-05,28
2008-02-06,29
2008-02-07,29
2008-02-08,30
2008-02-09,31
2008-02-10,32
2008-02-11,33
2008-02-12,34
2008-02-13,34
2008-02-14,35
2008-02-15,36
2008-02-16,37
2008-02-17,38
2008-02-18,39
2008-02-19,39
2008-02-20,40
2008-02-21,41
2008-02-22,42
2008-02-23,43
2008-02-24,44
2008-02-25,44
2008-02-26,45
2008-02-27,46
2008-02-28,47
2008-02-29,48
2008-03-01,49
2008-03-02,48
2008-03-03,48
2008-03-04,48
2008-03-05,47
2008-03-06,47
2008-03-07,47
2008-03-08,46
2008-03-09,46
2008-03-10,46
2008-03-11,46
2008-03-12,45
2008-03-13,45
2008-03-14,45
2008-03-15,44
2008-03-16,44
2008-03-17,44
2008-03-18,44
2008-03-19,43
2008-03-20,43
2008-03-21,43
2008-03-22,42
2008-03-23,42
2008-03-24,42
2008-03-25,42
2008-03-26,41
2008-03-27,41
2008-03-28,41
2008-03-29,40
