Date,Medis Technologies
2009-01-01,53
2009-01-02,53
2009-01-03,53
2009-01-04,54
2009-01-05,54
2009-01-06,55
2009-01-07,55
2009-01-08,55
2009-01-09,56
2009-01-10,56
2009-01-11,57
2009-01-12,57
2009-01-13,58
2009-01-14,58
2009-01-15,58
2009-01-16,59
2009-01-17,59
2009-01-18,60
2009-01-19,60
2009-01-20,60
2009-01-21,61
2009-01-22,61
2009-01-23,62
2009-01-24,62
2009-01-25,63
2009-01-26,63
2009-01-27,63
2009-01-28,64
2009-01-29,64
2009-01-30,65
2009-01-31,65
2009-02-01,66
2009-02-02,66
2009-02-03,66
2009-02-04,67
2009-02-05,67
2009-02-06,68
2009-02-07,68
2009-02-08,69
2009-02-09,69
2009-02-10,69
2009-02-11,70
2009-02-12,70
2009-02-13,71
2009-02-14,71
2009-02-15,72
2009-02-16,72
2009-02-17,72
2009-02-18,73
2009-02-19,73
2009-02-20,74
2009-02-21,74
2009-02-22,75
2009-02-23,75
2009-02-24,75
2009-02-25,76
2009-02-26,76
2009-02-27,77
2009-02-28,77
2009-03-01,78
2009-03-02,78
2009-03-03,78
2009-03-04,78
2009-03-05,78
2009-03-06,79
2009-03-07,79
2009-03-08,79
2009-03-09,79
2009-03-10,80
2009-03-11,80
2009-03-12,80
2009-03-13,80
2009-03-14,80
2009-03-15,81
2009-03-16,81
2009-03-17,81
2009-03-18,81
2009-03-19,82
2009-03-20,82
2009-03-21,82
2009-03-22,82
2009-03-23,82
2009-03-24,83
2009-03-25,83
2009-03-26,83
2009-03-27,83
2009-03-28,84
2009-03-29,84
2009-03-30,84
2009-03-31,84
2009-04-01,85
2009-04-02,85
2009-04-03,85
2009-04-04,85
2009-04-05,86
2009-04-06,86
2009-04-07,86
2009-04-08,86
2009-04-09,87
2009-04-10,87
2009-04-11,87
2009-04-12,87
2009-04-13,88
2009-04-14,88
2009-04-15,88
2009-04-16,89
2009-04-17,89
2009-04-18,89
2009-04-19,89
2009-04-20,90
2009-04-21,90
2009-04-22,90
2009-04-23,90
2009-04-24,91
2009-04-25,91
2009-04-26,91
2009-04-27,91
2009-04-28,92
2009-04-29,92
2009-04-30,92
2009-05-01,93
2009-05-02,93
2009-05-03,93
2009-05-04,93
2009-05-05,93
2009-05-06,94
2009-05-07,94
2009-05-08,94
2009-05-09,94
2009-05-10,95
2009-05-11,95
2009-05-12,95
2009-05-13,95
2009-05-14,95
2009-05-15,96
2009-05-16,96
2009-05-17,96
2009-05-18,96
2009-05-19,97
2009-05-20,97
2009-05-21,97
2009-05-22,97
2009-05-23,97
2009-05-24,98
2009-05-25,98
