Date,Infinera Corp
2006-12-03,16
2006-12-04,16
2006-12-05,16
2006-12-06,16
2006-12-07,16
2006-12-08,16
2006-12-09,16
2006-12-10,15
2006-12-11,15
2006-12-12,15
2006-12-13,15
2006-12-14,15
2006-12-15,15
2006-12-16,15
2006-12-17,15
2006-12-18,15
2006-12-19,15
2006-12-20,15
2006-12-21,15
2006-12-22,15
2006-12-23,15
2006-12-24,15
2006-12-25,15
2006-12-26,15
2006-12-27,15
2006-12-28,15
2006-12-29,15
2006-12-30,15
2006-12-31,15
2007-01-01,15
2007-01-02,15
2007-01-03,15
2007-01-04,15
2007-01-05,15
2007-01-06,15
2007-01-07,14
2007-01-08,14
2007-01-09,14
2007-01-10,13
2007-01-11,13
2007-01-12,13
2007-01-13,13
2007-01-14,13
2007-01-15,13
2007-01-16,13
2007-01-17,13
2007-01-18,13
2007-01-19,13
2007-01-20,13
2007-01-21,13
2007-01-22,14
2007-01-23,15
2007-01-24,15
2007-01-25,16
2007-01-26,17
2007-01-27,18
2007-01-28,18
2007-01-29,18
2007-01-30,18
2007-01-31,18
2007-02-01,18
2007-02-02,18
2007-02-03,19
2007-02-04,18
2007-02-05,17
2007-02-06,17
2007-02-07,16
2007-02-08,16
2007-02-09,15
2007-02-10,15
2007-02-11,15
2007-02-12,15
2007-02-13,15
2007-02-14,15
2007-02-15,15
2007-02-16,15
2007-02-17,15
2007-02-18,15
2007-02-19,15
2007-02-20,15
2007-02-21,16
2007-02-22,16
2007-02-23,16
2007-02-24,17
2007-02-25,20
2007-03-04,40
2007-03-05,36
2007-03-06,33
2007-03-07,29
2007-03-08,25
2007-03-09,21
2007-03-10,18
2007-03-11,17
2007-03-12,17
2007-03-13,16
2007-03-14,16
2007-03-15,15
2007-03-16,15
2007-03-17,15
2007-03-18,14
2007-03-19,14
2007-03-20,14
2007-03-21,13
2007-03-22,13
2007-03-23,13
2007-03-24,13
2007-03-25,14
2007-03-26,15
2007-03-27,16
2007-03-28,17
2007-03-29,18
2007-03-30,19
2007-03-31,21
2007-04-01,21
2007-04-02,20
2007-04-03,20
2007-04-04,20
2007-04-05,20
2007-04-06,20
2007-04-07,20
2007-04-08,20
2007-04-09,20
2007-04-10,20
2007-04-11,20
2007-04-12,20
2007-04-13,20
2007-04-14,20
2007-04-15,19
2007-04-16,18
2007-04-17,18
2007-04-18,17
2007-04-19,17
2007-04-20,16
2007-04-21,16
2007-04-22,15
2007-04-23,15
2007-04-24,15
2007-04-25,15
2007-04-26,15
2007-04-27,15
2007-04-28,15
2007-04-29,15
2007-04-30,14
2007-05-01,14
2007-05-02,14
2007-05-03,14
2007-05-04,14
2007-05-05,14
2007-05-06,13
2007-05-07,13
2007-05-08,13
2007-05-09,12
2007-05-10,12
2007-05-11,12
2007-05-12,12
2007-05-13,12
2007-05-14,12
2007-05-15,12
2007-05-16,12
2007-05-17,12
2007-05-18,12
2007-05-19,12
2007-05-20,13
2007-05-21,15
2007-05-22,17
2007-05-23,19
2007-05-24,21
2007-05-25,23
2007-05-26,25
2007-05-27,25
2007-06-03,37
2007-06-04,48
2007-06-05,59
2007-06-06,69
2007-06-07,80
2007-06-08,91
2007-06-09,102
2007-06-10,95
2007-06-11,86
2007-06-12,79
2007-06-13,72
2007-06-14,65
2007-06-15,58
2007-06-16,51
2007-06-17,49
2007-06-18,46
2007-06-19,44
2007-06-20,42
2007-06-21,40
2007-06-22,38
2007-06-23,36
2007-06-24,32
2007-06-25,29
2007-06-26,26
2007-06-27,22
2007-06-28,19
2007-06-29,16
2007-06-30,13
2007-07-01,14
2007-07-02,15
2007-07-03,16
2007-07-04,17
2007-07-05,18
2007-07-06,19
2007-07-07,20
2007-07-08,19
2007-07-09,19
2007-07-10,18
2007-07-11,18
2007-07-12,17
2007-07-13,17
2007-07-14,17
2007-07-15,18
2007-07-16,20
2007-07-17,21
2007-07-18,22
2007-07-19,24
2007-07-20,25
2007-07-21,27
2007-07-22,26
2007-07-23,25
2007-07-24,24
2007-07-25,23
2007-07-26,22
2007-07-27,21
2007-07-28,20
2007-07-29,20
2007-07-30,20
2007-07-31,20
2007-08-01,20
2007-08-02,21
2007-08-03,21
2007-08-04,21
2007-08-05,20
2007-08-06,19
2007-08-07,18
2007-08-08,17
2007-08-09,16
2007-08-10,15
2007-08-11,14
2007-08-12,13
2007-08-13,12
2007-08-14,12
2007-08-15,11
2007-08-16,11
2007-08-17,10
2007-08-18,10
2007-08-19,10
2007-08-20,10
2007-08-21,11
2007-08-22,11
2007-08-23,12
2007-08-24,12
2007-08-25,13
2007-08-26,13
2007-09-02,14
2007-09-03,17
2007-09-04,13
2007-09-05,12
2007-09-06,12
2007-09-07,11
2007-09-08,11
2007-09-09,10
2007-09-10,10
2007-09-11,10
2007-09-12,10
2007-09-13,10
2007-09-14,10
2007-09-15,10
2007-09-16,10
2007-09-17,10
2007-09-18,10
2007-09-19,10
2007-09-20,10
2007-09-21,10
2007-09-22,10
2007-09-23,11
2007-09-24,12
2007-09-25,13
2007-09-26,14
2007-09-27,15
2007-09-28,16
2007-09-29,18
2007-09-30,18
2007-10-01,18
2007-10-02,18
2007-10-03,18
2007-10-04,18
2007-10-05,18
2007-10-06,19
2007-10-07,19
2007-10-08,19
2007-10-09,19
2007-10-10,19
2007-10-11,19
2007-10-12,19
2007-10-13,20
2007-10-14,20
2007-10-15,20
2007-10-16,20
2007-10-17,21
2007-10-18,21
2007-10-19,21
2007-10-20,22
2007-10-21,21
2007-10-22,21
2007-10-23,21
2007-10-24,20
2007-10-25,20
2007-10-26,20
2007-10-27,20
2007-10-28,19
2007-10-29,19
2007-10-30,19
2007-10-31,19
2007-11-01,19
2007-11-02,19
2007-11-03,19
2007-11-04,18
2007-11-05,18
2007-11-06,18
2007-11-07,17
2007-11-08,17
2007-11-09,17
2007-11-10,17
2007-11-11,17
2007-11-12,17
2007-11-13,17
2007-11-14,17
2007-11-15,17
2007-11-16,17
2007-11-17,18
2007-11-18,18
2007-11-19,18
2007-11-20,18
2007-11-21,18
2007-11-22,18
2007-11-23,18
2007-11-24,19
2007-11-25,19
2007-12-02,19
2007-12-03,19
2007-12-04,19
2007-12-05,19
2007-12-06,19
2007-12-07,20
2007-12-08,20
2007-12-09,19
2007-12-10,18
2007-12-11,17
2007-12-12,17
2007-12-13,16
2007-12-14,15
2007-12-15,15
2007-12-16,15
2007-12-17,15
2007-12-18,15
2007-12-19,16
2007-12-20,16
2007-12-21,16
2007-12-22,17
2007-12-23,16
2007-12-24,15
2007-12-25,14
2007-12-26,13
2007-12-27,12
2007-12-28,11
2007-12-29,11
2007-12-30,11
2007-12-31,11
2008-01-01,11
2008-01-02,11
2008-01-03,11
2008-01-04,11
2008-01-05,11
2008-01-06,12
2008-01-07,13
2008-01-08,14
2008-01-09,15
2008-01-10,16
2008-01-11,17
2008-01-12,18
2008-01-13,17
2008-01-14,16
2008-01-15,15
2008-01-16,15
2008-01-17,14
2008-01-18,13
2008-01-19,13
2008-01-20,13
2008-01-21,13
2008-01-22,13
2008-01-23,14
2008-01-24,14
2008-01-25,14
2008-01-26,15
2008-01-27,16
2008-01-28,18
2008-01-29,19
2008-01-30,21
2008-01-31,23
2008-02-01,24
2008-02-02,26
2008-02-03,25
2008-02-04,24
2008-02-05,23
2008-02-06,22
2008-02-07,21
2008-02-08,20
2008-02-09,20
2008-02-10,19
2008-02-11,19
2008-02-12,18
2008-02-13,18
2008-02-14,17
2008-02-15,17
2008-02-16,17
2008-02-17,16
2008-02-18,16
2008-02-19,16
2008-02-20,16
2008-02-21,16
2008-02-22,16
2008-02-23,16
2008-02-24,15
2008-03-02,13
2008-03-03,14
2008-03-04,15
2008-03-05,16
2008-03-06,16
2008-03-07,17
2008-03-08,18
2008-03-09,17
2008-03-10,16
2008-03-11,16
2008-03-12,15
2008-03-13,14
2008-03-14,13
2008-03-15,13
2008-03-16,12
