Date,Renewable Energy Group
2011-01-08,76
2011-01-09,75
2011-01-10,75
2011-01-11,74
2011-01-12,74
2011-01-13,73
2011-01-14,73
2011-01-15,72
2011-01-16,68
2011-01-17,63
2011-01-18,59
2011-01-19,54
2011-01-20,50
2011-01-21,46
2011-01-22,42
2011-01-23,48
2011-01-24,54
2011-01-25,60
2011-01-26,67
2011-01-27,73
2011-01-28,79
2011-01-29,86
2011-01-30,83
2011-01-31,81
2011-02-01,79
2011-02-02,77
2011-02-03,74
2011-02-04,72
2011-02-05,70
2011-02-06,69
2011-02-07,69
2011-02-08,68
2011-02-09,68
2011-02-10,67
2011-02-11,67
2011-02-12,66
2011-02-13,66
2011-02-14,65
2011-02-15,65
2011-02-16,65
2011-02-17,65
2011-02-18,65
2011-02-19,65
2011-02-20,64
2011-02-21,64
2011-02-22,63
2011-02-23,63
2011-02-24,62
2011-02-25,62
2011-02-26,62
2011-02-27,62
2011-02-28,63
2011-03-01,64
2011-03-02,65
2011-03-03,65
2011-03-04,66
2011-03-05,66
2011-03-06,65
2011-03-07,63
2011-03-08,61
2011-03-09,60
2011-03-10,58
2011-03-11,56
2011-03-12,55
2011-03-13,53
2011-03-14,50
2011-03-15,48
2011-03-16,46
2011-03-17,44
2011-03-18,42
2011-03-19,40
2011-03-20,45
2011-03-21,50
2011-03-22,55
2011-03-23,61
2011-03-24,66
2011-03-25,71
2011-03-26,76
2011-03-27,75
2011-04-03,67
2011-04-04,66
2011-04-05,64
2011-04-06,63
2011-04-07,61
2011-04-08,59
2011-04-09,58
2011-04-10,56
2011-04-11,55
2011-04-12,53
2011-04-13,52
2011-04-14,50
2011-04-15,49
2011-04-16,48
2011-04-17,49
2011-04-18,51
2011-04-19,53
2011-04-20,54
2011-04-21,56
2011-04-22,58
2011-04-23,59
2011-04-24,59
2011-04-25,58
2011-04-26,58
2011-04-27,57
2011-04-28,57
2011-04-29,57
2011-04-30,57
2011-05-01,57
2011-05-02,57
2011-05-03,57
2011-05-04,57
2011-05-05,57
2011-05-06,57
2011-05-07,58
2011-05-08,58
2011-05-09,59
2011-05-10,60
2011-05-11,60
2011-05-12,61
2011-05-13,62
2011-05-14,63
2011-05-15,61
2011-05-16,59
2011-05-17,57
2011-05-18,55
2011-05-19,53
2011-05-20,51
2011-05-21,50
2011-05-22,51
2011-05-23,53
2011-05-24,55
2011-05-25,56
2011-05-26,58
2011-05-27,60
2011-05-28,62
2011-05-29,67
2011-05-30,73
2011-05-31,78
2011-06-01,84
2011-06-02,89
2011-06-03,95
2011-06-04,100
2011-06-05,97
2011-06-06,92
2011-06-07,88
2011-06-08,84
2011-06-09,80
2011-06-10,76
2011-06-11,73
2011-06-12,73
2011-06-13,75
2011-06-14,75
2011-06-15,76
2011-06-16,77
2011-06-17,78
2011-06-18,78
2011-06-19,76
2011-06-20,73
2011-06-21,71
2011-06-22,69
