Date,BladeLogic
2006-10-01,0
2006-10-02,0
2006-10-03,0
2006-10-04,0
2006-10-05,0
2006-10-06,0
2006-10-07,0
2006-10-08,0
2006-10-09,0
2006-10-10,0
2006-10-11,0
2006-10-12,0
2006-10-13,0
2006-10-14,0
2006-10-15,3
2006-10-16,6
2006-10-17,9
2006-10-18,13
2006-10-19,16
2006-10-20,19
2006-10-21,23
2006-10-22,19
2006-10-23,16
2006-10-24,13
2006-10-25,9
2006-10-26,6
2006-10-27,3
2006-10-28,0
2006-10-29,0
2006-10-30,0
2006-10-31,0
2006-11-01,0
2006-11-02,0
2006-11-03,0
2006-11-04,0
2006-11-05,0
2006-11-06,0
2006-11-07,0
2006-11-08,0
2006-11-09,0
2006-11-10,0
2006-11-11,0
2006-11-12,0
2006-11-13,0
2006-11-14,0
2006-11-15,0
2006-11-16,0
2006-11-17,0
2006-11-18,0
2006-11-19,0
2006-11-20,0
2006-11-21,0
2006-11-22,0
2006-11-23,0
2006-11-24,0
2006-11-25,0
2006-11-26,0
2006-11-27,0
2006-11-28,0
2006-11-29,0
2006-11-30,0
2006-12-01,0
2006-12-02,0
2006-12-03,0
2006-12-04,0
2006-12-05,0
2006-12-06,0
2006-12-07,0
2006-12-08,0
2006-12-09,0
2006-12-10,3
2006-12-11,6
2006-12-12,10
2006-12-13,13
2006-12-14,17
2006-12-15,20
2006-12-16,24
2006-12-17,23
2006-12-18,23
2006-12-19,23
2006-12-20,22
2006-12-21,22
2006-12-22,22
2006-12-23,22
2006-12-24,22
2006-12-25,22
2006-12-26,22
2006-12-27,22
2006-12-28,22
2006-12-29,22
2006-12-30,22
2006-12-31,22
2007-01-07,22
2007-01-08,22
2007-01-09,22
2007-01-10,22
2007-01-11,22
2007-01-12,22
2007-01-13,22
2007-01-14,22
2007-01-15,22
2007-01-16,22
2007-01-17,22
2007-01-18,22
2007-01-19,22
2007-01-20,23
2007-01-21,23
2007-01-22,23
2007-01-23,23
2007-01-24,23
2007-01-25,23
2007-01-26,24
2007-01-27,24
2007-01-28,24
2007-01-29,24
2007-01-30,24
2007-01-31,24
2007-02-01,24
2007-02-02,24
2007-02-03,24
2007-02-04,24
2007-02-05,24
2007-02-06,24
2007-02-07,24
2007-02-08,24
2007-02-09,24
2007-02-10,25
2007-02-11,24
2007-02-12,24
2007-02-13,24
2007-02-14,24
2007-02-15,24
2007-02-16,24
2007-02-17,24
2007-02-18,24
2007-02-19,24
2007-02-20,24
2007-02-21,24
2007-02-22,24
2007-02-23,24
2007-02-24,24
2007-02-25,23
2007-02-26,23
2007-02-27,23
2007-02-28,22
2007-03-01,22
2007-03-02,22
2007-03-03,22
2007-03-04,22
2007-03-05,22
2007-03-06,22
2007-03-07,22
2007-03-08,22
2007-03-09,22
2007-03-10,22
2007-03-11,22
2007-03-12,22
2007-03-13,22
2007-03-14,22
2007-03-15,22
2007-03-16,22
2007-03-17,22
2007-03-18,22
2007-03-19,22
2007-03-20,22
2007-03-21,22
2007-03-22,22
2007-03-23,22
2007-03-24,22
2007-03-25,21
2007-04-01,18
2007-04-02,18
2007-04-03,18
2007-04-04,18
2007-04-05,18
2007-04-06,18
2007-04-07,18
2007-04-08,18
2007-04-09,18
2007-04-10,19
2007-04-11,19
2007-04-12,20
2007-04-13,20
2007-04-14,21
2007-04-15,21
2007-04-16,21
2007-04-17,21
2007-04-18,21
2007-04-19,21
2007-04-20,21
2007-04-21,21
2007-04-22,21
2007-04-23,21
2007-04-24,21
2007-04-25,21
2007-04-26,21
2007-04-27,21
2007-04-28,22
2007-04-29,22
2007-04-30,22
2007-05-01,22
2007-05-02,22
2007-05-03,22
2007-05-04,22
2007-05-05,22
2007-05-06,22
2007-05-07,22
2007-05-08,22
2007-05-09,22
2007-05-10,22
2007-05-11,22
2007-05-12,22
2007-05-13,22
2007-05-14,22
2007-05-15,22
2007-05-16,22
2007-05-17,22
2007-05-18,22
2007-05-19,22
2007-05-20,22
2007-05-21,22
2007-05-22,22
2007-05-23,22
2007-05-24,22
2007-05-25,22
2007-05-26,22
2007-05-27,22
2007-05-28,22
2007-05-29,22
2007-05-30,22
2007-05-31,22
2007-06-01,22
2007-06-02,22
2007-06-03,22
2007-06-04,23
2007-06-05,24
2007-06-06,25
2007-06-07,26
2007-06-08,27
2007-06-09,28
2007-06-10,27
2007-06-11,27
2007-06-12,27
2007-06-13,26
2007-06-14,26
2007-06-15,26
2007-06-16,26
2007-06-17,25
2007-06-18,24
2007-06-19,23
2007-06-20,22
2007-06-21,21
2007-06-22,20
2007-06-23,19
2007-06-24,20
2007-07-01,30
2007-07-02,30
2007-07-03,30
2007-07-04,29
2007-07-05,29
2007-07-06,29
2007-07-07,29
2007-07-08,30
2007-07-09,31
2007-07-10,32
2007-07-11,33
2007-07-12,34
2007-07-13,35
2007-07-14,36
2007-07-15,36
2007-07-16,36
2007-07-17,36
2007-07-18,36
2007-07-19,36
2007-07-20,36
2007-07-21,37
2007-07-22,43
2007-07-23,51
2007-07-24,57
2007-07-25,64
2007-07-26,71
2007-07-27,78
2007-07-28,85
2007-07-29,80
2007-07-30,71
2007-07-31,65
2007-08-01,59
2007-08-02,53
2007-08-03,47
2007-08-04,41
2007-08-05,38
2007-08-06,35
2007-08-07,32
2007-08-08,29
2007-08-09,26
2007-08-10,23
2007-08-11,20
2007-08-12,20
2007-08-13,20
2007-08-14,20
2007-08-15,20
2007-08-16,20
2007-08-17,20
2007-08-18,20
2007-08-19,19
2007-08-20,19
2007-08-21,18
2007-08-22,17
2007-08-23,17
2007-08-24,16
2007-08-25,16
2007-08-26,16
2007-08-27,16
2007-08-28,16
2007-08-29,17
2007-08-30,17
2007-08-31,17
2007-09-01,18
2007-09-02,18
2007-09-03,19
2007-09-04,20
2007-09-05,20
2007-09-06,21
2007-09-07,22
2007-09-08,23
2007-09-09,22
2007-09-10,21
2007-09-11,21
2007-09-12,20
2007-09-13,19
2007-09-14,18
2007-09-15,18
2007-09-16,18
2007-09-17,18
2007-09-18,18
2007-09-19,18
2007-09-20,18
2007-09-21,18
2007-09-22,18
2007-09-23,18
2007-09-24,18
2007-09-25,18
2007-09-26,18
2007-09-27,18
2007-09-28,18
2007-09-29,18
2007-09-30,19
2007-10-07,25
2007-10-08,24
2007-10-09,23
2007-10-10,23
2007-10-11,22
2007-10-12,21
2007-10-13,21
2007-10-14,21
2007-10-15,21
2007-10-16,21
2007-10-17,21
2007-10-18,21
2007-10-19,21
2007-10-20,21
2007-10-21,21
2007-10-22,21
2007-10-23,21
2007-10-24,21
2007-10-25,21
