Date,Blackhawk Network
2012-09-08,57
2012-09-09,54
2012-09-10,51
2012-09-11,48
2012-09-12,45
2012-09-13,42
2012-09-14,39
2012-09-15,36
2012-09-16,36
2012-09-17,35
2012-09-18,35
2012-09-19,35
2012-09-20,35
2012-09-21,35
2012-09-22,35
2012-09-23,34
2012-09-24,33
2012-09-25,32
2012-09-26,31
2012-09-27,30
2012-09-28,29
2012-09-29,28
2012-09-30,29
2012-10-01,30
2012-10-02,31
2012-10-03,32
2012-10-04,33
2012-10-05,34
2012-10-06,35
2012-10-07,35
2012-10-08,35
2012-10-09,36
2012-10-10,36
2012-10-11,36
2012-10-12,37
2012-10-13,37
2012-10-14,35
2012-10-15,33
2012-10-16,31
2012-10-17,29
2012-10-18,27
2012-10-19,25
2012-10-20,23
2012-10-21,22
2012-10-22,22
2012-10-23,21
2012-10-24,21
2012-10-25,20
2012-10-26,20
2012-10-27,20
2012-10-28,20
2012-10-29,21
2012-10-30,22
2012-10-31,22
2012-11-01,23
2012-11-02,24
2012-11-03,25
2012-11-04,25
2012-11-05,26
2012-11-06,27
2012-11-07,28
2012-11-08,29
2012-11-09,30
2012-11-10,31
2012-11-11,30
2012-11-12,29
2012-11-13,28
2012-11-14,27
2012-11-15,26
2012-11-16,26
2012-11-17,25
2012-11-18,25
2012-11-19,24
2012-11-20,24
2012-11-21,24
2012-11-22,24
2012-11-23,24
2012-11-24,24
2012-11-25,25
2012-12-02,33
2012-12-03,32
2012-12-04,31
2012-12-05,30
2012-12-06,29
2012-12-07,28
2012-12-08,27
2012-12-09,26
2012-12-10,25
2012-12-11,24
2012-12-12,23
2012-12-13,22
2012-12-14,21
2012-12-15,20
2012-12-16,21
2012-12-17,23
2012-12-18,24
2012-12-19,26
2012-12-20,27
2012-12-21,29
2012-12-22,30
2012-12-23,29
2012-12-24,26
2012-12-25,25
2012-12-26,23
2012-12-27,22
2012-12-28,20
2012-12-29,19
2012-12-30,19
2012-12-31,19
2013-01-01,19
2013-01-02,19
2013-01-03,19
2013-01-04,19
2013-01-05,20
2013-01-06,21
2013-01-07,23
2013-01-08,25
2013-01-09,27
2013-01-10,29
2013-01-11,31
2013-01-12,33
2013-01-13,34
2013-01-14,36
2013-01-15,38
2013-01-16,40
2013-01-17,42
2013-01-18,44
2013-01-19,46
2013-01-20,44
2013-01-21,42
2013-01-22,41
2013-01-23,39
2013-01-24,37
2013-01-25,35
2013-01-26,34
2013-01-27,33
2013-01-28,33
2013-01-29,32
2013-01-30,32
2013-01-31,31
2013-02-01,31
2013-02-02,31
2013-02-03,30
2013-02-04,29
2013-02-05,28
2013-02-06,28
2013-02-07,27
2013-02-08,26
2013-02-09,26
2013-02-10,28
2013-02-11,30
2013-02-12,32
2013-02-13,34
2013-02-14,36
2013-02-15,39
2013-02-16,41
2013-02-17,39
2013-02-18,38
2013-02-19,36
2013-02-20,35
2013-02-21,33
2013-02-22,32
2013-02-23,31
2013-02-24,30
2013-03-03,26
2013-03-04,25
2013-03-05,25
2013-03-06,24
2013-03-07,24
2013-03-08,23
2013-03-09,23
2013-03-10,24
2013-03-11,25
2013-03-12,26
2013-03-13,27
2013-03-14,28
2013-03-15,29
2013-03-16,31
2013-03-17,35
2013-03-18,39
2013-03-19,43
2013-03-20,47
2013-03-21,51
2013-03-22,56
2013-03-23,60
2013-03-24,57
2013-03-25,53
2013-03-26,51
2013-03-27,48
2013-03-28,46
2013-03-29,43
2013-03-30,41
2013-03-31,41
2013-04-01,42
2013-04-02,42
2013-04-03,43
2013-04-04,43
2013-04-05,44
2013-04-06,45
2013-04-07,43
2013-04-08,42
2013-04-09,41
2013-04-10,39
2013-04-11,38
2013-04-12,37
2013-04-13,36
2013-04-14,45
2013-04-15,54
2013-04-16,64
2013-04-17,73
2013-04-18,82
2013-04-19,92
2013-04-20,101
2013-04-21,95
2013-04-22,87
2013-04-23,81
2013-04-24,74
2013-04-25,67
2013-04-26,61
2013-04-27,54
2013-04-28,50
2013-04-29,46
2013-04-30,42
2013-05-01,38
2013-05-02,34
2013-05-03,30
2013-05-04,27
2013-05-05,28
2013-05-06,29
2013-05-07,31
2013-05-08,32
2013-05-09,34
2013-05-10,35
2013-05-11,37
2013-05-12,37
2013-05-13,38
2013-05-14,38
2013-05-15,39
2013-05-16,40
2013-05-17,40
2013-05-18,41
2013-05-19,39
2013-05-20,37
2013-05-21,35
2013-05-22,34
2013-05-23,32
2013-05-24,30
2013-05-25,29
2013-05-26,28
2013-06-02,26
2013-06-03,28
2013-06-04,29
2013-06-05,31
2013-06-06,32
2013-06-07,34
2013-06-08,36
2013-06-09,35
2013-06-10,35
2013-06-11,34
2013-06-12,34
2013-06-13,34
2013-06-14,33
2013-06-15,33
2013-06-16,32
2013-06-17,31
2013-06-18,30
2013-06-19,30
2013-06-20,29
2013-06-21,28
2013-06-22,28
2013-06-23,29
2013-06-24,30
