Date,Triple-S Management
2006-10-01,83
2006-10-02,82
2006-10-03,82
2006-10-04,81
2006-10-05,81
2006-10-06,81
2006-10-07,80
2006-10-08,80
2006-10-09,79
2006-10-10,79
2006-10-11,79
2006-10-12,78
2006-10-13,78
2006-10-14,77
2006-10-15,77
2006-10-16,77
2006-10-17,76
2006-10-18,76
2006-10-19,76
2006-10-20,75
2006-10-21,75
2006-10-22,74
2006-10-23,74
2006-10-24,74
2006-10-25,73
2006-10-26,73
2006-10-27,72
2006-10-28,72
2006-10-29,72
2006-10-30,71
2006-10-31,71
2006-11-01,71
2006-11-02,71
2006-11-03,71
2006-11-04,71
2006-11-05,71
2006-11-06,71
2006-11-07,71
2006-11-08,71
2006-11-09,71
2006-11-10,71
2006-11-11,71
2006-11-12,71
2006-11-13,71
2006-11-14,71
2006-11-15,71
2006-11-16,71
2006-11-17,71
2006-11-18,71
2006-11-19,71
2006-11-20,71
2006-11-21,71
2006-11-22,71
2006-11-23,71
2006-11-24,71
2006-11-25,71
2006-11-26,71
2006-11-27,71
2006-11-28,71
2006-11-29,71
2006-11-30,71
2006-12-01,71
2006-12-02,70
2006-12-03,70
2006-12-04,70
2006-12-05,69
2006-12-06,69
2006-12-07,69
2006-12-08,68
2006-12-09,68
2006-12-10,68
2006-12-11,67
2006-12-12,67
2006-12-13,67
2006-12-14,66
2006-12-15,66
2006-12-16,66
2006-12-17,65
2006-12-18,65
2006-12-19,65
2006-12-20,64
2006-12-21,64
2006-12-22,64
2006-12-23,63
2006-12-24,63
2006-12-25,63
2006-12-26,62
2006-12-27,62
2006-12-28,62
2006-12-29,61
2006-12-30,61
2006-12-31,61
2007-01-01,61
2007-01-02,62
2007-01-03,63
2007-01-04,64
2007-01-05,66
2007-01-06,67
2007-01-07,68
2007-01-08,69
2007-01-09,71
2007-01-10,72
2007-01-11,73
2007-01-12,74
2007-01-13,76
2007-01-14,77
2007-01-15,78
2007-01-16,79
2007-01-17,81
2007-01-18,82
2007-01-19,83
2007-01-20,84
2007-01-21,86
2007-01-22,87
2007-01-23,88
2007-01-24,89
2007-01-25,91
2007-01-26,92
2007-01-27,93
2007-01-28,94
2007-01-29,96
2007-01-30,97
2007-01-31,98
2007-02-01,100
2007-02-02,98
2007-02-03,97
2007-02-04,96
2007-02-05,95
2007-02-06,94
2007-02-07,93
2007-02-08,92
2007-02-09,91
2007-02-10,90
2007-02-11,88
2007-02-12,87
2007-02-13,86
2007-02-14,85
2007-02-15,84
2007-02-16,83
2007-02-17,82
2007-02-18,81
2007-02-19,80
2007-02-20,78
2007-02-21,77
2007-02-22,76
2007-02-23,75
2007-02-24,74
2007-02-25,73
2007-02-26,72
2007-02-27,71
2007-02-28,70
2007-03-01,69
2007-03-02,69
2007-03-03,69
2007-03-04,69
2007-03-05,69
2007-03-06,69
2007-03-07,69
2007-03-08,69
2007-03-09,69
2007-03-10,69
2007-03-11,69
2007-03-12,69
2007-03-13,69
2007-03-14,69
2007-03-15,69
2007-03-16,69
2007-03-17,69
2007-03-18,69
2007-03-19,69
2007-03-20,69
2007-03-21,69
2007-03-22,69
2007-03-23,69
2007-03-24,69
2007-03-25,69
2007-03-26,69
2007-03-27,69
2007-03-28,69
2007-03-29,69
2007-03-30,69
2007-03-31,69
2007-04-01,69
2007-04-02,68
2007-04-03,68
2007-04-04,67
2007-04-05,67
2007-04-06,66
2007-04-07,66
2007-04-08,65
2007-04-09,65
2007-04-10,64
2007-04-11,64
2007-04-12,63
2007-04-13,63
2007-04-14,62
2007-04-15,62
2007-04-16,62
2007-04-17,61
2007-04-18,61
2007-04-19,60
2007-04-20,60
2007-04-21,59
2007-04-22,59
