Date,Targa Resources
2010-07-21,0
2010-07-22,0
2010-07-23,0
2010-07-24,0
2010-07-25,7
2010-07-26,15
2010-07-27,23
2010-07-28,31
2010-07-29,39
2010-07-30,47
2010-07-31,55
2010-08-01,58
2010-08-02,61
2010-08-03,64
2010-08-04,67
2010-08-05,70
2010-08-06,73
2010-08-07,77
2010-08-08,80
2010-08-09,83
2010-08-10,86
2010-08-11,90
2010-08-12,93
2010-08-13,96
2010-08-14,100
2010-08-15,93
2010-08-16,86
2010-08-17,79
2010-08-18,72
2010-08-19,65
2010-08-20,58
2010-08-21,52
2010-08-22,52
2010-08-23,52
2010-08-24,52
2010-08-25,52
2010-08-26,52
2010-08-27,52
2010-08-28,52
2010-08-29,52
2010-08-30,52
2010-08-31,52
2010-09-01,52
2010-09-02,52
2010-09-03,52
2010-09-04,52
2010-09-05,52
2010-09-06,53
2010-09-07,54
2010-09-08,54
2010-09-09,55
2010-09-10,56
2010-09-11,57
2010-09-12,57
2010-09-13,58
2010-09-14,58
2010-09-15,59
2010-09-16,59
2010-09-17,60
2010-09-18,61
2010-09-19,60
2010-09-20,59
2010-09-21,58
2010-09-22,57
2010-09-23,56
2010-09-24,55
2010-09-25,54
2010-09-26,54
2010-09-27,54
2010-09-28,54
2010-09-29,54
2010-09-30,54
2010-10-01,54
2010-10-02,54
2010-10-03,54
2010-10-04,55
2010-10-05,56
2010-10-06,56
2010-10-07,57
2010-10-08,58
2010-10-09,59
2010-10-10,58
2010-10-11,58
2010-10-12,58
2010-10-13,58
2010-10-14,58
2010-10-15,58
2010-10-16,58
2010-10-17,58
2010-10-18,58
2010-10-19,58
2010-10-20,58
2010-10-21,58
2010-10-22,58
2010-10-23,58
2010-10-24,58
2010-10-25,58
2010-10-26,58
2010-10-27,58
2010-10-28,58
2010-10-29,58
2010-10-30,58
2010-10-31,58
2010-11-01,58
2010-11-02,58
2010-11-03,58
2010-11-04,58
2010-11-05,58
2010-11-06,58
2010-11-07,58
2010-11-08,59
2010-11-09,60
2010-11-10,61
2010-11-11,62
2010-11-12,63
2010-11-13,64
2010-11-14,65
2010-11-15,66
2010-11-16,67
2010-11-17,68
2010-11-18,69
2010-11-19,70
2010-11-20,71
2010-11-21,71
2010-11-22,72
2010-11-23,73
2010-11-24,74
2010-11-25,75
2010-11-26,76
2010-11-27,77
2010-11-28,77
2010-11-29,78
2010-11-30,79
2010-12-05,79
2010-12-06,77
2010-12-07,74
2010-12-08,70
2010-12-09,67
2010-12-10,64
2010-12-11,61
2010-12-12,61
2010-12-13,61
2010-12-14,61
2010-12-15,61
2010-12-16,61
2010-12-17,61
2010-12-18,61
2010-12-19,59
2010-12-20,57
2010-12-21,55
2010-12-22,53
2010-12-23,51
2010-12-24,49
2010-12-25,47
2010-12-26,47
2010-12-27,47
2010-12-28,47
2010-12-29,47
2010-12-30,47
2010-12-31,47
2011-01-01,47
2011-01-02,47
2011-01-03,47
2011-01-04,47
2011-01-05,47
2011-01-06,47
2011-01-07,47
2011-01-08,47
2011-01-09,50
2011-01-10,54
2011-01-11,57
2011-01-12,61
2011-01-13,64
2011-01-14,68
2011-01-15,72
2011-01-16,71
2011-01-17,71
2011-01-18,71
2011-01-19,71
2011-01-20,70
2011-01-21,70
2011-01-22,70
2011-01-23,67
2011-01-24,63
2011-01-25,60
2011-01-26,57
2011-01-27,54
2011-01-28,51
2011-01-29,48
2011-01-30,50
2011-01-31,52
2011-02-01,54
2011-02-02,56
2011-02-03,58
2011-02-04,61
2011-02-05,63
2011-02-06,60
2011-02-07,57
2011-02-08,54
2011-02-09,51
2011-02-10,48
2011-02-11,45
2011-02-12,43
2011-02-13,43
2011-02-14,43
2011-02-15,43
2011-02-16,43
2011-02-17,43
2011-02-18,43
2011-02-19,43
2011-02-20,43
2011-02-21,43
2011-02-22,43
2011-02-23,43
2011-02-24,43
2011-02-25,43
2011-02-26,43
2011-02-27,46
2011-03-06,67
2011-03-07,70
2011-03-08,73
2011-03-09,76
2011-03-10,79
2011-03-11,82
2011-03-12,85
2011-03-13,83
2011-03-14,81
2011-03-15,80
2011-03-16,78
2011-03-17,76
2011-03-18,74
2011-03-19,73
2011-03-20,73
2011-03-21,73
2011-03-22,74
2011-03-23,74
2011-03-24,75
2011-03-25,75
2011-03-26,76
2011-03-27,73
2011-03-28,71
2011-03-29,69
2011-03-30,66
2011-03-31,64
2011-04-01,62
2011-04-02,60
2011-04-03,63
2011-04-04,66
2011-04-05,69
2011-04-06,73
2011-04-07,76
2011-04-08,79
2011-04-09,83
2011-04-10,85
2011-04-11,88
2011-04-12,90
2011-04-13,92
2011-04-14,95
2011-04-15,97
2011-04-16,100
2011-04-17,95
2011-04-18,90
2011-04-19,85
2011-04-20,80
2011-04-21,75
2011-04-22,69
2011-04-23,64
2011-04-24,62
2011-04-25,60
2011-04-26,58
2011-04-27,56
2011-04-28,54
2011-04-29,52
2011-04-30,51
2011-05-01,51
2011-05-02,51
2011-05-03,51
2011-05-04,51
2011-05-05,51
2011-05-06,51
2011-05-07,51
2011-05-08,51
2011-05-09,51
2011-05-10,51
2011-05-11,51
2011-05-12,51
2011-05-13,51
2011-05-14,51
2011-05-15,51
2011-05-16,51
2011-05-17,51
2011-05-18,51
2011-05-19,51
2011-05-20,51
2011-05-21,52
2011-05-22,52
2011-05-23,53
2011-05-24,53
2011-05-25,54
2011-05-26,54
2011-05-27,55
2011-05-28,57
2011-05-29,50
2011-06-05,47
2011-06-06,50
2011-06-07,53
2011-06-08,57
2011-06-09,60
2011-06-10,63
2011-06-11,67
2011-06-12,64
2011-06-13,61
2011-06-14,58
2011-06-15,55
2011-06-16,52
2011-06-17,49
2011-06-18,47
2011-06-19,47
2011-06-20,48
2011-06-21,48
2011-06-22,49
2011-06-23,49
2011-06-24,50
2011-06-25,51
2011-06-26,52
2011-06-27,53
2011-06-28,55
2011-06-29,56
2011-06-30,57
2011-07-01,58
2011-07-02,60
2011-07-03,57
2011-07-04,55
2011-07-05,52
2011-07-06,50
2011-07-07,47
2011-07-08,45
2011-07-09,43
2011-07-10,43
2011-07-11,43
2011-07-12,43
2011-07-13,43
2011-07-14,43
2011-07-15,43
2011-07-16,43
2011-07-17,43
2011-07-18,43
2011-07-19,43
2011-07-20,43
2011-07-21,43
2011-07-22,43
2011-07-23,43
2011-07-24,43
2011-07-25,43
2011-07-26,43
2011-07-27,43
2011-07-28,43
2011-07-29,43
2011-07-30,43
2011-07-31,43
2011-08-01,43
2011-08-02,43
2011-08-03,43
2011-08-04,43
2011-08-05,43
2011-08-06,44
2011-08-07,44
2011-08-08,44
2011-08-09,44
2011-08-10,44
2011-08-11,44
2011-08-12,44
2011-08-13,45
2011-08-14,45
2011-08-15,45
2011-08-16,45
2011-08-17,45
2011-08-18,45
2011-08-19,45
2011-08-20,46
2011-08-21,46
2011-08-22,46
2011-08-23,46
2011-08-24,46
2011-08-25,46
2011-08-26,46
2011-08-27,47
2011-08-28,47
2011-09-04,48
2011-09-05,59
2011-09-06,49
2011-09-07,49
2011-09-08,50
2011-09-09,50
2011-09-10,51
2011-09-11,51
2011-09-12,52
2011-09-13,52
2011-09-14,53
2011-09-15,54
2011-09-16,54
2011-09-17,55
2011-09-18,53
2011-09-19,51
2011-09-20,49
2011-09-21,47
2011-09-22,45
2011-09-23,44
2011-09-24,42
2011-09-25,42
2011-09-26,43
2011-09-27,43
2011-09-28,44
2011-09-29,44
2011-09-30,45
2011-10-01,46
2011-10-02,46
2011-10-03,47
2011-10-04,47
2011-10-05,48
2011-10-06,48
2011-10-07,49
2011-10-08,49
2011-10-09,48
2011-10-10,46
2011-10-11,45
2011-10-12,44
2011-10-13,43
2011-10-14,42
2011-10-15,41
2011-10-16,40
2011-10-17,40
2011-10-18,39
2011-10-19,39
2011-10-20,38
2011-10-21,38
2011-10-22,38
2011-10-23,39
2011-10-24,40
2011-10-25,41
2011-10-26,42
2011-10-27,43
2011-10-28,44
2011-10-29,45
2011-10-30,46
2011-10-31,47
2011-11-01,48
2011-11-02,49
2011-11-03,50
2011-11-04,51
2011-11-05,52
2011-11-06,54
2011-11-07,58
2011-11-08,60
2011-11-09,63
2011-11-10,66
2011-11-11,69
2011-11-12,72
2011-11-13,62
2011-11-14,52
2011-11-15,41
2011-11-16,31
2011-11-17,21
2011-11-18,10
2011-11-19,0
2011-11-20,0
2011-11-21,0
2011-11-22,0
2011-11-23,0
2011-11-24,0
2011-11-25,0
2011-11-26,0
2011-11-27,0
2011-12-04,0
2011-12-05,0
2011-12-06,0
2011-12-07,0
2011-12-08,0
2011-12-09,0
2011-12-10,0
2011-12-11,0
2011-12-12,0
2011-12-13,0
2011-12-14,0
2011-12-15,0
2011-12-16,0
2011-12-17,0
2011-12-18,0
2011-12-19,0
2011-12-20,0
2011-12-21,0
2011-12-22,0
2011-12-23,0
2011-12-24,0
2011-12-25,0
2011-12-26,0
2011-12-27,0
2011-12-28,0
2011-12-29,0
2011-12-30,0
2011-12-31,0
2012-01-01,7
2012-01-02,15
2012-01-03,23
2012-01-04,31
2012-01-05,39
2012-01-06,47
2012-01-07,55
2012-01-08,53
2012-01-09,50
2012-01-10,47
2012-01-11,45
2012-01-12,42
2012-01-13,40
2012-01-14,38
2012-01-15,38
2012-01-16,38
2012-01-17,39
2012-01-18,39
2012-01-19,40
2012-01-20,40
2012-01-21,41
2012-01-22,43
2012-01-23,45
2012-01-24,47
2012-01-25,49
2012-01-26,51
2012-01-27,53
2012-01-28,55
2012-01-29,53
2012-01-30,51
2012-01-31,50
2012-02-01,48
2012-02-02,47
2012-02-03,45
2012-02-04,44
2012-02-05,44
2012-02-06,44
2012-02-07,44
2012-02-08,44
2012-02-09,44
2012-02-10,44
2012-02-11,44
2012-02-12,45
2012-02-13,46
2012-02-14,48
2012-02-15,49
2012-02-16,51
2012-02-17,52
2012-02-18,54
2012-02-19,55
2012-02-20,56
2012-02-21,58
2012-02-22,59
2012-02-23,61
2012-02-24,62
2012-02-25,64
2012-02-26,65
