Date,Motricity
2009-07-11,21
2009-07-12,20
2009-07-13,20
2009-07-14,19
2009-07-15,19
2009-07-16,19
2009-07-17,18
2009-07-18,18
2009-07-19,18
2009-07-20,19
2009-07-21,19
2009-07-22,20
2009-07-23,20
2009-07-24,21
2009-07-25,22
2009-07-26,22
2009-07-27,23
2009-07-28,23
2009-07-29,24
2009-07-30,24
2009-07-31,25
2009-08-01,26
2009-08-02,25
2009-08-03,24
2009-08-04,23
2009-08-05,23
2009-08-06,22
2009-08-07,21
2009-08-08,21
2009-08-09,21
2009-08-10,21
2009-08-11,21
2009-08-12,21
2009-08-13,21
2009-08-14,21
2009-08-15,21
2009-08-16,20
2009-08-17,19
2009-08-18,18
2009-08-19,18
2009-08-20,17
2009-08-21,16
2009-08-22,16
2009-08-23,17
2009-08-24,18
2009-08-25,19
2009-08-26,20
2009-08-27,22
2009-08-28,23
2009-08-29,24
2009-08-30,24
2009-08-31,24
2009-09-01,24
2009-09-02,24
2009-09-03,24
2009-09-04,24
2009-09-05,24
2009-09-06,22
2009-09-07,21
2009-09-08,20
2009-09-09,19
2009-09-10,18
2009-09-11,17
2009-09-12,16
2009-09-13,16
2009-09-14,17
2009-09-15,18
2009-09-16,18
2009-09-17,19
2009-09-18,20
2009-09-19,21
2009-09-20,21
2009-09-21,22
2009-09-22,22
2009-09-23,23
2009-09-24,23
2009-09-25,24
2009-09-26,25
2009-09-27,24
2009-10-04,23
2009-10-05,24
2009-10-06,24
2009-10-07,25
2009-10-08,25
2009-10-09,26
2009-10-10,27
2009-10-11,27
2009-10-12,28
2009-10-13,28
2009-10-14,29
2009-10-15,29
2009-10-16,30
2009-10-17,31
2009-10-18,31
2009-10-19,32
2009-10-20,32
2009-10-21,33
2009-10-22,33
2009-10-23,34
2009-10-24,35
2009-10-25,34
2009-10-26,34
2009-10-27,33
2009-10-28,33
2009-10-29,33
2009-10-30,32
2009-10-31,32
2009-11-01,31
2009-11-02,30
2009-11-03,30
2009-11-04,29
2009-11-05,28
2009-11-06,27
2009-11-07,27
2009-11-08,27
2009-11-09,26
2009-11-10,26
2009-11-11,26
2009-11-12,26
2009-11-13,26
2009-11-14,26
2009-11-15,24
2009-11-16,23
2009-11-17,22
2009-11-18,21
2009-11-19,20
2009-11-20,19
2009-11-21,18
2009-11-22,17
2009-11-23,17
2009-11-24,16
2009-11-25,16
2009-11-26,15
2009-11-27,15
2009-11-28,15
2009-11-29,17
2009-11-30,20
2009-12-01,23
2009-12-02,26
2009-12-03,29
2009-12-04,32
2009-12-05,35
2009-12-06,33
2009-12-07,31
2009-12-08,29
2009-12-09,27
2009-12-10,25
2009-12-11,23
2009-12-12,22
2009-12-13,23
2009-12-14,24
2009-12-15,25
2009-12-16,26
2009-12-17,27
2009-12-18,28
2009-12-19,29
2009-12-20,27
2009-12-21,26
2009-12-22,24
2009-12-23,23
2009-12-24,21
2009-12-25,20
2009-12-26,19
2009-12-27,20
2010-01-03,28
2010-01-04,27
2010-01-05,27
2010-01-06,26
2010-01-07,26
2010-01-08,25
2010-01-09,25
2010-01-10,23
2010-01-11,22
2010-01-12,20
2010-01-13,19
2010-01-14,17
2010-01-15,16
2010-01-16,15
2010-01-17,18
2010-01-18,21
2010-01-19,24
2010-01-20,27
2010-01-21,30
2010-01-22,33
2010-01-23,36
2010-01-24,38
2010-01-25,41
2010-01-26,43
2010-01-27,46
2010-01-28,48
2010-01-29,50
2010-01-30,53
2010-01-31,49
2010-02-01,42
2010-02-02,38
2010-02-03,33
2010-02-04,29
2010-02-05,24
2010-02-06,20
2010-02-07,22
2010-02-08,24
2010-02-09,26
2010-02-10,29
2010-02-11,31
2010-02-12,33
2010-02-13,35
2010-02-14,33
2010-02-15,30
2010-02-16,27
2010-02-17,25
2010-02-18,22
2010-02-19,20
2010-02-20,18
2010-02-21,19
2010-02-22,20
2010-02-23,21
2010-02-24,22
2010-02-25,23
2010-02-26,24
2010-02-27,26
2010-02-28,26
2010-03-01,27
2010-03-02,27
2010-03-03,27
2010-03-04,28
2010-03-05,28
2010-03-06,29
2010-03-07,28
2010-03-08,26
2010-03-09,25
2010-03-10,24
2010-03-11,23
2010-03-12,22
2010-03-13,21
2010-03-14,21
2010-03-15,21
2010-03-16,21
2010-03-17,21
2010-03-18,21
2010-03-19,21
2010-03-20,22
2010-03-21,22
2010-03-22,23
2010-03-23,23
2010-03-24,24
2010-03-25,24
2010-03-26,25
2010-03-27,26
2010-03-28,25
2010-04-04,22
2010-04-05,22
2010-04-06,21
2010-04-07,20
2010-04-08,20
2010-04-09,19
2010-04-10,19
2010-04-11,19
2010-04-12,19
2010-04-13,19
2010-04-14,19
2010-04-15,19
2010-04-16,19
2010-04-17,19
2010-04-18,20
2010-04-19,21
2010-04-20,22
2010-04-21,23
2010-04-22,24
2010-04-23,25
2010-04-24,26
2010-04-25,27
2010-04-26,30
2010-04-27,32
2010-04-28,33
2010-04-29,35
2010-04-30,37
2010-05-01,39
2010-05-02,36
2010-05-03,31
2010-05-04,28
2010-05-05,24
2010-05-06,21
2010-05-07,17
2010-05-08,14
2010-05-09,15
2010-05-10,17
2010-05-11,19
2010-05-12,21
2010-05-13,23
2010-05-14,25
2010-05-15,27
2010-05-16,26
2010-05-17,26
2010-05-18,26
2010-05-19,26
2010-05-20,25
2010-05-21,25
2010-05-22,25
2010-05-23,23
2010-05-24,21
2010-05-25,20
2010-05-26,18
2010-05-27,17
2010-05-28,15
2010-05-29,14
2010-05-30,17
2010-05-31,20
2010-06-01,24
2010-06-02,27
2010-06-03,31
2010-06-04,34
2010-06-05,38
2010-06-06,37
2010-06-07,36
2010-06-08,35
2010-06-09,34
2010-06-10,33
2010-06-11,32
2010-06-12,32
2010-06-13,41
2010-06-14,52
2010-06-15,62
2010-06-16,72
2010-06-17,82
2010-06-18,92
2010-06-19,103
2010-06-20,94
2010-06-21,84
2010-06-22,75
2010-06-23,67
2010-06-24,58
2010-06-25,50
2010-06-26,42
2010-06-27,39
2010-07-04,23
2010-07-05,24
2010-07-06,25
2010-07-07,27
2010-07-08,28
2010-07-09,29
2010-07-10,31
2010-07-11,29
2010-07-12,27
2010-07-13,26
2010-07-14,24
2010-07-15,23
2010-07-16,21
2010-07-17,20
2010-07-18,20
2010-07-19,20
2010-07-20,20
2010-07-21,21
2010-07-22,21
2010-07-23,21
2010-07-24,22
2010-07-25,21
2010-07-26,21
2010-07-27,21
2010-07-28,20
2010-07-29,20
2010-07-30,20
2010-07-31,20
2010-08-01,20
2010-08-02,21
2010-08-03,22
2010-08-04,23
2010-08-05,24
2010-08-06,25
2010-08-07,26
2010-08-08,26
2010-08-09,27
2010-08-10,28
2010-08-11,29
2010-08-12,30
2010-08-13,31
