Date,Birds Eye Foods
2009-04-01,48
2009-04-02,47
2009-04-03,49
2009-04-04,48
2009-04-05,46
2009-04-06,45
2009-04-07,47
2009-04-08,44
2009-04-09,43
2009-04-10,47
2009-04-11,43
2009-04-12,44
2009-04-13,49
2009-04-14,46
2009-04-15,48
2009-04-16,48
2009-04-17,55
2009-04-18,50
2009-04-19,50
2009-04-20,50
2009-04-21,50
2009-04-22,52
2009-04-23,51
2009-04-24,53
2009-04-25,53
2009-04-26,53
2009-04-27,50
2009-04-28,49
2009-04-29,52
2009-04-30,48
2009-05-01,47
2009-05-02,48
2009-05-03,46
2009-05-04,46
2009-05-05,45
2009-05-06,45
2009-05-07,44
2009-05-08,45
2009-05-09,45
2009-05-10,44
2009-05-11,44
2009-05-12,45
2009-05-13,45
2009-05-14,45
2009-05-15,47
2009-05-16,50
2009-05-17,45
2009-05-18,45
2009-05-19,45
2009-05-20,45
2009-05-21,43
2009-05-22,46
2009-05-23,44
2009-05-24,43
2009-05-25,44
2009-05-26,45
2009-05-27,45
2009-05-28,51
2009-05-29,47
2009-05-30,49
2009-05-31,48
2009-06-01,49
2009-06-02,49
2009-06-03,55
2009-06-04,50
2009-06-05,51
2009-06-06,55
2009-06-07,51
2009-06-08,50
2009-06-09,50
2009-06-10,49
2009-06-11,48
2009-06-12,50
2009-06-13,47
2009-06-14,49
2009-06-15,46
2009-06-16,50
2009-06-17,45
2009-06-18,45
2009-06-19,52
2009-06-20,45
2009-06-21,46
2009-06-22,45
2009-06-23,45
2009-06-24,45
2009-06-25,46
2009-06-26,45
2009-06-27,48
2009-06-28,44
2009-06-29,48
2009-06-30,43
2009-07-01,43
2009-07-02,42
2009-07-03,46
2009-07-04,42
2009-07-05,43
2009-07-06,46
2009-07-07,45
2009-07-08,46
2009-07-09,49
2009-07-10,49
2009-07-11,49
2009-07-12,48
2009-07-13,50
2009-07-14,48
2009-07-15,50
2009-07-16,47
2009-07-17,47
2009-07-18,48
2009-07-19,48
2009-07-20,47
2009-07-21,48
2009-07-22,50
2009-07-23,47
2009-07-24,47
2009-07-25,47
2009-07-26,47
2009-07-27,47
2009-07-28,47
2009-07-29,49
2009-07-30,47
2009-07-31,47
2009-08-01,50
2009-08-02,46
2009-08-03,46
2009-08-04,46
2009-08-05,48
2009-08-06,46
2009-08-07,49
2009-08-08,46
2009-08-09,48
2009-08-10,46
2009-08-11,46
2009-08-12,47
2009-08-13,47
2009-08-14,47
2009-08-15,52
2009-08-16,47
2009-08-17,46
2009-08-18,45
2009-08-19,44
2009-08-20,48
2009-08-21,42
2009-08-22,44
2009-08-23,45
2009-08-24,43
2009-08-25,43
2009-08-26,45
2009-08-27,46
2009-08-28,45
2009-08-29,49
2009-08-30,45
2009-08-31,47
2009-09-01,45
2009-09-02,44
2009-09-03,44
2009-09-04,49
2009-09-05,44
2009-09-06,48
2009-09-07,44
2009-09-08,44
2009-09-09,45
