Date,Douglas Dynamics
2009-07-01,83
2009-07-02,82
2009-07-03,82
2009-07-04,82
2009-07-05,81
2009-07-06,81
2009-07-07,81
2009-07-08,80
2009-07-09,80
2009-07-10,80
2009-07-11,79
2009-07-12,79
2009-07-13,79
2009-07-14,78
2009-07-15,78
2009-07-16,78
2009-07-17,77
2009-07-18,77
2009-07-19,77
2009-07-20,76
2009-07-21,76
2009-07-22,76
2009-07-23,75
2009-07-24,75
2009-07-25,75
2009-07-26,74
2009-07-27,74
2009-07-28,74
2009-07-29,73
2009-07-30,73
2009-07-31,73
2009-08-01,73
2009-08-02,72
2009-08-03,72
2009-08-04,72
2009-08-05,72
2009-08-06,72
2009-08-07,72
2009-08-08,71
2009-08-09,71
2009-08-10,71
2009-08-11,71
2009-08-12,71
2009-08-13,71
2009-08-14,70
2009-08-15,70
2009-08-16,70
2009-08-17,70
2009-08-18,70
2009-08-19,70
2009-08-20,69
2009-08-21,69
2009-08-22,69
2009-08-23,69
2009-08-24,69
2009-08-25,69
2009-08-26,68
2009-08-27,68
2009-08-28,68
2009-08-29,68
2009-08-30,68
2009-08-31,68
2009-09-01,68
2009-09-02,67
2009-09-03,67
2009-09-04,67
2009-09-05,66
2009-09-06,66
2009-09-07,66
2009-09-08,66
2009-09-09,65
2009-09-10,65
2009-09-11,65
2009-09-12,65
2009-09-13,64
2009-09-14,64
2009-09-15,64
2009-09-16,64
2009-09-17,63
2009-09-18,63
2009-09-19,63
2009-09-20,62
2009-09-21,62
2009-09-22,62
2009-09-23,62
2009-09-24,61
2009-09-25,61
2009-09-26,61
2009-09-27,61
2009-09-28,60
2009-09-29,60
2009-09-30,60
2009-10-01,60
2009-10-02,59
2009-10-03,59
2009-10-04,59
2009-10-05,59
2009-10-06,59
2009-10-07,59
2009-10-08,59
2009-10-09,58
2009-10-10,58
2009-10-11,58
2009-10-12,58
2009-10-13,58
2009-10-14,58
2009-10-15,58
2009-10-16,58
2009-10-17,57
2009-10-18,57
2009-10-19,57
2009-10-20,57
2009-10-21,57
2009-10-22,57
2009-10-23,57
2009-10-24,57
2009-10-25,56
2009-10-26,56
2009-10-27,56
2009-10-28,56
2009-10-29,56
2009-10-30,56
2009-10-31,56
2009-11-01,56
2009-11-02,56
2009-11-03,56
2009-11-04,57
2009-11-05,57
2009-11-06,58
2009-11-07,58
2009-11-08,59
2009-11-09,59
2009-11-10,60
2009-11-11,60
2009-11-12,61
2009-11-13,61
2009-11-14,62
2009-11-15,62
2009-11-16,63
2009-11-17,63
2009-11-18,63
2009-11-19,64
2009-11-20,64
2009-11-21,65
2009-11-22,65
2009-11-23,66
2009-11-24,66
2009-11-25,67
2009-11-26,67
2009-11-27,68
2009-11-28,68
2009-11-29,69
2009-11-30,69
2009-12-01,70
2009-12-02,70
2009-12-03,71
2009-12-04,72
2009-12-05,72
