Date,Textura Corporation
2013-11-27,86
2013-11-28,87
2013-11-29,88
2013-11-30,89
2013-12-01,90
2013-12-02,87
2013-12-03,84
2013-12-04,81
2013-12-05,78
2013-12-06,75
2013-12-07,72
2013-12-08,69
2013-12-09,66
2013-12-10,63
2013-12-11,60
2013-12-12,58
2013-12-13,55
2013-12-14,52
2013-12-15,49
2013-12-16,46
2013-12-17,43
2013-12-18,40
2013-12-19,37
2013-12-20,34
2013-12-21,31
2013-12-22,29
2013-12-23,26
2013-12-24,23
2013-12-25,20
2013-12-26,17
2013-12-27,14
2013-12-28,11
2013-12-29,8
2013-12-30,5
2013-12-31,2
2014-01-01,0
2014-01-02,0
2014-01-03,0
2014-01-04,0
2014-01-05,0
2014-01-06,0
2014-01-07,0
2014-01-08,0
2014-01-09,0
2014-01-10,0
2014-01-11,0
2014-01-12,0
2014-01-13,0
2014-01-14,0
2014-01-15,0
2014-01-16,0
2014-01-17,0
2014-01-18,0
2014-01-19,0
2014-01-20,0
2014-01-21,0
2014-01-22,0
2014-01-23,0
2014-01-24,0
2014-01-25,0
2014-01-26,0
2014-01-27,0
2014-01-28,0
2014-01-29,0
2014-01-30,0
2014-01-31,0
