Date,RailAmerica
2009-01-01,32
2009-01-02,32
2009-01-03,32
2009-01-04,33
2009-01-05,33
2009-01-06,33
2009-01-07,34
2009-01-08,34
2009-01-09,35
2009-01-10,35
2009-01-11,35
2009-01-12,36
2009-01-13,36
2009-01-14,37
2009-01-15,37
2009-01-16,37
2009-01-17,38
2009-01-18,38
2009-01-19,38
2009-01-20,39
2009-01-21,39
2009-01-22,40
2009-01-23,40
2009-01-24,40
2009-01-25,41
2009-01-26,41
2009-01-27,42
2009-01-28,42
2009-01-29,42
2009-01-30,43
2009-01-31,43
2009-02-01,44
2009-02-02,43
2009-02-03,43
2009-02-04,43
2009-02-05,43
2009-02-06,42
2009-02-07,42
2009-02-08,42
2009-02-09,42
2009-02-10,41
2009-02-11,41
2009-02-12,41
2009-02-13,41
2009-02-14,40
2009-02-15,40
2009-02-16,40
2009-02-17,40
2009-02-18,39
2009-02-19,39
2009-02-20,39
2009-02-21,39
2009-02-22,38
2009-02-23,38
2009-02-24,38
2009-02-25,38
2009-02-26,37
2009-02-27,37
2009-02-28,37
2009-03-01,37
2009-03-02,37
2009-03-03,37
2009-03-04,37
2009-03-05,37
2009-03-06,37
2009-03-07,38
2009-03-08,38
2009-03-09,38
2009-03-10,38
2009-03-11,38
2009-03-12,39
2009-03-13,39
2009-03-14,39
2009-03-15,39
2009-03-16,39
2009-03-17,40
2009-03-18,40
2009-03-19,40
2009-03-20,40
2009-03-21,40
2009-03-22,41
2009-03-23,41
2009-03-24,41
2009-03-25,41
2009-03-26,41
2009-03-27,42
2009-03-28,42
2009-03-29,42
2009-03-30,42
2009-03-31,42
2009-04-01,43
2009-04-02,42
2009-04-03,42
2009-04-04,41
2009-04-05,41
2009-04-06,40
2009-04-07,40
2009-04-08,39
2009-04-09,39
2009-04-10,38
2009-04-11,38
2009-04-12,37
2009-04-13,37
2009-04-14,36
2009-04-15,36
2009-04-16,35
2009-04-17,35
2009-04-18,34
2009-04-19,34
2009-04-20,33
2009-04-21,33
2009-04-22,32
2009-04-23,32
2009-04-24,31
2009-04-25,31
2009-04-26,30
2009-04-27,30
2009-04-28,29
2009-04-29,29
2009-04-30,28
2009-05-01,28
2009-05-02,28
2009-05-03,28
2009-05-04,28
2009-05-05,28
2009-05-06,28
2009-05-07,28
2009-05-08,29
2009-05-09,29
2009-05-10,29
2009-05-11,29
2009-05-12,29
2009-05-13,29
2009-05-14,30
2009-05-15,30
2009-05-16,30
2009-05-17,30
2009-05-18,30
2009-05-19,30
2009-05-20,31
2009-05-21,31
2009-05-22,31
2009-05-23,31
2009-05-24,31
2009-05-25,31
2009-05-26,32
2009-05-27,32
2009-05-28,32
2009-05-29,32
2009-05-30,32
2009-05-31,32
2009-06-01,33
2009-06-02,33
2009-06-03,33
2009-06-04,34
2009-06-05,34
2009-06-06,35
2009-06-07,35
2009-06-08,35
2009-06-09,36
2009-06-10,36
2009-06-11,37
2009-06-12,37
2009-06-13,37
2009-06-14,38
2009-06-15,38
2009-06-16,39
2009-06-17,39
2009-06-18,39
2009-06-19,40
2009-06-20,40
2009-06-21,41
2009-06-22,41
2009-06-23,41
2009-06-24,42
2009-06-25,42
2009-06-26,43
2009-06-27,43
2009-06-28,43
2009-06-29,44
2009-06-30,44
2009-07-01,45
2009-07-02,45
2009-07-03,45
2009-07-04,45
2009-07-05,45
2009-07-06,45
2009-07-07,46
2009-07-08,46
