Date,Animal Health International
2006-03-01,79
2006-03-02,79
2006-03-03,79
2006-03-04,79
2006-03-05,79
2006-03-06,79
2006-03-07,79
2006-03-08,79
2006-03-09,79
2006-03-10,79
2006-03-11,79
2006-03-12,79
2006-03-13,79
2006-03-14,79
2006-03-15,79
2006-03-16,79
2006-03-17,79
2006-03-18,79
2006-03-19,79
2006-03-20,79
2006-03-21,79
2006-03-22,79
2006-03-23,79
2006-03-24,79
2006-03-25,79
2006-03-26,79
2006-03-27,79
2006-03-28,79
2006-03-29,79
2006-03-30,79
2006-03-31,79
2006-04-01,79
2006-04-02,79
2006-04-03,79
2006-04-04,79
2006-04-05,79
2006-04-06,79
2006-04-07,79
2006-04-08,79
2006-04-09,79
2006-04-10,79
2006-04-11,79
2006-04-12,79
2006-04-13,79
2006-04-14,79
2006-04-15,79
2006-04-16,79
2006-04-17,79
2006-04-18,79
2006-04-19,79
2006-04-20,79
2006-04-21,79
2006-04-22,79
2006-04-23,79
2006-04-24,79
2006-04-25,79
2006-04-26,79
2006-04-27,79
2006-04-28,79
2006-04-29,79
2006-04-30,79
2006-05-01,80
2006-05-02,80
2006-05-03,80
2006-05-04,80
2006-05-05,80
2006-05-06,80
2006-05-07,80
2006-05-08,80
2006-05-09,80
2006-05-10,80
2006-05-11,80
2006-05-12,80
2006-05-13,80
2006-05-14,80
2006-05-15,80
2006-05-16,80
2006-05-17,80
2006-05-18,80
2006-05-19,80
2006-05-20,80
2006-05-21,80
2006-05-22,80
2006-05-23,80
2006-05-24,80
2006-05-25,80
2006-05-26,80
2006-05-27,80
2006-05-28,80
2006-05-29,80
2006-05-30,80
2006-05-31,80
2006-06-01,80
2006-06-02,80
2006-06-03,80
2006-06-04,80
2006-06-05,80
2006-06-06,80
2006-06-07,80
2006-06-08,80
2006-06-09,80
2006-06-10,80
2006-06-11,80
2006-06-12,80
2006-06-13,80
2006-06-14,80
2006-06-15,80
2006-06-16,80
2006-06-17,80
2006-06-18,80
2006-06-19,80
2006-06-20,80
2006-06-21,80
2006-06-22,80
2006-06-23,80
2006-06-24,80
2006-06-25,80
2006-06-26,80
2006-06-27,80
2006-06-28,80
2006-06-29,80
2006-06-30,80
2006-07-01,81
2006-07-02,80
2006-07-03,80
2006-07-04,80
2006-07-05,79
2006-07-06,79
2006-07-07,79
2006-07-08,78
2006-07-09,78
2006-07-10,78
2006-07-11,78
2006-07-12,77
2006-07-13,77
2006-07-14,77
2006-07-15,76
2006-07-16,76
2006-07-17,76
2006-07-18,76
2006-07-19,75
2006-07-20,75
2006-07-21,75
2006-07-22,74
2006-07-23,74
2006-07-24,74
2006-07-25,74
2006-07-26,73
2006-07-27,73
2006-07-28,73
2006-07-29,72
2006-07-30,72
2006-07-31,72
2006-08-01,72
2006-08-02,72
2006-08-03,72
2006-08-04,72
2006-08-05,72
2006-08-06,72
2006-08-07,72
2006-08-08,72
2006-08-09,72
2006-08-10,72
2006-08-11,72
2006-08-12,72
2006-08-13,72
2006-08-14,72
2006-08-15,72
2006-08-16,72
2006-08-17,72
2006-08-18,72
2006-08-19,72
2006-08-20,72
2006-08-21,72
2006-08-22,72
2006-08-23,72
2006-08-24,72
2006-08-25,72
2006-08-26,72
2006-08-27,72
2006-08-28,72
2006-08-29,72
2006-08-30,72
2006-08-31,72
2006-09-01,72
2006-09-02,71
2006-09-03,70
2006-09-04,70
2006-09-05,69
2006-09-06,69
2006-09-07,68
2006-09-08,68
2006-09-09,67
2006-09-10,66
2006-09-11,66
2006-09-12,65
2006-09-13,65
2006-09-14,64
2006-09-15,64
2006-09-16,63
2006-09-17,62
2006-09-18,62
2006-09-19,61
2006-09-20,61
2006-09-21,60
2006-09-22,60
2006-09-23,59
2006-09-24,58
2006-09-25,58
2006-09-26,57
2006-09-27,57
2006-09-28,56
2006-09-29,56
2006-09-30,55
2006-10-01,55
2006-10-02,55
2006-10-03,55
2006-10-04,56
2006-10-05,56
2006-10-06,57
2006-10-07,57
2006-10-08,58
2006-10-09,58
2006-10-10,59
2006-10-11,59
2006-10-12,60
2006-10-13,60
2006-10-14,61
2006-10-15,61
2006-10-16,62
2006-10-17,62
2006-10-18,63
2006-10-19,63
2006-10-20,64
