Date,ReachLocal
2009-06-13,0
2009-06-14,7
2009-06-15,14
2009-06-16,21
2009-06-17,28
2009-06-18,35
2009-06-19,42
2009-06-20,49
2009-06-21,48
2009-06-22,46
2009-06-23,45
2009-06-24,43
2009-06-25,42
2009-06-26,41
2009-06-27,40
2009-06-28,40
2009-06-29,40
2009-06-30,40
2009-07-01,40
2009-07-02,40
2009-07-03,40
2009-07-04,40
2009-07-05,39
2009-07-06,38
2009-07-07,38
2009-07-08,37
2009-07-09,37
2009-07-10,36
2009-07-11,36
2009-07-12,36
2009-07-13,36
2009-07-14,36
2009-07-15,36
2009-07-16,36
2009-07-17,36
2009-07-18,36
2009-07-19,36
2009-07-20,36
2009-07-21,36
2009-07-22,36
2009-07-23,36
2009-07-24,36
2009-07-25,37
2009-07-26,38
2009-07-27,40
2009-07-28,42
2009-07-29,43
2009-07-30,45
2009-07-31,46
2009-08-01,48
2009-08-02,49
2009-08-03,49
2009-08-04,50
2009-08-05,50
2009-08-06,51
2009-08-07,52
2009-08-08,53
2009-08-09,53
2009-08-10,54
2009-08-11,55
2009-08-12,55
2009-08-13,56
2009-08-14,57
2009-08-15,58
2009-08-16,58
2009-08-17,59
2009-08-18,60
2009-08-19,61
2009-08-20,62
2009-08-21,63
2009-08-22,64
2009-08-23,64
2009-08-24,66
2009-08-25,67
2009-08-26,67
2009-08-27,68
2009-08-28,69
2009-08-29,70
2009-08-30,67
2009-09-06,50
2009-09-07,63
2009-09-08,50
2009-09-09,50
2009-09-10,50
2009-09-11,50
2009-09-12,50
2009-09-13,49
2009-09-14,48
2009-09-15,47
2009-09-16,46
2009-09-17,45
2009-09-18,44
2009-09-19,43
2009-09-20,43
2009-09-21,44
2009-09-22,44
2009-09-23,45
2009-09-24,45
2009-09-25,46
2009-09-26,47
2009-09-27,44
2009-09-28,42
2009-09-29,40
2009-09-30,38
2009-10-01,36
2009-10-02,34
2009-10-03,32
2009-10-04,33
2009-10-05,34
2009-10-06,36
2009-10-07,37
2009-10-08,39
2009-10-09,40
2009-10-10,42
2009-10-11,40
2009-10-12,39
2009-10-13,37
2009-10-14,36
2009-10-15,34
2009-10-16,33
2009-10-17,32
2009-10-18,32
2009-10-19,33
2009-10-20,33
2009-10-21,34
2009-10-22,34
2009-10-23,35
2009-10-24,36
2009-10-25,36
2009-10-26,37
2009-10-27,38
2009-10-28,39
2009-10-29,40
2009-10-30,40
2009-10-31,41
2009-11-01,40
2009-11-02,38
2009-11-03,36
2009-11-04,35
2009-11-05,33
2009-11-06,32
2009-11-07,31
2009-11-08,34
2009-11-09,37
2009-11-10,40
2009-11-11,43
2009-11-12,46
2009-11-13,49
2009-11-14,52
2009-11-15,50
2009-11-16,49
2009-11-17,48
2009-11-18,46
2009-11-19,45
2009-11-20,44
2009-11-21,43
2009-11-22,43
2009-11-23,44
2009-11-24,44
2009-11-25,45
2009-11-26,45
2009-11-27,46
2009-11-28,47
2009-11-29,47
2009-12-06,49
2009-12-07,47
2009-12-08,45
2009-12-09,43
2009-12-10,41
2009-12-11,39
2009-12-12,37
2009-12-13,37
2009-12-14,37
2009-12-15,37
2009-12-16,37
2009-12-17,37
2009-12-18,37
2009-12-19,37
2009-12-20,41
2009-12-21,46
2009-12-22,51
2009-12-23,56
2009-12-24,60
2009-12-25,65
2009-12-26,70
2009-12-27,68
2009-12-28,64
2009-12-29,62
2009-12-30,60
2009-12-31,58
2010-01-01,56
2010-01-02,54
2010-01-03,54
2010-01-04,54
2010-01-05,54
2010-01-06,54
2010-01-07,54
2010-01-08,54
2010-01-09,54
2010-01-10,53
2010-01-11,54
2010-01-12,53
2010-01-13,53
2010-01-14,53
2010-01-15,53
2010-01-16,52
2010-01-17,51
2010-01-18,49
2010-01-19,48
2010-01-20,46
2010-01-21,45
2010-01-22,44
2010-01-23,43
2010-01-24,43
2010-01-25,44
2010-01-26,45
2010-01-27,45
2010-01-28,46
2010-01-29,47
2010-01-30,48
2010-01-31,46
2010-02-01,45
2010-02-02,44
2010-02-03,43
2010-02-04,42
2010-02-05,41
2010-02-06,40
2010-02-07,38
2010-02-08,37
2010-02-09,36
2010-02-10,35
2010-02-11,33
2010-02-12,32
2010-02-13,31
2010-02-14,32
2010-02-15,33
2010-02-16,34
2010-02-17,35
2010-02-18,36
2010-02-19,37
2010-02-20,38
2010-02-21,37
2010-02-22,37
2010-02-23,37
2010-02-24,36
2010-02-25,36
2010-02-26,36
2010-02-27,36
2010-02-28,36
2010-03-07,38
2010-03-08,41
2010-03-09,43
2010-03-10,46
2010-03-11,48
2010-03-12,50
2010-03-13,53
2010-03-14,51
2010-03-15,50
2010-03-16,48
2010-03-17,46
2010-03-18,45
2010-03-19,43
2010-03-20,42
2010-03-21,42
2010-03-22,42
2010-03-23,42
2010-03-24,42
2010-03-25,42
2010-03-26,42
2010-03-27,42
2010-03-28,41
2010-03-29,41
2010-03-30,40
2010-03-31,39
2010-04-01,39
2010-04-02,38
2010-04-03,38
