Date,Stemline
2011-10-01,0
2011-10-02,0
2011-10-03,0
2011-10-04,0
2011-10-05,0
2011-10-06,0
2011-10-07,0
2011-10-08,0
2011-10-09,0
2011-10-10,0
2011-10-11,0
2011-10-12,0
2011-10-13,0
2011-10-14,0
2011-10-15,0
2011-10-16,0
2011-10-17,0
2011-10-18,0
2011-10-19,0
2011-10-20,0
2011-10-21,0
2011-10-22,0
2011-10-23,0
2011-10-24,0
2011-10-25,0
2011-10-26,0
2011-10-27,0
2011-10-28,0
2011-10-29,0
2011-10-30,0
2011-10-31,0
2011-11-01,0
2011-11-02,0
2011-11-03,0
2011-11-04,0
2011-11-05,0
2011-11-06,0
2011-11-07,0
2011-11-08,0
2011-11-09,0
2011-11-10,0
2011-11-11,0
2011-11-12,0
2011-11-13,0
2011-11-14,0
2011-11-15,0
2011-11-16,0
2011-11-17,0
2011-11-18,0
2011-11-19,0
2011-11-20,6
2011-11-21,12
2011-11-22,18
2011-11-23,25
2011-11-24,31
2011-11-25,37
2011-11-26,44
2011-11-27,37
2011-11-28,31
2011-11-29,25
2011-11-30,18
2011-12-01,12
2011-12-02,6
2011-12-03,0
2011-12-04,0
2011-12-05,0
2011-12-06,0
2011-12-07,0
2011-12-08,0
2011-12-09,0
2011-12-10,0
2011-12-11,0
2011-12-12,0
2011-12-13,0
2011-12-14,0
2011-12-15,0
2011-12-16,0
2011-12-17,0
2011-12-18,0
2011-12-19,0
2011-12-20,0
2011-12-21,0
2011-12-22,0
2011-12-23,0
2011-12-24,0
2011-12-25,0
2011-12-26,0
2011-12-27,0
2011-12-28,0
2011-12-29,0
2011-12-30,0
2011-12-31,0
2012-01-01,6
2012-01-02,13
2012-01-03,20
2012-01-04,27
2012-01-05,33
2012-01-06,40
2012-01-07,47
2012-01-08,46
2012-01-09,46
2012-01-10,45
2012-01-11,45
2012-01-12,44
2012-01-13,44
2012-01-14,44
2012-01-15,44
2012-01-16,44
2012-01-17,44
2012-01-18,44
2012-01-19,44
2012-01-20,44
2012-01-21,44
2012-01-22,44
2012-01-23,44
2012-01-24,44
2012-01-25,44
2012-01-26,44
2012-01-27,44
2012-01-28,44
2012-01-29,44
2012-01-30,44
2012-01-31,44
2012-02-01,44
2012-02-02,44
2012-02-03,44
2012-02-04,44
2012-02-05,44
2012-02-06,44
2012-02-07,44
2012-02-08,44
2012-02-09,44
2012-02-10,44
2012-02-11,44
2012-02-12,44
2012-02-13,44
2012-02-14,44
2012-02-15,44
2012-02-16,44
2012-02-17,44
2012-02-18,44
2012-02-19,44
2012-02-20,44
2012-02-21,44
2012-02-22,44
2012-02-23,44
2012-02-24,44
2012-02-25,44
2012-02-26,45
2012-02-27,47
2012-02-28,48
2012-02-29,50
2012-03-01,52
2012-03-02,54
2012-03-03,57
2012-03-04,52
2012-03-05,52
2012-03-06,52
2012-03-07,52
2012-03-08,52
2012-03-09,52
2012-03-10,53
2012-03-11,53
2012-03-12,53
2012-03-13,53
2012-03-14,54
2012-03-15,54
2012-03-16,54
2012-03-17,55
2012-03-18,52
2012-03-19,50
2012-03-20,48
2012-03-21,46
2012-03-22,44
2012-03-23,42
2012-03-24,40
2012-03-25,41
2012-04-01,50
2012-04-02,51
2012-04-03,52
2012-04-04,54
2012-04-05,55
2012-04-06,56
2012-04-07,57
2012-04-08,55
2012-04-09,51
2012-04-10,49
2012-04-11,46
2012-04-12,44
2012-04-13,41
2012-04-14,39
2012-04-15,39
2012-04-16,39
2012-04-17,39
2012-04-18,39
2012-04-19,39
2012-04-20,39
2012-04-21,39
2012-04-22,39
2012-04-23,39
2012-04-24,39
2012-04-25,39
2012-04-26,39
2012-04-27,39
2012-04-28,39
2012-04-29,41
2012-04-30,44
2012-05-01,46
2012-05-02,48
2012-05-03,51
2012-05-04,53
2012-05-05,56
2012-05-06,54
2012-05-07,52
2012-05-08,50
2012-05-09,48
2012-05-10,46
2012-05-11,44
2012-05-12,43
2012-05-13,43
2012-05-14,43
2012-05-15,43
2012-05-16,43
2012-05-17,43
2012-05-18,43
2012-05-19,43
2012-05-20,42
2012-05-21,41
2012-05-22,41
2012-05-23,40
2012-05-24,40
2012-05-25,39
2012-05-26,39
2012-05-27,39
2012-05-28,39
2012-05-29,39
2012-05-30,39
2012-05-31,39
2012-06-01,39
2012-06-02,39
2012-06-03,39
2012-06-04,39
2012-06-05,39
2012-06-06,39
2012-06-07,39
2012-06-08,39
2012-06-09,39
2012-06-10,40
2012-06-11,41
2012-06-12,42
2012-06-13,43
2012-06-14,44
2012-06-15,45
2012-06-16,46
2012-06-17,45
2012-06-18,44
2012-06-19,43
2012-06-20,42
2012-06-21,41
2012-06-22,40
2012-06-23,39
2012-06-24,39
2012-07-01,39
2012-07-02,39
2012-07-03,39
2012-07-04,39
2012-07-05,39
2012-07-06,39
2012-07-07,39
2012-07-08,39
2012-07-09,39
2012-07-10,39
2012-07-11,39
2012-07-12,39
2012-07-13,39
2012-07-14,39
2012-07-15,39
2012-07-16,45
2012-07-17,39
2012-07-18,39
2012-07-19,39
2012-07-20,39
2012-07-21,39
2012-07-22,40
2012-07-23,41
2012-07-24,42
2012-07-25,43
2012-07-26,44
2012-07-27,45
2012-07-28,47
2012-07-29,48
2012-07-30,49
2012-07-31,50
2012-08-01,51
2012-08-02,53
2012-08-03,54
2012-08-04,55
2012-08-05,56
2012-08-06,57
2012-08-07,59
2012-08-08,60
2012-08-09,61
2012-08-10,62
2012-08-11,64
2012-08-12,60
2012-08-13,57
2012-08-14,54
2012-08-15,50
2012-08-16,47
2012-08-17,44
2012-08-18,41
2012-08-19,41
2012-08-20,42
2012-08-21,42
2012-08-22,42
2012-08-23,43
2012-08-24,43
2012-08-25,45
2012-08-26,41
2012-08-27,41
2012-08-28,41
2012-08-29,41
2012-08-30,41
2012-08-31,41
2012-09-01,41
2012-09-02,41
2012-09-03,41
2012-09-04,41
2012-09-05,41
2012-09-06,41
2012-09-07,41
2012-09-08,41
2012-09-09,41
2012-09-10,41
2012-09-11,41
2012-09-12,41
2012-09-13,41
2012-09-14,41
2012-09-15,41
2012-09-16,41
2012-09-17,41
2012-09-18,41
2012-09-19,42
2012-09-20,42
2012-09-21,42
2012-09-22,43
2012-09-23,43
2012-09-24,45
2012-09-25,44
2012-09-26,44
2012-09-27,45
2012-09-28,45
2012-09-29,46
2012-09-30,46
2012-10-01,46
2012-10-02,46
2012-10-03,47
2012-10-04,47
2012-10-05,47
2012-10-06,48
2012-10-07,47
2012-10-08,47
2012-10-09,47
2012-10-10,47
2012-10-11,47
2012-10-12,47
2012-10-13,47
2012-10-14,46
2012-10-15,46
2012-10-16,46
2012-10-17,46
2012-10-18,46
2012-10-19,46
2012-10-20,46
2012-10-21,46
2012-10-22,46
2012-10-23,46
2012-10-24,46
2012-10-25,46
2012-10-26,46
2012-10-27,47
2012-10-28,47
2012-10-29,47
2012-10-30,47
2012-10-31,47
2012-11-01,47
2012-11-02,47
2012-11-03,48
2012-11-04,48
2012-11-05,48
2012-11-06,48
2012-11-07,48
2012-11-08,48
2012-11-09,48
2012-11-10,49
2012-11-11,42
2012-11-12,35
2012-11-13,28
2012-11-14,21
2012-11-15,14
2012-11-16,7
2012-11-17,0
2012-11-18,0
2012-11-19,0
2012-11-20,0
2012-11-21,0
2012-11-22,0
2012-11-23,0
2012-11-24,0
2012-11-25,0
2012-11-26,0
2012-11-27,0
2012-11-28,0
2012-11-29,0
