Date,Gulfstream
2007-01-01,64
2007-01-02,73
2007-01-03,72
2007-01-04,80
2007-01-05,80
2007-01-06,84
2007-01-07,83
2007-01-08,88
2007-01-09,78
2007-01-10,79
2007-01-11,75
2007-01-12,73
2007-01-13,72
2007-01-14,74
2007-01-15,73
2007-01-16,77
2007-01-17,74
2007-01-18,74
2007-01-19,77
2007-01-20,76
2007-01-21,78
2007-01-22,79
2007-01-23,79
2007-01-24,78
2007-01-25,81
2007-01-26,79
2007-01-27,80
2007-01-28,82
2007-01-29,84
2007-01-30,85
2007-01-31,87
2007-02-01,91
2007-02-02,91
2007-02-03,93
2007-02-04,100
2007-02-05,97
2007-02-06,96
2007-02-07,94
2007-02-08,94
2007-02-09,98
2007-02-10,97
2007-02-11,98
2007-02-12,92
2007-02-13,95
2007-02-14,89
2007-02-15,88
2007-02-16,93
2007-02-17,86
2007-02-18,85
2007-02-19,88
2007-02-20,88
2007-02-21,85
2007-02-22,86
2007-02-23,85
2007-02-24,88
2007-02-25,85
2007-02-26,87
2007-02-27,87
2007-02-28,89
2007-03-01,87
2007-03-02,87
2007-03-03,88
2007-03-04,94
2007-03-05,87
2007-03-06,91
2007-03-07,87
2007-03-08,87
2007-03-09,88
2007-03-10,88
2007-03-11,87
2007-03-12,86
2007-03-13,84
2007-03-14,81
2007-03-15,80
2007-03-16,79
2007-03-17,78
2007-03-18,84
2007-03-19,75
2007-03-20,73
2007-03-21,73
2007-03-22,70
2007-03-23,73
2007-03-24,68
2007-03-25,70
2007-03-26,72
2007-03-27,77
2007-03-28,77
2007-03-29,80
2007-03-30,81
2007-03-31,84
2007-04-01,82
2007-04-02,80
2007-04-03,81
2007-04-04,76
2007-04-05,75
2007-04-06,75
2007-04-07,71
2007-04-08,72
2007-04-09,71
2007-04-10,77
2007-04-11,71
2007-04-12,71
2007-04-13,71
2007-04-14,78
2007-04-15,70
2007-04-16,72
2007-04-17,69
2007-04-18,71
2007-04-19,68
2007-04-20,67
2007-04-21,68
2007-04-22,67
2007-04-23,65
2007-04-24,68
2007-04-25,65
2007-04-26,64
2007-04-27,65
2007-04-28,63
2007-04-29,70
2007-04-30,64
2007-05-01,65
2007-05-02,66
2007-05-03,70
2007-05-04,68
2007-05-05,70
