Date,RingCentral
2013-02-09,89
2013-02-10,81
2013-02-11,76
2013-02-12,76
2013-02-13,77
2013-02-14,76
2013-02-15,75
2013-02-16,83
2013-02-17,75
2013-02-18,71
2013-02-19,72
2013-02-20,69
2013-02-21,72
2013-02-22,67
2013-02-23,73
2013-02-24,71
2013-02-25,70
2013-02-26,72
2013-02-27,77
2013-02-28,76
2013-03-01,81
2013-03-02,90
2013-03-03,79
2013-03-04,78
2013-03-05,77
2013-03-06,78
2013-03-07,75
2013-03-08,74
2013-03-09,78
2013-03-10,78
2013-03-11,71
2013-03-12,72
2013-03-13,70
2013-03-14,70
2013-03-15,73
2013-03-16,76
2013-03-17,69
2013-03-18,68
2013-03-19,68
2013-03-20,69
2013-03-21,67
2013-03-22,68
2013-03-23,75
2013-03-24,67
2013-03-25,68
2013-03-26,70
2013-03-27,69
2013-03-28,70
2013-03-29,75
2013-03-30,81
2013-03-31,72
2013-05-01,75
2013-05-02,77
2013-05-03,75
2013-05-04,88
2013-05-05,75
2013-05-06,75
2013-05-07,75
2013-05-08,75
2013-05-09,75
2013-05-10,76
2013-05-11,87
2013-05-12,74
2013-05-13,74
2013-05-14,74
2013-05-15,75
2013-05-16,73
2013-05-17,74
2013-05-18,84
2013-05-19,73
2013-05-20,73
2013-05-21,73
2013-05-22,77
2013-05-23,74
2013-05-24,76
2013-05-25,82
2013-05-26,79
2013-05-27,75
2013-05-28,76
2013-05-29,76
2013-05-30,79
2013-05-31,78
2013-06-01,85
2013-06-02,85
2013-06-03,79
2013-06-04,81
2013-06-05,80
2013-06-06,81
2013-06-07,82
2013-06-08,90
2013-06-09,86
2013-06-10,79
2013-06-11,78
2013-06-12,80
2013-06-13,76
2013-06-14,76
2013-06-15,80
2013-06-16,78
2013-06-17,77
2013-06-18,82
2013-06-19,81
2013-06-20,83
2013-06-21,85
2013-06-22,102
2013-06-23,88
2013-06-24,84
2013-06-25,82
2013-06-26,88
2013-06-27,79
2013-06-28,81
2013-06-29,85
2013-06-30,77
2013-07-01,74
2013-07-02,73
2013-07-03,73
2013-07-04,77
2013-07-05,69
2013-07-06,69
2013-07-07,77
2013-07-08,70
2013-07-09,71
2013-07-10,77
2013-07-11,73
2013-07-12,76
2013-07-13,86
2013-07-14,77
2013-07-15,76
2013-07-16,76
2013-07-17,76
2013-07-18,79
2013-07-19,76
2013-07-20,83
2013-07-21,78
2013-07-22,74
2013-07-23,74
2013-07-24,73
2013-07-25,73
2013-07-26,75
2013-07-27,77
2013-07-28,80
2013-07-29,71
2013-07-30,71
2013-07-31,72
2013-08-01,70
2013-08-02,73
2013-08-03,78
2013-08-04,71
2013-08-05,72
2013-08-06,74
2013-08-07,76
2013-08-08,78
2013-08-09,78
2013-08-10,97
2013-08-11,79
2013-08-12,79
2013-08-13,79
2013-08-14,80
2013-08-15,78
2013-08-16,78
2013-08-17,93
2013-08-18,77
2013-08-19,77
2013-08-20,77
2013-08-21,77
2013-08-22,77
2013-08-23,80
2013-08-24,88
2013-08-25,79
2013-08-26,81
2013-08-27,83
2013-08-28,86
2013-08-29,90
2013-08-30,91
2013-08-31,108
2013-09-01,92
2013-09-02,87
2013-09-03,84
2013-09-04,82
2013-09-05,79
2013-09-06,76
2013-09-07,87
2013-09-08,76
2013-09-09,78
2013-09-10,83
2013-09-11,83
2013-09-12,85
2013-09-13,92
2013-09-14,99
2013-09-15,99
2013-09-16,88
2013-09-17,88
2013-09-18,87
2013-09-19,91
2013-09-20,86
2013-09-21,102
2013-09-22,88
2013-09-23,90
2013-09-24,92
2013-09-25,94
2013-09-26,96
2013-09-27,98
2013-09-28,115
2013-09-29,104
2013-09-30,93
2013-10-01,90
2013-10-02,90
2013-10-03,84
2013-10-04,81
2013-10-05,92
2013-10-06,77
2013-10-07,77
2013-10-08,77
2013-10-09,78
2013-10-10,77
2013-10-11,79
2013-10-12,88
2013-10-13,79
2013-10-14,75
2013-10-15,75
2013-10-16,74
2013-10-17,75
2013-10-18,73
2013-10-19,81
2013-10-20,79
2013-10-21,73
2013-10-22,73
2013-10-23,73
2013-10-24,75
2013-10-25,74
2013-10-26,90
2013-10-27,74
2013-10-28,74
2013-10-29,75
2013-10-30,78
2013-10-31,76
2013-11-01,76
2013-11-02,94
2013-11-03,77
2013-11-04,77
2013-11-05,77
2013-11-06,80
2013-11-07,77
2013-11-08,81
2013-11-09,86
2013-11-10,82
2013-11-11,79
2013-11-12,84
2013-11-13,81
2013-11-14,83
2013-11-15,83
2013-11-16,100
2013-11-17,87
2013-11-18,83
2013-11-19,82
2013-11-20,82
2013-11-21,81
2013-11-22,86
2013-11-23,86
2013-11-24,85
2013-11-25,74
2013-11-26,71
2013-11-27,72
2013-11-28,72
2013-11-29,63
2013-11-30,59
2013-12-01,63
2013-12-02,64
2013-12-03,70
2013-12-04,70
2013-12-05,71
2013-12-06,75
2013-12-07,88
2013-12-08,82
2013-12-09,77
2013-12-10,77
2013-12-11,79
2013-12-12,78
2013-12-13,82
2013-12-14,88
2013-12-15,88
2013-12-16,78
2013-12-17,77
2013-12-18,77
2013-12-19,78
2013-12-20,76
2013-12-21,87
2013-12-22,76
2013-12-23,68
2013-12-24,65
2013-12-25,72
2013-12-26,58
2013-12-27,54
2013-12-28,56
2013-12-29,58
2013-12-30,54
2013-12-31,59
2014-01-01,68
2014-01-02,60
2014-01-03,63
2014-01-04,71
2014-01-05,72
2014-01-06,70
2014-01-07,73
2014-01-08,79
2014-01-09,80
2014-01-10,83
2014-01-11,95
2014-01-12,98
2014-01-13,86
2014-01-14,86
2014-01-15,85
2014-01-16,90
2014-01-17,85
2014-01-18,97
2014-01-19,88
2014-01-20,85
2014-01-21,85
2014-01-22,85
2014-01-23,85
2014-01-24,91
2014-01-25,92
2014-01-26,93
2014-01-27,85
2014-01-28,86
2014-01-29,87
2014-01-30,90
2014-01-31,87
2014-02-01,88
2014-02-02,90
2014-02-03,89
2014-02-04,89
2014-02-05,93
2014-02-06,92
2014-02-07,91
2014-02-08,104
2014-02-09,94
2014-02-10,90
2014-02-11,90
2014-02-12,89
2014-02-13,89
2014-02-14,88
2014-02-15,102
2014-02-16,94
2014-02-17,87
2014-02-18,87
2014-02-19,86
2014-02-20,90
2014-02-21,86
2014-02-22,100
2014-02-23,89
2014-02-24,86
2014-02-25,87
2014-02-26,88
2014-02-27,86
2014-02-28,86
