Date,Dunkin Brands
2010-11-07,13
2010-11-08,13
2010-11-09,13
2010-11-10,12
2010-11-11,12
2010-11-12,12
2010-11-13,12
2010-11-14,13
2010-11-15,14
2010-11-16,15
2010-11-17,16
2010-11-18,17
2010-11-19,18
2010-11-20,19
2010-11-21,18
2010-11-22,17
2010-11-23,16
2010-11-24,16
2010-11-25,15
2010-11-26,14
2010-11-27,14
2010-11-28,14
2010-11-29,14
2010-11-30,14
2010-12-01,14
2010-12-02,14
2010-12-03,14
2010-12-04,14
2010-12-05,14
2010-12-06,14
2010-12-07,15
2010-12-08,15
2010-12-09,16
2010-12-10,16
2010-12-11,17
2010-12-12,16
2010-12-13,15
2010-12-14,15
2010-12-15,14
2010-12-16,14
2010-12-17,13
2010-12-18,13
2010-12-19,12
2010-12-20,11
2010-12-21,10
2010-12-22,10
2010-12-23,9
2010-12-24,8
2010-12-25,8
2010-12-26,8
2010-12-27,8
2010-12-28,8
2010-12-29,8
2010-12-30,8
2010-12-31,8
2011-01-01,8
2011-01-02,9
2011-01-03,10
2011-01-04,11
2011-01-05,12
2011-01-06,13
2011-01-07,14
2011-01-08,16
2011-01-09,15
2011-01-10,15
2011-01-11,15
2011-01-12,15
2011-01-13,15
2011-01-14,15
2011-01-15,15
2011-01-16,15
2011-01-17,15
2011-01-18,15
2011-01-19,15
2011-01-20,15
2011-01-21,15
2011-01-22,15
2011-01-23,15
2011-01-24,15
2011-01-25,15
2011-01-26,15
2011-01-27,15
2011-01-28,15
2011-01-29,15
2011-01-30,14
2011-02-06,12
2011-02-07,13
2011-02-08,13
2011-02-09,14
2011-02-10,14
2011-02-11,15
2011-02-12,16
2011-02-13,16
2011-02-14,16
2011-02-15,16
2011-02-16,16
2011-02-17,16
2011-02-18,16
2011-02-19,16
2011-02-20,16
2011-02-21,16
2011-02-22,16
2011-02-23,17
2011-02-24,17
2011-02-25,17
2011-02-26,18
2011-02-27,17
2011-02-28,16
2011-03-01,16
2011-03-02,15
2011-03-03,15
2011-03-04,14
2011-03-05,14
2011-03-06,14
2011-03-07,14
2011-03-08,14
2011-03-09,15
