Date,Greenlight Capital
2006-07-01,0
2006-07-02,1
2006-07-03,2
2006-07-04,4
2006-07-05,5
2006-07-06,6
2006-07-07,8
2006-07-08,9
2006-07-09,10
2006-07-10,12
2006-07-11,13
2006-07-12,14
2006-07-13,16
2006-07-14,17
2006-07-15,18
2006-07-16,20
2006-07-17,21
2006-07-18,23
2006-07-19,24
2006-07-20,25
2006-07-21,27
2006-07-22,28
2006-07-23,29
2006-07-24,31
2006-07-25,32
2006-07-26,33
2006-07-27,35
2006-07-28,36
2006-07-29,37
2006-07-30,39
2006-07-31,40
2006-08-01,42
2006-08-02,41
2006-08-03,40
2006-08-04,39
2006-08-05,39
2006-08-06,38
2006-08-07,37
2006-08-08,37
2006-08-09,36
2006-08-10,35
2006-08-11,34
2006-08-12,34
2006-08-13,33
2006-08-14,32
2006-08-15,32
2006-08-16,31
2006-08-17,30
2006-08-18,29
2006-08-19,29
2006-08-20,28
2006-08-21,27
2006-08-22,27
2006-08-23,26
2006-08-24,25
2006-08-25,24
2006-08-26,24
2006-08-27,23
2006-08-28,22
2006-08-29,22
2006-08-30,21
2006-08-31,20
2006-09-01,20
2006-09-02,19
2006-09-03,19
2006-09-04,19
2006-09-05,19
2006-09-06,19
2006-09-07,19
2006-09-08,19
2006-09-09,19
2006-09-10,19
2006-09-11,19
2006-09-12,19
2006-09-13,19
2006-09-14,19
2006-09-15,19
2006-09-16,19
2006-09-17,18
2006-09-18,18
2006-09-19,18
2006-09-20,18
2006-09-21,18
2006-09-22,18
2006-09-23,18
2006-09-24,18
2006-09-25,18
2006-09-26,18
2006-09-27,18
2006-09-28,18
2006-09-29,18
2006-09-30,18
2006-10-01,18
2006-10-02,18
2006-10-03,18
2006-10-04,18
2006-10-05,18
2006-10-06,18
2006-10-07,18
2006-10-08,18
2006-10-09,18
2006-10-10,18
2006-10-11,18
2006-10-12,18
2006-10-13,18
2006-10-14,18
2006-10-15,18
2006-10-16,18
2006-10-17,18
2006-10-18,18
2006-10-19,18
2006-10-20,18
2006-10-21,18
2006-10-22,18
2006-10-23,18
2006-10-24,18
2006-10-25,18
2006-10-26,18
2006-10-27,18
2006-10-28,18
2006-10-29,18
2006-10-30,18
2006-10-31,18
2006-11-01,19
2006-11-02,19
2006-11-03,19
2006-11-04,19
2006-11-05,19
2006-11-06,19
2006-11-07,20
2006-11-08,20
2006-11-09,20
2006-11-10,20
2006-11-11,20
2006-11-12,20
2006-11-13,21
2006-11-14,21
2006-11-15,21
2006-11-16,21
2006-11-17,21
2006-11-18,21
2006-11-19,22
2006-11-20,22
2006-11-21,22
2006-11-22,22
2006-11-23,22
2006-11-24,22
2006-11-25,23
2006-11-26,23
2006-11-27,23
2006-11-28,23
2006-11-29,23
2006-11-30,23
2006-12-01,24
2006-12-02,24
2006-12-03,24
2006-12-04,24
2006-12-05,25
2006-12-06,25
2006-12-07,25
2006-12-08,26
2006-12-09,26
2006-12-10,26
2006-12-11,26
2006-12-12,27
2006-12-13,27
2006-12-14,27
2006-12-15,28
2006-12-16,28
2006-12-17,28
2006-12-18,28
2006-12-19,29
2006-12-20,29
2006-12-21,29
2006-12-22,30
2006-12-23,30
2006-12-24,30
2006-12-25,30
2006-12-26,31
2006-12-27,31
2006-12-28,31
2006-12-29,32
2006-12-30,32
2006-12-31,32
2007-01-01,33
2007-01-02,32
2007-01-03,31
2007-01-04,31
2007-01-05,30
2007-01-06,30
2007-01-07,29
2007-01-08,29
2007-01-09,28
2007-01-10,28
2007-01-11,27
2007-01-12,27
2007-01-13,26
2007-01-14,26
2007-01-15,25
2007-01-16,25
2007-01-17,24
2007-01-18,24
2007-01-19,23
2007-01-20,23
2007-01-21,22
2007-01-22,22
2007-01-23,21
2007-01-24,21
2007-01-25,20
2007-01-26,20
2007-01-27,19
2007-01-28,19
2007-01-29,18
2007-01-30,18
2007-01-31,17
2007-02-01,17
2007-02-02,18
2007-02-03,20
2007-02-04,22
2007-02-05,24
2007-02-06,25
2007-02-07,27
2007-02-08,29
2007-02-09,31
2007-02-10,32
2007-02-11,34
2007-02-12,36
2007-02-13,38
2007-02-14,39
2007-02-15,41
2007-02-16,43
2007-02-17,45
2007-02-18,46
2007-02-19,48
2007-02-20,50
2007-02-21,52
2007-02-22,53
2007-02-23,55
2007-02-24,57
2007-02-25,59
2007-02-26,60
2007-02-27,62
2007-02-28,64
2007-03-01,66
2007-03-02,64
2007-03-03,63
2007-03-04,61
2007-03-05,60
2007-03-06,59
2007-03-07,57
2007-03-08,56
2007-03-09,54
2007-03-10,53
2007-03-11,52
2007-03-12,50
2007-03-13,49
2007-03-14,47
2007-03-15,46
2007-03-16,45
2007-03-17,43
2007-03-18,42
2007-03-19,41
2007-03-20,39
2007-03-21,38
2007-03-22,36
2007-03-23,35
2007-03-24,34
2007-03-25,32
2007-03-26,31
2007-03-27,29
2007-03-28,28
2007-03-29,27
2007-03-30,25
2007-03-31,24
2007-04-01,23
2007-04-02,23
2007-04-03,23
2007-04-04,23
2007-04-05,24
2007-04-06,24
2007-04-07,24
2007-04-08,25
2007-04-09,25
2007-04-10,25
2007-04-11,26
2007-04-12,26
2007-04-13,26
2007-04-14,26
2007-04-15,27
2007-04-16,27
2007-04-17,27
2007-04-18,28
2007-04-19,28
2007-04-20,28
2007-04-21,29
2007-04-22,29
2007-04-23,29
2007-04-24,29
2007-04-25,30
2007-04-26,30
2007-04-27,30
2007-04-28,31
2007-04-29,31
2007-04-30,31
2007-05-01,32
2007-05-02,31
2007-05-03,31
2007-05-04,31
2007-05-05,30
2007-05-06,30
2007-05-07,30
2007-05-08,29
2007-05-09,29
2007-05-10,29
2007-05-11,29
2007-05-12,28
2007-05-13,28
2007-05-14,28
2007-05-15,27
2007-05-16,27
2007-05-17,27
2007-05-18,27
2007-05-19,26
2007-05-20,26
2007-05-21,26
2007-05-22,25
2007-05-23,25
2007-05-24,25
2007-05-25,25
2007-05-26,24
2007-05-27,24
2007-05-28,24
2007-05-29,23
2007-05-30,23
2007-05-31,23
2007-06-01,23
2007-06-02,23
2007-06-03,23
2007-06-04,23
2007-06-05,23
2007-06-06,23
2007-06-07,23
2007-06-08,23
2007-06-09,24
2007-06-10,24
2007-06-11,24
2007-06-12,24
2007-06-13,24
2007-06-14,24
2007-06-15,24
2007-06-16,25
2007-06-17,25
2007-06-18,25
2007-06-19,25
2007-06-20,25
2007-06-21,25
2007-06-22,25
2007-06-23,25
2007-06-24,26
2007-06-25,26
2007-06-26,26
2007-06-27,26
2007-06-28,26
2007-06-29,26
2007-06-30,26
2007-07-01,27
2007-07-02,26
2007-07-03,26
2007-07-04,25
2007-07-05,25
2007-07-06,25
2007-07-07,24
2007-07-08,24
2007-07-09,24
2007-07-10,23
2007-07-11,23
2007-07-12,23
2007-07-13,22
2007-07-14,22
2007-07-15,22
2007-07-16,21
2007-07-17,21
2007-07-18,20
2007-07-19,20
2007-07-20,20
2007-07-21,19
2007-07-22,19
2007-07-23,19
2007-07-24,18
2007-07-25,18
2007-07-26,18
2007-07-27,17
2007-07-28,17
2007-07-29,17
2007-07-30,16
2007-07-31,16
2007-08-01,16
2007-08-02,16
2007-08-03,16
2007-08-04,16
2007-08-05,16
2007-08-06,16
2007-08-07,16
2007-08-08,16
2007-08-09,16
2007-08-10,16
2007-08-11,16
2007-08-12,16
2007-08-13,16
2007-08-14,16
2007-08-15,16
2007-08-16,16
2007-08-17,17
2007-08-18,17
2007-08-19,17
2007-08-20,17
2007-08-21,17
2007-08-22,17
2007-08-23,17
2007-08-24,17
2007-08-25,17
2007-08-26,17
2007-08-27,17
2007-08-28,17
2007-08-29,17
2007-08-30,17
2007-08-31,17
2007-09-01,18
2007-09-02,18
2007-09-03,18
2007-09-04,18
2007-09-05,18
2007-09-06,18
2007-09-07,18
2007-09-08,18
2007-09-09,18
2007-09-10,18
2007-09-11,18
2007-09-12,18
2007-09-13,18
2007-09-14,18
2007-09-15,18
2007-09-16,18
2007-09-17,18
2007-09-18,18
2007-09-19,18
2007-09-20,18
2007-09-21,18
2007-09-22,18
2007-09-23,18
2007-09-24,18
2007-09-25,18
2007-09-26,18
2007-09-27,18
2007-09-28,18
2007-09-29,18
2007-09-30,18
2007-10-01,19
2007-10-02,18
2007-10-03,18
2007-10-04,18
2007-10-05,18
2007-10-06,18
2007-10-07,18
2007-10-08,18
2007-10-09,18
2007-10-10,18
2007-10-11,18
2007-10-12,18
2007-10-13,18
2007-10-14,18
2007-10-15,18
2007-10-16,18
2007-10-17,18
2007-10-18,18
2007-10-19,18
2007-10-20,18
2007-10-21,18
2007-10-22,18
2007-10-23,18
2007-10-24,18
2007-10-25,18
2007-10-26,18
2007-10-27,18
2007-10-28,18
2007-10-29,18
2007-10-30,18
2007-10-31,18
2007-11-01,18
2007-11-02,17
2007-11-03,17
2007-11-04,17
2007-11-05,17
2007-11-06,17
2007-11-07,16
2007-11-08,16
2007-11-09,16
2007-11-10,16
2007-11-11,16
2007-11-12,15
2007-11-13,15
2007-11-14,15
2007-11-15,15
2007-11-16,15
2007-11-17,14
2007-11-18,14
2007-11-19,14
2007-11-20,14
2007-11-21,14
2007-11-22,13
2007-11-23,13
2007-11-24,13
2007-11-25,13
2007-11-26,13
2007-11-27,12
2007-11-28,12
2007-11-29,12
2007-11-30,12
2007-12-01,12
2007-12-02,12
2007-12-03,12
2007-12-04,12
2007-12-05,12
2007-12-06,12
2007-12-07,12
2007-12-08,12
2007-12-09,12
2007-12-10,12
2007-12-11,12
2007-12-12,12
2007-12-13,12
2007-12-14,12
2007-12-15,12
2007-12-16,12
2007-12-17,13
2007-12-18,13
2007-12-19,13
2007-12-20,13
2007-12-21,13
2007-12-22,13
2007-12-23,13
2007-12-24,13
2007-12-25,13
2007-12-26,13
2007-12-27,13
2007-12-28,13
2007-12-29,13
2007-12-30,13
2007-12-31,13
2008-01-01,14
2008-01-02,14
2008-01-03,14
2008-01-04,14
2008-01-05,14
2008-01-06,15
2008-01-07,15
2008-01-08,15
2008-01-09,15
2008-01-10,16
2008-01-11,16
2008-01-12,16
2008-01-13,16
2008-01-14,16
2008-01-15,17
2008-01-16,17
2008-01-17,17
2008-01-18,17
2008-01-19,18
2008-01-20,18
2008-01-21,18
2008-01-22,18
2008-01-23,18
2008-01-24,19
2008-01-25,19
2008-01-26,19
2008-01-27,19
2008-01-28,20
2008-01-29,20
2008-01-30,20
2008-01-31,20
2008-02-01,21
2008-02-02,21
2008-02-03,21
2008-02-04,21
2008-02-05,21
2008-02-06,21
2008-02-07,22
2008-02-08,22
2008-02-09,22
2008-02-10,22
2008-02-11,22
2008-02-12,22
2008-02-13,23
2008-02-14,23
2008-02-15,23
2008-02-16,23
2008-02-17,23
2008-02-18,23
2008-02-19,24
2008-02-20,24
2008-02-21,24
2008-02-22,24
2008-02-23,24
2008-02-24,24
2008-02-25,25
2008-02-26,25
2008-02-27,25
2008-02-28,25
2008-02-29,25
2008-03-01,26
2008-03-02,26
2008-03-03,27
2008-03-04,27
2008-03-05,28
2008-03-06,29
2008-03-07,29
2008-03-08,30
2008-03-09,30
2008-03-10,31
2008-03-11,32
2008-03-12,32
2008-03-13,33
2008-03-14,33
2008-03-15,34
2008-03-16,35
2008-03-17,35
2008-03-18,36
2008-03-19,37
2008-03-20,37
2008-03-21,38
2008-03-22,38
2008-03-23,39
2008-03-24,40
2008-03-25,40
2008-03-26,41
2008-03-27,41
2008-03-28,42
2008-03-29,43
2008-03-30,43
2008-03-31,44
2008-04-06,49
2008-04-07,49
2008-04-08,50
2008-04-09,51
2008-04-10,52
2008-04-11,53
2008-04-12,53
2008-04-13,54
2008-04-14,55
2008-04-15,56
2008-04-16,57
2008-04-17,57
2008-04-18,58
2008-04-19,59
2008-04-20,60
2008-04-21,73
2008-04-22,61
2008-04-23,62
2008-04-24,63
2008-04-25,64
2008-04-26,65
2008-04-27,65
2008-04-28,66
2008-04-29,67
2008-04-30,68
2008-05-01,69
2008-05-02,70
2008-05-03,71
2008-05-04,72
2008-05-05,74
2008-05-06,75
2008-05-07,76
2008-05-08,77
2008-05-09,78
2008-05-10,80
2008-05-11,81
2008-05-12,80
2008-05-13,81
2008-05-14,82
2008-05-15,83
2008-05-16,84
2008-05-17,85
2008-05-18,86
2008-05-19,87
2008-05-20,88
2008-05-21,89
2008-05-22,90
2008-05-23,91
2008-05-24,92
2008-05-25,93
2008-05-26,94
2008-05-27,95
2008-05-28,96
2008-05-29,97
2008-05-30,98
2008-05-31,99
2008-06-01,100
2008-06-02,98
2008-06-03,96
2008-06-04,95
2008-06-05,93
2008-06-06,91
2008-06-07,89
2008-06-08,88
2008-06-09,87
2008-06-10,85
2008-06-11,84
2008-06-12,82
2008-06-13,81
2008-06-14,79
2008-06-15,78
2008-06-16,73
2008-06-17,71
2008-06-18,69
2008-06-19,68
2008-06-20,66
2008-06-21,64
2008-06-22,62
2008-06-23,61
2008-06-24,59
2008-06-25,58
