Date,Marrone Bio Innovations
2013-01-01,39
2013-01-02,38
2013-01-03,38
2013-01-04,37
2013-01-05,37
2013-01-06,36
2013-01-07,36
2013-01-08,35
2013-01-09,35
2013-01-10,34
2013-01-11,34
2013-01-12,34
2013-01-13,33
2013-01-14,33
2013-01-15,32
2013-01-16,32
2013-01-17,31
2013-01-18,31
2013-01-19,30
2013-01-20,30
2013-01-21,29
2013-01-22,29
2013-01-23,29
2013-01-24,28
2013-01-25,28
2013-01-26,27
2013-01-27,27
2013-01-28,26
2013-01-29,26
2013-01-30,25
2013-01-31,25
2013-02-01,25
2013-02-02,25
2013-02-03,25
2013-02-04,25
2013-02-05,25
2013-02-06,25
2013-02-07,25
2013-02-08,26
2013-02-09,26
2013-02-10,26
2013-02-11,26
2013-02-12,26
2013-02-13,26
2013-02-14,26
2013-02-15,27
2013-02-16,27
2013-02-17,27
2013-02-18,27
2013-02-19,27
2013-02-20,27
2013-02-21,27
2013-02-22,28
2013-02-23,28
2013-02-24,28
2013-02-25,28
2013-02-26,28
2013-02-27,28
2013-02-28,28
2013-03-01,29
2013-03-02,29
2013-03-03,29
2013-03-04,29
2013-03-05,29
2013-03-06,29
2013-03-07,29
2013-03-08,29
2013-03-09,29
2013-03-10,29
2013-03-11,29
2013-03-12,29
2013-03-13,29
2013-03-14,29
2013-03-15,29
2013-03-16,29
2013-03-17,30
2013-03-18,30
2013-03-19,30
2013-03-20,30
2013-03-21,30
2013-03-22,30
2013-03-23,30
2013-03-24,30
2013-03-25,30
2013-03-26,30
2013-03-27,30
2013-03-28,30
2013-03-29,30
2013-03-30,30
2013-03-31,30
2013-04-01,31
2013-04-02,31
2013-04-03,31
2013-04-04,31
2013-04-05,31
2013-04-06,31
2013-04-07,31
2013-04-08,31
2013-04-09,31
2013-04-10,31
2013-04-11,31
2013-04-12,31
2013-04-13,31
2013-04-14,31
2013-04-15,31
2013-04-16,32
2013-04-17,32
2013-04-18,32
2013-04-19,32
2013-04-20,32
2013-04-21,32
2013-04-22,32
2013-04-23,32
2013-04-24,32
2013-04-25,32
2013-04-26,32
2013-04-27,32
2013-04-28,32
2013-04-29,32
2013-04-30,32
2013-05-01,33
2013-05-02,32
2013-05-03,32
2013-05-04,32
2013-05-05,32
2013-05-06,31
2013-05-07,31
2013-05-08,31
2013-05-09,31
2013-05-10,30
2013-05-11,30
2013-05-12,30
2013-05-13,30
2013-05-14,30
2013-05-15,29
2013-05-16,29
2013-05-17,29
2013-05-18,29
2013-05-19,28
2013-05-20,28
2013-05-21,28
2013-05-22,28
2013-05-23,28
2013-05-24,27
2013-05-25,27
2013-05-26,27
2013-05-27,27
2013-05-28,26
2013-05-29,26
2013-05-30,26
2013-05-31,26
2013-06-01,26
2013-06-02,27
2013-06-03,29
2013-06-04,30
2013-06-05,32
2013-06-06,33
2013-06-07,35
2013-06-08,36
2013-06-09,38
2013-06-10,39
2013-06-11,41
2013-06-12,42
2013-06-13,44
2013-06-14,45
2013-06-15,47
2013-06-16,48
2013-06-17,50
2013-06-18,51
2013-06-19,53
2013-06-20,54
2013-06-21,56
2013-06-22,57
2013-06-23,59
2013-06-24,60
2013-06-25,62
2013-06-26,63
2013-06-27,65
2013-06-28,66
2013-06-29,68
2013-06-30,69
2013-07-01,71
2013-07-02,71
2013-07-03,72
2013-07-04,73
2013-07-05,74
2013-07-06,75
2013-07-07,76
2013-07-08,77
2013-07-09,78
2013-07-10,79
