Date,Skullcandy
2010-07-10,41
2010-07-11,41
2010-07-12,42
2010-07-13,41
2010-07-14,41
2010-07-15,41
2010-07-16,42
2010-07-17,42
2010-07-18,43
2010-07-19,44
2010-07-20,43
2010-07-21,44
2010-07-22,44
2010-07-23,44
2010-07-24,45
2010-07-25,45
2010-07-26,45
2010-07-27,45
2010-07-28,45
2010-07-29,45
2010-07-30,45
2010-07-31,45
2010-08-01,45
2010-08-02,47
2010-08-03,47
2010-08-04,47
2010-08-05,48
2010-08-06,49
2010-08-07,50
2010-08-08,49
2010-08-09,49
2010-08-10,48
2010-08-11,47
2010-08-12,48
2010-08-13,46
2010-08-14,46
2010-08-15,46
2010-08-16,47
2010-08-17,46
2010-08-18,47
2010-08-19,46
2010-08-20,47
2010-08-21,47
2010-08-22,46
2010-08-23,48
2010-08-24,46
2010-08-25,45
2010-08-26,46
2010-08-27,45
2010-08-28,45
2010-08-29,45
2010-08-30,47
2010-08-31,45
2010-09-01,47
2010-09-02,45
2010-09-03,45
2010-09-04,46
2010-09-05,47
2010-09-06,46
2010-09-07,47
2010-09-08,46
2010-09-09,46
2010-09-10,47
2010-09-11,47
2010-09-12,47
2010-09-13,50
2010-09-14,48
2010-09-15,48
2010-09-16,49
2010-09-17,50
2010-09-18,50
2010-09-19,49
2010-09-20,51
2010-09-21,49
2010-09-22,48
2010-09-23,49
2010-09-24,48
2010-09-25,48
2010-09-26,48
2010-09-27,51
2010-09-28,51
2010-09-29,50
2010-09-30,51
2010-10-01,52
2010-10-02,53
2010-10-03,52
2010-10-04,53
2010-10-05,51
2010-10-06,52
2010-10-07,50
2010-10-08,51
2010-10-09,50
2010-10-10,51
2010-10-11,50
2010-10-12,52
2010-10-13,51
2010-10-14,51
2010-10-15,51
2010-10-16,52
2010-10-17,52
2010-10-18,54
2010-10-19,52
2010-10-20,53
2010-10-21,53
2010-10-22,54
2010-10-23,54
2010-10-24,54
2010-10-25,54
2010-10-26,55
2010-10-27,54
2010-10-28,54
2010-10-29,54
2010-10-30,54
2010-10-31,55
2010-11-01,54
2010-11-02,55
2010-11-03,56
2010-11-04,56
2010-11-05,57
2010-11-06,57
2010-11-07,57
2010-11-08,61
2010-11-09,59
2010-11-10,60
2010-11-11,61
2010-11-12,62
2010-11-13,63
2010-11-14,64
2010-11-15,65
2010-11-16,65
2010-11-17,64
2010-11-18,65
2010-11-19,65
2010-11-20,66
2010-11-21,67
2010-11-22,69
2010-11-23,69
2010-11-24,71
2010-11-25,72
2010-11-26,73
2010-11-27,75
2010-11-28,77
2010-11-29,80
2010-11-30,81
2010-12-01,83
2010-12-02,87
2010-12-03,87
2010-12-04,89
2010-12-05,90
2010-12-06,94
2010-12-07,92
2010-12-08,93
2010-12-09,95
2010-12-10,95
2010-12-11,96
2010-12-12,96
2010-12-13,101
2010-12-14,97
2010-12-15,98
2010-12-16,99
2010-12-17,99
2010-12-18,100
2010-12-19,100
2010-12-20,101
2010-12-21,100
2010-12-22,102
2010-12-23,100
2010-12-24,100
2010-12-25,100
2010-12-26,100
2010-12-27,100
2010-12-28,98
2010-12-29,92
2010-12-30,92
2010-12-31,88
2011-01-01,86
2011-01-02,83
2011-01-03,83
2011-01-04,78
2011-01-05,76
2011-01-06,74
2011-01-07,71
2011-01-08,69
2011-01-09,69
2011-01-10,68
2011-01-11,66
2011-01-12,65
2011-01-13,64
2011-01-14,63
2011-01-15,62
2011-01-16,61
2011-01-17,62
2011-01-18,62
2011-01-19,60
2011-01-20,61
2011-01-21,60
2011-01-22,60
2011-01-23,59
2011-01-24,60
2011-01-25,59
2011-01-26,59
2011-01-27,59
2011-01-28,59
2011-01-29,59
2011-01-30,59
2011-01-31,61
2011-02-01,59
2011-02-02,62
2011-02-03,60
2011-02-04,60
2011-02-05,61
2011-02-06,61
2011-02-07,62
2011-02-08,60
2011-02-09,61
2011-02-10,61
2011-02-11,60
2011-02-12,60
2011-02-13,61
2011-02-14,60
2011-02-15,58
2011-02-16,59
2011-02-17,57
2011-02-18,58
2011-02-19,57
2011-02-20,57
2011-02-21,57
2011-02-22,59
2011-02-23,57
2011-02-24,59
2011-02-25,57
2011-02-26,58
2011-02-27,57
2011-02-28,59
2011-03-01,57
2011-03-02,55
2011-03-03,55
2011-03-04,55
2011-03-05,54
2011-03-06,53
2011-03-07,53
2011-03-08,53
2011-03-09,53
2011-03-10,53
2011-03-11,54
2011-03-12,53
2011-03-13,52
2011-03-14,52
2011-03-15,51
2011-03-16,50
2011-03-17,49
2011-03-18,48
2011-03-19,48
2011-03-20,48
2011-03-21,50
2011-03-22,50
2011-03-23,50
2011-03-24,51
2011-03-25,53
2011-03-26,53
2011-03-27,54
2011-03-28,53
2011-03-29,53
2011-03-30,53
2011-03-31,53
2011-04-01,53
2011-04-02,53
2011-04-03,53
2011-04-04,53
2011-04-05,52
2011-04-06,52
2011-04-07,51
2011-04-08,51
2011-04-09,51
2011-04-10,52
2011-04-11,52
2011-04-12,51
2011-04-13,52
2011-04-14,51
2011-04-15,51
2011-04-16,51
2011-04-17,50
2011-04-18,51
2011-04-19,50
2011-04-20,49
2011-04-21,49
2011-04-22,49
2011-04-23,50
2011-04-24,49
2011-04-25,52
2011-04-26,50
2011-04-27,51
2011-04-28,52
2011-04-29,53
2011-04-30,53
2011-05-01,52
2011-05-02,53
2011-05-03,51
2011-05-04,51
2011-05-05,50
2011-05-06,50
2011-05-07,50
2011-05-08,49
2011-05-09,51
2011-05-10,49
2011-05-11,49
2011-05-12,49
2011-05-13,49
2011-05-14,49
2011-05-15,49
2011-05-16,51
2011-05-17,49
2011-05-18,49
2011-05-19,49
2011-05-20,49
2011-05-21,49
2011-05-22,49
2011-05-23,50
2011-05-24,49
2011-05-25,49
2011-05-26,49
2011-05-27,49
2011-05-28,50
2011-05-29,50
2011-05-30,51
2011-05-31,50
2011-06-01,50
2011-06-02,50
2011-06-03,51
2011-06-04,50
2011-06-05,49
2011-06-06,50
2011-06-07,50
2011-06-08,49
2011-06-09,49
2011-06-10,49
2011-06-11,49
2011-06-12,49
2011-06-13,48
2011-06-14,49
2011-06-15,48
2011-06-16,47
2011-06-17,47
2011-06-18,47
2011-06-19,46
2011-06-20,48
2011-06-21,46
2011-06-22,48
2011-06-23,46
2011-06-24,47
2011-06-25,46
2011-06-26,46
2011-06-27,46
2011-06-28,46
2011-06-29,46
2011-06-30,46
2011-07-01,46
2011-07-02,47
2011-07-03,47
2011-07-04,48
2011-07-05,47
2011-07-06,47
2011-07-07,47
2011-07-08,47
2011-07-09,47
2011-07-10,47
2011-07-11,48
2011-07-12,47
2011-07-13,48
2011-07-14,47
2011-07-15,48
2011-07-16,48
2011-07-17,50
2011-07-18,50
2011-07-19,52
2011-07-20,53
2011-07-21,58
2011-07-22,56
2011-07-23,58
2011-07-24,57
2011-07-25,57
2011-07-26,56
2011-07-27,56
2011-07-28,55
2011-07-29,55
2011-07-30,54
2011-07-31,54
2011-08-01,53
2011-08-02,52
2011-08-03,51
2011-08-04,52
2011-08-05,50
2011-08-06,50
2011-08-07,51
2011-08-08,50
2011-08-09,51
2011-08-10,50
2011-08-11,50
2011-08-12,51
2011-08-13,51
2011-08-14,51
2011-08-15,52
2011-08-16,52
2011-08-17,53
2011-08-18,53
2011-08-19,52
2011-08-20,53
2011-08-21,52
2011-08-22,53
2011-08-23,51
2011-08-24,50
2011-08-25,50
2011-08-26,49
2011-08-27,49
2011-08-28,49
2011-08-29,50
2011-08-30,51
2011-08-31,50
2011-09-01,51
2011-09-02,52
2011-09-03,52
2011-09-04,51
2011-09-05,51
2011-09-06,50
2011-09-07,49
2011-09-08,50
2011-09-09,48
2011-09-10,48
2011-09-11,48
2011-09-12,50
2011-09-13,50
2011-09-14,50
2011-09-15,51
2011-09-16,52
2011-09-17,53
2011-09-18,53
2011-09-19,56
2011-09-20,55
2011-09-21,55
2011-09-22,57
2011-09-23,57
2011-09-24,58
2011-09-25,57
2011-09-26,59
2011-09-27,58
2011-09-28,57
2011-09-29,57
2011-09-30,57
2011-10-01,57
2011-10-02,57
2011-10-03,56
2011-10-04,57
2011-10-05,55
2011-10-06,55
2011-10-07,56
2011-10-08,55
2011-10-09,55
2011-10-10,56
2011-10-11,54
2011-10-12,55
2011-10-13,55
2011-10-14,54
2011-10-15,54
2011-10-16,54
2011-10-17,54
2011-10-18,54
2011-10-19,54
2011-10-20,54
2011-10-21,54
2011-10-22,55
2011-10-23,55
2011-10-24,55
2011-10-25,55
2011-10-26,56
2011-10-27,56
2011-10-28,56
2011-10-29,57
2011-10-30,57
2011-10-31,58
2011-11-01,58
2011-11-02,57
2011-11-03,57
2011-11-04,57
2011-11-05,57
2011-11-06,57
2011-11-07,58
2011-11-08,57
2011-11-09,58
2011-11-10,60
2011-11-11,58
2011-11-12,59
2011-11-13,60
2011-11-14,61
2011-11-15,62
2011-11-16,63
2011-11-17,64
2011-11-18,66
2011-11-19,66
2011-11-20,68
2011-11-21,71
2011-11-22,72
2011-11-23,75
2011-11-24,76
2011-11-25,78
2011-11-26,81
2011-11-27,82
2011-11-28,86
2011-11-29,85
2011-11-30,86
2011-12-01,87
2011-12-02,88
2011-12-03,90
2011-12-04,90
2011-12-05,93
2011-12-06,92
2011-12-07,93
2011-12-08,93
2011-12-09,95
2011-12-10,95
2011-12-11,95
2011-12-12,97
2011-12-13,95
2011-12-14,96
2011-12-15,95
2011-12-16,95
2011-12-17,96
2011-12-18,94
2011-12-19,96
2011-12-20,94
2011-12-21,91
2011-12-22,90
2011-12-23,90
2011-12-24,88
2011-12-25,88
2011-12-26,91
2011-12-27,92
2011-12-28,91
2011-12-29,88
2011-12-30,88
2011-12-31,89
2012-01-01,84
2012-01-02,81
2012-01-03,76
2012-01-04,75
2012-01-05,69
2012-01-06,66
2012-01-07,62
2012-01-08,62
2012-01-09,63
2012-01-10,62
2012-01-11,62
2012-01-12,62
2012-01-13,62
2012-01-14,63
2012-01-15,62
2012-01-16,63
2012-01-17,62
2012-01-18,61
2012-01-19,61
2012-01-20,60
2012-01-21,60
2012-01-22,61
2012-01-23,60
2012-01-24,59
2012-01-25,58
2012-01-26,59
2012-01-27,58
2012-01-28,58
