Date,Chefs Warehouse
2010-10-03,59
2010-10-04,57
2010-10-05,55
2010-10-06,53
2010-10-07,51
2010-10-08,49
2010-10-09,47
2010-10-10,49
2010-10-11,52
2010-10-12,54
2010-10-13,57
2010-10-14,59
2010-10-15,62
2010-10-16,65
2010-10-17,64
2010-10-18,63
2010-10-19,63
2010-10-20,62
2010-10-21,61
2010-10-22,60
2010-10-23,60
2010-10-24,59
2010-10-25,58
2010-10-26,58
2010-10-27,57
2010-10-28,57
2010-10-29,56
2010-10-30,56
2010-10-31,57
2010-11-01,59
2010-11-02,61
2010-11-03,62
2010-11-04,64
2010-11-05,66
2010-11-06,67
2010-11-07,67
2010-11-08,66
2010-11-09,66
2010-11-10,66
2010-11-11,66
2010-11-12,66
2010-11-13,66
2010-11-14,65
2010-11-15,65
2010-11-16,64
2010-11-17,63
2010-11-18,63
2010-11-19,62
2010-11-20,62
2010-11-21,61
2010-11-22,60
2010-11-23,59
2010-11-24,58
2010-11-25,57
2010-11-26,56
2010-11-27,55
2010-11-28,55
2010-11-29,56
2010-11-30,57
2010-12-01,57
2010-12-02,58
2010-12-03,59
2010-12-04,60
2010-12-05,60
2010-12-06,60
2010-12-07,60
2010-12-08,61
2010-12-09,61
2010-12-10,61
2010-12-11,61
2010-12-12,61
2010-12-13,60
2010-12-14,59
2010-12-15,59
2010-12-16,58
2010-12-17,58
2010-12-18,58
2010-12-19,60
2010-12-20,62
2010-12-21,64
2010-12-22,66
2010-12-23,68
2010-12-24,70
2010-12-25,72
2010-12-26,67
2011-01-02,40
2011-01-03,42
2011-01-04,44
2011-01-05,46
2011-01-06,48
2011-01-07,49
2011-01-08,51
2011-01-09,50
2011-01-10,48
2011-01-11,47
2011-01-12,45
2011-01-13,44
2011-01-14,43
2011-01-15,42
2011-01-16,42
2011-01-17,43
2011-01-18,44
2011-01-19,45
2011-01-20,46
2011-01-21,47
2011-01-22,48
2011-01-23,46
2011-01-24,44
2011-01-25,42
2011-01-26,40
2011-01-27,38
2011-01-28,36
2011-01-29,35
2011-01-30,35
2011-01-31,35
2011-02-01,35
2011-02-02,35
2011-02-03,35
2011-02-04,35
2011-02-05,36
2011-02-06,36
2011-02-07,36
2011-02-08,36
2011-02-09,37
2011-02-10,37
2011-02-11,37
2011-02-12,38
2011-02-13,37
2011-02-14,37
2011-02-15,37
2011-02-16,37
2011-02-17,37
2011-02-18,37
2011-02-19,37
2011-02-20,39
