Date,AMC Entertainment
2007-03-01,56
2007-03-02,55
2007-03-03,54
2007-03-04,62
2007-03-05,67
2007-03-06,63
2007-03-07,67
2007-03-08,70
2007-03-09,73
2007-03-10,77
2007-03-11,80
2007-03-12,90
2007-03-13,83
2007-03-14,89
2007-03-15,88
2007-03-16,90
2007-03-17,93
2007-03-18,96
2007-03-19,95
2007-03-20,81
2007-03-21,77
2007-03-22,73
2007-03-23,69
2007-03-24,65
2007-03-25,68
2007-03-26,69
2007-03-27,61
2007-03-28,64
2007-03-29,59
2007-03-30,58
2007-03-31,57
2007-04-01,61
2007-04-02,69
2007-04-03,62
2007-04-04,65
2007-04-05,66
2007-04-06,68
2007-04-07,75
2007-04-08,69
2007-04-09,73
2007-04-10,74
2007-04-11,66
2007-04-12,66
2007-04-13,64
2007-04-14,63
2007-04-15,67
2007-04-16,70
2007-04-17,60
2007-04-18,62
2007-04-19,59
2007-04-20,58
2007-04-21,58
2007-04-22,63
2007-04-23,69
2007-04-24,61
2007-04-25,64
2007-04-26,63
2007-04-27,64
2007-04-28,66
2007-04-29,73
2007-04-30,82
2007-05-01,77
2007-05-02,83
2007-05-03,84
2007-05-04,88
2007-05-05,92
2007-05-06,95
2007-05-07,95
2007-05-08,79
2007-05-09,77
2007-05-10,71
2007-05-11,67
2007-05-12,63
2007-05-13,66
2007-05-14,72
2007-05-15,64
2007-05-16,68
2007-05-17,65
2007-05-18,65
2007-05-19,66
2007-05-20,68
2007-05-21,76
2007-05-22,79
2007-05-23,76
2007-05-24,76
2007-05-25,78
2007-05-26,80
2007-05-27,80
2007-05-28,85
2007-05-29,70
2007-05-30,71
2007-05-31,64
2007-06-01,61
2007-06-02,58
2007-06-03,60
2007-06-04,63
2007-06-05,55
2007-06-06,59
2007-06-07,54
2007-06-08,53
2007-06-09,53
2007-06-10,55
2007-06-11,59
2007-06-12,51
2007-06-13,53
2007-06-14,50
2007-06-15,49
2007-06-16,49
2007-06-17,50
2007-06-18,59
2007-06-19,52
2007-06-20,53
2007-06-21,54
2007-06-22,55
2007-06-23,57
2007-06-24,59
2007-06-25,62
2007-06-26,56
2007-06-27,55
2007-06-28,54
2007-06-29,54
2007-06-30,54
2007-07-01,61
2007-07-02,64
2007-07-03,70
2007-07-04,76
2007-07-05,84
2007-07-06,86
2007-07-07,92
2007-07-08,94
2007-07-09,103
2007-07-10,95
2007-07-11,96
2007-07-12,101
2007-07-13,98
2007-07-14,100
2007-07-15,102
2007-07-16,105
2007-07-17,93
2007-07-18,95
2007-07-19,89
2007-07-20,87
2007-07-21,85
2007-07-22,85
2007-07-23,88
2007-07-24,77
2007-07-25,76
2007-07-26,73
2007-07-27,70
2007-07-28,68
2007-07-29,70
2007-07-30,72
2007-07-31,67
2007-08-01,69
2007-08-02,67
2007-08-03,66
2007-08-04,66
2007-08-05,66
2007-08-06,70
2007-08-07,69
2007-08-08,70
2007-08-09,67
2007-08-10,67
2007-08-11,68
2007-08-12,68
2007-08-13,70
2007-08-14,65
2007-08-15,66
2007-08-16,63
2007-08-17,62
2007-08-18,61
2007-08-19,60
2007-08-20,66
2007-08-21,60
2007-08-22,62
2007-08-23,60
2007-08-24,60
2007-08-25,60
2007-08-26,60
2007-08-27,63
2007-08-28,55
2007-08-29,55
2007-08-30,52
2007-08-31,50
2007-09-01,49
2007-09-02,47
2007-09-03,48
2007-09-04,48
2007-09-05,45
2007-09-06,41
2007-09-07,40
2007-09-08,39
2007-09-09,40
2007-09-10,44
2007-09-11,38
2007-09-12,40
2007-09-13,38
2007-09-14,38
2007-09-15,38
2007-09-16,41
2007-09-17,43
2007-09-18,38
2007-09-19,40
2007-09-20,39
2007-09-21,39
2007-09-22,40
2007-09-23,41
2007-09-24,47
2007-09-25,40
2007-09-26,41
2007-09-27,40
2007-09-28,40
2007-09-29,40
2007-09-30,42
2007-10-01,43
2007-10-02,38
2007-10-03,37
2007-10-04,37
2007-10-05,36
2007-10-06,36
2007-10-07,38
2007-10-08,39
2007-10-09,44
2007-10-10,40
2007-10-11,41
2007-10-12,42
2007-10-13,44
2007-10-14,48
2007-10-15,47
2007-10-16,41
2007-10-17,41
2007-10-18,40
2007-10-19,39
2007-10-20,39
2007-10-21,42
2007-10-22,42
2007-10-23,37
2007-10-24,37
2007-10-25,38
2007-10-26,36
2007-10-27,36
2007-10-28,39
2007-10-29,43
2007-10-30,39
2007-10-31,40
2007-11-01,41
2007-11-02,42
2007-11-03,44
2007-11-04,46
2007-11-05,49
2007-11-06,42
2007-11-07,44
2007-11-08,41
2007-11-09,41
2007-11-10,41
2007-11-11,42
2007-11-12,45
2007-11-13,38
2007-11-14,40
2007-11-15,36
2007-11-16,35
2007-11-17,35
2007-11-18,38
2007-11-19,44
2007-11-20,40
2007-11-21,42
2007-11-22,43
2007-11-23,45
2007-11-24,47
2007-11-25,48
2007-11-26,49
2007-11-27,44
2007-11-28,45
2007-11-29,42
2007-11-30,41
2007-12-01,40
2007-12-02,42
2007-12-03,43
2007-12-04,39
2007-12-05,37
2007-12-06,38
2007-12-07,35
2007-12-08,35
2007-12-09,36
2007-12-10,40
2007-12-11,35
2007-12-12,36
2007-12-13,37
2007-12-14,36
2007-12-15,37
2007-12-16,39
2007-12-17,43
2007-12-18,40
2007-12-19,42
2007-12-20,42
2007-12-21,43
2007-12-22,44
2007-12-23,50
2007-12-24,61
2007-12-25,62
2007-12-26,69
2007-12-27,76
2007-12-28,82
2007-12-29,88
2007-12-30,89
2007-12-31,93
2008-01-01,88
2008-01-02,94
2008-01-03,92
2008-01-04,89
2008-01-05,90
2008-01-06,89
2008-01-07,88
2008-01-08,69
2008-01-09,63
2008-01-10,56
2008-01-11,49
2008-01-12,43
2008-01-13,45
2008-01-14,51
2008-01-15,44
2008-01-16,45
2008-01-17,45
2008-01-18,46
2008-01-19,47
2008-01-20,51
2008-01-21,53
2008-01-22,46
2008-01-23,45
2008-01-24,45
2008-01-25,45
2008-01-26,45
2008-01-27,48
2008-01-28,48
2008-01-29,44
2008-01-30,43
2008-01-31,43
2008-02-01,43
2008-02-02,43
2008-02-03,45
2008-02-04,47
2008-02-05,41
2008-02-06,44
2008-02-07,40
2008-02-08,40
2008-02-09,40
2008-02-10,43
2008-02-11,45
2008-02-12,42
2008-02-13,41
2008-02-14,41
2008-02-15,41
2008-02-16,42
2008-02-17,43
2008-02-18,45
2008-02-19,49
2008-02-20,46
2008-02-21,49
2008-02-22,46
2008-02-23,47
2008-02-24,47
2008-02-25,48
2008-02-26,40
2008-02-27,40
2008-02-28,35
2008-02-29,33
2008-03-01,31
2008-03-02,33
2008-03-03,36
2008-03-04,31
2008-03-05,32
2008-03-06,32
2008-03-07,32
2008-03-08,33
2008-03-09,36
2008-03-10,39
2008-03-11,38
2008-03-12,42
2008-03-13,42
2008-03-14,44
2008-03-15,46
2008-03-16,47
2008-03-17,50
2008-03-18,44
2008-03-19,45
2008-03-20,43
2008-03-21,42
2008-03-22,44
2008-03-23,42
2008-03-24,43
2008-03-25,42
2008-03-26,39
2008-03-27,39
2008-03-28,37
2008-03-29,37
2008-03-30,38
2008-03-31,40
2008-04-01,35
2008-04-02,34
2008-04-03,34
2008-04-04,33
2008-04-05,33
2008-04-06,33
2008-04-07,35
2008-04-08,31
2008-04-09,30
2008-04-10,29
2008-04-11,28
2008-04-12,28
2008-04-13,29
2008-04-14,32
2008-04-15,27
2008-04-16,30
2008-04-17,27
2008-04-18,27
2008-04-19,27
2008-04-20,29
2008-04-21,30
2008-04-22,27
2008-04-23,29
2008-04-24,28
2008-04-25,28
2008-04-26,29
2008-04-27,32
2008-04-28,36
2008-04-29,34
2008-04-30,35
2008-05-01,37
2008-05-02,39
2008-05-03,41
2008-05-04,42
2008-05-05,44
2008-05-06,37
2008-05-07,37
2008-05-08,35
2008-05-09,34
2008-05-10,33
2008-05-11,34
2008-05-12,39
2008-05-13,33
2008-05-14,35
2008-05-15,33
2008-05-16,33
2008-05-17,33
2008-05-18,35
2008-05-19,37
2008-05-20,41
2008-05-21,41
2008-05-22,40
2008-05-23,42
2008-05-24,44
2008-05-25,46
2008-05-26,50
2008-05-27,45
2008-05-28,48
2008-05-29,46
2008-05-30,46
2008-05-31,47
2008-06-01,46
2008-06-02,50
2008-06-03,45
2008-06-04,46
2008-06-05,44
2008-06-06,43
2008-06-07,43
2008-06-08,44
2008-06-09,48
2008-06-10,42
2008-06-11,44
2008-06-12,43
2008-06-13,42
2008-06-14,42
2008-06-15,43
2008-06-16,44
2008-06-17,41
2008-06-18,42
2008-06-19,40
2008-06-20,40
2008-06-21,40
2008-06-22,41
2008-06-23,45
2008-06-24,41
2008-06-25,44
2008-06-26,42
2008-06-27,43
2008-06-28,44
2008-06-29,45
2008-06-30,48
2008-07-01,45
2008-07-02,47
2008-07-03,48
2008-07-04,47
2008-07-05,48
2008-07-06,49
2008-07-07,50
2008-07-08,45
2008-07-09,47
2008-07-10,44
2008-07-11,42
2008-07-12,41
2008-07-13,44
2008-07-14,47
2008-07-15,46
2008-07-16,50
2008-07-17,50
2008-07-18,52
2008-07-19,54
2008-07-20,56
2008-07-21,64
2008-07-22,61
2008-07-23,67
2008-07-24,67
2008-07-25,68
2008-07-26,71
2008-07-27,72
2008-07-28,69
2008-07-29,64
2008-07-30,66
2008-07-31,61
2008-08-01,57
2008-08-02,55
2008-08-03,57
2008-08-04,57
2008-08-05,55
2008-08-06,55
2008-08-07,57
2008-08-08,55
2008-08-09,55
2008-08-10,55
2008-08-11,57
2008-08-12,51
2008-08-13,51
2008-08-14,52
2008-08-15,48
2008-08-16,47
2008-08-17,48
2008-08-18,46
2008-08-19,43
2008-08-20,44
2008-08-21,42
2008-08-22,40
2008-08-23,39
2008-08-24,39
2008-08-25,41
2008-08-26,37
2008-08-27,39
2008-08-28,38
2008-08-29,36
2008-08-30,36
2008-08-31,35
2008-09-01,34
2008-09-02,38
2008-09-03,32
2008-09-04,33
2008-09-05,30
2008-09-06,30
2008-09-07,29
2008-09-08,33
2008-09-09,28
2008-09-10,28
2008-09-11,27
2008-09-12,27
2008-09-13,27
2008-09-14,28
2008-09-15,32
2008-09-16,27
2008-09-17,28
2008-09-18,27
2008-09-19,27
2008-09-20,27
2008-09-21,27
2008-09-22,30
2008-09-23,27
2008-09-24,27
2008-09-25,27
2008-09-26,27
2008-09-27,27
2008-09-28,28
2008-09-29,30
2008-09-30,27
2008-10-01,29
2008-10-02,28
2008-10-03,28
2008-10-04,29
2008-10-05,30
2008-10-06,31
2008-10-07,27
2008-10-08,26
2008-10-09,26
2008-10-10,25
2008-10-11,25
2008-10-12,26
2008-10-13,26
2008-10-14,28
2008-10-15,29
2008-10-16,28
2008-10-17,28
2008-10-18,29
2008-10-19,31
2008-10-20,34
2008-10-21,32
2008-10-22,35
2008-10-23,34
2008-10-24,35
2008-10-25,37
2008-10-26,38
2008-10-27,39
2008-10-28,33
2008-10-29,32
2008-10-30,32
2008-10-31,30
2008-11-01,29
2008-11-02,31
2008-11-03,36
2008-11-04,32
2008-11-05,34
2008-11-06,34
2008-11-07,35
2008-11-08,36
2008-11-09,39
2008-11-10,42
2008-11-11,40
2008-11-12,46
2008-11-13,43
2008-11-14,44
2008-11-15,46
2008-11-16,48
2008-11-17,48
2008-11-18,44
2008-11-19,45
2008-11-20,43
2008-11-21,42
2008-11-22,42
2008-11-23,44
2008-11-24,45
2008-11-25,39
2008-11-26,39
2008-11-27,37
2008-11-28,36
2008-11-29,36
2008-11-30,36
2008-12-01,34
2008-12-02,33
2008-12-03,32
2008-12-04,31
2008-12-05,30
2008-12-06,30
2008-12-07,31
2008-12-08,30
2008-12-09,28
2008-12-10,29
2008-12-11,27
2008-12-12,26
2008-12-13,26
2008-12-14,26
2008-12-15,28
2008-12-16,26
2008-12-17,27
2008-12-18,26
2008-12-19,26
2008-12-20,26
2008-12-21,30
2008-12-22,35
2008-12-23,38
2008-12-24,43
2008-12-25,47
2008-12-26,51
2008-12-27,56
2008-12-28,60
2008-12-29,64
2008-12-30,65
2008-12-31,71
2009-01-01,71
2009-01-02,76
2009-01-03,79
2009-01-04,76
2009-01-05,76
2009-01-06,60
2009-01-07,56
2009-01-08,49
2009-01-09,43
2009-01-10,38
2009-01-11,41
2009-01-12,42
2009-01-13,38
2009-01-14,38
2009-01-15,39
2009-01-16,38
2009-01-17,39
2009-01-18,41
2009-01-19,44
2009-01-20,38
2009-01-21,39
2009-01-22,38
2009-01-23,38
2009-01-24,38
2009-01-25,40
2009-01-26,42
2009-01-27,38
2009-01-28,40
2009-01-29,38
2009-01-30,38
2009-01-31,39
2009-02-01,42
2009-02-02,40
2009-02-03,35
2009-02-04,35
2009-02-05,32
2009-02-06,31
2009-02-07,30
2009-02-08,33
2009-02-09,36
2009-02-10,33
2009-02-11,35
2009-02-12,35
2009-02-13,36
2009-02-14,38
2009-02-15,39
2009-02-16,40
2009-02-17,41
2009-02-18,39
2009-02-19,38
2009-02-20,38
2009-02-21,38
2009-02-22,39
2009-02-23,38
2009-02-24,34
2009-02-25,34
2009-02-26,31
2009-02-27,30
2009-02-28,29
