Date,Freescale Semiconductor
2010-08-01,51
2010-08-02,51
2010-08-03,51
2010-08-04,51
2010-08-05,51
2010-08-06,51
2010-08-07,51
2010-08-08,50
2010-08-09,49
2010-08-10,48
2010-08-11,47
2010-08-12,46
2010-08-13,45
2010-08-14,44
2010-08-15,45
2010-08-16,46
2010-08-17,47
2010-08-18,48
2010-08-19,49
2010-08-20,50
2010-08-21,51
2010-08-22,50
2010-08-23,49
2010-08-24,48
2010-08-25,47
2010-08-26,46
2010-08-27,45
2010-08-28,44
2010-08-29,45
2010-08-30,46
2010-08-31,48
2010-09-01,49
2010-09-02,51
2010-09-03,52
2010-09-04,54
2010-09-05,51
2010-09-06,49
2010-09-07,47
2010-09-08,45
2010-09-09,42
2010-09-10,40
2010-09-11,38
2010-09-12,37
2010-09-13,37
2010-09-14,37
2010-09-15,37
2010-09-16,36
2010-09-17,36
2010-09-18,36
2010-09-19,37
2010-09-20,37
2010-09-21,38
2010-09-22,39
2010-09-23,40
2010-09-24,41
2010-09-25,42
2010-09-26,44
2010-09-27,46
2010-09-28,48
2010-09-29,50
2010-09-30,52
2010-10-01,54
2010-10-02,57
2010-10-03,56
2010-10-04,55
2010-10-05,54
2010-10-06,53
2010-10-07,52
2010-10-08,51
2010-10-09,50
2010-10-10,51
2010-10-11,53
2010-10-12,55
2010-10-13,56
2010-10-14,58
2010-10-15,60
2010-10-16,61
2010-10-17,59
2010-10-18,56
2010-10-19,53
2010-10-20,51
2010-10-21,48
2010-10-22,46
2010-10-23,44
2010-10-24,43
2010-10-25,43
2010-10-26,43
2010-10-27,43
2010-10-28,43
2010-10-29,43
2010-10-30,43
2010-10-31,42
2010-11-07,42
2010-11-08,44
2010-11-09,45
2010-11-10,47
2010-11-11,48
2010-11-12,50
2010-11-13,52
2010-11-14,49
2010-11-15,47
2010-11-16,45
2010-11-17,43
2010-11-18,41
2010-11-19,39
2010-11-20,37
2010-11-21,37
2010-11-22,37
2010-11-23,37
2010-11-24,37
2010-11-25,37
2010-11-26,37
2010-11-27,38
2010-11-28,37
2010-11-29,37
2010-11-30,37
2010-12-01,37
2010-12-02,37
2010-12-03,37
2010-12-04,37
2010-12-05,36
2010-12-06,35
2010-12-07,34
2010-12-08,33
2010-12-09,32
2010-12-10,31
2010-12-11,30
2010-12-12,30
2010-12-13,31
2010-12-14,32
2010-12-15,33
2010-12-16,34
2010-12-17,35
2010-12-18,36
2010-12-19,38
2010-12-20,40
2010-12-21,42
2010-12-22,44
2010-12-23,46
2010-12-24,49
2010-12-25,51
2010-12-26,48
2010-12-27,46
2010-12-28,43
2010-12-29,41
2010-12-30,38
2010-12-31,36
2011-01-01,34
2011-01-02,37
2011-01-03,41
2011-01-04,44
2011-01-05,47
2011-01-06,51
2011-01-07,54
2011-01-08,58
2011-01-09,56
2011-01-10,54
2011-01-11,52
2011-01-12,50
2011-01-13,48
2011-01-14,46
2011-01-15,45
2011-01-16,44
2011-01-17,44
2011-01-18,44
2011-01-19,44
2011-01-20,44
2011-01-21,44
2011-01-22,44
2011-01-23,45
2011-01-24,46
2011-01-25,47
2011-01-26,48
2011-01-27,49
2011-01-28,50
2011-01-29,51
2011-01-30,48
2011-02-06,38
2011-02-07,44
2011-02-08,50
2011-02-09,56
2011-02-10,63
2011-02-11,69
2011-02-12,75
2011-02-13,72
2011-02-14,67
2011-02-15,64
2011-02-16,61
2011-02-17,58
2011-02-18,55
2011-02-19,52
2011-02-20,50
2011-02-21,48
2011-02-22,47
2011-02-23,45
2011-02-24,43
2011-02-25,41
2011-02-26,40
2011-02-27,41
2011-02-28,42
2011-03-01,43
2011-03-02,44
2011-03-03,45
2011-03-04,46
2011-03-05,47
2011-03-06,48
2011-03-07,50
2011-03-08,52
2011-03-09,53
2011-03-10,55
2011-03-11,57
2011-03-12,59
2011-03-13,58
2011-03-14,58
2011-03-15,58
2011-03-16,57
2011-03-17,57
2011-03-18,57
2011-03-19,56
2011-03-20,53
2011-03-21,48
2011-03-22,45
2011-03-23,41
2011-03-24,38
2011-03-25,34
2011-03-26,31
2011-03-27,36
2011-05-01,39
2011-05-02,40
2011-05-03,40
2011-05-04,41
2011-05-05,41
2011-05-06,42
2011-05-07,43
2011-05-08,44
2011-05-09,46
2011-05-10,48
2011-05-11,50
2011-05-12,52
2011-05-13,54
2011-05-14,56
2011-05-15,55
2011-05-16,53
2011-05-17,52
2011-05-18,50
2011-05-19,49
2011-05-20,48
2011-05-21,47
2011-05-22,54
2011-05-23,63
2011-05-24,71
2011-05-25,78
2011-05-26,86
2011-05-27,94
2011-05-28,103
2011-05-29,94
2011-05-30,82
2011-05-31,73
2011-06-01,64
2011-06-02,55
2011-06-03,46
2011-06-04,37
2011-06-05,38
2011-06-06,40
2011-06-07,42
2011-06-08,44
2011-06-09,46
2011-06-10,48
2011-06-11,50
2011-06-12,49
2011-06-13,48
2011-06-14,47
2011-06-15,47
2011-06-16,46
2011-06-17,45
2011-06-18,45
2011-06-19,46
2011-06-20,48
2011-06-21,50
2011-06-22,52
2011-06-23,54
2011-06-24,56
2011-06-25,58
2011-06-26,59
2011-06-27,60
2011-06-28,62
2011-06-29,63
2011-06-30,65
2011-07-01,66
2011-07-02,68
2011-07-03,66
2011-07-04,66
2011-07-05,64
2011-07-06,63
2011-07-07,62
2011-07-08,61
2011-07-09,59
2011-07-10,57
2011-07-11,55
2011-07-12,53
2011-07-13,51
2011-07-14,49
2011-07-15,47
2011-07-16,45
2011-07-17,45
2011-07-18,45
2011-07-19,45
2011-07-20,46
2011-07-21,46
2011-07-22,46
2011-07-23,47
2011-07-24,46
2011-07-25,46
2011-07-26,46
2011-07-27,45
2011-07-28,45
