Date,Graham Packaging
2009-06-13,24
2009-06-14,25
2009-06-15,27
2009-06-16,29
2009-06-17,31
2009-06-18,33
2009-06-19,35
2009-06-20,37
2009-06-21,37
2009-06-22,38
2009-06-23,38
2009-06-24,39
2009-06-25,39
2009-06-26,40
2009-06-27,41
2009-06-28,39
2009-06-29,38
2009-06-30,37
2009-07-01,35
2009-07-02,34
2009-07-03,33
2009-07-04,32
2009-07-05,34
2009-07-06,38
2009-07-07,41
2009-07-08,44
2009-07-09,47
2009-07-10,49
2009-07-11,52
2009-07-12,49
2009-07-13,44
2009-07-14,41
2009-07-15,37
2009-07-16,34
2009-07-17,30
2009-07-18,27
2009-07-19,27
2009-07-20,28
2009-07-21,29
2009-07-22,30
2009-07-23,31
2009-07-24,32
2009-07-25,33
2009-07-26,33
2009-07-27,33
2009-07-28,34
2009-07-29,34
2009-07-30,34
2009-07-31,34
2009-08-01,35
2009-08-02,34
2009-08-03,32
2009-08-04,31
2009-08-05,30
2009-08-06,29
2009-08-07,28
2009-08-08,27
2009-08-09,27
2009-08-10,28
2009-08-11,29
2009-08-12,30
2009-08-13,31
2009-08-14,32
2009-08-15,33
2009-08-16,36
2009-08-17,40
2009-08-18,43
2009-08-19,47
2009-08-20,51
2009-08-21,54
2009-08-22,58
2009-08-23,53
2009-08-24,48
2009-08-25,44
2009-08-26,39
2009-08-27,35
2009-08-28,31
2009-08-29,27
2009-08-30,26
2009-09-06,25
2009-09-07,26
2009-09-08,27
2009-09-09,27
2009-09-10,28
2009-09-11,29
2009-09-12,30
2009-09-13,29
2009-09-14,28
2009-09-15,28
2009-09-16,27
2009-09-17,27
2009-09-18,26
2009-09-19,26
2009-09-20,27
2009-09-21,28
2009-09-22,29
2009-09-23,30
2009-09-24,31
2009-09-25,32
2009-09-26,33
2009-09-27,31
2009-09-28,30
2009-09-29,29
2009-09-30,27
2009-10-01,26
2009-10-02,25
2009-10-03,24
2009-10-04,24
2009-10-05,24
2009-10-06,24
2009-10-07,24
2009-10-08,24
2009-10-09,24
2009-10-10,24
2009-10-11,23
2009-10-12,22
2009-10-13,21
2009-10-14,21
2009-10-15,20
2009-10-16,19
2009-10-17,19
2009-10-18,19
2009-10-19,19
2009-10-20,20
2009-10-21,20
2009-10-22,21
2009-10-23,21
2009-10-24,22
2009-10-25,23
2009-10-26,25
2009-10-27,26
2009-10-28,28
2009-10-29,29
2009-10-30,31
2009-10-31,33
2009-11-01,32
2009-11-02,32
2009-11-03,32
2009-11-04,32
2009-11-05,32
2009-11-06,31
2009-11-07,31
2009-11-08,31
2009-11-09,29
2009-11-10,29
2009-11-11,28
2009-11-12,28
2009-11-13,27
2009-11-14,27
2009-11-15,28
2009-11-16,30
2009-11-17,32
2009-11-18,33
2009-11-19,35
2009-11-20,37
2009-11-21,39
2009-11-22,39
2009-11-23,39
2009-11-24,39
2009-11-25,40
2009-11-26,40
2009-11-27,40
2009-11-28,41
2009-11-29,41
2009-12-06,42
2009-12-07,41
2009-12-08,41
2009-12-09,40
2009-12-10,40
2009-12-11,39
2009-12-12,39
2009-12-13,38
2009-12-14,39
2009-12-15,39
2009-12-16,38
2009-12-17,38
2009-12-18,38
2009-12-19,38
2009-12-20,37
2009-12-21,36
2009-12-22,35
2009-12-23,34
2009-12-24,33
2009-12-25,32
2009-12-26,31
2009-12-27,29
2009-12-28,28
2009-12-29,27
2009-12-30,26
2009-12-31,25
2010-01-01,24
2010-01-02,23
2010-01-03,25
2010-01-04,27
2010-01-05,29
2010-01-06,31
2010-01-07,33
2010-01-08,35
2010-01-09,37
2010-01-10,35
2010-01-11,33
2010-01-12,32
2010-01-13,30
2010-01-14,29
2010-01-15,27
2010-01-16,26
2010-01-17,27
2010-01-18,29
2010-01-19,31
2010-01-20,32
2010-01-21,34
2010-01-22,36
2010-01-23,38
2010-01-24,38
2010-01-25,38
2010-01-26,38
2010-01-27,38
2010-01-28,38
2010-01-29,39
2010-01-30,39
2010-01-31,37
2010-02-01,35
2010-02-02,34
2010-02-03,32
2010-02-04,31
2010-02-05,29
2010-02-06,28
2010-02-07,32
2010-02-08,36
2010-02-09,41
2010-02-10,45
2010-02-11,49
2010-02-12,53
2010-02-13,58
2010-02-14,55
2010-02-15,50
2010-02-16,47
2010-02-17,44
2010-02-18,41
2010-02-19,38
2010-02-20,35
2010-02-21,37
2010-02-22,39
2010-02-23,42
2010-02-24,44
2010-02-25,46
2010-02-26,49
2010-02-27,51
2010-02-28,49
2010-03-07,36
2010-03-08,36
2010-03-09,36
2010-03-10,35
2010-03-11,35
2010-03-12,35
2010-03-13,35
2010-03-14,36
2010-03-15,37
2010-03-16,38
2010-03-17,39
2010-03-18,40
2010-03-19,41
2010-03-20,43
2010-03-21,42
2010-03-22,41
2010-03-23,41
2010-03-24,40
2010-03-25,39
2010-03-26,39
2010-03-27,38
2010-03-28,37
2010-03-29,36
2010-03-30,35
2010-03-31,34
2010-04-01,33
2010-04-02,32
2010-04-03,31
2010-04-04,31
2010-04-05,32
2010-04-06,32
2010-04-07,32
2010-04-08,33
2010-04-09,33
2010-04-10,34
2010-04-11,33
2010-04-12,32
2010-04-13,31
2010-04-14,30
2010-04-15,29
2010-04-16,28
2010-04-17,27
2010-04-18,29
2010-04-19,31
2010-04-20,34
2010-04-21,36
2010-04-22,38
2010-04-23,41
2010-04-24,43
2010-04-25,42
2010-04-26,41
2010-04-27,40
2010-04-28,40
2010-04-29,39
2010-04-30,38
2010-05-01,38
2010-05-02,36
2010-05-03,34
2010-05-04,33
2010-05-05,31
2010-05-06,30
2010-05-07,28
2010-05-08,27
2010-05-09,28
2010-05-10,30
2010-05-11,31
2010-05-12,32
2010-05-13,34
2010-05-14,35
2010-05-15,36
2010-05-16,36
2010-05-17,34
2010-05-18,33
2010-05-19,32
2010-05-20,31
2010-05-21,30
2010-05-22,29
2010-05-23,28
2010-05-24,28
2010-05-25,27
2010-05-26,27
2010-05-27,27
2010-05-28,26
2010-05-29,26
2010-05-30,26
2010-06-06,30
2010-06-07,32
2010-06-08,33
2010-06-09,35
2010-06-10,36
2010-06-11,38
2010-06-12,39
2010-06-13,37
2010-06-14,35
2010-06-15,34
2010-06-16,32
2010-06-17,31
2010-06-18,29
2010-06-19,28
2010-06-20,28
2010-06-21,29
2010-06-22,30
2010-06-23,31
2010-06-24,32
2010-06-25,33
2010-06-26,34
2010-06-27,33
2010-06-28,33
2010-06-29,33
2010-06-30,32
2010-07-01,32
2010-07-02,32
2010-07-03,32
2010-07-04,32
2010-07-05,33
2010-07-06,34
2010-07-07,35
2010-07-08,36
2010-07-09,37
2010-07-10,38
2010-07-11,36
2010-07-12,35
2010-07-13,34
2010-07-14,33
2010-07-15,32
2010-07-16,31
2010-07-17,30
2010-07-18,31
2010-07-19,33
2010-07-20,34
2010-07-21,36
2010-07-22,37
2010-07-23,39
2010-07-24,41
2010-07-25,40
2010-07-26,39
2010-07-27,38
2010-07-28,37
