Date,Auto Star
2008-04-12,80
2008-04-13,79
2008-04-14,79
2008-04-15,83
2008-04-16,78
2008-04-17,79
2008-04-18,78
2008-04-19,83
2008-04-20,79
2008-04-21,80
2008-04-22,84
2008-04-23,82
2008-04-24,83
2008-04-25,84
2008-04-26,91
2008-04-27,88
2008-04-28,90
2008-04-29,95
2008-04-30,96
2008-05-01,96
2008-05-02,98
2008-05-03,100
2008-05-04,98
2008-05-05,98
2008-05-06,103
2008-05-07,93
2008-05-08,92
2008-05-09,91
2008-05-10,89
2008-05-11,94
2008-05-12,90
2008-05-13,96
2008-05-14,100
2008-05-15,93
2008-05-16,99
2008-05-17,96
2008-05-18,93
2008-05-19,92
2008-05-20,91
2008-05-21,90
2008-05-22,90
2008-05-23,88
2008-05-24,87
2008-05-25,88
2008-05-26,83
2008-05-27,82
2008-05-28,84
2008-05-29,79
2008-05-30,81
2008-05-31,77
2008-06-01,76
2008-06-02,77
2008-06-03,83
2008-06-04,78
2008-06-05,82
2008-06-06,80
2008-06-07,81
2008-06-08,85
2008-06-09,81
2008-06-10,82
2008-06-11,81
2008-06-12,87
2008-06-13,81
2008-06-14,81
2008-06-15,85
2008-06-16,80
2008-06-17,83
2008-06-18,79
2008-06-19,78
2008-06-20,84
2008-06-21,78
2008-06-22,86
2008-06-23,78
2008-06-24,78
2008-06-25,79
2008-06-26,82
2008-06-27,80
2008-06-28,80
2008-06-29,78
2008-06-30,83
2008-07-01,73
2008-07-02,71
2008-07-03,69
2008-07-04,68
2008-07-05,70
2008-07-06,66
2008-07-07,65
2008-07-08,65
2008-07-09,66
2008-07-10,69
2008-07-11,68
2008-07-12,67
2008-07-13,74
2008-07-14,68
2008-07-15,68
2008-07-16,73
2008-07-17,69
2008-07-18,70
2008-07-19,71
2008-07-20,73
2008-07-21,75
2008-07-22,78
2008-07-23,86
2008-07-24,81
2008-07-25,83
2008-07-26,90
2008-07-27,87
2008-07-28,82
2008-07-29,80
2008-07-30,79
2008-07-31,77
2008-08-01,75
2008-08-02,75
2008-08-03,77
2008-08-04,75
2008-08-05,75
2008-08-06,78
2008-08-07,76
2008-08-08,78
2008-08-09,78
2008-08-10,84
2008-08-11,80
2008-08-12,84
2008-08-13,82
2008-08-14,86
2008-08-15,84
2008-08-16,90
2008-08-17,90
2008-08-18,80
2008-08-19,78
2008-08-20,82
2008-08-21,74
2008-08-22,73
2008-08-23,72
2008-08-24,70
2008-08-25,71
2008-08-26,72
2008-08-27,72
2008-08-28,74
2008-08-29,73
2008-08-30,74
2008-08-31,76
2008-09-01,78
2008-09-02,73
2008-09-03,77
2008-09-04,74
2008-09-05,73
2008-09-06,74
2008-09-07,73
2008-09-08,72
2008-09-09,74
2008-09-10,71
2008-09-11,77
2008-09-12,71
2008-09-13,77
2008-09-14,71
2008-09-15,75
2008-09-16,75
2008-09-17,71
2008-09-18,71
2008-09-19,72
2008-09-20,71
2008-09-21,71
2008-09-22,72
2008-09-23,73
2008-09-24,74
2008-09-25,73
2008-09-26,73
2008-09-27,77
2008-09-28,74
2008-09-29,74
2008-09-30,74
2008-10-01,74
2008-10-02,74
2008-10-03,76
2008-10-04,74
2008-10-05,80
2008-10-06,73
2008-10-07,74
2008-10-08,77
2008-10-09,72
2008-10-10,77
2008-10-11,73
2008-10-12,72
2008-10-13,69
2008-10-14,68
2008-10-15,68
2008-10-16,65
2008-10-17,64
2008-10-18,63
2008-10-19,69
2008-10-20,64
2008-10-21,70
2008-10-22,67
2008-10-23,67
2008-10-24,68
2008-10-25,70
2008-10-26,73
2008-10-27,69
2008-10-28,72
2008-10-29,73
2008-10-30,71
2008-10-31,71
2008-11-01,75
2008-11-02,71
2008-11-03,73
2008-11-04,68
2008-11-05,67
2008-11-06,65
2008-11-07,64
2008-11-08,63
2008-11-09,66
2008-11-10,64
2008-11-11,65
2008-11-12,72
2008-11-13,66
2008-11-14,67
2008-11-15,68
2008-11-16,67
2008-11-17,67
2008-11-18,69
2008-11-19,66
2008-11-20,65
2008-11-21,68
2008-11-22,65
2008-11-23,64
2008-11-24,63
2008-11-25,65
2008-11-26,63
2008-11-27,63
2008-11-28,61
2008-11-29,61
2008-11-30,63
2008-12-01,63
2008-12-02,66
2008-12-03,66
2008-12-04,68
2008-12-05,74
2008-12-06,71
2008-12-07,72
2008-12-08,69
2008-12-09,67
2008-12-10,70
2008-12-11,65
2008-12-12,64
2008-12-13,67
2008-12-14,64
2008-12-15,69
2008-12-16,68
2008-12-17,70
2008-12-18,74
2008-12-19,76
2008-12-20,76
2008-12-21,79
2008-12-22,71
2008-12-23,70
2008-12-24,71
2008-12-25,65
2008-12-26,63
2008-12-27,64
2008-12-28,63
2008-12-29,67
2008-12-30,71
2008-12-31,71
2009-01-01,74
2009-01-02,77
2009-01-03,80
2009-01-04,81
2009-01-05,78
2009-01-06,80
2009-01-07,80
2009-01-08,75
2009-01-09,76
2009-01-10,73
2009-01-11,74
2009-01-12,75
2009-01-13,76
2009-01-14,79
2009-01-15,79
2009-01-16,81
2009-01-17,81
2009-01-18,82
2009-01-19,81
2009-01-20,86
2009-01-21,81
2009-01-22,83
2009-01-23,81
2009-01-24,81
2009-01-25,85
2009-01-26,81
2009-01-27,75
2009-01-28,74
2009-01-29,74
2009-01-30,70
2009-01-31,69
2009-02-01,69
2009-02-02,73
2009-02-03,69
2009-02-04,70
2009-02-05,75
2009-02-06,70
2009-02-07,74
2009-02-08,71
2009-02-09,70
2009-02-10,70
2009-02-11,78
2009-02-12,70
2009-02-13,71
2009-02-14,73
2009-02-15,70
2009-02-16,71
2009-02-17,72
2009-02-18,73
2009-02-19,74
2009-02-20,73
2009-02-21,74
2009-02-22,73
2009-02-23,74
2009-02-24,74
