Date,Hilton Worldwide
2013-03-01,62
2013-03-02,63
2013-03-03,62
2013-03-04,62
2013-03-05,66
2013-03-06,60
2013-03-07,66
2013-03-08,63
2013-03-09,63
2013-03-10,64
2013-03-11,65
2013-03-12,66
2013-03-13,73
2013-03-14,57
2013-03-15,76
2013-03-16,72
2013-03-17,70
2013-03-18,67
2013-03-19,62
2013-03-20,69
2013-03-21,62
2013-03-22,60
2013-03-23,57
2013-03-24,58
2013-03-25,60
2013-03-26,60
2013-03-27,63
2013-03-28,63
2013-03-29,66
2013-03-30,65
2013-03-31,66
2013-04-01,67
2013-04-02,63
2013-04-03,74
2013-04-04,71
2013-04-05,69
2013-04-06,72
2013-04-07,70
2013-04-08,70
2013-04-09,59
2013-04-10,72
2013-04-11,72
2013-04-12,68
2013-04-13,69
2013-04-14,69
2013-04-15,69
2013-04-16,67
2013-04-17,71
2013-04-18,64
2013-04-19,69
2013-04-20,69
2013-04-21,68
2013-04-22,68
2013-04-23,64
2013-04-24,68
2013-04-25,68
2013-04-26,70
2013-04-27,67
2013-04-28,67
2013-04-29,67
2013-04-30,72
2013-05-01,70
2013-05-02,62
2013-05-03,73
2013-05-04,65
2013-05-05,66
2013-05-06,67
2013-05-07,70
2013-05-08,73
2013-05-09,74
2013-05-10,73
2013-05-11,73
2013-05-12,71
2013-05-13,69
2013-05-14,70
2013-05-15,59
2013-05-16,69
2013-05-17,61
2013-05-18,61
2013-05-19,59
2013-05-20,59
2013-05-21,56
2013-05-22,55
2013-05-23,59
2013-05-24,55
2013-05-25,55
2013-05-26,53
2013-05-27,52
2013-05-28,51
2013-05-29,45
2013-05-30,52
2013-05-31,41
2013-06-01,46
2013-06-02,49
2013-06-03,53
2013-06-04,59
2013-06-05,61
2013-06-06,65
2013-06-07,68
2013-06-08,80
2013-06-09,71
2013-06-10,68
2013-06-11,66
2013-06-12,64
2013-06-13,60
2013-06-14,59
2013-06-15,58
2013-06-16,57
2013-06-17,58
2013-06-18,58
2013-06-19,55
2013-06-20,63
2013-06-21,60
2013-06-22,58
2013-06-23,60
2013-06-24,62
2013-06-25,70
2013-06-26,63
2013-06-27,72
2013-06-28,63
2013-06-29,74
2013-06-30,68
2013-07-01,66
2013-07-02,64
2013-07-03,62
2013-07-04,59
2013-07-05,57
2013-07-06,54
2013-07-07,56
2013-07-08,57
2013-07-09,61
2013-07-10,65
2013-07-11,59
2013-07-12,60
2013-07-13,70
2013-07-14,67
2013-07-15,66
2013-07-16,70
2013-07-17,73
2013-07-18,76
2013-07-19,77
2013-07-20,76
2013-07-21,75
2013-07-22,75
2013-07-23,79
2013-07-24,75
2013-07-25,74
2013-07-26,78
2013-07-27,74
2013-07-28,73
2013-07-29,72
2013-07-30,70
2013-07-31,67
2013-08-01,72
2013-08-02,71
2013-08-03,66
2013-08-04,67
2013-08-05,68
2013-08-06,69
2013-08-07,73
2013-08-08,67
2013-08-09,78
2013-08-10,75
2013-08-11,74
2013-08-12,74
2013-08-13,74
2013-08-14,79
2013-08-15,69
2013-08-16,79
2013-08-17,69
2013-08-18,70
2013-08-19,68
2013-08-20,67
2013-08-21,75
2013-08-22,63
2013-08-23,62
2013-08-24,65
2013-08-25,63
2013-08-26,63
2013-08-27,61
2013-08-28,64
2013-08-29,62
2013-08-30,60
2013-08-31,63
2013-09-01,64
2013-09-02,68
2013-09-03,66
2013-09-04,66
2013-09-05,75
2013-09-06,72
2013-09-07,76
2013-09-08,75
2013-09-09,76
2013-09-10,82
2013-09-11,84
2013-09-12,73
2013-09-13,79
2013-09-14,97
2013-09-15,85
2013-09-16,74
2013-09-17,88
2013-09-18,82
2013-09-19,82
2013-09-20,73
2013-09-21,79
2013-09-22,76
2013-09-23,75
2013-09-24,72
2013-09-25,71
2013-09-26,75
2013-09-27,75
2013-09-28,67
2013-09-29,67
2013-09-30,67
2013-10-01,66
2013-10-02,72
2013-10-03,65
2013-10-04,67
2013-10-05,68
2013-10-06,70
2013-10-07,65
2013-10-08,72
2013-10-09,75
2013-10-10,83
2013-10-11,80
2013-10-12,85
2013-10-13,80
2013-10-14,78
2013-10-15,76
2013-10-16,71
2013-10-17,73
2013-10-18,72
2013-10-19,70
2013-10-20,67
2013-10-21,66
2013-10-22,55
2013-10-23,65
2013-10-24,66
2013-10-25,62
2013-10-26,62
2013-10-27,62
2013-10-28,62
2013-10-29,59
2013-10-30,61
2013-10-31,71
2013-11-01,63
2013-11-02,66
2013-11-03,63
2013-11-04,62
2013-11-05,57
2013-11-06,62
2013-11-07,51
2013-11-08,60
2013-11-09,56
2013-11-10,56
2013-11-11,57
2013-11-12,56
2013-11-13,62
2013-11-14,52
2013-11-15,61
2013-11-16,58
2013-11-17,61
2013-11-18,63
2013-11-19,67
2013-11-20,69
2013-11-21,70
2013-11-22,77
2013-11-23,77
2013-11-24,75
2013-11-25,73
2013-11-26,67
2013-11-27,69
2013-11-28,72
2013-11-29,63
2013-11-30,63
