Date,Complete Genomics
2010-01-09,0
2010-01-10,3
2010-01-11,6
2010-01-12,10
2010-01-13,13
2010-01-14,17
2010-01-15,20
2010-01-16,24
2010-01-17,24
2010-01-18,25
2010-01-19,25
2010-01-20,26
2010-01-21,26
2010-01-22,27
2010-01-23,28
2010-01-24,27
2010-01-25,26
2010-01-26,25
2010-01-27,24
2010-01-28,23
2010-01-29,22
2010-01-30,21
2010-01-31,21
2010-02-01,22
2010-02-02,22
2010-02-03,22
2010-02-04,23
2010-02-05,23
2010-02-06,24
2010-02-07,24
2010-02-08,24
2010-02-09,24
2010-02-10,24
2010-02-11,24
2010-02-12,24
2010-02-13,25
2010-02-14,25
2010-02-15,25
2010-02-16,25
2010-02-17,26
2010-02-18,26
2010-02-19,26
2010-02-20,27
2010-02-21,28
2010-02-22,30
2010-02-23,32
2010-02-24,34
2010-02-25,36
2010-02-26,38
2010-02-27,40
2010-02-28,38
2010-03-01,36
2010-03-02,34
2010-03-03,32
2010-03-04,30
2010-03-05,28
2010-03-06,26
2010-03-07,36
2010-03-08,47
2010-03-09,58
2010-03-10,69
2010-03-11,80
2010-03-12,91
2010-03-13,102
2010-03-14,92
2010-03-15,78
2010-03-16,67
2010-03-17,57
2010-03-18,46
2010-03-19,36
2010-03-20,26
2010-03-21,27
2010-03-22,28
2010-03-23,29
2010-03-24,30
2010-03-25,31
2010-03-26,32
2010-03-27,34
2010-03-28,32
2010-04-04,19
2010-04-05,16
2010-04-06,13
2010-04-07,9
2010-04-08,6
2010-04-09,3
2010-04-10,0
2010-04-11,0
2010-04-12,0
2010-04-13,0
2010-04-14,0
2010-04-15,0
2010-04-16,0
2010-04-17,0
2010-04-18,0
2010-04-19,0
2010-04-20,0
2010-04-21,0
2010-04-22,0
2010-04-23,0
2010-04-24,0
2010-04-25,0
2010-04-26,0
2010-04-27,0
2010-04-28,0
2010-04-29,0
2010-04-30,0
2010-05-01,0
2010-05-02,0
2010-05-03,0
2010-05-04,0
2010-05-05,0
2010-05-06,0
2010-05-07,0
2010-05-08,0
2010-05-09,0
2010-05-10,0
2010-05-11,0
2010-05-12,0
2010-05-13,0
2010-05-14,0
2010-05-15,0
2010-05-16,0
2010-05-17,0
2010-05-18,0
2010-05-19,0
2010-05-20,0
2010-05-21,0
2010-05-22,0
2010-05-23,0
2010-05-24,0
2010-05-25,0
2010-05-26,0
2010-05-27,0
2010-05-28,0
2010-05-29,0
2010-05-30,3
2010-05-31,6
2010-06-01,9
2010-06-02,12
2010-06-03,15
2010-06-04,18
2010-06-05,22
2010-06-06,22
2010-06-07,23
2010-06-08,23
2010-06-09,24
2010-06-10,24
2010-06-11,25
2010-06-12,26
2010-06-13,25
2010-06-14,24
2010-06-15,24
2010-06-16,23
2010-06-17,23
2010-06-18,22
2010-06-19,22
2010-06-20,22
2010-06-21,22
2010-06-22,22
2010-06-23,22
2010-06-24,22
2010-06-25,22
2010-06-26,22
2010-06-27,22
2010-07-04,23
2010-07-05,24
2010-07-06,25
2010-07-07,27
2010-07-08,28
2010-07-09,29
2010-07-10,31
2010-07-11,32
2010-07-12,33
2010-07-13,34
2010-07-14,36
2010-07-15,37
2010-07-16,38
2010-07-17,40
2010-07-18,41
2010-07-19,42
2010-07-20,44
2010-07-21,45
2010-07-22,47
2010-07-23,48
2010-07-24,50
2010-07-25,51
2010-07-26,52
2010-07-27,53
2010-07-28,55
2010-07-29,56
2010-07-30,57
2010-07-31,59
2010-08-01,60
2010-08-02,62
2010-08-03,64
2010-08-04,65
2010-08-05,66
2010-08-06,68
2010-08-07,70
2010-08-08,65
2010-08-09,58
2010-08-10,54
2010-08-11,49
2010-08-12,45
2010-08-13,40
2010-08-14,36
2010-08-15,36
2010-08-16,36
2010-08-17,36
2010-08-18,36
2010-08-19,36
2010-08-20,36
2010-08-21,36
2010-08-22,35
2010-08-23,35
2010-08-24,34
2010-08-25,33
2010-08-26,33
2010-08-27,32
2010-08-28,32
2010-08-29,30
2010-08-30,28
2010-08-31,26
2010-09-01,24
2010-09-02,22
2010-09-03,20
2010-09-04,19
2010-09-05,20
2010-09-06,21
2010-09-07,22
2010-09-08,23
2010-09-09,24
2010-09-10,25
2010-09-11,26
2010-09-12,26
2010-09-13,28
2010-09-14,29
2010-09-15,30
2010-09-16,31
2010-09-17,33
2010-09-18,35
2010-09-19,30
2010-09-20,28
2010-09-21,26
2010-09-22,25
2010-09-23,23
2010-09-24,21
2010-09-25,20
2010-09-26,20
2010-10-03,20
2010-10-04,20
2010-10-05,20
2010-10-06,20
2010-10-07,20
2010-10-08,20
2010-10-09,20
2010-10-10,21
2010-10-11,23
2010-10-12,25
2010-10-13,26
2010-10-14,28
2010-10-15,30
2010-10-16,32
2010-10-17,31
2010-10-18,29
2010-10-19,28
2010-10-20,27
2010-10-21,26
2010-10-22,25
2010-10-23,24
2010-10-24,26
2010-10-25,28
2010-10-26,30
2010-10-27,33
2010-10-28,35
2010-10-29,37
2010-10-30,40
