Date,Approach Resources
2007-01-01,64
2007-01-02,64
2007-01-03,65
2007-01-04,65
2007-01-05,66
2007-01-06,67
2007-01-07,67
2007-01-08,68
2007-01-09,69
2007-01-10,69
2007-01-11,70
2007-01-12,71
2007-01-13,71
2007-01-14,72
2007-01-15,73
2007-01-16,73
2007-01-17,74
2007-01-18,74
2007-01-19,75
2007-01-20,76
2007-01-21,76
2007-01-22,77
2007-01-23,78
2007-01-24,78
2007-01-25,79
2007-01-26,80
2007-01-27,80
2007-01-28,81
2007-01-29,82
2007-01-30,82
2007-01-31,83
2007-02-01,84
2007-02-02,83
2007-02-03,82
2007-02-04,81
2007-02-05,80
2007-02-06,79
2007-02-07,78
2007-02-08,78
2007-02-09,77
2007-02-10,76
2007-02-11,75
2007-02-12,74
2007-02-13,73
2007-02-14,72
2007-02-15,72
2007-02-16,71
2007-02-17,70
2007-02-18,69
2007-02-19,68
2007-02-20,67
2007-02-21,66
2007-02-22,66
2007-02-23,65
2007-02-24,64
2007-02-25,63
2007-02-26,62
2007-02-27,61
2007-02-28,60
2007-03-01,60
2007-03-02,60
2007-03-03,60
2007-03-04,60
2007-03-05,60
2007-03-06,60
2007-03-07,60
2007-03-08,60
2007-03-09,60
2007-03-10,60
2007-03-11,60
2007-03-12,60
2007-03-13,60
2007-03-14,60
2007-03-15,60
2007-03-16,60
2007-03-17,61
2007-03-18,61
2007-03-19,61
2007-03-20,61
2007-03-21,61
2007-03-22,61
2007-03-23,61
2007-03-24,61
2007-03-25,61
2007-03-26,61
2007-03-27,61
2007-03-28,61
2007-03-29,61
2007-03-30,61
2007-03-31,61
2007-04-01,62
2007-04-02,63
2007-04-03,64
2007-04-04,65
2007-04-05,67
2007-04-06,68
2007-04-07,69
2007-04-08,70
2007-04-09,72
2007-04-10,73
2007-04-11,74
2007-04-12,75
2007-04-13,77
2007-04-14,78
2007-04-15,79
2007-04-16,81
2007-04-17,82
2007-04-18,83
2007-04-19,84
2007-04-20,86
2007-04-21,87
2007-04-22,88
2007-04-23,89
2007-04-24,91
2007-04-25,92
2007-04-26,93
2007-04-27,94
2007-04-28,96
2007-04-29,97
2007-04-30,98
2007-05-01,100
2007-05-02,98
2007-05-03,97
2007-05-04,96
2007-05-05,95
2007-05-06,93
2007-05-07,92
2007-05-08,91
2007-05-09,90
2007-05-10,88
2007-05-11,87
2007-05-12,86
2007-05-13,85
2007-05-14,84
2007-05-15,82
2007-05-16,81
2007-05-17,80
2007-05-18,79
2007-05-19,77
2007-05-20,76
2007-05-21,75
2007-05-22,74
2007-05-23,73
2007-05-24,71
2007-05-25,70
2007-05-26,69
2007-05-27,68
2007-05-28,66
2007-05-29,65
2007-05-30,64
2007-05-31,63
2007-06-01,62
2007-06-02,61
2007-06-03,61
2007-06-04,61
2007-06-05,61
2007-06-06,61
2007-06-07,61
2007-06-08,61
2007-06-09,61
2007-06-10,61
2007-06-11,61
2007-06-12,61
2007-06-13,61
2007-06-14,61
2007-06-15,61
2007-06-16,61
2007-06-17,60
2007-06-18,60
2007-06-19,60
2007-06-20,60
2007-06-21,60
2007-06-22,60
2007-06-23,60
2007-06-24,60
2007-06-25,60
2007-06-26,60
2007-06-27,60
2007-06-28,60
2007-06-29,60
2007-06-30,60
2007-07-01,60
2007-07-02,59
2007-07-03,59
2007-07-04,59
2007-07-05,59
2007-07-06,59
2007-07-07,59
2007-07-08,59
2007-07-09,59
2007-07-10,59
2007-07-11,59
2007-07-12,59
2007-07-13,59
2007-07-14,59
2007-07-15,59
2007-07-16,59
2007-07-17,58
2007-07-18,58
2007-07-19,58
2007-07-20,58
2007-07-21,58
2007-07-22,58
2007-07-23,58
2007-07-24,58
2007-07-25,58
2007-07-26,58
2007-07-27,58
2007-07-28,58
2007-07-29,58
2007-07-30,58
2007-07-31,58
2007-08-01,58
2007-08-02,57
2007-08-03,57
2007-08-04,56
2007-08-05,56
2007-08-06,56
2007-08-07,55
2007-08-08,55
2007-08-09,55
2007-08-10,54
2007-08-11,54
2007-08-12,54
2007-08-13,53
2007-08-14,53
2007-08-15,53
2007-08-16,52
2007-08-17,52
2007-08-18,51
2007-08-19,51
2007-08-20,51
2007-08-21,50
2007-08-22,50
2007-08-23,50
2007-08-24,49
2007-08-25,49
2007-08-26,49
2007-08-27,48
2007-08-28,48
2007-08-29,48
2007-08-30,47
2007-08-31,47
2007-09-01,47
2007-09-02,47
2007-09-03,47
2007-09-04,47
2007-09-05,48
2007-09-06,48
2007-09-07,48
2007-09-08,49
2007-09-09,49
2007-09-10,49
2007-09-11,50
2007-09-12,50
2007-09-13,50
2007-09-14,50
2007-09-15,51
2007-09-16,51
2007-09-17,51
2007-09-18,52
2007-09-19,52
2007-09-20,52
2007-09-21,53
2007-09-22,53
2007-09-23,53
2007-09-24,53
2007-09-25,54
2007-09-26,54
2007-09-27,54
2007-09-28,55
2007-09-29,55
2007-09-30,55
2007-10-01,56
2007-10-02,56
2007-10-03,57
2007-10-04,58
2007-10-05,59
2007-10-06,60
2007-10-07,61
2007-10-08,62
2007-10-09,63
2007-10-10,64
2007-10-11,65
2007-10-12,66
2007-10-13,67
2007-10-14,68
2007-10-15,69
2007-10-16,70
2007-10-17,71
2007-10-18,72
2007-10-19,73
2007-10-20,74
2007-10-21,75
2007-10-22,76
2007-10-23,77
2007-10-24,78
2007-10-25,79
2007-10-26,80
2007-10-27,81
2007-10-28,82
2007-10-29,83
2007-10-30,84
2007-10-31,85
2007-11-01,86
2007-11-02,85
2007-11-03,84
2007-11-04,84
2007-11-05,83
