Date,Healthcare Of Today
2010-06-01,99
2010-06-02,97
2010-06-03,96
2010-06-04,95
2010-06-05,94
2010-06-06,93
2010-06-07,92
2010-06-08,90
2010-06-09,89
2010-06-10,88
2010-06-11,87
2010-06-12,86
2010-06-13,85
2010-06-14,83
2010-06-15,82
2010-06-16,81
2010-06-17,80
2010-06-18,79
2010-06-19,78
2010-06-20,76
2010-06-21,75
2010-06-22,74
2010-06-23,73
2010-06-24,72
2010-06-25,71
2010-06-26,69
2010-06-27,68
2010-06-28,67
2010-06-29,66
2010-06-30,65
2010-07-01,64
2010-07-02,63
2010-07-03,62
2010-07-04,61
2010-07-05,60
2010-07-06,59
2010-07-07,59
2010-07-08,58
2010-07-09,57
2010-07-10,56
2010-07-11,55
2010-07-12,55
2010-07-13,54
2010-07-14,53
2010-07-15,52
2010-07-16,51
2010-07-17,51
2010-07-18,50
2010-07-19,49
2010-07-20,48
2010-07-21,47
2010-07-22,47
2010-07-23,46
2010-07-24,45
2010-07-25,44
2010-07-26,43
2010-07-27,43
2010-07-28,42
2010-07-29,41
2010-07-30,40
2010-07-31,39
2010-08-01,39
2010-08-02,39
2010-08-03,40
2010-08-04,40
2010-08-05,41
2010-08-06,42
2010-08-07,42
2010-08-08,43
2010-08-09,44
2010-08-10,44
2010-08-11,45
2010-08-12,46
2010-08-13,46
2010-08-14,47
2010-08-15,48
2010-08-16,48
2010-08-17,49
2010-08-18,49
2010-08-19,50
2010-08-20,51
2010-08-21,51
2010-08-22,52
2010-08-23,53
2010-08-24,53
2010-08-25,54
2010-08-26,55
2010-08-27,55
2010-08-28,56
2010-08-29,57
2010-08-30,57
2010-08-31,58
2010-09-01,59
2010-09-02,59
2010-09-03,60
2010-09-04,61
2010-09-05,62
2010-09-06,63
2010-09-07,64
2010-09-08,65
2010-09-09,66
2010-09-10,67
2010-09-11,68
2010-09-12,69
2010-09-13,70
2010-09-14,71
2010-09-15,72
2010-09-16,73
2010-09-17,74
2010-09-18,75
2010-09-19,76
2010-09-20,77
2010-09-21,78
2010-09-22,79
2010-09-23,80
2010-09-24,81
2010-09-25,82
2010-09-26,83
2010-09-27,84
2010-09-28,85
2010-09-29,86
2010-09-30,87
2010-10-01,88
2010-10-02,87
2010-10-03,87
2010-10-04,87
2010-10-05,87
2010-10-06,87
2010-10-07,87
2010-10-08,86
2010-10-09,86
2010-10-10,86
2010-10-11,86
2010-10-12,86
2010-10-13,86
2010-10-14,85
2010-10-15,85
2010-10-16,85
2010-10-17,85
2010-10-18,85
2010-10-19,85
2010-10-20,84
2010-10-21,84
2010-10-22,84
2010-10-23,84
2010-10-24,84
2010-10-25,84
2010-10-26,83
2010-10-27,83
2010-10-28,83
2010-10-29,83
2010-10-30,83
2010-10-31,83
2010-11-01,83
2010-11-02,82
2010-11-03,81
2010-11-04,81
2010-11-05,80
2010-11-06,80
2010-11-07,79
2010-11-08,79
2010-11-09,78
2010-11-10,78
