Date,Trulia
2012-02-11,78
2012-02-12,79
2012-02-13,79
2012-02-14,78
2012-02-15,77
2012-02-16,77
2012-02-17,78
2012-02-18,77
2012-02-19,78
2012-02-20,79
2012-02-21,81
2012-02-22,81
2012-02-23,82
2012-02-24,83
2012-02-25,84
2012-02-26,83
2012-02-27,86
2012-02-28,83
2012-02-29,84
2012-03-01,82
2012-03-02,82
2012-03-03,82
2012-03-04,81
2012-03-05,84
2012-03-06,80
2012-03-07,81
2012-03-08,79
2012-03-09,79
2012-03-10,79
2012-03-11,79
2012-03-12,80
2012-03-13,80
2012-03-14,79
2012-03-15,79
2012-03-16,79
2012-03-17,79
2012-03-18,79
2012-03-19,80
2012-03-20,81
2012-03-21,80
2012-03-22,81
2012-03-23,81
2012-03-24,82
2012-03-25,81
2012-03-26,83
2012-03-27,82
2012-03-28,82
2012-03-29,81
2012-03-30,81
2012-03-31,81
2012-04-01,80
2012-04-02,82
2012-04-03,80
2012-04-04,81
2012-04-05,80
2012-04-06,80
2012-04-07,80
2012-04-08,80
2012-04-09,82
2012-04-10,80
2012-04-11,80
2012-04-12,80
2012-04-13,81
2012-04-14,81
2012-04-15,81
2012-04-16,83
2012-04-17,81
2012-04-18,83
2012-04-19,83
2012-04-20,82
2012-04-21,83
2012-04-22,83
2012-04-23,84
2012-04-24,83
2012-04-25,83
2012-04-26,83
2012-04-27,83
2012-04-28,83
2012-04-29,83
2012-04-30,84
2012-05-01,83
2012-05-02,85
2012-05-03,85
2012-05-04,84
2012-05-05,85
2012-05-06,84
2012-05-07,84
2012-05-08,84
2012-05-09,81
2012-05-10,81
2012-05-11,80
2012-05-12,79
2012-05-13,78
2012-05-14,78
2012-05-15,78
2012-05-16,78
2012-05-17,78
2012-05-18,78
2012-05-19,78
2012-05-20,78
2012-05-21,78
2012-05-22,79
2012-05-23,79
2012-05-24,79
2012-05-25,80
2012-05-26,80
2012-05-27,80
2012-05-28,81
2012-05-29,80
2012-05-30,81
2012-05-31,82
2012-06-01,82
2012-06-02,82
2012-06-03,81
2012-06-04,83
2012-06-05,81
2012-06-06,81
2012-06-07,81
2012-06-08,81
2012-06-09,81
2012-06-10,81
2012-06-11,81
2012-06-12,80
2012-06-13,80
2012-06-14,81
2012-06-15,80
2012-06-16,80
2012-06-17,80
2012-06-18,81
2012-06-19,81
2012-06-20,82
2012-06-21,82
2012-06-22,83
2012-06-23,83
2012-06-24,83
2012-06-25,84
2012-06-26,83
2012-06-27,83
2012-06-28,84
2012-06-29,83
2012-06-30,84
2012-07-01,82
2012-07-02,82
2012-07-03,82
2012-07-04,81
2012-07-05,80
2012-07-06,79
2012-07-07,79
2012-07-08,80
2012-07-09,83
2012-07-10,82
2012-07-11,84
2012-07-12,84
2012-07-13,86
2012-07-14,87
2012-07-15,87
2012-07-16,90
2012-07-17,87
2012-07-18,88
2012-07-19,89
2012-07-20,88
2012-07-21,89
2012-07-22,88
2012-07-23,91
2012-07-24,87
2012-07-25,87
2012-07-26,86
2012-07-27,87
2012-07-28,86
2012-07-29,86
2012-07-30,86
2012-07-31,86
2012-08-01,86
2012-08-02,86
2012-08-03,86
2012-08-04,86
2012-08-05,86
2012-08-06,87
2012-08-07,86
2012-08-08,86
2012-08-09,88
2012-08-10,86
2012-08-11,87
2012-08-12,87
2012-08-13,89
2012-08-14,88
2012-08-15,88
2012-08-16,89
2012-08-17,88
2012-08-18,89
2012-08-19,88
2012-08-20,89
2012-08-21,88
2012-08-22,88
2012-08-23,87
2012-08-24,87
2012-08-25,87
2012-08-26,86
2012-08-27,88
2012-08-28,84
2012-08-29,83
2012-08-30,82
2012-08-31,81
2012-09-01,80
2012-09-02,80
2012-09-03,82
2012-09-04,80
2012-09-05,80
2012-09-06,80
2012-09-07,80
2012-09-08,80
2012-09-09,80
2012-09-10,82
2012-09-11,80
2012-09-12,80
2012-09-13,80
2012-09-14,80
2012-09-15,80
2012-09-16,81
2012-09-17,84
2012-09-18,84
2012-09-19,87
2012-09-20,87
2012-09-21,93
2012-09-22,91
2012-09-23,91
2012-09-24,90
2012-09-25,88
2012-09-26,87
2012-09-27,86
2012-09-28,85
2012-09-29,84
2012-09-30,83
2012-10-01,83
2012-10-02,81
2012-10-03,80
2012-10-04,80
2012-10-05,79
2012-10-06,78
2012-10-07,77
2012-10-08,76
2012-10-09,77
2012-10-10,75
2012-10-11,75
2012-10-12,75
2012-10-13,74
2012-10-14,74
2012-10-15,74
2012-10-16,75
2012-10-17,74
2012-10-18,74
