Date,SciQuest
2009-09-12,0
2009-09-13,5
2009-09-14,11
2009-09-15,16
2009-09-16,22
2009-09-17,27
2009-09-18,33
2009-09-19,39
2009-09-20,40
2009-09-21,41
2009-09-22,42
2009-09-23,43
2009-09-24,44
2009-09-25,45
2009-09-26,46
2009-09-27,45
2009-09-28,44
2009-09-29,43
2009-09-30,42
2009-10-01,41
2009-10-02,40
2009-10-03,39
2009-10-04,39
2009-10-05,39
2009-10-06,39
2009-10-07,39
2009-10-08,39
2009-10-09,39
2009-10-10,39
2009-10-11,40
2009-10-12,41
2009-10-13,43
2009-10-14,44
2009-10-15,46
2009-10-16,47
2009-10-17,49
2009-10-18,48
2009-10-19,47
2009-10-20,46
2009-10-21,46
2009-10-22,45
2009-10-23,44
2009-10-24,44
2009-10-25,42
2009-10-26,40
2009-10-27,39
2009-10-28,37
2009-10-29,36
2009-10-30,34
2009-10-31,33
2009-11-01,33
2009-11-02,33
2009-11-03,33
2009-11-04,33
2009-11-05,33
2009-11-06,33
2009-11-07,33
2009-11-08,33
2009-11-09,33
2009-11-10,33
2009-11-11,33
2009-11-12,33
2009-11-13,33
2009-11-14,33
2009-11-15,33
2009-11-16,33
2009-11-17,34
2009-11-18,34
2009-11-19,34
2009-11-20,35
2009-11-21,36
2009-11-22,33
2009-11-23,33
2009-11-24,34
2009-11-25,34
2009-11-26,35
2009-11-27,35
2009-11-28,36
2009-11-29,36
2009-12-06,40
2009-12-07,40
2009-12-08,41
2009-12-09,41
2009-12-10,42
2009-12-11,42
2009-12-12,43
2009-12-13,43
2009-12-14,43
2009-12-15,43
2009-12-16,43
2009-12-17,43
2009-12-18,43
2009-12-19,44
2009-12-20,44
2009-12-21,44
2009-12-22,44
2009-12-23,44
2009-12-24,44
2009-12-25,44
2009-12-26,44
2009-12-27,44
2009-12-28,54
2009-12-29,44
2009-12-30,44
2009-12-31,44
2010-01-01,44
2010-01-02,45
2010-01-03,45
2010-01-04,45
2010-01-05,45
2010-01-06,45
2010-01-07,45
2010-01-08,45
2010-01-09,45
2010-01-10,46
2010-01-11,48
2010-01-12,49
2010-01-13,51
2010-01-14,52
2010-01-15,54
2010-01-16,56
2010-01-17,52
2010-01-18,49
2010-01-19,46
2010-01-20,43
2010-01-21,40
2010-01-22,37
2010-01-23,34
2010-01-24,35
2010-01-25,37
2010-01-26,39
2010-01-27,41
2010-01-28,42
2010-01-29,44
2010-01-30,46
2010-01-31,44
2010-02-01,43
2010-02-02,42
2010-02-03,41
2010-02-04,39
2010-02-05,38
2010-02-06,37
2010-02-07,37
2010-02-08,37
2010-02-09,38
2010-02-10,38
2010-02-11,39
2010-02-12,39
2010-02-13,40
2010-02-14,39
2010-02-15,39
2010-02-16,39
2010-02-17,38
2010-02-18,38
2010-02-19,38
2010-02-20,38
2010-02-21,36
2010-02-22,35
2010-02-23,34
2010-02-24,33
2010-02-25,32
2010-02-26,31
2010-02-27,30
2010-02-28,32
2010-03-07,49
2010-03-08,49
2010-03-09,49
2010-03-10,49
2010-03-11,49
2010-03-12,50
2010-03-13,50
2010-03-14,50
2010-03-15,50
2010-03-16,50
2010-03-17,50
2010-03-18,50
2010-03-19,50
2010-03-20,51
2010-03-21,49
2010-03-22,47
2010-03-23,45
2010-03-24,44
2010-03-25,42
2010-03-26,40
2010-03-27,39
2010-03-28,40
2010-03-29,42
2010-03-30,43
2010-03-31,44
2010-04-01,46
2010-04-02,47
2010-04-03,48
2010-04-04,47
2010-04-05,44
2010-04-06,42
2010-04-07,40
2010-04-08,38
2010-04-09,36
2010-04-10,35
2010-04-11,36
2010-04-12,37
2010-04-13,38
2010-04-14,39
2010-04-15,40
2010-04-16,41
2010-04-17,42
2010-04-18,46
2010-04-19,52
2010-04-20,56
2010-04-21,61
2010-04-22,66
2010-04-23,71
2010-04-24,76
2010-04-25,70
2010-04-26,64
2010-04-27,58
2010-04-28,53
2010-04-29,47
2010-04-30,42
2010-05-01,37
2010-05-02,37
2010-05-03,38
2010-05-04,39
2010-05-05,40
2010-05-06,41
2010-05-07,42
2010-05-08,43
2010-05-09,41
2010-05-10,40
2010-05-11,39
2010-05-12,37
2010-05-13,36
2010-05-14,35
2010-05-15,34
2010-05-16,34
2010-05-17,34
2010-05-18,35
2010-05-19,35
2010-05-20,36
2010-05-21,36
2010-05-22,37
2010-05-23,39
2010-05-24,43
2010-05-25,45
2010-05-26,48
2010-05-27,51
2010-05-28,54
2010-05-29,57
2010-05-30,56
2010-06-06,48
2010-06-07,48
2010-06-08,48
2010-06-09,48
2010-06-10,48
2010-06-11,48
2010-06-12,49
2010-06-13,49
2010-06-14,49
2010-06-15,49
2010-06-16,49
2010-06-17,49
2010-06-18,49
2010-06-19,49
2010-06-20,49
2010-06-21,49
2010-06-22,49
2010-06-23,49
2010-06-24,49
2010-06-25,49
