Date,Telegent Systems
2009-05-01,51
2009-05-02,51
2009-05-03,51
2009-05-04,52
2009-05-05,52
2009-05-06,53
2009-05-07,53
2009-05-08,53
2009-05-09,54
2009-05-10,54
2009-05-11,55
2009-05-12,55
2009-05-13,56
2009-05-14,56
2009-05-15,56
2009-05-16,57
2009-05-17,57
2009-05-18,58
2009-05-19,58
2009-05-20,58
2009-05-21,59
2009-05-22,59
2009-05-23,60
2009-05-24,60
2009-05-25,61
2009-05-26,61
2009-05-27,61
2009-05-28,62
2009-05-29,62
2009-05-30,63
2009-05-31,63
2009-06-01,64
2009-06-02,64
2009-06-03,65
2009-06-04,65
2009-06-05,66
2009-06-06,66
2009-06-07,67
2009-06-08,67
2009-06-09,68
2009-06-10,68
2009-06-11,69
2009-06-12,69
2009-06-13,70
2009-06-14,70
2009-06-15,71
2009-06-16,72
2009-06-17,72
2009-06-18,73
2009-06-19,73
2009-06-20,74
2009-06-21,74
2009-06-22,75
2009-06-23,75
2009-06-24,76
2009-06-25,76
2009-06-26,77
2009-06-27,77
2009-06-28,78
2009-06-29,78
2009-06-30,79
2009-07-01,80
2009-07-02,80
2009-07-03,81
2009-07-04,81
2009-07-05,82
2009-07-06,83
2009-07-07,83
2009-07-08,84
2009-07-09,85
2009-07-10,85
2009-07-11,86
2009-07-12,87
2009-07-13,87
2009-07-14,88
2009-07-15,89
2009-07-16,89
2009-07-17,90
2009-07-18,90
2009-07-19,91
2009-07-20,92
2009-07-21,92
2009-07-22,93
2009-07-23,94
2009-07-24,94
2009-07-25,95
2009-07-26,96
2009-07-27,96
2009-07-28,97
2009-07-29,98
2009-07-30,98
2009-07-31,99
2009-08-01,100
2009-08-02,98
2009-08-03,97
2009-08-04,96
2009-08-05,95
2009-08-06,94
2009-08-07,93
2009-08-08,92
2009-08-09,90
2009-08-10,89
2009-08-11,88
2009-08-12,87
2009-08-13,86
2009-08-14,85
2009-08-15,84
2009-08-16,83
2009-08-17,81
2009-08-18,80
2009-08-19,79
2009-08-20,78
2009-08-21,77
2009-08-22,76
2009-08-23,75
2009-08-24,74
2009-08-25,72
2009-08-26,71
2009-08-27,70
2009-08-28,69
2009-08-29,68
2009-08-30,67
2009-08-31,66
2009-09-01,65
2009-09-02,65
2009-09-03,65
2009-09-04,65
2009-09-05,65
2009-09-06,65
2009-09-07,66
2009-09-08,66
2009-09-09,66
2009-09-10,66
2009-09-11,66
2009-09-12,66
2009-09-13,67
2009-09-14,67
2009-09-15,67
2009-09-16,67
2009-09-17,67
2009-09-18,67
2009-09-19,68
2009-09-20,68
2009-09-21,68
2009-09-22,68
2009-09-23,68
2009-09-24,68
2009-09-25,69
2009-09-26,69
2009-09-27,69
2009-09-28,69
2009-09-29,69
2009-09-30,69
2009-10-01,70
2009-10-02,70
2009-10-03,70
2009-10-04,70
2009-10-05,70
2009-10-06,70
2009-10-07,70
2009-10-08,71
2009-10-09,71
2009-10-10,71
2009-10-11,71
2009-10-12,71
2009-10-13,71
2009-10-14,72
2009-10-15,72
2009-10-16,72
2009-10-17,72
2009-10-18,72
2009-10-19,72
2009-10-20,73
2009-10-21,73
2009-10-22,73
2009-10-23,73
2009-10-24,73
2009-10-25,73
2009-10-26,74
2009-10-27,74
2009-10-28,74
2009-10-29,74
2009-10-30,74
2009-10-31,74
2009-11-01,75
2009-11-02,74
2009-11-03,73
2009-11-04,72
2009-11-05,71
2009-11-06,70
2009-11-07,69
2009-11-08,68
2009-11-09,67
2009-11-10,66
2009-11-11,65
2009-11-12,64
2009-11-13,63
2009-11-14,62
2009-11-15,61
2009-11-16,60
2009-11-17,59
2009-11-18,58
2009-11-19,57
2009-11-20,56
2009-11-21,55
2009-11-22,54
2009-11-23,53
2009-11-24,52
2009-11-25,51
2009-11-26,50
2009-11-27,49
2009-11-28,48
2009-11-29,47
2009-11-30,46
2009-12-01,45
2009-12-02,45
2009-12-03,46
2009-12-04,47
2009-12-05,48
2009-12-06,48
2009-12-07,49
2009-12-08,50
2009-12-09,51
2009-12-10,51
2009-12-11,52
2009-12-12,53
2009-12-13,54
2009-12-14,55
2009-12-15,55
2009-12-16,56
2009-12-17,57
2009-12-18,58
2009-12-19,58
2009-12-20,59
2009-12-21,60
2009-12-22,61
2009-12-23,62
2009-12-24,62
2009-12-25,63
2009-12-26,64
2009-12-27,65
2009-12-28,65
2009-12-29,66
2009-12-30,67
2009-12-31,68
2010-01-01,69
2010-01-02,68
2010-01-03,68
