Date,Exponential Interactive
2013-02-01,91
2013-02-02,91
2013-02-03,91
2013-02-04,91
2013-02-05,92
2013-02-06,92
2013-02-07,92
2013-02-08,93
2013-02-09,93
2013-02-10,93
2013-02-11,94
2013-02-12,94
2013-02-13,94
2013-02-14,95
2013-02-15,95
2013-02-16,95
2013-02-17,96
2013-02-18,96
2013-02-19,96
2013-02-20,97
2013-02-21,97
2013-02-22,97
2013-02-23,98
2013-02-24,98
2013-02-25,98
2013-02-26,99
2013-02-27,99
2013-02-28,99
2013-03-01,100
2013-03-02,99
2013-03-03,99
2013-03-04,99
2013-03-05,99
2013-03-06,99
2013-03-07,98
2013-03-08,98
2013-03-09,98
2013-03-10,98
2013-03-11,98
2013-03-12,97
2013-03-13,97
2013-03-14,97
2013-03-15,97
2013-03-16,97
2013-03-17,96
2013-03-18,96
2013-03-19,96
2013-03-20,96
2013-03-21,96
2013-03-22,95
2013-03-23,95
2013-03-24,95
2013-03-25,95
2013-03-26,95
2013-03-27,94
2013-03-28,94
2013-03-29,94
2013-03-30,94
2013-03-31,94
2013-04-01,94
2013-04-02,92
2013-04-03,91
2013-04-04,90
2013-04-05,89
2013-04-06,88
2013-04-07,87
2013-04-08,85
2013-04-09,84
2013-04-10,83
2013-04-11,82
2013-04-12,81
2013-04-13,80
2013-04-14,78
2013-04-15,77
2013-04-16,76
2013-04-17,75
2013-04-18,74
2013-04-19,73
2013-04-20,71
2013-04-21,70
2013-04-22,69
2013-04-23,68
2013-04-24,67
2013-04-25,66
2013-04-26,64
2013-04-27,63
2013-04-28,62
2013-04-29,61
2013-04-30,60
2013-05-01,59
2013-05-02,59
2013-05-03,59
2013-05-04,60
2013-05-05,60
2013-05-06,61
2013-05-07,61
2013-05-08,61
2013-05-09,62
2013-05-10,62
2013-05-11,63
2013-05-12,63
2013-05-13,64
2013-05-14,64
2013-05-15,64
2013-05-16,65
2013-05-17,65
2013-05-18,66
2013-05-19,66
2013-05-20,66
2013-05-21,67
2013-05-22,67
2013-05-23,68
2013-05-24,68
2013-05-25,69
2013-05-26,69
2013-05-27,69
2013-05-28,70
2013-05-29,70
2013-05-30,71
2013-05-31,71
2013-06-01,72
2013-06-02,71
2013-06-03,71
2013-06-04,70
2013-06-05,70
2013-06-06,70
2013-06-07,69
2013-06-08,69
2013-06-09,68
2013-06-10,68
2013-06-11,68
2013-06-12,67
2013-06-13,67
2013-06-14,66
2013-06-15,66
2013-06-16,66
2013-06-17,65
2013-06-18,65
2013-06-19,64
2013-06-20,64
2013-06-21,64
2013-06-22,63
2013-06-23,63
2013-06-24,62
2013-06-25,62
2013-06-26,62
2013-06-27,61
2013-06-28,61
2013-06-29,60
2013-06-30,60
2013-07-01,60
2013-07-02,59
2013-07-03,59
2013-07-04,59
2013-07-05,59
2013-07-06,59
2013-07-07,59
2013-07-08,59
2013-07-09,58
2013-07-10,58
2013-07-11,58
2013-07-12,58
2013-07-13,58
2013-07-14,58
2013-07-15,58
2013-07-16,58
2013-07-17,57
2013-07-18,57
2013-07-19,57
2013-07-20,57
2013-07-21,57
2013-07-22,57
2013-07-23,57
2013-07-24,57
2013-07-25,56
2013-07-26,56
2013-07-27,56
2013-07-28,56
2013-07-29,56
2013-07-30,56
2013-07-31,56
2013-08-01,56
2013-08-02,56
2013-08-03,56
2013-08-04,56
2013-08-05,56
2013-08-06,56
2013-08-07,56
2013-08-08,56
2013-08-09,56
2013-08-10,56
2013-08-11,56
2013-08-12,56
2013-08-13,56
2013-08-14,56
2013-08-15,56
2013-08-16,56
2013-08-17,57
2013-08-18,57
2013-08-19,57
2013-08-20,57
2013-08-21,57
2013-08-22,57
2013-08-23,57
2013-08-24,57
2013-08-25,57
2013-08-26,57
2013-08-27,57
2013-08-28,57
2013-08-29,57
2013-08-30,57
2013-08-31,57
2013-09-01,58
2013-09-02,58
2013-09-03,59
2013-09-04,59
2013-09-05,60
2013-09-06,60
2013-09-07,61
2013-09-08,61
2013-09-09,62
2013-09-10,62
2013-09-11,63
2013-09-12,63
2013-09-13,64
2013-09-14,64
2013-09-15,65
2013-09-16,65
2013-09-17,66
2013-09-18,66
2013-09-19,67
2013-09-20,67
2013-09-21,68
2013-09-22,68
2013-09-23,69
2013-09-24,69
2013-09-25,70
2013-09-26,70
2013-09-27,71
2013-09-28,71
2013-09-29,72
2013-09-30,72
2013-10-01,73
2013-10-02,72
2013-10-03,71
2013-10-04,71
2013-10-05,70
2013-10-06,69
2013-10-07,69
2013-10-08,68
2013-10-09,67
2013-10-10,67
2013-10-11,66
2013-10-12,65
2013-10-13,65
2013-10-14,64
2013-10-15,63
2013-10-16,63
2013-10-17,62
2013-10-18,62
2013-10-19,61
2013-10-20,60
2013-10-21,60
2013-10-22,59
2013-10-23,58
2013-10-24,58
2013-10-25,57
