Date,Orbitz Worldwide
2006-11-01,83
2006-11-02,82
2006-11-03,82
2006-11-04,84
2006-11-05,81
2006-11-06,82
2006-11-07,84
2006-11-08,83
2006-11-09,83
2006-11-10,85
2006-11-11,86
2006-11-12,84
2006-11-13,83
2006-11-14,82
2006-11-15,81
2006-11-16,82
2006-11-17,80
2006-11-18,80
2006-11-19,77
2006-11-20,75
2006-11-21,73
2006-11-22,72
2006-11-23,75
2006-11-24,68
2006-11-25,67
2006-11-26,68
2006-11-27,70
2006-11-28,72
2006-11-29,74
2006-11-30,76
2006-12-01,77
2006-12-02,80
2006-12-03,79
2006-12-04,77
2006-12-05,76
2006-12-06,76
2006-12-07,75
2006-12-08,73
2006-12-09,74
2006-12-10,73
2006-12-11,71
2006-12-12,72
2006-12-13,70
2006-12-14,72
2006-12-15,69
2006-12-16,70
2006-12-17,71
2006-12-18,70
2006-12-19,71
2006-12-20,72
2006-12-21,73
2006-12-22,74
2006-12-23,78
2006-12-24,77
2006-12-25,76
2006-12-26,76
2006-12-27,77
2006-12-28,78
2006-12-29,79
2006-12-30,80
2006-12-31,80
2007-01-01,82
2007-01-02,84
2007-01-03,85
2007-01-04,87
2007-01-05,89
2007-01-06,95
2007-01-07,91
2007-01-08,92
2007-01-09,92
2007-01-10,93
2007-01-11,93
2007-01-12,95
2007-01-13,96
2007-01-14,95
2007-01-15,93
2007-01-16,93
2007-01-17,92
2007-01-18,91
2007-01-19,90
2007-01-20,90
2007-01-21,90
2007-01-22,91
2007-01-23,91
2007-01-24,92
2007-01-25,93
2007-01-26,95
2007-01-27,94
2007-01-28,93
2007-01-29,93
2007-01-30,93
2007-01-31,93
2007-02-01,93
2007-02-02,93
2007-02-03,93
2007-02-04,94
2007-02-05,92
2007-02-06,92
2007-02-07,91
2007-02-08,93
2007-02-09,91
2007-02-10,91
2007-02-11,92
2007-02-12,92
2007-02-13,94
2007-02-14,94
2007-02-15,94
2007-02-16,96
2007-02-17,97
2007-02-18,96
2007-02-19,96
2007-02-20,96
2007-02-21,97
2007-02-22,96
2007-02-23,98
2007-02-24,97
2007-02-25,98
2007-02-26,97
2007-02-27,97
2007-02-28,97
2007-03-01,97
2007-03-02,97
2007-03-03,99
2007-03-04,97
2007-03-05,97
2007-03-06,99
2007-03-07,98
2007-03-08,100
2007-03-09,99
2007-03-10,100
2007-03-11,101
2007-03-12,98
2007-03-13,98
2007-03-14,97
2007-03-15,99
2007-03-16,96
2007-03-17,97
2007-03-18,95
2007-03-19,93
2007-03-20,94
2007-03-21,90
2007-03-22,89
2007-03-23,88
2007-03-24,86
2007-03-25,86
2007-03-26,86
2007-03-27,87
2007-03-28,87
2007-03-29,87
2007-03-30,89
2007-03-31,88
2007-05-01,88
2007-05-02,90
2007-05-03,90
2007-05-04,90
2007-05-05,93
2007-05-06,90
2007-05-07,89
2007-05-08,88
2007-05-09,88
2007-05-10,87
2007-05-11,88
2007-05-12,87
2007-05-13,87
2007-05-14,86
2007-05-15,87
2007-05-16,87
2007-05-17,88
2007-05-18,89
2007-05-19,89
2007-05-20,88
2007-05-21,88
2007-05-22,88
2007-05-23,87
2007-05-24,88
2007-05-25,88
2007-05-26,89
2007-05-27,87
2007-05-28,88
2007-05-29,87
2007-05-30,87
2007-05-31,88
2007-06-01,88
2007-06-02,89
2007-06-03,88
2007-06-04,89
2007-06-05,90
2007-06-06,91
2007-06-07,92
2007-06-08,92
2007-06-09,93
2007-06-10,92
2007-06-11,92
2007-06-12,91
2007-06-13,92
2007-06-14,91
2007-06-15,91
2007-06-16,92
2007-06-17,89
2007-06-18,89
2007-06-19,89
2007-06-20,89
2007-06-21,88
2007-06-22,88
2007-06-23,88
2007-06-24,88
2007-06-25,88
2007-06-26,88
2007-06-27,88
2007-06-28,89
2007-06-29,90
2007-06-30,91
2007-07-01,88
2007-07-02,87
2007-07-03,88
2007-07-04,91
2007-07-05,86
2007-07-06,85
2007-07-07,86
2007-07-08,86
2007-07-09,87
2007-07-10,88
2007-07-11,89
2007-07-12,91
2007-07-13,91
2007-07-14,95
2007-07-15,93
2007-07-16,93
2007-07-17,93
2007-07-18,94
2007-07-19,93
2007-07-20,95
2007-07-21,95
2007-07-22,93
2007-07-23,91
2007-07-24,90
2007-07-25,89
2007-07-26,90
2007-07-27,86
2007-07-28,87
2007-07-29,85
2007-07-30,86
2007-07-31,86
2007-08-01,87
2007-08-02,87
2007-08-03,88
2007-08-04,89
2007-08-05,89
2007-08-06,88
2007-08-07,88
2007-08-08,88
2007-08-09,87
2007-08-10,87
2007-08-11,89
2007-08-12,86
2007-08-13,85
2007-08-14,84
2007-08-15,83
2007-08-16,84
2007-08-17,81
2007-08-18,82
2007-08-19,80
2007-08-20,79
2007-08-21,78
2007-08-22,78
2007-08-23,77
2007-08-24,78
2007-08-25,77
2007-08-26,75
2007-08-27,75
2007-08-28,76
2007-08-29,74
2007-08-30,75
2007-08-31,75
2007-09-01,75
2007-09-02,74
2007-09-03,72
2007-09-04,70
2007-09-05,69
2007-09-06,68
2007-09-07,67
2007-09-08,67
2007-09-09,67
2007-09-10,67
2007-09-11,68
2007-09-12,69
2007-09-13,71
2007-09-14,71
2007-09-15,73
2007-09-16,72
2007-09-17,72
2007-09-18,72
2007-09-19,72
2007-09-20,73
2007-09-21,72
2007-09-22,74
2007-09-23,72
2007-09-24,72
2007-09-25,71
2007-09-26,71
2007-09-27,71
2007-09-28,70
2007-09-29,71
2007-09-30,70
2007-10-01,71
2007-10-02,72
2007-10-03,73
2007-10-04,74
2007-10-05,74
2007-10-06,77
2007-10-07,77
2007-10-08,73
2007-10-09,73
2007-10-10,72
2007-10-11,72
2007-10-12,72
2007-10-13,73
2007-10-14,70
2007-10-15,70
2007-10-16,70
2007-10-17,69
2007-10-18,70
2007-10-19,69
2007-10-20,70
2007-10-21,68
2007-10-22,67
2007-10-23,67
2007-10-24,66
2007-10-25,67
2007-10-26,65
2007-10-27,66
2007-10-28,66
2007-10-29,65
2007-10-30,66
2007-10-31,67
2007-11-01,67
2007-11-02,67
2007-11-03,70
2007-11-04,67
2007-11-05,67
2007-11-06,67
2007-11-07,66
2007-11-08,66
2007-11-09,67
2007-11-10,65
2007-11-11,64
2007-11-12,64
2007-11-13,64
2007-11-14,64
2007-11-15,63
2007-11-16,63
2007-11-17,65
2007-11-18,62
2007-11-19,61
2007-11-20,61
2007-11-21,62
2007-11-22,63
2007-11-23,59
2007-11-24,59
2007-11-25,60
2007-11-26,61
2007-11-27,62
2007-11-28,64
2007-11-29,65
2007-11-30,65
2007-12-01,68
2007-12-02,67
2007-12-03,67
2007-12-04,67
2007-12-05,67
2007-12-06,67
2007-12-07,67
2007-12-08,68
2007-12-09,65
2007-12-10,63
2007-12-11,62
2007-12-12,59
2007-12-13,57
2007-12-14,56
2007-12-15,54
2007-12-16,54
2007-12-17,54
2007-12-18,54
2007-12-19,55
2007-12-20,55
2007-12-21,56
2007-12-22,57
2007-12-23,57
2007-12-24,56
2007-12-25,57
2007-12-26,57
2007-12-27,57
2007-12-28,59
2007-12-29,60
2007-12-30,59
2007-12-31,61
2008-01-01,65
2008-01-02,64
2008-01-03,66
2008-01-04,67
2008-01-05,70
2008-01-06,69
2008-01-07,70
2008-01-08,71
2008-01-09,72
2008-01-10,72
2008-01-11,74
2008-01-12,74
2008-01-13,73
2008-01-14,73
2008-01-15,73
2008-01-16,72
2008-01-17,73
2008-01-18,72
2008-01-19,74
2008-01-20,72
2008-01-21,72
2008-01-22,72
2008-01-23,73
2008-01-24,74
2008-01-25,73
2008-01-26,74
2008-01-27,75
2008-01-28,74
2008-01-29,75
2008-01-30,77
2008-01-31,76
2008-02-01,76
2008-02-02,77
2008-02-03,79
2008-02-04,77
2008-02-05,77
2008-02-06,77
2008-02-07,77
2008-02-08,77
2008-02-09,78
2008-02-10,77
2008-02-11,77
2008-02-12,77
2008-02-13,78
2008-02-14,79
2008-02-15,77
2008-02-16,78
2008-02-17,79
2008-02-18,79
2008-02-19,79
2008-02-20,79
2008-02-21,81
2008-02-22,80
2008-02-23,82
2008-02-24,81
2008-02-25,80
2008-02-26,80
2008-02-27,79
2008-02-28,81
2008-02-29,79
2008-03-01,79
2008-03-02,79
2008-03-03,78
2008-03-04,78
2008-03-05,79
2008-03-06,77
2008-03-07,77
2008-03-08,78
2008-03-09,77
2008-03-10,77
2008-03-11,77
2008-03-12,77
2008-03-13,77
2008-03-14,77
2008-03-15,77
2008-03-16,76
2008-03-17,75
2008-03-18,74
2008-03-19,73
2008-03-20,72
2008-03-21,71
2008-03-22,72
2008-03-23,70
2008-03-24,70
2008-03-25,70
2008-03-26,71
2008-03-27,70
2008-03-28,70
2008-03-29,70
2008-03-30,70
2008-03-31,71
2008-04-01,73
2008-04-02,73
2008-04-03,74
2008-04-04,75
2008-04-05,77
2008-04-06,76
2008-04-07,75
2008-04-08,75
2008-04-09,75
2008-04-10,77
2008-04-11,76
2008-04-12,76
2008-04-13,74
2008-04-14,73
2008-04-15,72
2008-04-16,71
2008-04-17,70
2008-04-18,69
2008-04-19,69
2008-04-20,68
2008-04-21,68
2008-04-22,68
2008-04-23,68
2008-04-24,68
2008-04-25,68
2008-04-26,69
2008-04-27,68
2008-04-28,69
2008-04-29,69
2008-04-30,70
2008-05-01,70
2008-05-02,71
2008-05-03,74
2008-05-04,72
2008-05-05,71
2008-05-06,71
2008-05-07,71
2008-05-08,72
2008-05-09,71
2008-05-10,73
2008-05-11,72
2008-05-12,71
2008-05-13,71
2008-05-14,71
2008-05-15,71
2008-05-16,71
2008-05-17,73
2008-05-18,70
2008-05-19,70
2008-05-20,70
2008-05-21,70
2008-05-22,69
2008-05-23,69
2008-05-24,71
2008-05-25,68
2008-05-26,69
2008-05-27,68
2008-05-28,67
2008-05-29,68
2008-05-30,67
2008-05-31,68
2008-06-01,68
2008-06-02,69
2008-06-03,70
2008-06-04,71
2008-06-05,74
2008-06-06,73
2008-06-07,77
2008-06-08,74
2008-06-09,74
2008-06-10,74
2008-06-11,74
2008-06-12,74
2008-06-13,73
2008-06-14,74
2008-06-15,73
2008-06-16,72
2008-06-17,72
2008-06-18,73
2008-06-19,72
2008-06-20,72
2008-06-21,73
2008-06-22,72
2008-06-23,72
2008-06-24,72
2008-06-25,72
2008-06-26,72
2008-06-27,74
2008-06-28,72
2008-06-29,71
2008-06-30,70
2008-07-01,69
2008-07-02,69
2008-07-03,69
2008-07-04,71
2008-07-05,67
2008-07-06,68
2008-07-07,70
2008-07-08,71
2008-07-09,73
2008-07-10,74
2008-07-11,77
2008-07-12,79
2008-07-13,78
2008-07-14,79
2008-07-15,79
2008-07-16,81
2008-07-17,82
2008-07-18,81
2008-07-19,82
2008-07-20,82
2008-07-21,82
2008-07-22,82
2008-07-23,83
2008-07-24,82
2008-07-25,84
2008-07-26,83
2008-07-27,82
2008-07-28,82
2008-07-29,82
2008-07-30,81
2008-07-31,81
2008-08-01,80
2008-08-02,81
2008-08-03,81
2008-08-04,79
2008-08-05,79
2008-08-06,80
2008-08-07,80
2008-08-08,80
2008-08-09,80
2008-08-10,79
2008-08-11,79
2008-08-12,79
2008-08-13,79
2008-08-14,79
2008-08-15,79
2008-08-16,81
2008-08-17,78
2008-08-18,75
2008-08-19,74
2008-08-20,73
2008-08-21,70
2008-08-22,68
2008-08-23,68
2008-08-24,67
2008-08-25,67
2008-08-26,67
2008-08-27,68
2008-08-28,68
2008-08-29,67
2008-08-30,67
2008-08-31,68
2008-09-01,65
2008-09-02,64
2008-09-03,63
2008-09-04,62
2008-09-05,62
2008-09-06,61
2008-09-07,61
2008-09-08,61
2008-09-09,62
2008-09-10,63
2008-09-11,63
2008-09-12,64
2008-09-13,64
2008-09-14,64
2008-09-15,64
2008-09-16,64
2008-09-17,65
2008-09-18,64
2008-09-19,64
2008-09-20,66
2008-09-21,63
2008-09-22,63
2008-09-23,62
2008-09-24,63
2008-09-25,61
2008-09-26,62
2008-09-27,62
2008-09-28,61
2008-09-29,61
2008-09-30,61
2008-10-01,61
2008-10-02,62
2008-10-03,62
2008-10-04,61
2008-10-05,60
2008-10-06,60
2008-10-07,60
2008-10-08,61
2008-10-09,59
2008-10-10,60
2008-10-11,60
2008-10-12,58
2008-10-13,58
2008-10-14,58
2008-10-15,58
2008-10-16,57
2008-10-17,57
2008-10-18,58
2008-10-19,57
2008-10-20,57
2008-10-21,57
2008-10-22,57
2008-10-23,58
2008-10-24,58
2008-10-25,59
2008-10-26,57
2008-10-27,57
2008-10-28,57
2008-10-29,56
2008-10-30,57
2008-10-31,56
