Date,Peregrine Semiconductor
2010-05-01,83
2010-05-02,82
2010-05-03,82
2010-05-04,81
2010-05-05,81
2010-05-06,80
2010-05-07,80
2010-05-08,80
2010-05-09,79
2010-05-10,79
2010-05-11,78
2010-05-12,78
2010-05-13,77
2010-05-14,77
2010-05-15,77
2010-05-16,76
2010-05-17,76
2010-05-18,75
2010-05-19,75
2010-05-20,75
2010-05-21,74
2010-05-22,74
2010-05-23,73
2010-05-24,73
2010-05-25,72
2010-05-26,72
2010-05-27,72
2010-05-28,71
2010-05-29,71
2010-05-30,70
2010-05-31,70
2010-06-01,70
2010-06-02,69
2010-06-03,69
2010-06-04,68
2010-06-05,68
2010-06-06,67
2010-06-07,67
2010-06-08,66
2010-06-09,66
2010-06-10,66
2010-06-11,65
2010-06-12,65
2010-06-13,64
2010-06-14,64
2010-06-15,63
2010-06-16,63
2010-06-17,63
2010-06-18,62
2010-06-19,62
2010-06-20,61
2010-06-21,61
2010-06-22,60
2010-06-23,60
2010-06-24,60
2010-06-25,59
2010-06-26,59
2010-06-27,58
2010-06-28,58
2010-06-29,57
2010-06-30,57
2010-07-01,57
2010-07-02,57
2010-07-03,57
2010-07-04,57
2010-07-05,57
2010-07-06,57
2010-07-07,57
2010-07-08,57
2010-07-09,57
2010-07-10,57
2010-07-11,57
2010-07-12,57
2010-07-13,57
2010-07-14,57
2010-07-15,57
2010-07-16,57
2010-07-17,58
2010-07-18,58
2010-07-19,58
2010-07-20,58
2010-07-21,58
2010-07-22,58
2010-07-23,58
2010-07-24,58
2010-07-25,58
2010-07-26,58
2010-07-27,58
2010-07-28,58
2010-07-29,58
2010-07-30,58
2010-07-31,58
2010-08-01,59
2010-08-02,58
2010-08-03,58
2010-08-04,57
2010-08-05,57
2010-08-06,56
2010-08-07,56
2010-08-08,56
2010-08-09,55
2010-08-10,55
2010-08-11,54
2010-08-12,54
2010-08-13,53
2010-08-14,53
2010-08-15,53
2010-08-16,52
2010-08-17,52
2010-08-18,51
2010-08-19,51
2010-08-20,51
2010-08-21,50
2010-08-22,50
2010-08-23,49
2010-08-24,49
2010-08-25,48
2010-08-26,48
2010-08-27,48
2010-08-28,47
2010-08-29,47
2010-08-30,46
2010-08-31,46
2010-09-01,46
2010-09-02,46
2010-09-03,47
2010-09-04,48
2010-09-05,49
2010-09-06,50
2010-09-07,51
2010-09-08,52
2010-09-09,53
2010-09-10,54
2010-09-11,55
2010-09-12,55
2010-09-13,56
2010-09-14,57
2010-09-15,58
2010-09-16,59
2010-09-17,60
2010-09-18,61
2010-09-19,62
2010-09-20,63
2010-09-21,64
2010-09-22,64
2010-09-23,65
2010-09-24,66
2010-09-25,67
2010-09-26,68
2010-09-27,69
2010-09-28,70
2010-09-29,71
2010-09-30,72
2010-10-01,73
2010-10-02,73
2010-10-03,73
2010-10-04,73
2010-10-05,73
2010-10-06,73
2010-10-07,73
2010-10-08,74
2010-10-09,74
2010-10-10,74
2010-10-11,74
2010-10-12,74
2010-10-13,74
2010-10-14,75
2010-10-15,75
2010-10-16,75
2010-10-17,75
2010-10-18,75
2010-10-19,75
2010-10-20,76
2010-10-21,76
2010-10-22,76
2010-10-23,76
2010-10-24,76
2010-10-25,76
2010-10-26,77
2010-10-27,77
2010-10-28,77
2010-10-29,77
2010-10-30,77
2010-10-31,77
2010-11-01,78
2010-11-02,77
2010-11-03,76
2010-11-04,75
2010-11-05,74
2010-11-06,73
2010-11-07,72
2010-11-08,71
2010-11-09,70
2010-11-10,69
2010-11-11,68
2010-11-12,67
2010-11-13,66
2010-11-14,65
2010-11-15,64
2010-11-16,64
2010-11-17,63
2010-11-18,62
2010-11-19,61
2010-11-20,60
2010-11-21,59
2010-11-22,58
2010-11-23,57
2010-11-24,56
2010-11-25,55
2010-11-26,54
2010-11-27,53
2010-11-28,52
2010-11-29,51
2010-11-30,50
2010-12-01,50
2010-12-02,50
2010-12-03,50
2010-12-04,50
2010-12-05,50
2010-12-06,50
2010-12-07,50
2010-12-08,50
2010-12-09,50
2010-12-10,50
2010-12-11,50
2010-12-12,50
2010-12-13,50
2010-12-14,50
2010-12-15,50
2010-12-16,50
2010-12-17,50
2010-12-18,50
2010-12-19,50
2010-12-20,50
2010-12-21,50
2010-12-22,50
2010-12-23,50
2010-12-24,50
2010-12-25,50
2010-12-26,50
2010-12-27,50
2010-12-28,50
2010-12-29,50
2010-12-30,50
2010-12-31,50
2011-01-01,51
2011-01-02,50
2011-01-03,50
2011-01-04,50
2011-01-05,50
2011-01-06,49
2011-01-07,49
2011-01-08,49
2011-01-09,49
2011-01-10,48
2011-01-11,48
2011-01-12,48
2011-01-13,48
2011-01-14,48
2011-01-15,47
2011-01-16,47
2011-01-17,47
2011-01-18,47
2011-01-19,46
2011-01-20,46
2011-01-21,46
2011-01-22,46
2011-01-23,46
2011-01-24,45
2011-01-25,45
2011-01-26,45
2011-01-27,45
2011-01-28,44
